SA4_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
101,2040,606,657,662,879,274,117,276,12167,44,0,6,0,0,0,4,0,0,139,195,21130,3451,3229,793,842,853,1139,409,196,1147,33181
102,3220,725,688,664,725,279,94,346,17804,75,6,4,0,0,0,0,0,3,229,321,36035,7131,5995,1201,1097,974,1085,496,184,1556,55754
103,1442,379,464,497,536,230,48,136,7027,23,0,3,0,0,0,0,0,0,250,281,10473,2054,2196,526,621,642,686,301,79,810,18376
104,1128,369,481,567,800,249,105,194,6748,15,5,8,0,0,0,5,0,0,223,248,10636,2097,1879,516,621,694,946,328,134,888,18733
105,1084,356,401,430,409,162,92,86,4685,11,0,0,0,0,0,0,0,4,119,126,3618,1172,1421,432,464,501,509,219,125,389,8843
106,1670,356,406,483,609,207,97,155,8541,18,0,0,0,0,0,3,0,3,360,381,16482,3541,3119,604,551,715,848,369,168,1074,27470
107,3685,1094,963,1214,1460,639,101,658,28964,72,5,9,0,0,8,0,0,0,400,495,40520,5324,5707,1425,1319,1571,1861,886,172,1820,60607
108,924,249,287,314,375,141,39,182,5561,38,0,0,0,0,3,0,3,0,152,204,17253,2008,1774,402,445,464,552,243,95,1164,24403
109,1274,333,376,400,419,137,52,151,5238,12,3,0,0,0,0,0,0,0,12,32,6094,1436,1671,402,431,482,519,195,81,412,11723
110,1322,445,607,933,1306,372,136,172,7502,16,0,4,0,0,0,4,0,0,68,92,6836,1718,1934,562,776,1043,1474,462,173,567,15545
111,3880,1190,1335,1377,1495,551,157,481,21187,39,3,0,0,3,0,0,0,0,266,318,26698,6244,6149,1599,1735,1792,2002,818,290,1436,48764
112,1773,498,456,599,720,299,76,240,9375,38,0,8,0,0,0,5,0,0,160,216,22235,4206,3762,891,776,962,1151,609,165,1361,36118
