SA4_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Oth_lt_health_cond_0_14,M_Oth_lt_health_cond_15_24,M_Oth_lt_health_cond_25_34,M_Oth_lt_health_cond_35_44,M_Oth_lt_health_cond_45_54,M_Oth_lt_health_cond_55_64,M_Oth_lt_health_cond_65_74,M_Oth_lt_health_cond_75_84,M_Oth_lt_health_cond_85_over,M_Oth_lt_health_cond_Tot,M_No_lt_health_cond_0_14,M_No_lt_health_cond_15_24,M_No_lt_health_cond_25_34,M_No_lt_health_cond_35_44,M_No_lt_health_cond_45_54,M_No_lt_health_cond_55_64,M_No_lt_health_cond_65_74,M_No_lt_health_cond_75_84,M_No_lt_health_cond_85_over,M_No_lt_health_cond_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
101,23,79,243,527,1283,2796,3661,2321,744,11677,1857,1143,1122,1158,1177,1219,1155,541,183,9554,17,27,57,117,294,904,1566,1054,340,4372,0,3,5,7,21,42,164,367,275,878,46,95,144,313,793,1621,2198,1293,291,6797,28,47,76,148,477,1386,2500,1878,656,7203,35,23,34,61,136,257,486,399,168,1595,30,24,39,77,232,595,993,729,237,2951,636,1105,1305,1409,1725,1722,1156,486,182,9735,8,10,15,27,99,252,483,419,169,1478,1030,599,713,869,1355,1932,1759,811,360,9435,16511,9140,9437,8683,9019,8253,5417,1958,434,68855,2145,1471,1608,1456,1713,1752,1339,663,244,12389,21874,13276,14021,13708,15943,18047,15878,7901,2317,122965,19,114,362,851,2010,4121,5070,3491,1518,17545,1380,1193,1594,1655,1856,2033,1801,917,313,12741,16,21,93,208,533,1038,1316,812,324,4353,0,0,0,3,12,35,134,364,586,1137,44,87,175,309,623,1198,1562,1032,356,5386,20,48,56,112,308,675,1220,1214,726,4379
102,31,68,269,685,1464,3058,4372,3438,1165,14558,2914,1832,1758,1798,1695,1549,1371,872,239,14036,38,50,70,162,366,1043,1947,1719,545,5955,7,5,4,8,23,82,250,649,566,1578,52,113,176,458,1107,2178,3181,2393,585,10239,51,56,76,182,665,1842,3338,3076,1104,10393,51,24,38,86,158,298,621,652,276,2203,39,36,37,93,288,776,1238,1216,392,4118,1100,2029,2175,2276,2375,2260,1547,793,258,14806,15,14,25,44,159,375,715,731,315,2398,1922,1117,969,1244,1722,2372,2241,1299,535,13404,24198,13698,12489,12776,12525,9776,5954,2603,634,94655,2710,1780,1520,1599,1745,1502,1162,810,447,13270,32236,19921,18518,19818,21296,21071,18697,11785,3905,167246,36,117,418,949,2506,4951,7390,5888,2832,25087,2060,1959,2422,2566,2620,2801,2623,1558,594,19207,26,38,92,305,769,1478,2070,1601,615,7000,5,0,3,4,14,72,231,690,1118,2139,55,145,224,440,974,1764,2524,1824,677,8641,49,50,73,126,331,935,1861,2063,1417,6911
103,23,52,185,388,977,2259,2845,1944,645,9334,2038,1222,1147,1100,1065,1163,1021,527,134,9417,24,26,40,90,254,645,1218,978,269,3539,3,0,4,3,12,41,151,334,245,806,44,88,135,300,730,1451,1975,1266,299,6289,40,44,53,118,414,1120,1951,1589,594,5917,21,22,39,43,108,200,293,265,132,1121,42,25,33,84,193,580,853,687,204,2710,668,1177,1294,1293,1459,1428,927,429,147,8823,7,3,13,36,69,225,406,348,146,1255,1151,629,570,709,1063,1411,1222,683,251,7691,15737,8504,8043,7337,7226,6173,4014,1668,398,59096,2179,1555,1714,1689,1544,1428,1091,632,215,12042,21388,12779,12569,12174,13096,13988,12249,6901,2067,107204,24,89,253,551,1491,3043,4138,3146,1519,14259,1483,1357,1587,1549,1595,1760,1587,913,301,12126,20,18,74,157,439,789,985,684,263,3426,0,0,0,4,12,28,114,377,508,1053,41,98,174,313,687,1136,1470,960,373,5248,28,31,65,78,250,607,1034,1120,747,3950
104,11,32,118,311,717,1739,2445,1627,591,7594,1070,604,559,628,617,708,748,360,103,5397,12,8,24,74,171,506,1106,865,285,3043,3,0,6,7,9,48,129,272,222,685,30,41,61,136,404,861,1372,964,253,4120,18,15,30,78,261,877,1767,1476,569,5094,19,13,15,51,69,142,266,325,162,1059,21,9,18,45,145,495,770,597,205,2298,364,728,789,993,1099,1224,931,408,126,6664,5,3,7,22,59,172,334,315,152,1065,661,423,366,504,753,1147,1181,580,214,5832,9513,5031,4782,4578,4777,4463,3586,1336,291,38353,1298,875,1103,1046,990,938,775,434,196,7652,12727,7472,7462,7764,8689,10241,10550,5635,1780,72314,19,52,177,437,1100,2398,3414,2646,1231,11471,753,679,809,951,997,1253,1170,733,228,7574,8,13,50,120,334,619,918,620,285,2961,0,0,0,4,12,24,120,303,443,911,13,40,86,164,388,683,962,768,263,3377,22,19,28,52,174,440,908,1044,708,3403
105,12,37,90,207,481,1221,1713,1014,353,5134,1198,606,628,582,532,634,570,267,83,5097,4,11,27,58,127,330,614,424,126,1719,0,0,0,4,11,21,71,171,105,383,11,38,85,192,497,929,1164,703,152,3780,23,18,48,81,264,755,1140,840,310,3475,11,15,15,23,65,139,214,156,67,703,18,13,30,39,105,304,519,316,129,1468,312,526,639,635,714,742,486,180,60,4290,0,5,4,24,67,138,219,182,70,713,532,270,309,386,537,788,641,294,125,3893,8038,4168,4902,3714,3520,3212,1966,818,193,30527,1852,1129,1226,1062,1054,1103,827,472,169,8896,11756,6556,7616,6388,6797,7859,6722,3583,1099,58385,15,39,133,305,780,1764,2137,1627,755,7554,850,697,1003,804,846,1052,925,457,148,6785,21,15,38,91,212,436,539,390,129,1868,0,0,6,0,3,23,73,200,255,561,22,44,123,199,435,770,858,603,171,3216,18,34,47,69,181,455,675,621,382,2464
106,28,87,320,687,1420,3049,4105,2656,730,13076,3161,1658,1718,1633,1446,1328,1179,586,145,12856,22,40,76,169,335,928,1701,1230,341,4833,0,6,0,4,19,67,199,442,256,990,56,111,241,454,1134,2122,2908,1692,341,9058,72,57,104,196,659,1704,2763,2175,689,8424,50,28,50,71,155,283,484,441,166,1714,45,37,41,110,272,680,1149,852,218,3408,1152,1929,2121,2153,2153,2015,1388,587,155,13658,8,11,17,44,133,290,532,506,180,1721,1853,893,939,1174,1505,1905,1743,884,313,11207,21274,11843,11580,10554,9711,7747,4881,1936,379,79905,2640,1787,2068,1865,1716,1482,1008,661,244,13476,29379,17620,18151,17402,17713,17884,15745,8481,2246,144624,34,123,491,1100,2372,4613,6080,4050,1752,20611,2328,1910,2559,2427,2383,2290,2196,1025,353,17473,32,26,122,212,620,1090,1454,946,332,4832,0,0,8,15,18,53,171,453,553,1271,64,117,278,475,993,1670,2042,1402,443,7484,58,67,82,156,379,936,1650,1556,885,5776
107,16,83,252,540,1254,2647,3340,2691,1015,11837,2547,1795,1603,1571,1284,1183,913,557,169,11616,28,45,89,157,334,857,1505,1200,431,4646,0,9,0,3,21,73,201,514,417,1234,43,100,172,406,936,1877,2571,1816,514,8440,49,54,71,166,538,1502,2504,2109,893,7895,35,36,48,82,142,306,472,466,244,1833,24,30,46,85,213,592,915,870,334,3113,659,1803,1937,1928,1956,1838,1098,514,248,11974,14,9,21,36,113,273,492,546,259,1763,1519,1006,986,1261,1628,2068,1867,1059,478,11869,22313,14524,14113,12521,11546,9218,5228,2124,492,92068,2236,1679,1416,1356,1422,1234,912,634,388,11275,28892,20337,19773,18751,19048,18852,15194,9046,3189,153082,35,151,378,876,2181,4284,5755,4769,2357,20795,1797,1981,2257,2208,2098,2018,1784,1117,397,15659,25,49,109,287,650,1205,1478,1163,479,5441,0,3,0,4,7,41,175,524,832,1598,45,123,253,374,835,1558,2001,1686,674,7549,42,34,72,101,305,726,1257,1585,1120,5247
108,23,64,169,426,1056,2709,4664,3276,1090,13475,1859,1002,884,938,941,1244,1438,757,226,9292,14,28,39,79,255,847,2077,1617,534,5488,4,4,4,6,13,64,241,586,462,1383,27,72,109,246,645,1476,2828,1883,507,7799,39,49,56,121,420,1440,3042,2663,1000,8814,19,21,27,54,108,236,511,608,265,1852,21,22,35,75,265,775,1425,1068,345,4034,622,1249,1294,1336,1748,1991,1654,756,255,10908,5,7,24,49,98,310,669,646,294,2101,1045,610,538,699,1115,1951,2122,1118,466,9655,13203,7376,5952,6206,7131,7322,6201,2714,620,56727,2058,1334,1266,1237,1289,1408,1335,813,314,11051,18464,11233,9697,10408,12850,16528,18742,10988,3407,112311,22,82,223,588,1600,4180,6339,4903,2346,20285,1392,1134,1319,1461,1744,2213,2316,1454,483,13507,21,24,42,156,438,1058,1609,1244,494,5083,0,3,3,4,16,56,194,633,917,1820,28,79,137,271,623,1318,1892,1460,564,6380,30,32,60,85,252,774,1561,1700,1224,5722
109,11,25,109,212,475,1161,1751,1187,417,5346,1082,650,677,644,637,633,610,329,93,5354,9,19,27,69,122,409,776,621,198,2246,0,0,5,3,11,27,72,182,166,475,20,41,83,148,348,767,1206,757,183,3543,20,12,39,64,243,675,1283,1019,393,3741,17,16,16,33,41,115,182,211,74,705,10,15,25,51,97,269,510,373,134,1471,302,567,713,730,839,799,632,292,90,4953,3,0,6,20,45,120,271,232,94,796,562,315,323,386,555,764,723,394,186,4210,8440,4555,4453,4076,4037,3850,2655,1054,253,33367,1272,742,732,709,811,828,695,365,154,6306,11488,6713,6781,6578,7262,8203,7820,4248,1362,60444,14,43,124,328,835,1763,2434,1894,946,8379,704,773,922,894,919,1060,932,574,211,6995,13,16,35,88,244,468,619,497,179,2160,0,0,0,3,5,26,85,218,282,625,18,42,99,172,347,607,850,624,229,2986,19,13,32,51,144,370,673,751,506,2561
110,22,68,161,305,799,1788,2490,1708,535,7873,1791,1064,963,908,867,1061,830,494,125,8111,18,28,56,90,193,587,1051,791,243,3050,3,0,7,7,9,42,122,260,187,630,45,58,126,272,631,1231,1683,1106,246,5401,44,37,49,131,355,993,1706,1449,536,5298,23,29,31,54,93,192,285,275,114,1099,35,22,28,52,152,493,699,505,163,2143,471,877,1009,1037,1135,1197,766,346,93,6930,11,8,10,27,88,207,326,358,155,1179,886,480,484,573,845,1232,1035,573,197,6301,13049,7207,7082,6007,5886,5218,3459,1452,284,49647,2415,1709,1491,1399,1518,1513,1147,691,292,12170,18328,11085,10900,10006,10975,12236,10822,6158,1791,92297,14,79,201,472,1226,2580,3381,2782,1265,11997,1265,1234,1349,1296,1393,1624,1431,836,272,10698,9,23,77,150,352,697,925,696,240,3162,0,0,5,10,9,34,107,289,432,874,24,70,164,310,562,1039,1255,886,305,4621,29,45,51,84,220,620,936,1019,619,3625
