SA4_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
101,2175,2139,1957,1468,517,73,10103,55,561,930,1088,1149,968,244,37,5040,1101,5560,5255,4960,4561,3788,1420,319,26959,559,2476,3293,4044,4079,3070,1192,290,18993,3268,7352,6761,7372,7587,5046,2038,512,39930,422,452,406,407,487,368,108,27,2684,225,338,400,735,1081,930,450,121,4283,3912,8144,7564,8519,9149,6344,2597,657,46896,43,122,127,173,222,295,164,59,1205,2151,2522,2350,2715,3264,3107,2247,1167,19530,7862,21124,21698,23633,24388,19032,8383,2592,128716
102,2512,2060,1817,1411,500,81,10205,126,665,975,991,1019,943,263,49,5024,1634,7717,8556,6774,4934,4190,1698,413,35913,1163,3867,5221,6180,5180,3824,1781,412,27631,4930,10420,10664,10927,10717,6908,3727,1012,59291,725,618,556,631,661,554,216,38,3997,379,539,809,1250,1525,1561,783,207,7055,6034,11575,12033,12800,12906,9022,4723,1255,70341,107,188,239,307,369,482,331,89,2108,2155,2404,2537,2599,2761,3414,3626,2743,22237,11295,28159,32082,31697,28975,23286,12919,5045,173448
103,1152,1018,898,701,247,39,5149,62,423,563,624,591,498,149,25,2932,877,4531,4279,3625,2703,2247,845,196,19313,477,1875,2324,2900,2805,2062,931,238,13613,3382,7551,6662,6695,6305,3860,1650,399,36499,445,462,416,443,487,314,89,25,2683,213,360,387,602,848,801,371,94,3686,4039,8375,7467,7738,7643,4975,2114,521,42870,58,89,121,144,186,215,150,51,1011,2224,2479,2481,2473,2547,2628,2137,1030,17996,7794,18808,18393,18516,17373,13323,6566,2109,102885
104,696,742,654,628,223,35,3476,21,267,364,473,572,599,137,16,2462,388,2572,2921,2769,2322,2232,741,162,14105,250,1220,1697,2240,2424,2017,860,214,10922,1893,4123,4146,4499,5109,3815,1565,397,25557,329,323,265,245,355,288,74,21,1899,145,233,308,423,654,718,358,85,2911,2364,4676,4719,5173,6114,4819,2007,507,30371,35,84,74,98,131,166,140,29,755,1342,1770,1676,1654,1764,1996,1653,1018,12869,4424,11060,12150,13153,13991,12453,5758,1977,74965
105,599,347,319,179,47,7,2387,23,256,289,288,306,186,39,4,1380,511,2751,2080,1566,1228,874,302,62,9372,213,1066,1198,1320,1394,797,334,96,6417,1504,3842,3158,3171,3227,2043,786,178,17914,231,287,183,206,244,143,42,4,1358,106,177,187,302,397,343,169,35,1712,1836,4311,3532,3684,3870,2534,1000,216,20984,23,73,55,68,94,91,60,30,483,1779,2099,1898,1861,2034,1918,1476,716,13776,4434,11394,9639,9123,9241,6586,3254,1131,54794
106,1283,1098,1052,753,255,37,5423,85,513,622,651,667,613,142,23,3310,974,5026,4969,3896,3065,2754,1058,228,21964,809,3228,3983,4263,3917,2823,1106,209,20328,5069,12480,11187,10589,9520,5900,2612,530,57895,747,781,622,564,555,408,119,17,3813,325,526,577,879,1138,1024,492,126,5081,6141,13784,12388,12036,11214,7333,3218,671,66787,60,118,161,170,229,290,149,62,1242,2218,2801,2551,2467,2470,2607,2314,1184,18609,10318,26380,25952,24576,22612,17171,8238,2424,137668
107,3508,2670,2234,1591,491,68,14343,124,1032,1232,1038,1023,914,234,38,5641,2992,10122,8236,6388,4596,3437,1254,296,37324,1370,3920,4934,5312,4445,2995,1116,318,24413,5072,10039,9338,9328,8880,5489,2698,820,51671,660,548,517,541,612,380,137,38,3441,357,472,641,1105,1449,1277,598,178,6060,6088,11063,10495,10970,10943,7148,3432,1034,61173,90,160,209,227,311,342,210,64,1613,2138,2218,2053,1989,2060,2153,2408,1787,16812,13013,32075,30663,28603,25610,18592,9153,3607,161321
108,950,944,934,933,326,50,4862,30,307,456,619,755,749,221,28,3169,559,3209,3537,3520,3431,3409,1377,349,19388,431,1499,2453,3201,3799,3559,1503,389,16830,2943,6009,6039,7312,8862,7030,3327,861,42391,451,476,390,460,602,546,171,35,3140,223,254,411,660,1106,1284,647,184,4764,3615,6745,6847,8438,10565,8856,4140,1086,50287,62,78,102,130,261,380,240,73,1339,2026,2040,2018,2189,3018,3644,3226,1887,20040,6743,14573,16359,19044,22767,21533,11038,3867,115924
109,590,450,420,244,86,7,2499,34,279,401,412,402,282,73,5,1897,479,2520,2654,1913,1497,1137,435,87,10724,303,1263,1455,1662,1691,1210,525,132,8244,1694,4032,3549,3731,3705,2560,1039,270,20586,229,246,195,228,235,145,43,10,1321,97,137,208,312,394,354,156,51,1711,2019,4415,3954,4268,4334,3062,1235,323,23611,24,52,60,54,70,98,82,28,464,1227,1254,1261,1307,1617,1681,1444,723,10505,4116,10447,10375,10067,10029,7716,3891,1304,57943
110,1083,891,776,580,263,59,4722,45,360,501,518,479,455,128,17,2503,779,3794,3340,2813,2228,1812,720,201,15687,339,1504,1901,2307,2354,1692,751,193,11038,2698,5741,5291,5064,5161,3344,1434,297,29022,481,471,331,366,404,237,95,10,2399,209,246,300,538,687,650,313,72,3014,3385,6462,5924,5968,6244,4230,1838,381,34429,60,100,90,103,137,175,120,32,815,3014,2604,2445,2612,2872,2699,2233,1068,19543,7669,15853,15277,15218,15097,11636,6046,1946,88740
