SA4_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
101,4,0,8,0,7006,7021,133,0,0,7,6111,6261,4044,185,196,7,9594,14021,7840,461,735,30,4646,13708,9086,810,1848,96,4108,15943,10750,857,2940,306,3189,18047,10331,764,2669,669,1442,15878,5319,252,951,972,409,7901,1289,41,186,728,83,2317,61,0,9,6,107,193,48852,3371,9546,2820,36686,101284,0,0,0,4,6338,6353,240,17,8,3,5489,5749,5260,345,326,24,8169,14123,8283,691,1052,84,4202,14309,9599,923,2439,271,3194,16431,10751,839,3341,886,2301,18120,9260,534,2665,2067,942,15465,3908,160,961,2944,294,8268,603,21,183,2534,99,3447,58,5,8,11,96,180,47956,3541,10978,8844,31132,102450,11,5,8,3,13345,13374,372,22,3,12,11601,12007,9302,524,519,37,17762,28143,16117,1157,1785,116,8850,28016,18685,1734,4288,367,7300,32373,21500,1697,6286,1192,5491,36169,19583,1297,5337,2740,2385,31345,9229,410,1913,3921,705,16169,1889,58,363,3262,180,5760,122,8,25,23,200,374,96805,6913,20530,11666,67815,203732
102,11,4,0,7,10528,10543,159,11,4,0,9197,9373,4946,315,250,16,13001,18518,11230,893,1188,42,6461,19818,12054,1290,2650,125,5177,21296,12341,1178,3570,361,3619,21071,12118,903,3192,899,1593,18697,7747,396,1537,1539,573,11785,2079,61,247,1344,175,3905,59,4,17,8,62,150,62731,5056,12650,4338,50386,135157,10,6,0,3,9768,9785,309,32,7,5,8761,9113,6781,600,452,30,11711,19571,12364,1251,1850,107,5917,21498,12417,1597,3884,414,4501,22803,12844,1435,5217,1272,2755,23525,11568,948,4805,2959,1350,21622,5897,278,2225,4852,522,13774,1105,35,577,4691,187,6593,65,11,20,24,45,160,63353,6189,19037,14354,45513,148441,12,7,0,6,20296,20326,471,42,10,5,17958,18488,11726,913,701,45,24712,38087,23589,2146,3037,150,12381,41310,24469,2885,6540,534,9674,44102,25189,2613,8790,1635,6378,44601,23683,1853,7989,3855,2940,40322,13647,670,3763,6388,1094,25556,3180,97,820,6035,368,10498,128,14,38,28,107,313,126085,11244,31681,18694,95901,283603
103,10,7,3,0,6785,6806,178,13,3,0,5772,5969,3931,260,200,11,8172,12569,6598,553,723,25,4267,12174,7398,721,1556,109,3311,13096,8099,765,2259,267,2597,13988,7843,553,1923,680,1243,12249,4444,232,859,933,429,6901,1073,32,128,739,97,2067,49,5,7,3,41,108,39620,3137,7661,2780,32725,85916,5,0,0,7,6188,6204,280,21,6,0,5187,5500,4779,388,274,26,7201,12671,6962,710,936,71,3556,12233,7757,786,1986,235,2605,13379,8204,781,2544,773,1660,13957,7169,483,2009,1790,688,12147,3219,166,884,2842,325,7429,594,25,169,2469,136,3396,28,4,9,13,31,85,39012,3368,8820,8220,27576,86997,19,7,5,6,12977,13008,460,34,15,0,10958,11469,8714,645,476,36,15378,25240,13561,1256,1661,97,7822,24406,15160,1505,3544,346,5914,26480,16301,1546,4799,1042,4255,27939,15010,1039,3933,2476,1928,24391,7669,395,1743,3770,756,14332,1662,61,293,3212,235,5464,76,10,19,14,73,188,78632,6506,16482,11002,60295,172914
104,5,4,0,0,4117,4132,87,8,3,6,3240,3341,2017,141,115,12,5180,7462,3853,327,421,22,3146,7764,4589,495,1146,64,2393,8689,5582,560,1894,171,2034,10241,6619,538,1944,471,975,10550,3848,161,748,588,295,5635,986,32,130,573,65,1780,80,5,7,5,114,207,27671,2259,6400,1900,21561,59797,0,0,3,0,3882,3886,153,15,5,3,2971,3155,2597,260,174,22,4713,7767,4285,501,690,61,2766,8301,4915,625,1610,235,2186,9571,5948,695,2365,611,1534,11149,6149,422,2141,1339,666,10711,2926,100,843,2130,173,6173,517,14,168,1954,67,2726,56,3,10,13,74,155,27542,2637,8012,6364,19030,63589,11,6,3,0,8004,8018,244,19,7,3,6218,6495,4613,399,287,27,9892,15225,8133,827,1114,83,5911,16070,9502,1118,2757,304,4581,18264,11532,1250,4255,783,3566,21390,12762,959,4084,1812,1643,21254,6778,260,1592,2719,469,11809,1499,49,298,2529,124,4504,136,10,20,15,184,360,55215,4898,14419,8266,40589,123384
105,8,0,0,0,3428,3443,65,9,0,6,3041,3116,2309,122,97,12,5077,7616,3377,278,314,20,2395,6388,3558,349,819,59,2011,6797,4366,463,1194,172,1669,7859,3979,422,1118,415,798,6722,2247,138,457,515,226,3583,563,17,71,395,52,1099,27,8,3,0,44,78,20498,1803,4065,1591,18748,46716,3,0,0,0,3144,3153,134,8,3,5,2931,3078,2811,227,163,19,4767,7990,3506,359,455,31,2323,6684,3587,448,973,153,1805,6960,4388,469,1373,463,1215,7904,3619,276,1034,1075,436,6449,1707,82,411,1641,151,3996,281,12,88,1348,38,1763,16,0,5,5,33,63,20053,1887,4515,4749,16838,48041,13,0,0,0,6577,6597,199,16,3,6,5966,6192,5123,354,266,26,9844,15612,6884,644,771,56,4717,13073,7142,795,1791,217,3817,13756,8752,928,2568,632,2885,15771,7597,693,2154,1491,1233,13174,3953,220,869,2157,379,7585,835,30,156,1746,88,2859,48,5,10,10,76,145,40553,3696,8582,6345,35585,94757
106,7,7,0,0,9251,9270,203,9,8,9,8120,8348,5439,367,353,17,11982,18151,9506,893,1128,42,5837,17402,9940,1082,2256,125,4306,17713,10952,920,2900,349,2760,17884,10716,696,2429,771,1132,15745,5903,225,974,1033,338,8481,1262,27,136,738,84,2246,51,8,16,0,41,112,53985,4240,10201,3086,43839,115357,9,4,0,0,8461,8475,327,41,8,6,7489,7867,6946,595,476,43,10457,18509,10143,1157,1587,126,4850,17862,10531,1223,2973,354,3393,18476,11231,1000,3637,1025,1810,18705,9757,547,2895,2308,758,16253,4382,157,1056,3224,269,9084,660,23,220,2652,100,3652,38,0,12,16,53,121,54014,4740,12854,9758,37629,118998,15,3,0,0,17717,17743,529,48,15,10,15609,16216,12382,958,829,64,22433,36659,19654,2053,2714,160,10684,35265,20470,2310,5228,487,7698,36186,22185,1921,6533,1378,4570,36582,20469,1246,5322,3074,1886,31997,10289,380,2030,4261,607,17564,1925,58,349,3387,184,5904,85,7,28,17,91,228,108003,8984,23057,12841,81470,234355
107,6,4,0,4,9642,9652,153,7,0,6,10513,10685,5371,232,236,9,13923,19773,11165,705,1068,32,5782,18751,11442,968,2219,140,4276,19048,11784,828,2863,315,3061,18852,10568,565,2131,745,1185,15194,6313,232,899,1179,424,9046,1770,42,160,1121,94,3189,56,9,8,5,48,121,58629,3590,9590,3558,48947,124317,6,3,0,3,9322,9336,298,13,8,4,10024,10350,7281,454,425,24,11881,20076,12001,976,1555,116,5126,19769,11916,1165,3193,301,3538,20108,11928,1017,3805,1022,2246,20017,9869,545,3070,2328,852,16665,4843,178,1303,3969,274,10565,913,28,274,3764,96,5069,58,0,18,14,58,147,59115,4384,13653,11538,43411,132105,18,6,0,3,18965,18992,451,22,15,8,20536,21034,12657,690,661,37,25808,39846,23165,1689,2622,146,10904,38521,23360,2135,5410,433,7815,39151,23711,1845,6668,1340,5304,38865,20440,1104,5197,3070,2038,31859,11153,409,2206,5146,695,19610,2680,71,439,4880,190,8259,112,8,22,20,103,266,117748,7978,23243,15095,92359,256417
108,9,0,0,3,6319,6333,109,14,3,0,4767,4896,2474,176,137,3,6915,9697,5146,515,628,17,4101,10408,6667,781,1665,90,3642,12850,9147,921,3060,326,3072,16528,12008,921,3354,896,1574,18742,7385,350,1471,1305,478,10988,1870,53,248,1117,116,3407,51,5,19,0,47,131,44873,3728,10586,3767,31028,93978,3,0,0,3,6011,6026,182,20,0,3,4449,4659,3312,331,298,20,6409,10365,5837,761,977,77,3759,11408,7346,988,2401,300,3137,14172,10326,1033,3876,1040,2336,18615,11252,756,3576,2420,1063,19066,5634,203,1507,4037,330,11712,985,36,337,3692,117,5162,35,6,6,13,39,95,44905,4129,12979,11612,27651,101280,17,0,0,5,12335,12360,288,36,6,3,9216,9552,5784,506,434,25,13320,20062,10986,1269,1610,98,7860,21815,14016,1771,4063,395,6780,27026,19474,1954,6935,1366,5408,35140,23256,1676,6923,3314,2636,37808,13019,548,2977,5343,810,22698,2855,89,580,4809,230,8562,87,11,23,20,84,230,89779,7861,23560,15380,58683,195261
109,5,0,0,0,3563,3564,56,8,3,0,3085,3149,1979,97,88,4,4610,6781,3728,280,362,14,2187,6578,4132,444,876,51,1762,7262,4951,455,1249,158,1397,8203,5047,395,1291,401,691,7820,2832,141,492,561,225,4248,765,25,76,437,61,1362,36,6,5,4,51,101,23516,1848,4445,1627,17626,49064,0,3,3,5,3467,3481,123,12,8,0,2947,3092,2597,190,168,16,4037,7010,4079,370,576,62,2000,7077,4350,491,1134,146,1450,7569,5182,463,1645,441,915,8641,4595,324,1308,1089,366,7679,2219,92,530,1810,144,4791,364,15,94,1491,67,2025,22,5,3,3,32,68,23533,1955,5459,5053,15428,51428,4,3,4,4,7030,7047,181,17,8,4,6025,6236,4575,294,258,18,8643,13790,7799,650,934,75,4194,13655,8480,931,2011,187,3213,14826,10130,916,2896,594,2311,16848,9635,712,2600,1490,1055,15497,5050,230,1018,2375,366,9038,1126,37,167,1924,128,3386,59,7,10,9,90,169,47049,3798,9908,6685,33054,100496
110,5,3,0,3,5794,5810,144,13,3,3,5122,5283,3230,199,139,9,7326,10900,5485,465,568,23,3465,10006,6165,603,1253,61,2895,10975,7088,664,1919,242,2322,12236,6851,578,1764,567,1064,10822,4119,205,629,839,368,6158,1009,34,102,557,81,1791,104,6,6,3,118,235,34194,2763,6383,2315,28553,74203,11,4,0,6,5800,5822,257,24,5,8,4860,5149,4040,345,250,23,6738,11401,5744,569,741,97,3394,10539,6485,684,1558,212,2465,11402,7257,748,2287,687,1588,12570,6224,424,1774,1619,659,10695,3183,115,724,2701,235,6966,469,12,137,2164,113,2896,41,0,6,10,63,118,33716,2932,7481,7521,25908,77560,12,11,0,12,11596,11629,403,34,7,12,9981,10436,7275,543,393,33,14063,22299,11229,1039,1311,116,6857,20544,12645,1290,2809,268,5361,22372,14350,1413,4206,929,3910,24805,13076,992,3535,2187,1720,21515,7296,319,1355,3547,603,13126,1476,46,238,2726,198,4685,146,6,16,10,179,355,67912,5693,13862,9835,54459,151764
