SA4_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
316,41773,6132,5172,1388,275,54742,45040,3315,2832,86,90,51362,15291,5090,6423,53,95,26949,889,693,1011,0,10,2599,126,135,201,0,0,456,5337,1377,1784,65,91,8654,563,319,402,371,101,1752,109,49,55,8,3,237,22315,7669,9870,491,300,40642,1620,2100,653,56,26,4457,4499,1319,1672,475,94,8057,115251,20532,20205,2500,783,159265
317,16902,1588,318,127,24,18954,18885,815,207,27,26,19959,8468,4109,1451,15,21,14064,639,545,168,0,0,1354,77,158,48,0,4,285,2751,537,218,14,10,3535,475,149,29,78,11,748,67,33,7,3,0,113,12479,5542,1926,114,42,20098,507,471,48,13,17,1056,1890,634,202,170,26,2918,50660,9051,2705,446,128,62994
318,21689,1159,729,1348,279,25202,27501,810,564,93,38,29006,11185,4216,2577,34,38,18040,2021,875,430,9,13,3342,205,253,111,8,5,576,4608,821,432,44,36,5939,1691,213,252,261,162,2584,107,57,29,4,0,188,19818,6431,3830,345,249,30676,1210,302,97,47,43,1693,4358,1103,632,361,97,6546,74572,9806,5849,2188,711,93129
319,47794,1566,995,2680,490,53526,32831,534,280,167,83,33897,12543,2652,1666,60,59,16974,1327,1013,388,4,13,2744,218,294,228,5,4,751,6907,527,499,99,79,8112,1156,248,211,572,203,2385,163,56,50,16,0,283,22314,4786,3044,752,352,31248,2025,561,168,101,81,2937,6589,837,536,697,174,8835,111556,8284,5032,4397,1178,130448
397,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,8,5
401,34022,5774,2751,127,52,42729,32623,4935,2584,25,54,40222,7877,5725,8007,44,103,21752,646,1152,920,0,8,2732,203,626,645,3,8,1489,3918,2140,2331,44,55,8487,421,189,355,62,25,1048,58,63,83,4,6,204,13118,9900,12343,153,210,35723,1287,1333,1107,18,31,3767,2124,813,1147,127,53,4259,83175,22758,19926,442,400,126696
402,41536,3216,547,230,62,45599,62671,4638,768,25,103,68212,17211,5092,1992,6,59,24365,4170,3611,691,0,9,8478,1315,1014,262,0,9,2601,8262,1603,586,12,46,10510,1670,336,179,108,36,2331,225,116,51,4,4,392,32852,11766,3760,133,160,48677,1427,1643,229,14,25,3333,5008,1697,479,112,57,7359,143499,22963,5782,518,410,173169
403,41176,5063,1594,287,50,48166,52009,5053,1435,32,76,58602,11348,4407,2840,46,37,18679,2374,2067,728,0,11,5187,837,852,344,6,11,2046,6207,1843,1043,29,46,9165,377,194,114,153,33,868,107,87,30,7,0,239,21259,9448,5104,238,137,36184,1287,1992,637,24,16,3955,3102,1212,463,149,28,4954,118828,22772,9227,728,304,151859
404,24732,4191,1315,103,49,30397,24934,5712,1656,37,75,32417,6968,4731,4187,41,62,15985,2021,3221,981,0,21,6242,568,820,365,0,18,1771,4264,2048,1547,34,30,7918,503,263,325,33,15,1140,97,89,61,0,5,253,14418,11174,7462,112,145,33311,843,874,414,12,11,2152,1775,1210,676,130,32,3825,66707,23153,11524,391,312,102090
405,19220,484,27,425,79,20232,14737,248,12,48,31,15073,3290,562,69,16,9,3947,611,542,88,0,4,1242,208,154,40,0,3,404,2966,201,22,45,16,3257,538,38,14,156,38,778,56,20,6,0,0,88,7666,1522,234,222,68,9720,1236,229,16,33,17,1523,2423,262,42,311,26,3064,45284,2739,327,1037,219,49611
