SA4_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
101,693,793,1152,1026,1481,2587,4589,3296,1438,17064,829,1244,1740,1436,1813,2612,3355,1821,594,15449,584,1639,2295,1832,1925,2599,2568,1262,404,15107,383,1863,3271,2445,2683,3003,2085,918,218,16876,174,1470,3733,2990,3288,3710,2228,677,145,18409,55,909,2893,2517,2675,2591,1276,355,78,13352,22,441,2712,2533,2618,2357,1050,297,94,12127,10,184,1795,2092,2297,1849,642,143,38,9047,5,146,2379,4112,4547,3024,806,201,54,15277,0,16,335,821,1005,679,204,59,15,3124,15,25,378,1219,1917,1329,494,152,35,5564,1141,990,2409,2185,2479,2692,2390,1713,1057,17060,11,38,141,40,33,53,43,9,5,374,13384,12049,28285,28059,32411,36215,31393,16181,5761,203732
102,1092,1478,1706,1679,2217,3397,6618,5521,2486,26205,1220,2289,2752,2483,2838,3537,5205,3527,1379,25237,738,2765,3371,3004,3171,3403,3378,1932,583,22338,364,2731,4568,3746,3922,4129,2648,1174,384,23666,173,1939,5395,4519,4987,4724,2360,815,244,25157,58,1016,4202,4008,3879,3289,1443,383,116,18394,13,416,3240,3579,3585,2625,978,338,126,14908,5,178,2228,3082,2980,2153,633,159,35,11453,15,120,2678,5270,5307,3355,811,197,44,17800,0,12,388,1120,1166,701,214,64,24,3701,6,36,384,1625,2058,1392,461,211,80,6244,1169,1043,2329,2292,2287,2143,2465,2793,2531,19058,12,12,32,41,53,66,56,22,14,313,20344,18498,38123,41348,44154,44662,40379,25582,10513,283603
103,667,744,1077,1056,1394,2152,4036,3266,1701,16093,785,1077,1670,1552,1616,2102,2556,1554,620,13538,540,1428,2090,1744,1783,1970,1923,1038,288,12799,362,1745,2820,2226,2464,2469,1550,633,182,14445,165,1331,3261,2661,2818,2858,1458,452,96,15106,59,784,2570,2133,2104,1944,864,218,37,10710,33,444,2036,1888,2026,1667,637,266,58,9060,10,219,1496,1570,1742,1302,409,81,36,6878,8,215,2202,3123,3194,2135,501,102,27,11510,0,26,380,594,633,397,132,47,16,2222,9,32,327,807,1024,741,345,124,33,3451,1188,1115,2409,2351,2216,2184,2060,1692,917,16140,4,20,40,35,32,37,14,18,0,188,13010,11489,25280,24432,26515,27977,24404,14345,5468,172914
104,452,488,881,855,1101,1971,3566,2517,1135,12968,435,827,1324,1185,1307,1972,2664,1586,557,11853,267,954,1549,1395,1446,1698,1823,947,262,10339,139,931,1973,1811,1957,2041,1378,573,149,10949,58,603,1941,1887,2146,2157,1302,400,80,10568,18,290,1243,1365,1448,1302,630,155,56,6511,8,120,963,1102,1261,1074,486,179,52,5241,0,38,602,805,1015,819,251,69,15,3624,3,32,640,1345,1677,1064,336,82,22,5210,0,7,81,206,278,207,76,33,10,897,8,13,111,318,474,364,178,76,31,1576,675,629,1635,1542,1461,1433,1452,1247,939,11016,3,63,123,60,41,33,23,7,0,360,8022,6563,15346,16128,18301,21421,21278,11817,4508,123384
105,272,383,732,566,719,1326,2273,1676,792,8750,389,499,986,753,801,1081,1304,717,298,6826,289,737,1167,853,874,993,899,486,142,6449,183,838,1831,1250,1239,1373,780,312,98,7911,114,721,2111,1466,1441,1569,719,222,48,8407,51,446,1501,1083,1096,1058,442,108,18,5813,23,236,1261,1040,932,893,303,113,40,4844,9,128,858,782,866,664,225,58,13,3603,4,122,1098,1432,1417,1099,265,45,14,5494,0,16,141,243,263,252,63,9,0,994,12,19,185,316,400,336,153,62,16,1492,989,838,2062,1824,1764,1862,1685,1325,700,13052,5,17,64,13,11,17,17,3,0,145,6601,6211,15668,13083,13769,15787,13190,7586,2864,94757
106,936,1062,1728,1635,1956,2905,5333,3894,1701,21153,1194,1769,2579,2217,2374,2883,3747,2110,655,19518,816,2213,3207,2526,2525,2523,2615,1361,321,18103,466,2590,4153,3273,3354,3103,1954,773,167,19834,209,1886,5011,4029,4054,3595,1814,588,100,21284,70,1032,3579,3075,2912,2451,991,256,52,14425,34,505,3015,2812,2694,2130,769,242,71,12271,3,238,2105,2350,2321,1633,440,123,29,9245,8,252,3201,4697,4561,2931,612,140,37,16432,3,26,527,978,957,671,173,48,6,3383,8,47,386,1035,1358,1000,359,130,47,4373,1158,1167,2622,2334,2163,1926,1892,1670,1025,15964,8,12,43,36,29,42,30,11,8,228,17758,16225,36708,35306,36219,36627,32031,17574,5909,234355
107,1068,1710,1725,1603,1964,2869,5098,4522,2549,23104,1227,2463,2755,2218,2289,2914,3799,2287,889,20837,655,2806,3201,2583,2558,2629,2581,1497,416,18931,318,2783,4236,3165,3370,3124,2187,871,246,20294,134,2257,5230,4116,3990,3789,2132,631,118,22384,59,1154,4301,3445,3300,2815,1176,309,54,16613,14,529,3885,3326,3231,2561,848,292,70,14761,10,218,2674,3005,2781,2029,503,130,35,11385,7,191,3669,5811,5516,3454,765,155,27,19594,0,24,539,1205,1257,768,173,43,12,4010,11,27,482,1682,1942,1253,389,172,45,6000,1039,1163,2081,1832,1757,1581,1666,1752,1639,14509,8,27,51,35,37,49,47,12,4,266,19003,21061,39901,38557,39191,38917,31905,19622,8269,256417
108,703,798,1234,1256,1756,3430,6665,4955,2207,22992,747,1127,1738,1683,2116,3333,4908,2925,1049,19625,449,1408,2095,1981,2274,2888,2976,1780,503,16342,195,1394,2587,2469,2922,3290,2168,1050,312,16384,92,889,2595,2609,3114,3225,1953,762,207,15456,23,409,1719,1788,2127,2160,1063,366,90,9752,8,145,1267,1497,1776,1595,704,319,132,7445,7,60,843,1167,1408,1158,408,128,31,5205,6,35,825,1774,2284,1641,492,144,32,7235,0,13,112,304,392,314,130,45,8,1322,15,25,155,493,747,592,340,164,46,2580,1099,831,1925,1825,1881,2349,2628,2332,1668,16539,9,11,44,44,41,36,27,15,6,230,12368,9564,20110,21859,27067,35178,37831,22712,8571,195261
109,342,414,616,643,771,1222,2415,1916,910,9249,445,637,947,865,929,1352,1792,1104,394,8461,283,1000,1217,1046,1107,1264,1210,663,218,8003,179,1018,1928,1455,1490,1662,1030,423,163,9355,75,737,2097,1716,1900,1931,930,291,55,9718,24,367,1472,1365,1332,1229,509,140,29,6461,8,136,1156,1152,1179,1083,384,119,50,5269,4,75,631,841,900,782,235,60,9,3534,3,54,710,1310,1463,1008,253,69,17,4884,0,3,96,219,224,201,75,23,10,848,3,16,137,315,434,354,209,69,19,1560,680,530,1202,1162,1250,1384,1387,1183,628,9405,5,16,81,32,13,17,6,3,0,169,7049,6250,13864,13680,14841,16860,15505,9043,3390,100496
110,546,648,1040,979,1209,2085,3612,2790,1300,14214,725,985,1547,1292,1432,1896,2197,1426,490,11989,454,1242,1946,1594,1620,1759,1563,963,289,11435,298,1473,2887,2136,2252,2388,1295,557,158,13450,142,1123,3133,2577,2565,2521,1311,445,77,13890,35,629,1975,1803,1749,1603,694,201,48,8739,23,277,1562,1510,1484,1264,502,249,58,6928,12,137,1109,1149,1205,993,330,100,26,5065,4,154,1380,2043,2235,1400,418,113,27,7772,3,19,219,351,398,287,121,37,13,1456,17,35,225,484,633,596,248,112,35,2388,1538,1395,2508,2293,2424,2540,2194,1798,1032,17724,9,26,148,92,41,15,17,6,4,355,11634,10462,22449,20635,22415,24830,21534,13129,4686,151764
