SA4_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
101,4129,2632,2812,2695,3057,3273,2540,1357,627,23120,42215,25381,28143,28016,32373,36169,31345,16169,5760,245577
102,5329,3280,2995,3138,3289,3055,2596,1958,1275,26925,62456,38816,38087,41310,44102,44601,40322,25556,10498,345747
103,4360,2676,2832,2819,2783,2565,2068,1302,584,21986,41563,24476,25240,24406,26480,27939,24391,14332,5464,214290
104,2525,1614,1869,1878,1827,1796,1543,945,489,14479,24975,14514,15225,16070,18264,21390,21254,11809,4504,147996
105,3572,2048,2259,2031,1982,2027,1575,1022,493,17001,22941,12793,15612,13073,13756,15771,13174,7585,2859,117554
106,5151,3128,3369,3151,3013,2636,1942,1336,698,24434,57136,33958,36659,35265,36186,36582,31997,17564,5904,291260
107,4263,3197,2773,2646,2739,2475,1887,1389,973,22339,56022,40022,39846,38521,39151,38865,31859,19610,8259,312174
108,3964,2376,2262,2267,2420,2779,2694,1712,816,21289,36273,21915,20062,21815,27026,35140,37808,22698,8562,231310
109,2441,1429,1382,1403,1487,1590,1319,825,338,12223,22330,13280,13790,13655,14826,16848,15497,9038,3386,122654
110,4787,3345,2826,2635,2825,2853,2198,1470,729,23671,35574,22064,22299,20544,22372,24805,21515,13126,4685,186985
111,5232,4076,3608,3311,3294,3035,2409,1801,1227,27993,67484,48268,51571,48264,47914,46698,40579,25134,10845,386758
112,4906,2862,2919,3278,3359,3431,2857,1728,1019,26364,43023,25222,26160,30106,33236,37621,35572,19572,8343,258862
113,3283,2328,2315,2168,2156,1966,1442,982,457,17089,32002,21330,21364,19302,19588,20534,16675,9920,4216,164925
114,2593,1600,1588,1680,1715,1692,1484,1076,594,14008,26547,15631,15889,16650,19194,23314,24551,14908,5238,161921
115,2499,1716,1351,1762,1941,1512,1127,797,640,13330,53863,33832,25865,39130,37666,30967,24163,13122,5025,263633
116,7435,4462,5387,5102,3812,2687,1715,979,559,32145,91072,51061,60088,68212,47892,38072,27167,12578,4412,400546
117,2503,4198,8586,5284,3676,2871,1818,1088,528,30552,32912,41671,96687,59889,38779,29606,20254,10766,3945,334493
118,2514,2145,3891,2970,2405,1829,1468,1121,896,19239,39440,27560,49315,39416,33474,26465,20901,13728,6414,256707
119,9045,6208,7946,6705,5838,4954,3585,2658,2193,49137,108458,76075,95919,84032,74105,68494,50311,30405,14668,602470
120,2631,2380,3744,2820,2336,2081,1579,1151,977,19696,45519,35581,56691,46231,39114,33332,24840,14448,7025,302775
121,3316,2246,2658,3104,2893,2386,1902,1463,1185,21154,75475,45899,52086,66131,59939,47956,37923,24010,10911,420338
122,2602,1709,1668,1972,2319,1907,1271,950,662,15055,48265,29799,28623,35179,39562,31995,23681,16289,7227,260619
123,5561,3061,3069,3235,2717,2125,1359,888,480,22498,66181,37731,41142,43262,36557,32024,24270,11481,3666,296320
124,5652,3589,4075,3760,3394,2598,1927,1336,888,27220,66730,40940,45791,45653,42291,38617,30948,15378,5256,331606
125,8569,5469,8460,7122,4850,3969,2584,1665,1153,43850,94697,61027,92042,79712,55545,48570,34449,18977,7937,492967
126,1608,1193,1799,1581,1267,1170,840,648,764,10867,34202,23057,32283,31902,24803,22567,17311,9691,5040,200853
127,8755,5287,5479,5537,4755,4203,2758,1714,1135,39622,98853,64705,67768,65439,59525,54636,37106,18350,7139,473521
128,2443,1534,1458,1723,1835,1494,1096,805,615,12998,42187,26691,26141,30304,31599,28113,22468,13721,6411,227639
197,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,8,3,0,0,32
201,2915,1839,1651,1657,1994,1709,1503,901,449,14622,31079,19735,20644,20513,22419,22559,20388,11029,4290,172656
202,2757,1699,1842,1759,1900,1876,1421,1015,667,14930,30053,18409,19535,19898,21257,22182,19963,11009,4493,166797
203,4612,3150,3319,3206,3066,2637,2191,1394,717,24290,59204,38018,43624,42082,40675,39001,35002,19405,7891,324890
204,3204,2216,1941,2023,2274,2336,1872,1163,530,17560,32305,20469,20385,21079,23974,26868,24271,13189,4946,187480
205,5428,3072,3401,3518,3385,3538,3277,2057,1186,28864,51170,30002,33009,32698,36064,43262,41802,22407,7944,298359
206,4787,6371,12462,7894,5928,4683,3098,1901,1104,48224,66593,80993,164315,100625,71914,56660,40162,22606,9878,613743
207,2752,2737,2692,2296,2587,2139,1648,1290,888,19028,58521,50350,48524,47677,50145,44034,34575,24179,12166,370169
208,3980,2751,3027,3088,3383,2671,2129,1575,1041,23652,72643,49074,51998,57785,61474,49984,38946,23801,12285,417990
209,7067,4600,5212,5053,4761,3791,2704,1848,1220,36262,103323,63615,79709,82050,70526,59009,44553,25072,10535,538391
210,6967,4224,5194,4759,4040,3050,1931,1255,620,32047,87941,51903,66371,63461,52121,43987,30867,18253,7686,422596
211,5561,3831,3680,3839,4033,3601,2466,1725,1107,29853,91988,60655,63321,71074,70584,64078,50560,29460,11791,513509
212,12484,8122,9985,8473,7216,5674,3883,2567,1435,59843,171196,112007,135223,128114,105066,87198,64252,38350,16023,857421
213,15099,8747,12690,11294,8131,5821,3753,2094,1125,68754,184124,100359,142585,144776,103384,80054,57019,27430,10241,849967
214,4495,2735,2689,2915,3367,2776,2326,1687,983,23960,53515,33088,33842,37559,41622,39514,35595,22451,9012,306204
215,3014,1812,2038,2000,1981,2110,1744,1152,727,16574,27036,16316,19097,17167,18853,22063,18837,11117,4895,155374
216,2673,1611,1689,1625,1722,1697,1354,955,472,13789,24886,15104,16028,15103,17170,18443,16175,9864,3941,136709
217,2074,1357,1185,1282,1462,1429,1290,785,445,11308,21766,13366,14100,13924,16295,18559,16395,8983,3786,127176
297,0,4,38,98,129,111,13,0,0,389,0,9,52,140,182,158,16,0,0,565
301,2913,1801,1532,1691,1973,1637,1202,745,475,13973,44457,27293,25056,31197,33518,30751,25529,14141,5340,237288
302,2538,1680,2132,1953,1812,1363,1052,780,773,14088,40161,26204,34472,33975,29268,23842,18351,11551,5701,223533
303,3794,3129,3580,3133,2625,2073,1478,992,728,21525,68093,49537,62166,58249,45917,36546,27001,15284,6585,369375
304,1644,1389,1007,1162,1167,882,616,398,296,8569,36164,28088,20932,26670,26268,19316,15978,9406,3915,186738
305,2430,3648,5707,3778,3259,2404,1497,925,502,24157,38872,47026,66020,46111,38757,28389,18453,9293,3676,296605
306,5757,3859,4834,4021,4280,4211,3751,1819,647,33183,47809,28419,32606,32751,35764,36887,31910,15352,4684,266185
307,2959,1810,2018,1875,2129,2015,1542,958,445,15739,24970,13980,14769,14561,16936,18369,16146,8880,2956,131561
308,5038,3182,3845,4016,3942,3676,2467,1175,471,27808,47577,27180,29915,30313,30364,31269,23785,11535,3702,235640
309,9949,7170,8445,7578,7403,6260,5073,3305,1679,56859,113147,77391,87636,86796,86000,75794,65512,38132,13386,643791
310,7534,4884,5910,5194,3965,2868,1798,1143,557,33841,80770,47847,53705,50982,45403,39047,27926,14598,4762,365039
311,8594,4917,4986,4640,3917,2810,1943,1176,604,33585,80074,47362,50902,48394,44078,37501,29567,14743,4451,357075
312,4064,3405,5410,5065,5123,4544,2401,1083,318,31400,35826,21523,27371,26810,26916,26782,19085,8736,2647,195698
313,4625,3080,3190,3021,2810,2185,1868,1197,619,22598,47972,30081,29881,30912,33565,32954,32413,18548,6058,262387
