SA4_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Tot_M,Tot_F,Tot_P
101,3303,1727,1677,3401,1814,1810,3624,1824,1868,3697,1825,1922,3738,8813,8948,17763,1932,1906,3839,1895,1805,3698,1857,1891,3752,1810,1810,3618,1737,1761,3501,9231,9173,18407,1719,1678,3396,1742,1708,3455,1632,1612,3242,1621,1687,3311,1555,1570,3123,8262,8255,16525,1529,1513,3042,1612,1421,3029,1526,1450,2977,1440,1360,2797,1509,1468,2975,7612,7212,14823,1128,1057,2184,1089,1107,2190,1025,1026,2047,864,904,1773,797,870,1666,4904,4965,9867,2996,3305,6301,1553,1952,3508,640,1108,1748,118,350,463,8,37,40,206,192,397,123172,122801,245973
102,4205,2063,2210,4273,2241,2351,4592,2110,2463,4569,2231,2482,4712,10680,11673,22349,2185,2469,4657,2081,2400,4480,2080,2305,4384,2058,2360,4419,1988,2319,4309,10393,11856,22248,2004,2238,4237,1867,2229,4099,1889,2147,4039,1934,2228,4159,1827,2181,4007,9517,11017,20543,1820,2027,3853,1754,2089,3840,1811,2053,3858,1854,2177,4026,1945,2249,4195,9180,10602,19777,1627,1809,3428,1522,1702,3224,1461,1628,3088,1246,1497,2747,1197,1441,2643,7053,8079,15129,4736,5690,10426,2467,3737,6208,1176,2139,3311,243,627,865,20,99,117,177,174,354,167425,178681,346101
103,2601,1274,1356,2635,1468,1404,2872,1467,1486,2950,1465,1458,2923,7010,6973,13979,1480,1441,2925,1431,1400,2832,1390,1384,2772,1362,1364,2733,1301,1402,2701,6977,6988,13963,1295,1283,2579,1302,1244,2539,1239,1214,2453,1217,1234,2454,1261,1199,2458,6307,6177,12485,1277,1208,2484,1180,1193,2372,1180,1142,2321,1151,1171,2325,1155,1256,2411,5934,5971,11904,985,954,1937,1000,910,1911,852,885,1738,745,820,1567,687,776,1463,4268,4344,8609,2631,3089,5716,1402,2031,3430,558,1030,1595,99,299,399,8,38,40,109,93,208,107313,107181,214499
104,1848,840,1006,1854,1010,1059,2071,1047,1120,2167,1056,1163,2221,4834,5328,10160,1082,1213,2292,1064,1133,2198,1068,1199,2269,1089,1181,2271,1103,1095,2192,5405,5821,11225,1121,1157,2282,1102,1132,2234,1049,1160,2212,1129,1140,2270,1093,1066,2156,5495,5656,11152,1036,1108,2142,1032,1035,2069,998,990,1978,945,943,1890,1044,978,2029,5050,5051,10102,831,861,1698,736,813,1548,682,683,1364,618,664,1279,583,620,1204,3444,3645,7088,2196,2524,4721,1167,1608,2770,490,819,1313,117,261,378,8,37,45,221,160,379,72536,75844,148381
105,1421,689,765,1454,773,755,1531,815,853,1666,866,803,1674,3841,3907,7748,877,816,1685,800,837,1635,798,828,1624,760,780,1535,797,742,1541,4019,4002,8026,790,746,1533,721,723,1451,660,624,1280,772,649,1418,663,681,1341,3601,3423,7024,671,645,1317,628,568,1195,566,572,1133,620,592,1207,640,657,1292,3125,3029,6153,500,523,1024,470,452,926,423,457,880,401,426,829,385,421,806,2181,2287,4460,1410,1713,3119,731,1055,1786,315,545,856,55,145,198,0,19,21,89,62,148,58475,59230,117704
106,3385,1745,1733,3477,1767,1910,3675,1885,1924,3814,1852,1998,3855,8906,9296,18203,1886,1955,3843,1803,1888,3693,1803,1927,3729,1777,1789,3562,1706,1851,3552,8975,9403,18381,1770,1728,3502,1616,1794,3409,1573,1689,3267,1657,1718,3375,1604,1628,3230,8224,8563,16783,1520,1580,3098,1474,1546,3014,1460,1544,2999,1506,1470,2973,1562,1564,3128,7519,7701,15219,1275,1330,2602,1152,1261,2411,1085,1116,2199,963,947,1910,878,898,1775,5346,5558,10897,3129,3532,6661,1520,2173,3696,605,1116,1729,112,312,426,12,47,52,122,124,248,144749,146762,291504
107,3718,1822,1919,3744,1976,2043,4024,1974,2085,4061,1999,2135,4130,9613,10062,19675,2002,2093,4096,1843,2091,3940,1846,1927,3772,1783,1969,3752,1762,1871,3630,9240,9953,19193,1629,1894,3526,1604,1818,3422,1612,1768,3378,1525,1715,3235,1538,1670,3203,7906,8859,16766,1467,1616,3086,1437,1626,3073,1425,1502,2929,1460,1467,2924,1491,1587,3079,7286,7804,15091,1176,1292,2467,1241,1329,2564,1087,1212,2298,964,1080,2047,881,1083,1966,5347,5993,11339,3704,4565,8269,2094,3038,5132,896,1539,2436,184,454,634,13,45,49,136,155,296,153221,159247,312468
108,2791,1443,1606,3054,1506,1713,3220,1593,1859,3449,1753,2003,3758,7638,8636,16275,1702,1958,3657,1691,1954,3642,1785,1968,3755,1804,2031,3837,1915,2070,3981,8892,9982,18872,1832,1908,3743,1898,1935,3836,1865,1960,3824,1895,1925,3819,1877,1923,3795,9366,9652,19010,1945,1925,3870,1816,1857,3673,1883,1837,3718,1802,1870,3679,1934,1929,3858,9380,9411,18795,1550,1559,3105,1447,1505,2948,1407,1478,2880,1155,1284,2441,1236,1225,2460,6797,7047,13846,4191,4665,8857,2225,2964,5188,953,1642,2596,209,498,709,18,64,74,150,112,260,112464,119103,231562
109,1489,741,772,1518,807,843,1643,856,871,1726,860,863,1727,3935,4165,8100,866,883,1750,833,943,1782,878,906,1777,875,881,1753,814,872,1684,4266,4481,8742,866,826,1696,783,826,1607,834,805,1641,796,818,1610,744,748,1493,4021,4026,8046,733,721,1459,752,778,1533,770,707,1480,747,676,1424,796,768,1563,3802,3653,7451,608,619,1225,541,561,1095,512,586,1097,460,506,965,458,463,927,2574,2733,5306,1668,2059,3728,874,1172,2049,394,628,1019,82,199,282,3,27,31,110,75,183,60553,62280,122832
110,2278,1100,1172,2275,1221,1251,2475,1285,1304,2588,1338,1259,2595,6057,6162,12213,1307,1371,2678,1242,1282,2527,1243,1258,2501,1178,1268,2446,1219,1220,2440,6187,6409,12594,1131,1142,2273,1187,1150,2335,1129,1132,2256,1137,1068,2205,1042,1065,2113,5622,5561,11184,1118,1099,2210,1028,1018,2048,1021,1048,2068,970,922,1893,1063,1045,2116,5199,5133,10333,843,866,1706,813,830,1645,756,893,1641,638,703,1340,668,727,1390,3714,4019,7727,2445,2946,5397,1253,1709,2962,449,918,1368,77,236,316,11,32,46,241,121,365,92538,94811,187349
