SA4_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
101,25,250,0,276,6092,648,4,7026,221,177,11,412,5300,548,14,6277,3627,345,92,4061,8576,1386,75,14102,6961,274,219,7461,5104,1141,21,13733,4614,465,149,5230,9409,1307,19,15962,952,1324,27,2307,14356,1387,19,18061,191,1450,8,1657,13090,1135,27,15903,23,268,4,297,6966,638,4,7904,6,12,0,16,2042,259,3,2323,16621,4579,510,21713,70927,8449,193,101284,43,469,5,515,5317,517,6,6358,511,355,28,897,4459,394,20,5773,5561,562,292,6415,6725,983,57,14189,8314,424,465,9203,4165,945,23,14332,4310,1116,199,5622,9832,974,17,16449,397,2920,34,3351,13639,1131,28,18156,102,2265,18,2384,12095,989,18,15489,26,378,5,405,7165,701,11,8272,3,38,0,39,2979,419,0,3444,19265,8530,1051,28834,66378,7059,180,102450,63,719,6,793,11417,1170,11,13384,732,533,42,1310,9755,943,38,12049,9185,912,382,10477,15303,2366,141,28285,15277,701,684,16665,9274,2085,40,28059,8924,1578,344,10851,19247,2283,33,32411
102,30,396,5,435,9519,597,7,10555,390,245,0,635,8260,475,16,9390,5167,404,122,5690,11703,1118,12,18534,11344,313,216,11867,6910,1039,28,19843,7131,528,132,7791,12433,1071,26,21319,1244,1338,24,2610,17554,909,25,21099,201,1528,17,1747,16013,937,27,18722,38,292,6,340,10519,933,11,11802,9,14,0,18,3215,672,9,3909,25548,5065,521,31135,96128,7744,150,135157,73,612,5,692,8583,510,7,9790,797,465,23,1283,7348,485,4,9116,8291,611,267,9171,9312,1087,20,19590,14353,404,393,15153,5256,1082,17,21512,7285,1127,179,8589,13258,959,29,22835,584,3425,42,4046,18522,959,41,23572,120,2598,28,2746,17735,1138,31,21652,32,360,3,399,12044,1336,8,13778,10,26,0,32,5135,1431,4,6603,31535,9634,942,42115,97185,8984,160,148441,103,1009,9,1123,18102,1102,12,20344,1183,710,29,1920,15607,957,12,18498,13463,1015,388,14865,21013,2212,32,38123,25695,717,610,27024,12168,2117,41,41348,14421,1654,313,16382,25688,2027,53,44154
103,18,289,5,312,5870,632,0,6811,318,171,16,504,4804,665,7,5978,3942,329,123,4389,6753,1429,23,12597,6163,269,183,6616,4209,1353,22,12195,3581,445,111,4133,7794,1168,13,13116,652,1112,25,1792,11106,1087,18,14004,112,1105,10,1228,10122,897,10,12252,19,239,0,262,6032,602,8,6904,3,18,0,17,1832,212,0,2065,14806,3974,471,19254,58517,8037,108,85916,69,538,0,605,5077,514,0,6201,663,388,38,1090,4012,402,9,5508,5677,505,391,6574,5241,858,15,12686,7367,401,426,8196,3196,846,6,12245,3401,1161,142,4708,7805,869,22,13397,303,2670,24,2999,10138,821,17,13974,75,1864,12,1960,9429,760,4,12151,18,337,0,356,6417,660,7,7439,8,29,0,31,2978,387,0,3396,17583,7891,1038,26512,54297,6105,85,86997,87,821,3,918,10948,1141,4,13010,979,555,55,1593,8814,1063,20,11489,9622,833,512,10969,11993,2285,40,25280,13525,673,610,14806,7404,2195,35,24432,6979,1605,255,8842,15598,2037,32,26515
104,27,172,0,203,3570,355,0,4130,175,120,7,302,2688,356,31,3373,2018,208,67,2295,4223,944,83,7540,3702,165,155,4024,2873,862,34,7797,2546,263,99,2903,5031,748,21,8712,537,747,17,1301,8242,699,8,10253,97,899,10,1006,8929,613,11,10560,32,185,0,215,4972,453,6,5647,3,23,0,25,1530,228,0,1781,9133,2789,354,12275,42053,5264,207,59797,36,314,7,353,3219,316,0,3889,356,213,18,589,2334,235,30,3185,3247,331,194,3773,3351,644,42,7806,4781,269,340,5398,2275,627,21,8322,2521,681,153,3353,5644,581,20,9592,232,1777,24,2033,8521,591,26,11173,61,1408,3,1476,8637,593,14,10722,14,241,0,257,5357,553,3,6174,4,10,0,15,2267,443,0,2728,11262,5247,738,17246,41601,4583,155,63589,57,486,7,549,6790,671,3,8022,532,333,25,887,5019,588,63,6563,5269,537,259,6069,7574,1585,123,15346,8484,436,501,9420,5152,1497,60,16128,5061,946,248,6255,10670,1336,41,18301
105,24,129,0,154,2751,539,0,3442,179,93,4,276,2400,444,9,3123,2137,190,58,2382,4145,1090,38,7654,2888,140,92,3116,2360,917,7,6400,1560,248,47,1859,4080,860,6,6806,315,625,10,954,6006,906,3,7869,62,548,3,613,5367,744,11,6732,11,113,3,126,2989,472,0,3583,0,9,0,9,891,192,0,1097,7169,2093,219,9484,30990,6160,78,46716,49,254,5,308,2412,438,6,3155,409,216,16,638,2070,373,8,3085,3289,302,197,3783,3303,907,26,8018,3545,241,198,3976,1877,826,7,6684,1436,629,72,2140,4035,785,5,6961,122,1430,13,1561,5571,775,8,7916,49,905,0,958,4843,647,10,6458,18,174,0,191,3217,586,3,4001,0,16,0,20,1408,333,0,1763,8908,4170,500,13574,28738,5664,63,48041,73,386,5,458,5169,970,5,6601,584,306,17,913,4465,819,17,6211,5420,489,253,6168,7443,2000,64,15668,6430,379,287,7092,4233,1743,13,13083,2999,879,119,3995,8117,1641,11,13769
106,50,369,4,424,8220,629,3,9275,435,252,8,704,7006,643,3,8355,5932,431,151,6523,10040,1594,24,18174,9447,376,312,10134,5876,1390,22,17430,4946,666,135,5751,10802,1153,14,17727,823,1631,31,2481,14425,972,16,17897,128,1762,5,1895,13040,810,19,15764,20,289,0,312,7545,619,5,8484,4,11,0,12,1962,275,0,2253,21792,5787,658,28236,78924,8083,112,115357,81,650,4,736,7234,502,5,8483,945,535,41,1522,5936,403,7,7870,8852,707,465,10025,7576,908,24,18536,11440,518,531,12484,4527,847,14,17877,4778,1586,196,6558,11158,759,11,18488,379,3946,38,4368,13628,700,24,18727,90,2590,11,2691,12872,687,14,16269,20,372,0,398,8024,663,5,9092,0,28,0,32,3114,514,4,3661,26587,10941,1297,38822,74072,5987,121,118998,131,1018,10,1160,15448,1135,8,17758,1380,788,54,2227,12942,1049,12,16225,14780,1146,617,16549,17611,2501,43,36708,20894,889,838,22622,10405,2237,36,35306,9724,2251,335,12310,21963,1914,29,36219
107,16,310,0,330,8823,504,3,9657,253,217,10,478,9642,556,18,10704,4816,352,92,5270,13505,1008,24,19798,10896,299,202,11400,6490,861,12,18759,6634,435,106,7176,11053,823,17,19069,1043,1510,27,2578,15583,690,15,18873,147,1843,7,1993,12556,641,26,15214,38,325,0,367,8055,629,6,9055,5,12,0,21,2658,503,0,3192,23849,5313,449,29607,88369,6216,121,124317,41,605,7,656,8170,511,5,9342,549,439,31,1023,8829,495,11,10359,7499,628,235,8368,10743,968,21,20097,13186,447,380,14016,4921,836,26,19795,6271,1078,164,7511,11881,714,15,20126,510,3652,37,4197,15158,666,32,20047,98,2690,18,2807,13185,670,27,16688,21,383,5,409,9363,792,5,10568,0,24,0,27,4128,919,7,5076,28190,9958,866,39013,86375,6568,147,132105,59,921,5,987,16996,1014,8,19003,803,657,42,1500,18475,1053,27,21061,12319,980,332,13632,24242,1975,51,39901,24082,747,582,25414,11412,1696,35,38557,12903,1510,264,14688,22937,1532,37,39191
108,23,244,5,269,5449,622,6,6343,262,156,4,424,3993,484,3,4900,2848,262,108,3223,5449,1024,28,9722,5187,228,203,5623,3823,954,25,10430,3514,418,110,4046,7891,916,25,12872,756,1137,21,1909,13554,1068,23,16553,149,1347,12,1513,16074,1155,15,18757,34,297,0,334,9815,836,4,10994,8,14,0,21,2929,454,6,3412,12780,4114,462,17364,68974,7509,131,93978,53,469,8,531,4971,521,3,6028,555,330,37,922,3415,325,5,4663,4639,446,265,5344,4247,773,14,10384,6841,328,407,7578,3082,748,23,11428,3556,993,160,4706,8673,798,19,14188,350,2784,37,3167,14479,966,12,18628,85,2045,15,2147,15833,1081,9,19078,36,353,4,394,10263,1058,8,11719,12,23,0,35,4277,854,0,5161,16120,7774,931,24827,69240,7118,95,101280,71,714,18,798,10415,1140,9,12368,818,484,40,1342,7412,804,11,9564,7491,704,379,8569,9697,1799,44,20110,12028,563,612,13202,6906,1702,44,21859,7076,1414,269,8755,16562,1712,41,27067
109,15,131,0,150,3040,378,3,3570,153,95,3,251,2617,278,9,3161,1989,185,59,2231,3954,596,50,6828,3426,120,128,3677,2324,575,14,6587,2042,234,63,2346,4296,620,5,7269,394,661,9,1073,6503,627,11,8209,55,721,3,781,6445,596,5,7827,10,173,0,180,3687,379,3,4251,0,6,0,11,1151,199,0,1362,8096,2321,272,10688,34022,4252,101,49064,35,292,8,328,2820,329,0,3482,321,229,16,563,2287,237,0,3091,2933,298,166,3392,3056,556,31,7041,4193,235,274,4701,1840,539,18,7089,1947,600,95,2642,4449,477,8,7570,187,1637,13,1839,6228,579,8,8655,43,1105,9,1159,5997,518,0,7676,10,193,0,202,4068,525,0,4791,0,21,0,21,1735,276,0,2030,9672,4611,575,14855,32475,4025,68,51428,51,421,8,478,5859,703,5,7049,477,318,22,819,4903,515,16,6250,4924,482,222,5630,7011,1149,81,13864,7619,361,402,8376,4157,1114,32,13680,3990,840,160,4986,8742,1104,13,14841
110,28,209,0,238,4824,744,4,5813,300,149,3,456,4095,732,14,5294,3033,275,104,3406,6189,1300,109,11003,4841,202,159,5200,3672,1136,65,10068,2792,364,97,3250,6535,1188,25,10999,601,828,15,1443,9580,1210,9,12244,119,921,12,1049,8801,968,3,10824,15,209,0,225,5232,704,6,6161,0,9,0,14,1473,304,4,1789,11728,3167,395,15282,50404,8282,235,74203,70,434,4,511,4489,820,5,5823,655,281,38,972,3542,636,14,5163,4737,474,306,5513,4742,1144,43,11444,5882,303,319,6504,2994,1045,26,10567,2658,918,133,3709,6618,1073,11,11413,250,2087,17,2359,9160,1054,10,12581,71,1457,12,1546,8258,898,10,10707,20,277,0,299,5875,797,3,6969,3,15,0,18,2398,474,0,2896,14344,6250,822,21420,48068,7952,118,77560,99,641,5,745,9316,1563,9,11634,955,426,39,1424,7641,1370,26,10462,7767,747,410,8925,10935,2442,148,22449,10722,509,477,11702,6660,2181,92,20635,5447,1288,232,6962,13149,2263,41,22415
