SA4_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
101,123172,122801,245973,6619,6309,12928,15269,14042,29313,7026,6358,13384,6277,5773,12049,14102,14189,28285,13733,14332,28059,15962,16449,32411,18061,18156,36215,15903,15489,31393,7904,8272,16181,2323,3444,5761,206,192,397,117069,118226,235299,6097,4579,10675,5050,4911,9960,110,80,192,76,84,159,5236,5073,10309,97634,97442,195078,16288,16891,33181,105339,106040,211386,8479,8794,17278,108848,109866,218715,1915,1796,3710,14035,12968,27001,4867,4624,9491,1502,1840,3338,3043,5344,8383,46565,52502,99062,7386,7228,14613,26425,24426,50849,7068,6468,13537,4385,3706,8093,378,347,722
102,167425,178681,346101,10011,9436,19456,22247,20795,43043,10555,9790,20344,9390,9116,18498,18534,19590,38123,19843,21512,41348,21319,22835,44154,21099,23572,44662,18722,21652,40379,11802,13778,25582,3909,6603,10513,177,174,354,165120,175422,340550,2301,3256,5555,8110,8334,16445,159,154,313,128,152,280,8395,8644,17043,132926,140319,273246,26384,29370,55754,147632,156009,303640,11402,13318,24717,150846,160387,311231,3368,3103,6477,20920,19548,40470,7584,7484,15064,2853,3334,6190,3918,7563,11491,60565,69158,129717,10369,9762,20128,39793,42452,82249,10538,11637,22175,5142,5369,10503,545,489,1036
103,107313,107181,214499,6532,6073,12598,14867,14114,28982,6811,6201,13010,5978,5508,11489,12597,12686,25280,12195,12245,24432,13116,13397,26515,14004,13974,27977,12252,12151,24404,6904,7439,14345,2065,3396,5468,109,93,208,102584,104184,206768,4731,2999,7726,8462,8292,16757,126,117,243,172,149,315,8762,8556,17319,90069,90128,180197,9072,9309,18376,93611,95099,188711,4837,4994,9828,95040,96491,191530,1838,1825,3660,13647,12900,26548,4524,4512,9039,1334,1777,3112,2211,4274,6490,31233,38952,70180,6240,5999,12240,27401,24421,51819,7435,6852,14282,4625,3655,8278,378,272,648
104,72536,75844,148381,3631,3621,7250,9111,8635,17748,4130,3889,8022,3373,3185,6563,7540,7806,15346,7797,8322,16128,8712,9592,18301,10253,11173,21421,10560,10722,21278,5647,6174,11817,1781,2728,4508,221,160,379,69678,73728,143406,2859,2120,4974,4600,4579,9181,102,91,192,124,108,226,4826,4780,9601,58716,60761,119481,8748,9983,18733,62383,65869,128255,4395,5028,9426,63633,67241,130872,1107,1115,2221,8381,7956,16338,2720,2737,5457,693,955,1646,1615,3210,4816,22633,27047,49679,4678,4627,9302,18002,18513,36516,5238,5253,10493,3085,2619,5703,334,374,709
105,58475,59230,117704,3890,3717,7606,7872,7468,15340,3442,3155,6601,3123,3085,6211,7654,8018,15668,6400,6684,13083,6806,6961,13769,7869,7916,15787,6732,6458,13190,3583,4001,7586,1097,1763,2864,89,62,148,55939,57351,113293,2529,1881,4414,9305,9678,18988,55,65,121,153,162,318,9509,9913,19425,47052,47887,94937,4384,4463,8843,48215,49532,97752,3047,3122,6175,49016,50310,99325,1064,1014,2076,6740,6464,13209,1952,1983,3934,492,716,1204,1016,2294,3309,15202,19269,34469,3363,3438,6801,14130,12970,27099,4209,3837,8048,3104,2384,5489,236,149,387
106,144749,146762,291504,9028,8586,17612,20364,19172,39538,9275,8483,17758,8355,7870,16225,18174,18536,36708,17430,17877,35306,17727,18488,36219,17897,18727,36627,15764,16269,32031,8484,9092,17574,2253,3661,5909,122,124,248,140206,144498,284699,4539,2267,6808,11222,11141,22362,235,198,430,286,277,561,11746,11609,23358,124033,125650,249683,13320,14148,27470,130300,133719,264024,5639,6370,12011,131466,135232,266701,2756,2691,5448,19080,18028,37106,6112,6054,12161,1933,2449,4387,2926,6079,9004,41019,48983,90003,10000,9165,19169,39403,37926,77331,10537,11010,21546,5311,4816,10125,445,341,786
107,153221,159247,312468,9218,8622,17843,19687,18524,38202,9657,9342,19003,10704,10359,21061,19798,20097,39901,18759,19795,38557,19069,20126,39191,18873,20047,38917,15214,16688,31905,9055,10568,19622,3192,5076,8269,136,155,296,150533,155990,306528,2689,3254,5944,5370,5537,10913,109,109,222,79,92,171,5566,5739,11301,117910,120869,238776,28839,31763,60607,126139,129807,255947,20163,22185,42351,137274,142657,279934,3060,2895,5955,18672,17518,36189,7270,7458,14728,4099,4665,8764,4669,7412,12081,59491,66312,125797,9173,7999,17169,34208,33928,68135,8598,9477,18080,5327,6084,11412,833,1086,1917
108,112464,119103,231562,5256,5065,10318,13227,12757,25983,6343,6028,12368,4900,4663,9564,9722,10384,20110,10430,11428,21859,12872,14188,27067,16553,18628,35178,18757,19078,37831,10994,11719,22712,3412,5161,8571,150,112,260,109171,115905,225078,3294,3195,6492,8199,8400,16601,129,126,254,158,161,311,8482,8692,17167,92786,98035,190822,11538,12862,24403,100785,107288,208072,3678,4448,8126,101367,108155,209522,1611,1548,3159,12086,11641,23728,4152,4293,8449,1057,1499,2558,1906,4336,6247,32933,39268,72195,6986,6994,13974,30521,32393,62914,9779,9793,19571,5281,4649,9936,269,239,515
109,60553,62280,122832,3648,3495,7148,7844,7351,15193,3570,3482,7049,3161,3091,6250,6828,7041,13864,6587,7089,13680,7269,7570,14841,8209,8655,16860,7827,7676,15505,4251,4791,9043,1362,2030,3390,110,75,183,58823,60637,119464,1728,1641,3367,2342,2436,4781,47,45,91,67,63,136,2455,2549,4998,49645,51444,101092,5698,6025,11723,52300,54309,106607,3462,3549,7012,53267,55287,108560,1033,1004,2036,7110,6730,13839,2343,2560,4906,674,994,1668,1204,2444,3648,17519,22349,39867,6130,6078,12204,13053,11986,25039,4594,3868,8463,2892,2417,5308,293,299,589
110,92538,94811,187349,5677,5043,10718,12658,12210,24867,5813,5823,11634,5294,5163,10462,11003,11444,22449,10068,10567,20635,10999,11413,22415,12244,12581,24830,10824,10707,21534,6161,6969,13129,1789,2896,4686,241,121,365,88938,91500,180440,3605,3307,6915,10431,10833,21269,146,143,288,247,275,518,10825,11250,22074,75031,77039,152068,7554,7992,15545,78274,80709,158982,4688,4840,9526,79171,81777,160945,1602,1467,3068,11171,10778,21948,3621,3710,7334,1091,1544,2633,1903,3871,5775,26518,32894,59416,5174,5361,10538,22023,21012,43041,6719,6085,12808,4528,3346,7872,392,349,741
