SA4_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
101,289,427,844,774,847,649,229,34,3,4101,299,391,887,810,828,786,293,87,23,4398,6917,9025,21911,22441,25148,21726,6920,1153,132,115366
102,282,570,1230,1238,1229,969,256,26,0,5790,311,551,1210,1283,1313,947,303,102,24,6051,9800,13194,28593,31952,33226,26259,6709,811,69,150616
103,295,410,848,662,679,602,188,23,3,3707,274,331,699,601,714,590,273,111,30,3622,6260,8124,19100,18635,19940,17230,5956,1197,149,96596
104,142,220,488,459,519,381,108,10,0,2329,159,221,460,519,469,427,163,53,12,2476,3970,4365,10589,11655,13216,11872,3546,428,52,59693
105,111,204,388,302,307,307,119,21,3,1768,155,164,423,344,354,343,166,72,10,2040,2942,4001,11185,9381,9586,9461,3342,642,84,50623
106,407,672,1495,1070,1011,759,196,32,4,5633,350,568,1160,1010,1047,771,254,85,19,5262,9118,11960,27888,27322,27393,21178,5425,785,88,131161
107,314,664,1204,1034,1047,813,194,27,3,5302,241,551,1220,1058,991,747,185,47,7,5045,8675,14740,30865,30373,29864,22182,4929,501,48,142171
108,178,281,613,653,726,640,208,15,0,3322,244,272,527,586,734,664,261,100,32,3424,6153,6403,13914,15837,19347,18655,5603,895,95,86902
109,122,207,431,391,373,308,109,17,0,1960,173,203,432,406,429,416,160,61,14,2285,3580,4565,10549,10565,11352,10605,3638,618,66,55539
110,240,307,681,582,566,504,181,31,3,3100,249,283,607,536,580,537,222,123,28,3180,5266,6618,15940,15164,16085,14940,5590,1147,139,80873
111,428,824,1617,1405,1393,965,301,50,0,6976,310,707,1469,1385,1265,869,246,66,19,6343,11717,19407,41387,39261,37752,27966,6468,776,54,184787
112,226,373,876,881,892,702,217,37,0,4200,348,381,1037,1137,1010,808,339,117,22,5205,7182,8007,19084,22472,24453,21961,7046,956,126,111291
113,213,370,668,555,491,429,153,26,3,2901,222,383,721,622,574,501,186,97,20,3326,5641,7455,16104,14929,14913,13515,4480,797,105,77948
114,159,237,544,492,518,446,132,22,3,2549,202,193,451,450,581,497,205,65,12,2663,4293,5118,11944,12675,14411,13280,4449,739,59,66967
115,286,478,791,901,1062,756,292,38,0,4597,208,474,972,1547,1391,858,325,73,9,5850,7195,11771,20970,32470,31018,21039,6544,864,55,131916
116,224,504,1212,1273,1048,753,168,20,0,5200,331,985,2640,2758,1831,1137,260,36,3,9985,7383,16501,41503,50743,33962,21395,4749,302,17,176562
117,92,445,1844,1296,909,573,168,23,0,5347,107,909,3762,2066,1093,658,205,50,5,8863,3304,18219,73054,46423,28315,17159,4975,638,54,192139
118,111,284,1122,825,694,504,171,33,6,3747,126,467,2140,1590,1159,684,293,114,21,6592,3484,10053,39588,31734,26068,17382,6504,1284,139,136223
119,277,746,1912,1873,1841,1461,364,65,0,8546,318,1389,3774,3161,2535,1819,525,62,12,13580,8564,24818,63005,55568,47886,35242,8664,872,47,244684
120,92,316,1077,956,900,742,260,27,0,4377,112,700,2262,1718,1230,790,263,60,11,7140,4029,14470,43268,36685,30224,21102,6396,804,74,157055
121,213,507,1150,1247,1236,900,312,65,0,5622,187,548,1913,2422,1904,1243,434,131,23,8804,7313,16202,43556,54541,48286,32198,11246,2111,177,215638
122,251,421,983,927,1007,764,234,41,0,4630,237,456,1294,1552,1505,984,274,83,16,6398,6934,10693,24113,29709,33122,22612,6916,1106,89,135285
123,271,520,1071,1043,912,681,202,16,4,4716,345,726,1577,1609,1331,909,238,38,4,6786,7398,12360,29656,31924,26921,19257,4689,381,22,132607
124,333,590,1382,1249,1125,827,245,30,0,5790,329,696,1611,1563,1431,1004,302,63,15,7012,8722,14456,34167,35084,32068,24148,6370,652,48,155712
125,139,468,1401,1324,1195,908,240,20,0,5690,272,1365,4097,3145,1947,1387,326,52,17,12606,6007,20378,58469,52157,34061,23908,5975,550,45,201545
126,81,246,599,650,609,504,130,24,4,2844,74,324,1287,1238,778,584,181,37,7,4503,3213,8611,25220,25274,19190,13997,4127,537,43,100212
127,210,580,1488,1387,1319,882,222,18,0,6111,402,1043,2599,2493,2238,1613,334,41,11,10790,7986,18424,42281,39407,34389,24564,5330,390,29,172795
128,257,390,948,881,931,713,191,43,0,4363,172,347,915,1015,964,678,243,56,19,4406,6375,10242,22225,25798,26488,19153,5467,695,62,116501
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,12,4,0,0,35
201,123,316,643,534,549,431,141,15,0,2753,164,257,563,479,611,525,176,74,14,2864,4859,6957,15712,15832,16767,13903,3913,535,56,78536
202,130,243,607,559,534,490,164,13,0,2747,170,236,511,538,534,514,178,74,16,2759,4671,6487,14924,15580,16293,13801,4111,567,62,76490
203,235,586,1283,1163,1029,828,238,39,0,5397,243,534,1305,1215,1182,849,300,78,13,5730,8987,14617,34852,34115,32222,24718,6963,826,74,157372
204,162,285,645,572,603,533,199,28,0,3032,220,300,570,611,732,615,283,97,23,3442,5728,7012,15924,16512,18536,17142,6057,1081,118,88111
205,261,533,1162,942,1000,905,295,31,0,5135,334,397,960,905,1048,941,395,135,31,5153,7791,9948,24409,24289,26502,25022,8210,1346,152,127669
206,175,1020,3626,2204,1600,1184,361,69,10,10245,263,1502,5461,3206,2054,1289,438,107,17,14343,8854,37683,134421,81971,55549,36043,11195,1675,119,367512
207,177,547,1128,1003,1191,974,314,62,0,5400,206,732,1860,1727,1594,1084,361,88,25,7685,8221,18996,38855,38369,39611,29045,9320,1563,133,184112
