SA4_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
101,24388,19032,8383,2592,128716
102,28975,23286,12919,5045,173448
103,17373,13323,6566,2109,102885
104,13991,12453,5758,1977,74965
105,9241,6586,3254,1131,54794
106,22612,17171,8238,2424,137668
107,25610,18592,9153,3607,161321
108,22767,21533,11038,3867,115924
109,10029,7716,3891,1304,57943
110,15097,11636,6046,1946,88740
111,31202,24321,12812,5064,202428
112,25442,21377,9713,3836,136505
113,12051,8552,4092,1601,75564
114,16063,15172,8132,2596,86177
115,23123,15937,7470,2722,145381
116,22527,13628,5279,1748,193367
117,21471,12817,5419,1742,231146
118,20814,14668,8237,3589,164546
119,38826,23207,11765,5948,296597
120,24440,15790,7153,3008,185586
121,39755,28458,16626,6791,264691
122,24872,16399,9865,3911,151390
123,18603,12436,5102,1614,135815
124,24384,17549,7727,2579,162472
125,27955,17014,8282,3409,253248
126,17264,11716,5789,2716,123434
127,24337,14080,6175,2332,187661
128,20255,14312,7353,3155,125571
197,12,0,0,0,15
201,13871,11361,5253,1750,85759
202,14081,11388,5669,2068,84114
203,25329,20242,9827,3477,170018
204,16894,13486,6217,2012,94554
205,26261,22602,10664,3395,145951
206,42301,26884,11857,4061,416177
207,33421,23190,13772,5807,217938
208,37304,25607,13037,5884,242146
209,35279,22450,10053,3608,272635
210,23709,13724,6451,2355,195318
211,41576,28599,14709,5547,270914
212,49393,30863,15953,6140,411446
213,42433,24478,9617,3289,405067
214,25530,20556,11650,4360,157577
215,11845,8754,4219,1711,68832
216,10033,7325,3931,1559,60818
217,10830,8416,3778,1442,60488
297,147,17,0,0,530
301,20101,14256,6762,2492,121136
302,15569,9943,5243,2514,121437
303,24680,15432,7296,2702,206348
304,15313,11161,5877,2025,107376
305,22394,12913,5577,1743,194134
306,23869,18254,7613,1982,137294
307,10028,7387,3420,1093,59212
308,18058,11766,4729,1459,108804
309,49409,36708,18893,6398,342647
310,21665,13347,6053,1820,162471
311,20653,14101,6191,1811,157277
312,16282,9810,3771,962,99090
313,19462,16476,8380,2636,122725
314,14532,8810,3707,963,106902
315,8533,6220,1679,258,46417
316,37284,30633,15878,5250,216624
317,11348,8172,4183,1328,77367
318,17645,12260,5244,1470,112741
319,27400,24941,11939,2978,142994
397,27,12,0,0,308
401,27251,21784,10878,4040,178945
402,26098,18105,9173,3311,198554
403,30127,23962,11648,4109,192151
404,17540,11818,5384,2174,122531
405,9632,8064,3667,1115,50382
406,7414,4980,2077,619,41882
407,15414,13992,6776,2082,85699
497,5,0,0,0,28
501,15275,11657,5245,1654,88999
502,7794,6782,3943,1414,46619
503,16528,12053,6321,2563,117887
504,18261,12025,5602,1745,131013
505,40758,27461,13019,4618,287273
506,33470,23283,11225,4238,262979
507,32120,21674,10444,4037,221394
509,12003,9334,4296,1329,63856
510,12127,6417,1422,140,77866
511,12130,8304,3020,766,73038
597,465,123,24,0,2853
601,18920,14615,7182,2486,129857
602,12201,9670,4820,1475,71873
603,4470,3460,1382,337,20901
604,9553,7304,3592,1066,52936
697,70,27,4,0,303
701,11998,7723,2365,417,84411
702,8646,5755,1129,135,48406
797,96,35,6,0,406
801,33522,23965,11823,3943,263450
897,0,0,0,0,0
901,572,411,168,28,3155
997,0,0,0,0,0
