SA4_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
101,3686,4534,11068,11510,13045,10731,2945,372,41,57930,2273,856,2128,1898,2460,6306,11598,7201,2989,37717,394,361,923,904,930,1089,929,690,411,6626,6353,5749,14123,14309,16431,18120,15465,8268,3447,102269,1770,5038,14125,15050,17212,12481,2889,437,35,69045,4506,3395,5986,6045,6580,7796,3486,586,66,38447,467,385,1332,957,1007,1161,407,67,6,5786,178,203,465,385,345,290,138,64,18,2082,6917,9025,21911,22441,25148,21726,6920,1153,132,115366,194,304,485,378,467,410,60,4,0,2304,459,218,289,201,237,307,139,5,0,1851,653,519,768,577,705,717,199,10,0,4151,7574,9545,22680,23017,25851,22446,7109,1161,132,119513,4943,1643,3466,3174,4456,11364,22240,13731,4964,69980,859,820,1998,1822,2067,2365,1994,1274,666,13867,13374,12007,28143,28016,32373,36169,31345,16169,5760,203366
102,5638,6945,14659,16408,17355,13615,3107,312,25,78064,3735,1731,3909,4083,4568,9013,17431,12142,5208,61831,417,436,1000,1006,880,897,1082,1311,1365,8389,9785,9113,19571,21498,22803,23525,21622,13774,6593,148282,1750,5636,16209,18691,20348,13976,2397,163,9,79172,5906,5244,8367,9979,9890,9539,3407,491,29,52860,1979,2063,3409,2797,2537,2479,810,104,9,16189,164,254,608,490,458,258,97,50,19,2392,9800,13194,28593,31952,33226,26259,6709,811,69,150616,421,671,914,673,820,678,73,3,4,4262,1015,398,404,407,379,471,133,15,3,3232,1441,1067,1323,1086,1203,1152,205,24,5,7499,11237,14258,29912,33038,34432,27406,6913,830,78,158108,8204,3341,6127,6304,7783,15437,31454,22535,8424,109618,886,884,2043,1967,1883,1751,1955,2189,1996,15561,20326,18488,38087,41310,44102,44601,40322,25556,10498,283287
103,3413,4153,9619,9500,10304,8527,2457,385,58,48409,2435,969,2222,1929,2241,4623,8926,6355,2951,32640,359,378,830,805,836,807,761,691,394,5866,6204,5500,12671,12233,13379,13957,12147,7429,3396,86914,1782,4890,12554,12429,13883,10579,2768,439,36,59357,3912,2673,5017,5207,5142,5594,2743,621,80,30983,395,363,1169,698,631,828,318,63,11,4467,168,206,369,302,281,236,128,78,23,1792,6260,8124,19100,18635,19940,17230,5956,1197,149,96596,239,377,476,409,442,367,42,0,0,2357,429,248,275,232,220,279,80,15,4,1779,664,629,755,648,664,644,113,12,3,4133,6927,8745,19856,19284,20604,17873,6070,1212,154,100726,5288,1890,3676,3347,4101,8270,16711,11853,4691,59828,796,833,1712,1777,1778,1795,1608,1267,621,12174,13008,11469,25240,24406,26480,27939,24391,14332,5464,172725
104,2303,2301,5544,6252,7230,6393,1602,135,12,31773,1348,647,1664,1493,1803,4209,8523,5472,2257,27416,237,200,550,560,540,547,580,562,452,4248,3886,3155,7767,8301,9571,11149,10711,6173,2726,63436,777,2208,5992,6834,8119,6013,1303,133,8,31384,2833,1837,3744,4143,4384,4999,1971,239,29,24158,268,184,589,449,515,692,214,25,4,2939,94,140,273,228,199,178,59,34,11,1214,3970,4365,10589,11655,13216,11872,3546,428,52,59693,190,274,421,325,362,355,38,6,0,1975,396,156,254,216,232,296,59,5,4,1613,585,428,677,541,594,649,105,7,4,3587,4558,4797,11270,12195,13808,12519,3651,436,56,63281,2975,1283,2867,2736,3315,7713,16452,10363,3766,51476,485,420,1091,1134,1140,1151,1159,1014,686,8262,8018,6495,15225,16070,18264,21390,21254,11809,4504,123022
105,1601,2088,5728,4861,4974,4749,1389,229,24,25646,1193,640,1403,1011,1219,2418,4398,3210,1423,16918,357,354,860,798,762,740,661,559,318,5414,3153,3078,7990,6684,6960,7904,6449,3996,1763,47980,931,2625,7494,6427,6908,6183,1750,307,24,32645,1779,1091,2757,2432,2182,2665,1300,266,45,14518,142,166,650,344,325,433,209,28,4,2294,91,121,289,189,169,179,81,42,8,1168,2942,4001,11185,9381,9586,9461,3342,642,84,50623,163,188,308,235,272,219,31,0,0,1411,192,122,148,111,104,140,53,4,0,877,355,314,456,346,373,362,85,4,0,2297,3295,4312,11639,9729,9962,9818,3424,650,84,52914,2490,1132,2221,1800,2263,4371,8381,5912,2279,30852,807,753,1753,1540,1537,1578,1368,1021,502,10845,6597,6192,15612,13073,13756,15771,13174,7585,2859,94610
106,5196,6179,14070,13902,14115,10309,2253,246,32,66299,2940,1313,3581,3183,3650,7714,13341,8187,3125,47032,345,374,854,787,709,674,664,655,499,5550,8475,7867,18509,17862,18476,18705,16253,9084,3652,118883,2412,6679,17570,17440,17888,12167,2181,212,22,76577,5557,4237,7768,8042,7880,7290,2686,460,42,43960,956,773,1990,1399,1239,1422,436,62,10,8289,188,270,557,450,384,291,122,47,17,2332,9118,11960,27888,27322,27393,21178,5425,785,88,131161,483,585,815,612,633,538,59,3,0,3726,838,366,444,350,319,350,97,7,0,2784,1321,954,1250,964,958,890,158,15,4,6512,10439,12910,29146,28288,28354,22072,5580,800,86,137676,6497,2476,5675,5375,6326,13038,25089,15529,5065,85070,803,826,1843,1603,1509,1469,1329,1237,753,11379,17743,16216,36659,35265,36186,36582,31997,17564,5904,234120
107,5133,7974,15614,15377,15287,10855,2187,169,13,72597,3800,1923,3556,3619,4163,8540,13810,9621,4165,53199,404,449,902,779,659,624,673,779,898,6163,9336,10350,20076,19769,20108,20017,16665,10565,5069,131960,1723,6349,17996,18208,18836,12263,1782,129,8,77291,5116,5962,8824,9347,8567,7675,2477,285,27,48280,1706,2163,3483,2453,2141,2021,599,60,7,14628,132,266,568,357,321,226,68,25,3,1967,8675,14740,30865,30373,29864,22182,4929,501,48,142171,359,724,885,616,633,450,52,8,0,3735,949,634,510,351,324,368,90,7,0,3229,1315,1358,1393,968,949,822,144,9,0,6965,9992,16097,32259,31339,30810,22997,5072,510,47,149131,8184,3987,5764,5606,6906,14602,25497,17685,6817,95044,814,950,1823,1578,1431,1268,1284,1412,1399,11974,18992,21034,39846,38521,39151,38865,31859,19610,8259,256150
108,3545,3438,7411,8557,10584,10131,2519,323,34,46537,2127,933,2231,2149,2855,7547,15486,10408,4316,48063,354,288,719,700,734,933,1061,984,811,6584,6026,4659,10365,11408,14172,18615,19066,11712,5162,101184,1365,3204,7997,9271,11778,9331,2035,233,17,45231,4209,2645,4788,5555,6486,7897,3055,516,44,35194,390,357,802,711,736,1102,391,62,10,4562,182,191,333,313,347,322,120,90,25,1921,6153,6403,13914,15837,19347,18655,5603,895,95,86902,288,422,637,502,527,555,81,4,0,3012,526,277,317,264,322,502,137,10,5,2357,817,698,960,759,847,1054,218,14,9,5369,6975,7097,14872,16601,20194,19705,5817,903,104,92274,4617,1846,3798,3807,5286,13509,29826,20022,7223,89920,771,613,1394,1407,1547,1925,2164,1779,1241,12836,12360,9552,20062,21815,27026,35140,37808,22698,8562,195034
109,1998,2361,5307,5453,5931,5394,1516,218,19,28196,1247,505,1173,1115,1180,2686,5635,4053,1729,19330,235,217,531,506,456,564,523,525,277,3835,3481,3092,7010,7077,7569,8641,7679,4791,2025,51360,923,2658,6794,6768,7727,6340,1593,225,21,33054,2354,1618,2954,3273,3103,3663,1771,303,24,19064,201,179,592,373,378,464,191,36,6,2419,103,102,218,147,156,143,79,50,12,1001,3580,4565,10549,10565,11352,10605,3638,618,66,55539,143,193,255,219,245,246,28,5,0,1322,250,148,158,126,107,175,58,0,0,1035,385,336,416,350,350,425,86,5,0,2357,3969,4897,10967,10916,11707,11033,3720,614,68,57897,2569,857,1711,1675,2070,4651,10704,7516,2840,34591,503,485,1111,1064,1050,1166,1075,903,482,7835,7047,6236,13790,13655,14826,16848,15497,9038,3386,100322
110,2962,3421,8146,7856,8441,7554,2404,395,35,41220,2176,1111,2157,1679,1908,3982,7400,5749,2402,28568,684,620,1094,1001,1046,1026,890,820,460,7658,5822,5149,11401,10539,11402,12570,10695,6966,2896,77447,1503,4014,10613,10210,11316,9256,2710,440,52,50107,3343,2127,4153,4181,4056,4729,2475,561,49,25675,246,304,824,525,479,681,284,60,15,3417,175,168,355,246,240,265,123,88,26,1674,5266,6618,15940,15164,16085,14940,5590,1147,139,80873,228,382,559,353,460,393,43,0,0,2411,412,249,298,221,205,239,66,11,3,1698,642,631,855,571,661,634,112,11,3,4112,5903,7244,16795,15733,16747,15573,5702,1155,143,84994,4439,1893,3230,2751,3452,7044,13983,10490,3789,51073,1286,1299,2273,2061,2172,2187,1835,1483,753,15348,11629,10436,22299,20544,22372,24805,21515,13126,4685,151417
