SA4_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
101,771,1128,1901,18917,21601,40516,6,5,9,1047,1085,2136,252,254,506,26035,27763,53797,32,44,77,1303,1230,2537,398,541,934,109,129,236,402,512,908,47,38,83,359,366,730,617,731,1344,2225,2418,4636,219,251,473,236,255,491,2895,3521,6416,2199,2458,4654,71,87,155,57359,63284,120643,1191,1030,2222,1055,908,1956,100,95,194,35,28,58,496,434,929,320,500,822,856,962,1814,49534,45082,94613,432,351,780,194,294,488,50163,45721,95885,11473,9487,20961,206,192,397,123172,122801,245973
102,1325,2085,3409,25863,32115,57980,7,8,20,2323,2870,5199,128,146,267,34880,40369,75246,113,171,286,1191,1260,2453,573,808,1380,323,371,695,298,373,669,176,163,339,1535,1681,3216,1372,1776,3149,3131,3730,6860,259,374,632,639,719,1355,3520,4741,8256,3614,4182,7795,122,156,278,80057,96017,176075,1183,1034,2217,811,699,1508,222,243,467,58,50,110,279,264,542,411,575,987,752,886,1637,71195,65379,136576,574,453,1031,282,484,765,72051,66319,138372,10835,11209,22049,177,174,354,167425,178681,346101
103,537,740,1275,18554,20970,39525,6,5,4,1230,1377,2606,532,535,1066,26659,28564,55226,41,57,95,354,324,683,291,360,647,114,112,224,241,268,504,35,27,67,452,478,934,780,953,1735,3114,3398,6511,182,240,421,184,236,418,4133,4893,9034,2038,2214,4250,54,62,114,58993,65071,124071,730,657,1390,498,384,883,53,45,100,27,38,68,212,186,396,245,359,608,488,586,1071,35126,30977,66103,275,219,491,88,144,227,35479,31347,66825,10413,8257,18673,109,93,208,107313,107181,214499
104,542,847,1389,11081,12966,24051,0,0,0,980,1067,2050,5,9,13,11371,13324,24694,37,40,74,130,134,262,403,484,880,60,78,144,122,172,292,20,25,43,242,276,514,750,962,1713,2314,2655,4971,147,213,359,197,252,446,1717,2195,3907,1441,1841,3286,36,46,72,31049,36732,67787,247,229,477,303,257,562,64,60,128,32,30,60,1011,951,1963,431,603,1035,1468,1581,3051,31185,29422,60609,254,189,444,135,254,389,31568,29868,61438,7062,6100,13164,221,160,379,72536,75844,148381
105,288,348,632,9751,10938,20688,0,0,3,721,786,1509,13,13,21,13111,14683,27791,38,44,79,138,148,283,100,134,228,45,59,105,188,213,405,33,27,59,162,166,328,358,441,803,1632,1754,3386,128,179,305,172,199,370,2141,2635,4778,1008,1177,2190,17,18,37,29762,33602,63368,775,699,1476,383,309,694,22,18,40,37,34,72,181,159,338,77,132,206,296,323,620,18794,16603,35396,127,87,215,51,63,111,18971,16751,35719,7895,7119,15017,89,62,148,58475,59230,117704
106,649,1088,1733,27824,32070,59890,0,0,0,1931,2134,4067,173,166,340,28572,31612,60184,78,102,182,502,486,986,319,472,799,196,225,418,176,258,436,57,45,102,630,734,1359,1042,1245,2292,3106,3472,6576,311,430,743,365,405,770,4474,5869,10347,2615,2949,5567,112,109,217,72491,82781,155273,731,616,1343,563,448,1005,70,79,147,26,39,66,241,198,443,268,485,750,536,721,1260,58173,52138,110312,398,309,712,161,270,429,58733,52716,111451,10851,8190,19042,122,124,248,144749,146762,291504
107,1192,1928,3119,19272,23555,42830,5,8,13,1168,1356,2526,152,157,308,34114,38424,72538,109,146,257,6092,6111,12199,562,734,1289,158,203,359,424,551,977,244,229,480,441,514,950,1137,1333,2470,2436,2927,5367,244,356,598,151,203,352,3307,4500,7809,4150,4568,8725,80,87,165,74255,85956,160205,1283,1001,2287,3350,3189,6541,115,104,217,25,29,54,174,162,332,351,539,893,554,732,1283,62323,56504,118821,552,464,1021,234,364,599,63108,57327,120440,9223,8858,18081,136,155,296,153221,159247,312468
108,631,986,1618,21308,24832,46142,3,0,3,1290,1442,2734,8,5,13,19654,22839,42501,55,94,151,291,294,583,651,836,1490,129,163,296,195,265,455,50,51,97,569,630,1196,687,911,1601,3038,3547,6584,379,534,917,630,808,1433,3653,5026,8670,2356,2883,5238,46,77,119,54988,65244,120223,435,420,859,250,227,478,81,84,167,74,69,145,128,99,236,253,413,662,455,586,1042,44942,41768,86707,332,257,588,170,313,481,45443,42340,87782,10029,9104,19135,150,112,260,112464,119103,231562
109,330,468,793,7697,9239,16940,0,0,0,573,596,1168,69,73,144,13093,14402,27492,37,64,109,208,218,422,131,195,332,53,88,142,939,1104,2046,14,18,33,118,138,261,424,520,944,1852,2030,3888,70,99,165,138,163,304,2288,2966,5253,1066,1176,2245,28,26,52,28799,33139,61941,793,666,1456,276,211,487,30,26,53,10,10,22,406,343,753,124,169,289,540,518,1057,23858,21975,45834,123,71,199,56,73,128,24037,22122,46162,5646,5050,10697,110,75,183,60553,62280,122832
110,472,639,1107,20158,22675,42830,4,0,0,689,763,1451,175,172,351,17832,19920,37753,36,54,89,160,147,312,296,383,677,74,84,156,171,216,389,18,18,44,248,208,451,629,782,1409,3076,3333,6407,277,352,628,254,295,551,2641,3204,5850,1873,2117,3987,76,64,141,48685,54784,103472,645,597,1241,481,373,855,41,32,67,68,66,136,171,145,317,441,621,1060,679,836,1516,30199,27048,57239,209,154,361,84,127,210,30487,27326,57819,10813,10100,20910,241,121,365,92538,94811,187349
111,1427,2007,3439,25051,30287,55335,4,0,4,2995,3384,6373,93,90,181,32914,38472,71383,85,117,198,2090,2150,4241,489,648,1136,291,325,611,274,369,645,88,84,170,976,1125,2098,2018,2327,4343,3486,4091,7583,493,651,1146,1731,2055,3788,5654,7992,13641,4517,5290,9804,292,342,639,83535,99775,183317,1619,1389,3013,2048,1614,3663,139,145,281,41,40,83,316,246,559,405,653,1061,760,939,1699,86885,80259,167144,809,637,1452,269,488,762,87966,81386,169353,11334,10658,21995,191,212,408,189023,198141,387161
