SA4_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
101,330,6043,646,4,7026,328,5370,561,14,6277,874,11738,1413,75,14102,1464,11067,1178,21,13733,2050,12537,1353,19,15962,2664,13969,1416,19,18061,1830,12898,1151,27,15903,805,6415,680,4,7904,232,1814,273,3,2323,10583,81841,8669,193,101284,363,5474,517,6,6358,415,4940,402,20,5773,1426,11670,1028,57,14189,2301,11009,1001,23,14332,3373,12053,1002,17,16449,3903,13072,1153,28,18156,2508,11952,1013,18,15489,1001,6511,753,11,8272,167,2836,439,0,3444,15452,79509,7308,180,102450,697,11515,1162,11,13384,736,10304,966,38,12049,2303,23403,2440,141,28285,3764,22081,2174,40,28059,5429,24589,2352,33,32411,6562,27038,2572,53,36215,4339,24845,2162,43,31393,1808,12929,1438,9,16181,400,4646,715,5,5761,26038,161353,15979,374,203732
102,474,9464,606,7,10555,538,8337,498,16,9390,1227,16128,1162,12,18534,1994,16706,1113,28,19843,2757,17404,1131,26,21319,3050,17075,948,25,21099,2125,15593,974,27,18722,1302,9506,981,11,11802,327,2881,689,9,3909,13794,113105,8110,150,135157,511,8735,537,7,9790,651,7959,501,4,9116,2006,16429,1130,20,19590,3591,16767,1136,17,21512,4744,17066,989,29,22835,5140,17422,965,41,23572,3368,17104,1147,31,21652,1428,10957,1387,8,13778,282,4849,1467,4,6603,21730,117289,9269,160,148441,980,18199,1147,12,20344,1188,16301,999,12,18498,3237,32555,2301,32,38123,5588,33471,2248,41,41348,7501,34479,2124,53,44154,8189,34497,1913,66,44662,5499,32694,2127,56,40379,2731,20458,2369,22,25582,609,7734,2160,14,10513,35518,230389,17383,313,283603
103,276,5889,647,0,6811,289,5005,675,7,5978,757,10356,1461,23,12597,1216,9581,1377,22,12195,1759,10144,1195,13,13116,2029,10852,1106,18,14004,1365,9973,908,10,12252,713,5545,642,8,6904,208,1634,222,0,2065,8603,68987,8222,108,85916,353,5331,522,0,6201,398,4686,416,9,5508,1377,10390,906,15,12686,2063,9280,894,6,12245,2911,9581,892,22,13397,3154,9944,858,17,13974,1893,9472,784,4,12151,791,5936,701,7,7439,146,2838,409,0,3396,13076,67455,6386,85,86997,626,11219,1168,4,13010,688,9694,1087,20,11489,2131,20746,2364,40,25280,3275,18861,2267,35,24432,4668,19723,2090,32,26515,5181,20800,1961,37,27977,3259,19444,1691,14,24404,1506,11480,1349,18,14345,355,4479,634,0,5468,21677,136443,14607,188,172914
104,214,3549,369,0,4130,177,2801,365,31,3373,515,5972,975,83,7540,771,6102,892,34,7797,1168,6739,784,21,8712,1628,7888,725,8,10253,1293,8629,629,11,10560,599,4557,479,6,5647,172,1369,233,0,1781,6525,47614,5446,207,59797,228,3336,328,0,3889,237,2676,242,30,3185,902,6204,664,42,7806,1398,6249,662,21,8322,2037,6926,618,20,9592,2619,7915,613,26,11173,1851,8239,616,14,10722,765,4820,590,3,6174,137,2126,462,0,2728,10163,48481,4789,155,63589,434,6888,697,3,8022,417,5478,605,63,6563,1410,12176,1640,123,15346,2167,12350,1549,60,16128,3198,13659,1402,41,18301,4248,15799,1334,33,21421,3145,16870,1242,23,21278,1359,9381,1068,7,11817,309,3498,697,0,4508,16695,96095,10237,360,123384
105,155,2745,545,0,3442,157,2503,458,9,3123,427,6076,1114,38,7654,574,4876,940,7,6400,859,5056,884,6,6806,1092,5855,918,3,7869,640,5328,761,11,6732,339,2762,478,0,3583,105,806,191,0,1097,4345,36005,6283,78,46716,165,2552,435,6,3155,194,2506,377,8,3085,818,6216,956,26,8018,1087,4741,850,7,6684,1358,4801,798,5,6961,1743,5388,778,8,7916,964,4814,672,10,6458,428,2973,592,3,4001,87,1333,345,0,1763,6850,35325,5797,63,48041,321,5297,982,5,6601,352,5011,827,17,6211,1248,12294,2067,64,15668,1662,9618,1789,13,13083,2220,9855,1683,11,13769,2835,11243,1690,17,15787,1602,10140,1433,17,13190,772,5739,1071,3,7586,191,2136,537,0,2864,11197,71329,12081,145,94757
106,433,8200,641,3,9275,416,7259,677,3,8355,1200,15310,1640,24,18174,1835,14124,1448,22,17430,2245,14283,1184,14,17727,2673,14210,1001,16,17897,2013,12887,842,19,15764,937,6885,665,5,8484,199,1774,283,0,2253,11943,94918,8387,112,115357,476,7473,524,5,8483,642,6798,419,7,7870,2131,15415,961,24,18536,3300,13668,896,14,17877,4016,13675,787,11,18488,4318,13640,739,24,18727,2742,12767,745,14,16269,1002,7360,726,5,9092,159,2971,525,4,3661,18792,93762,6330,121,118998,910,15669,1166,8,17758,1064,14050,1100,12,16225,3330,30727,2599,43,36708,5132,27794,2340,36,35306,6256,27955,1972,29,36219,6992,27847,1748,42,36627,4759,25657,1593,30,32031,1936,14240,1388,11,17574,356,4743,806,8,5909,30725,188685,14708,228,234355
107,425,8705,524,3,9657,556,9546,583,18,10704,1310,17417,1041,24,19798,1897,15934,920,12,18759,2901,15293,854,17,19069,3392,14743,718,15,18873,2050,12460,688,26,15214,1057,7316,673,6,9055,330,2333,529,0,3192,13920,103750,6522,121,124317,502,8297,533,5,9342,742,9086,520,11,10359,1990,17064,1018,21,20097,3173,15687,905,26,19795,4416,14930,757,15,20126,5130,14211,679,32,20047,2811,13128,722,27,16688,1120,8608,840,5,10568,225,3918,929,7,5076,20106,104941,6904,147,132105,931,17006,1053,8,19003,1294,18636,1107,27,21061,3301,34485,2065,51,39901,5068,31622,1828,35,38557,7327,30220,1603,37,39191,8524,28954,1399,49,38917,4862,25587,1408,47,31905,2176,15929,1508,12,19622,550,6253,1460,4,8269,34027,208690,13428,266,256417
108,317,5379,637,6,6343,298,4097,500,3,4900,763,7848,1088,28,9722,1243,8164,1000,25,10430,1911,9980,962,25,12872,2521,12902,1104,23,16553,2245,15285,1213,15,18757,1257,8842,885,4,10994,341,2576,487,6,3412,10895,75074,7886,131,93978,344,5146,535,3,6028,394,3926,340,5,4663,1378,8167,822,14,10384,2259,8342,805,23,11428,3286,10053,833,19,14188,4425,13186,1003,12,18628,3197,14697,1174,9,19078,1320,9296,1099,8,11719,270,4003,883,0,5161,16878,76810,7493,95,101280,659,10521,1176,9,12368,695,8019,842,11,9564,2143,16010,1908,44,20110,3499,16511,1807,44,21859,5188,20036,1798,41,27067,6953,26090,2105,36,35178,5445,29979,2388,27,37831,2577,18137,1984,15,22712,608,6579,1370,6,8571,27774,151883,15380,230,195261
109,160,3029,372,3,3570,171,2690,288,9,3161,447,5712,618,50,6828,721,5268,589,14,6587,989,5637,632,5,7269,1205,6358,640,11,8209,860,6361,603,5,7827,460,3392,394,3,4251,140,1022,201,0,1362,5151,39471,4334,101,49064,190,2952,334,0,3482,250,2589,246,0,3091,785,5650,575,31,7041,1246,5270,558,18,7089,1641,5427,500,8,7570,2070,5983,587,8,8655,1294,5848,536,0,7676,546,3693,552,0,4791,103,1655,270,0,2030,8125,39073,4164,68,51428,349,5983,709,5,7049,423,5279,537,16,6250,1238,11358,1191,81,13864,1963,10544,1148,32,13680,2631,11065,1130,13,14841,3277,12340,1229,17,16860,2157,12215,1134,6,15505,1004,7083,947,3,9043,244,2676,471,0,3390,13276,78541,8501,169,100496
110,293,4759,764,4,5813,277,4259,745,14,5294,781,8808,1309,109,11003,1015,7829,1158,65,10068,1418,8336,1219,25,10999,1775,9229,1241,9,12244,1176,8627,1018,3,10824,673,4762,723,6,6161,161,1318,316,4,1789,7574,57917,8479,235,74203,377,4616,831,5,5823,370,4118,659,14,5163,1219,9000,1181,43,11444,1699,7767,1075,26,10567,2404,7900,1096,11,11413,2881,8608,1083,10,12581,1720,8041,936,10,10707,759,5368,843,3,6969,141,2243,505,0,2896,11575,57663,8207,118,77560,664,9373,1593,9,11634,651,8375,1406,26,10462,2002,17804,2489,148,22449,2717,15593,2231,92,20635,3825,16235,2309,41,22415,4652,17838,2318,15,24830,2896,16663,1954,17,21534,1432,10127,1564,6,13129,301,3561,819,4,4686,19151,115581,16687,355,151764
