SA4_CODE_2021,M_Yr_12_eq_15_19_yr,M_Yr_12_eq_20_24_yr,M_Yr_12_eq_25_34_yr,M_Yr_12_eq_35_44_yr,M_Yr_12_eq_45_54_yr,M_Yr_12_eq_55_64_yr,M_Yr_12_eq_65_74_yr,M_Yr_12_eq_75_84_yr,M_Yr_12_eq_85_yr_over,M_Yr_12_eq_Tot,M_Yr_11_eq_15_19_yr,M_Yr_11_eq_20_24_yr,M_Yr_11_eq_25_34_yr,M_Yr_11_eq_35_44_yr,M_Yr_11_eq_45_54_yr,M_Yr_11_eq_55_64_yr,M_Yr_11_eq_65_74_yr,M_Yr_11_eq_75_84_yr,M_Yr_11_eq_85_yr_over,M_Yr_11_eq_Tot,M_Yr_10_eq_15_19_yr,M_Yr_10_eq_20_24_yr,M_Yr_10_eq_25_34_yr,M_Yr_10_eq_35_44_yr,M_Yr_10_eq_45_54_yr,M_Yr_10_eq_55_64_yr,M_Yr_10_eq_65_74_yr,M_Yr_10_eq_75_84_yr,M_Yr_10_eq_85_yr_over,M_Yr_10_eq_Tot,M_Yr_9_eq_15_19_yr,M_Yr_9_eq_20_24_yr,M_Yr_9_eq_25_34_yr,M_Yr_9_eq_35_44_yr,M_Yr_9_eq_45_54_yr,M_Yr_9_eq_55_64_yr,M_Yr_9_eq_65_74_yr,M_Yr_9_eq_75_84_yr,M_Yr_9_eq_85_yr_over,M_Yr_9_eq_Tot,M_Yr_8_bel_15_19_yr,M_Yr_8_bel_20_24_yr,M_Yr_8_bel_25_34_yr,M_Yr_8_bel_35_44_yr,M_Yr_8_bel_45_54_yr,M_Yr_8_bel_55_64_yr,M_Yr_8_bel_65_74_yr,M_Yr_8_bel_75_84_yr,M_Yr_8_bel_85_yr_over,M_Yr_8_bel_Tot,M_Did_not_go_to_school_15_19,M_Did_not_go_to_school_20_24,M_Did_not_go_to_school_25_34,M_Did_not_go_to_school_35_44,M_Did_not_go_to_school_45_54,M_Did_not_go_to_school_55_64,M_Did_not_go_to_school_65_74,M_Did_not_go_to_school_75_84,M_Did_not_go_to_school_85ov,M_Did_not_go_to_school_Tot,M_High_yr_sch_ns_15_19_yr,M_High_yr_sch_ns_20_24_yr,M_High_yr_sch_ns_25_34_yr,M_High_yr_sch_ns_35_44_yr,M_High_yr_sch_ns_45_54_yr,M_High_yr_sch_ns_55_64_yr,M_High_yr_sch_ns_65_74_yr,M_High_yr_sch_ns_75_84_yr,M_High_yr_sch_ns_85_yr_over,M_High_yr_sch_ns_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Yr_12_eq_15_19_yr,F_Yr_12_eq_20_24_yr,F_Yr_12_eq_25_34_yr,F_Yr_12_eq_35_44_yr,F_Yr_12_eq_45_54_yr,F_Yr_12_eq_55_64_yr,F_Yr_12_eq_65_74_yr,F_Yr_12_eq_75_84_yr,F_Yr_12_eq_85_yr_over,F_Yr_12_eq_Tot,F_Yr_11_eq_15_19_yr,F_Yr_11_eq_20_24_yr,F_Yr_11_eq_25_34_yr,F_Yr_11_eq_35_44_yr,F_Yr_11_eq_45_54_yr,F_Yr_11_eq_55_64_yr,F_Yr_11_eq_65_74_yr,F_Yr_11_eq_75_84_yr,F_Yr_11_eq_85_yr_over,F_Yr_11_eq_Tot,F_Yr_10_eq_15_19_yr,F_Yr_10_eq_20_24_yr,F_Yr_10_eq_25_34_yr,F_Yr_10_eq_35_44_yr,F_Yr_10_eq_45_54_yr,F_Yr_10_eq_55_64_yr,F_Yr_10_eq_65_74_yr,F_Yr_10_eq_75_84_yr,F_Yr_10_eq_85_yr_over,F_Yr_10_eq_Tot,F_Yr_9_eq_15_19_yr,F_Yr_9_eq_20_24_yr,F_Yr_9_eq_25_34_yr,F_Yr_9_eq_35_44_yr,F_Yr_9_eq_45_54_yr,F_Yr_9_eq_55_64_yr,F_Yr_9_eq_65_74_yr,F_Yr_9_eq_75_84_yr,F_Yr_9_eq_85_yr_over,F_Yr_9_eq_Tot,F_Yr_8_bel_15_19_yr,F_Yr_8_bel_20_24_yr,F_Yr_8_bel_25_34_yr,F_Yr_8_bel_35_44_yr,F_Yr_8_bel_45_54_yr,F_Yr_8_bel_55_64_yr,F_Yr_8_bel_65_74_yr,F_Yr_8_bel_75_84_yr,F_Yr_8_bel_85_yr_over,F_Yr_8_bel_Tot,F_Did_not_go_to_school_15_19,F_Did_not_go_to_school_20_24,F_Did_not_go_to_school_25_34,F_Did_not_go_to_school_35_44,F_Did_not_go_to_school_45_54,F_Did_not_go_to_school_55_64,F_Did_not_go_to_school_65_74,F_Did_not_go_to_school_75_84,F_Did_not_go_to_school_85ov,F_Did_not_go_to_school_Tot,F_High_yr_sch_ns_15_19_yr,F_High_yr_sch_ns_20_24_yr,F_High_yr_sch_ns_25_34_yr,F_High_yr_sch_ns_35_44_yr,F_High_yr_sch_ns_45_54_yr,F_High_yr_sch_ns_55_64_yr,F_High_yr_sch_ns_65_74_yr,F_High_yr_sch_ns_75_84_yr,F_High_yr_sch_ns_85_yr_over,F_High_yr_sch_ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Yr_12_eq_15_19_yr,P_Yr_12_eq_20_24_yr,P_Yr_12_eq_25_34_yr,P_Yr_12_eq_35_44_yr,P_Yr_12_eq_45_54_yr,P_Yr_12_eq_55_64_yr,P_Yr_12_eq_65_74_yr,P_Yr_12_eq_75_84_yr,P_Yr_12_eq_85_yr_over,P_Yr_12_eq_Tot,P_Yr_11_eq_15_19_yr,P_Yr_11_eq_20_24_yr,P_Yr_11_eq_25_34_yr,P_Yr_11_eq_35_44_yr,P_Yr_11_eq_45_54_yr,P_Yr_11_eq_55_64_yr,P_Yr_11_eq_65_74_yr,P_Yr_11_eq_75_84_yr,P_Yr_11_eq_85_yr_over,P_Yr_11_eq_Tot,P_Yr_10_eq_15_19_yr,P_Yr_10_eq_20_24_yr,P_Yr_10_eq_25_34_yr,P_Yr_10_eq_35_44_yr,P_Yr_10_eq_45_54_yr,P_Yr_10_eq_55_64_yr,P_Yr_10_eq_65_74_yr,P_Yr_10_eq_75_84_yr,P_Yr_10_eq_85_yr_over,P_Yr_10_eq_Tot,P_Yr_9_eq_15_19_yr,P_Yr_9_eq_20_24_yr,P_Yr_9_eq_25_34_yr,P_Yr_9_eq_35_44_yr,P_Yr_9_eq_45_54_yr,P_Yr_9_eq_55_64_yr,P_Yr_9_eq_65_74_yr,P_Yr_9_eq_75_84_yr,P_Yr_9_eq_85_yr_over,P_Yr_9_eq_Tot
206,3975,23390,69208,43033,27058,18535,12064,4804,1164,203242,318,904,2789,1896,2836,3339,1610,627,163,14481,278,565,2061,1848,2185,2557,1734,1016,328,12560,79,117,409,396,569,731,744,532,204,3780,38,49,232,236,313,605,1034,1788,1104,5397,13,73,284,189,187,238,301,405,269,1958,589,1757,5028,3266,2294,1939,1484,1080,575,18011,5287,26860,80003,50872,35440,27942,18961,10252,3799,259420,4925,26979,75095,43910,29811,19993,12244,4517,1397,218878,273,807,2104,1199,2161,3095,2156,964,319,13084,200,502,1246,1018,1467,2217,2314,1258,579,10812,54,93,277,283,389,649,875,681,399,3695,25,49,230,240,384,682,1571,2868,1845,7896,14,63,332,207,278,392,508,805,599,3199,592,1825,4948,2854,1929,1638,1486,1244,936,17455,6090,30324,84236,49711,36419,28673,21162,12327,6073,275021,8905,50376,144304,86946,56869,38529,24312,9322,2559,422120,593,1707,4896,3098,4999,6436,3761,1584,484,27562,475,1067,3308,2866,3650,4780,4045,2280,905,23374,131,214,685,679,956,1381,1621,1212,599,7476
207,3177,12570,21352,20096,19131,15650,11074,5582,1930,110570,219,419,704,621,1710,2228,1270,879,336,8372,158,268,655,604,1174,1472,1210,1327,548,7415,52,63,175,201,336,436,603,673,313,2844,30,43,108,133,183,308,728,1266,937,3727,13,54,167,133,141,184,211,221,167,1287,274,504,1075,785,744,602,667,676,477,5805,3913,13910,24231,22577,23418,20887,15765,10619,4704,140024,3229,11941,22201,23097,22930,17538,11278,5287,2217,119713,131,242,432,387,1438,2380,2210,1619,638,9471,107,122,328,393,830,1464,2031,2161,1132,8563,36,31,111,158,292,448,898,967,611,3548,19,29,69,122,253,391,1220,2173,1563,5840,7,28,112,124,168,228,328,395,347,1733,243,443,984,791,763,652,785,937,955,6562,3759,12832,24234,25075,26677,23099,18753,13541,7459,155433,6407,24512,43553,43193,42062,33191,22355,10873,4147,230284,347,658,1133,1007,3146,4610,3479,2498,974,17847,260,385,987,998,2002,2938,3247,3485,1674,15975,88,92,283,363,631,880,1496,1640,923,6391
208,3099,11021,21766,23695,22810,16328,11508,5097,1687,117009,252,476,1085,1209,2720,3341,2144,1025,352,12595,287,312,1058,1239,2045,2561,1980,1454,578,11516,92,64,182,242,465,614,745,719,298,3423,46,32,91,111,174,289,641,1174,822,3382,8,38,94,94,93,117,142,182,115,883,280,380,1125,940,869,682,789,787,539,6391,4056,12323,25400,27537,29171,23926,17949,10435,4389,155192,3313,11026,24070,27502,27065,18235,11836,5103,2250,130405,143,248,676,719,2327,3649,2973,1673,783,13185,143,170,551,660,1454,2349,2924,2280,1272,11799,50,38,109,166,308,545,967,949,693,3832,21,19,51,109,138,347,1035,1859,1484,5061,4,18,91,86,110,146,197,307,213,1179,267,322,1031,979,873,749,1031,1158,1179,7586,3944,11841,26564,30225,32276,26021,20963,13335,7881,173057,6411,22046,45831,51203,49877,34569,23342,10200,3941,247416,389,724,1768,1926,5044,6987,5120,2692,1130,25782,430,486,1606,1900,3497,4909,4902,3736,1848,23317,147,101,288,413,771,1154,1708,1668,997,7255
209,3585,13918,30624,31344,21641,13649,9216,3396,809,128177,703,1164,2664,2481,4835,5323,2528,786,175,20659,756,972,2798,3136,4342,4880,3499,1793,441,22619,233,226,755,957,1310,1643,1782,1205,378,8495,85,88,351,499,637,1066,2283,2793,1381,9178,28,87,214,291,321,451,513,575,322,2794,610,869,1970,1749,1446,1251,1107,959,566,10533,5992,17323,39374,40460,34540,28265,20928,11516,4070,202465,3988,13872,34371,35169,25610,15450,8461,2765,909,140598,335,651,1626,1707,4122,5801,2982,986,299,18499,330,508,1634,1829,3044,4713,4450,2134,723,19360,95,104,408,565,884,1633,2267,1488,564,7997,41,52,227,413,621,1327,3327,4116,2398,12517,4,40,216,255,369,553,794,877,584,3699,511,617,1795,1567,1272,1185,1291,1169,979,10389,5299,15841,40275,41507,35914,30671,23569,13533,6459,213060,7571,27792,64989,66518,47253,29095,17677,6158,1718,268770,1037,1814,4292,4185,8952,11124,5505,1776,474,39159,1088,1472,4431,4965,7386,9593,7950,3930,1165,41978,321,334,1163,1518,2190,3275,4052,2698,945,16494
210,2966,10899,24303,22859,14189,9331,5543,2168,519,92772,584,968,2250,2043,3597,3833,1742,524,132,15659,702,915,2632,2703,3619,3976,2570,1306,355,18785,229,252,846,979,1294,1446,1363,892,272,7572,92,152,576,912,931,1245,1820,2169,1114,9009,19,95,279,406,442,576,517,515,260,3103,649,830,2227,1800,1386,1141,861,706,394,9988,5243,14098,33113,31703,25455,21543,14405,8287,3042,156888,3160,10782,27020,25057,16888,9995,4954,1744,500,100108,309,538,1578,1469,3275,4136,2012,641,180,14134,297,476,1605,1688,2636,3468,3146,1555,536,15409,92,140,481,662,919,1376,1605,1015,459,6753,49,85,443,777,1069,1471,2795,3145,1724,11564,13,58,269,393,571,911,902,907,500,4530,535,626,1792,1608,1242,1030,1020,937,728,9516,4470,12707,33187,31658,26600,22378,16434,9950,4639,162013,6128,21678,51323,47916,31078,19328,10492,3915,1024,192881,894,1499,3823,3509,6870,7971,3751,1165,309,29797,1004,1392,4239,4394,6257,7440,5719,2859,892,34195,324,389,1325,1646,2215,2819,2964,1910,728,14323
211,3523,12188,23078,25564,20083,14558,11221,4958,1370,116536,749,1404,2617,2673,5588,6440,3723,1392,351,24935,836,1084,3040,3376,5010,5944,4290,2711,732,27023,211,240,734,899,1432,1885,1960,1507,472,9353,70,87,344,465,524,742,1175,1641,866,5909,21,49,206,222,230,254,241,176,85,1477,440,499,1196,1133,1163,974,923,997,649,7967,5846,15559,31215,34339,34026,30788,23534,13383,4524,193205,3736,12404,26917,30949,25499,17625,11253,4418,1446,134250,383,720,1648,1617,5087,6937,4506,1921,565,23388,399,602,1650,1978,3371,4968,5778,3838,1273,23852,106,101,348,514,911,1567,2387,1806,789,8527,46,62,256,294,447,759,1596,2429,1644,7534,9,33,191,214,243,355,333,278,222,1875,379,416,1072,1137,970,1030,1122,1365,1331,8816,5056,14335,32068,36709,36527,33241,26982,16058,7263,208235,7255,24596,49996,56510,45588,32183,22470,9375,2818,250791,1133,2123,4262,4295,10679,13379,8227,3310,915,48327,1236,1680,4687,5357,8380,10908,10071,6549,2001,50868,319,339,1081,1416,2343,3457,4346,3318,1257,17876
212,6406,25124,50643,46460,30438,20616,13640,6148,1734,201202,1059,1999,4515,4041,6534,6259,3325,1329,368,29430,1192,1866,5265,5658,7140,7703,5234,2798,846,37705,386,433,1464,1680,2291,2735,2520,1820,599,13921,207,251,1076,1550,1541,2049,2761,3397,1610,14431,54,270,1363,1382,1355,1303,1041,703,298,7761,1106,1813,4314,3217,2421,2053,1697,1550,824,19011,10409,31746,68639,63990,51713,42722,30222,17739,6285,323463,6784,24206,53630,50635,34268,22045,13011,5343,1873,211805,661,1258,3045,2845,5790,6488,3967,1759,546,26364,623,1083,3300,3612,5715,6928,6350,3789,1323,32729,208,270,846,1185,1920,2618,2934,1993,1003,12968,98,163,875,1300,1620,2500,4272,4669,2691,18200,40,208,991,1457,1578,1725,1448,1162,758,9371,1006,1354,3686,2908,2285,2032,1922,1852,1532,18577,9431,28532,66366,63940,53189,44338,33917,20577,9723,330015,13186,49331,104274,97099,64710,42659,26658,11491,3607,413010,1724,3259,7560,6890,12319,12749,7292,3094,912,55795,1816,2944,8562,9269,12857,14636,11586,6587,2172,70439,593,700,2309,2868,4209,5350,5455,3811,1601,26892
213,5492,21529,52438,55037,30649,17204,10831,3599,688,197469,1041,1858,4129,4151,6467,6189,2806,717,119,27487,1113,1952,5805,6201,6960,7552,4879,1893,467,36819,358,375,1320,1624,2028,2640,2522,1277,366,12521,176,268,903,1113,1385,2153,3502,3272,1226,14010,39,157,721,761,911,1134,1023,722,350,5814,1320,1944,5190,4317,2860,2195,1800,1331,585,21548,9540,28091,70512,73207,51263,39073,27367,12812,3801,315663,5915,20724,58457,57342,33610,18564,9597,2799,750,207759,642,1255,3168,3146,5516,6379,2927,824,196,24058,646,1000,3430,3844,5551,6963,5644,2213,739,30019,218,245,907,1126,1816,2703,2923,1472,638,12047,93,156,692,1208,1679,2755,5043,4552,2230,18415,17,107,621,912,1263,1533,1465,1195,752,7862,1157,1450,4597,3828,2524,1969,1957,1531,1126,20128,8691,24943,71881,71392,51951,40864,29560,14581,6424,320288,11411,42256,110892,112373,64260,35777,20431,6394,1432,405226,1682,3113,7302,7301,11982,12568,5735,1544,316,51538,1753,2957,9234,10040,12510,14519,10524,4098,1207,66841,582,624,2230,2747,3844,5340,5444,2747,1002,24562
214,1874,5756,10509,11460,10146,7661,7337,3748,1138,59629,542,826,1989,1937,3598,3970,2618,1185,312,16981,672,772,2184,2512,3624,4284,3364,2094,578,20095,183,172,648,663,1028,1369,1441,1095,364,6960,78,74,218,265,340,471,805,1133,576,3956,12,25,59,64,71,72,74,82,51,505,399,373,945,998,1159,997,965,965,608,7407,3760,7995,16551,17889,19977,18826,16598,10295,3632,115526,1951,6093,13356,15131,13606,9870,7420,3486,1079,71994,322,475,1158,1405,3290,4323,3212,1548,445,16175,312,426,1414,1562,2578,3711,4281,2759,915,17970,94,80,296,363,743,1288,1743,1384,663,6652,43,46,103,137,281,439,1101,1569,1090,4819,10,13,40,47,58,104,100,108,76,546,420,387,918,1012,1053,954,1126,1288,1108,8270,3150,7516,17287,19656,21617,20676,18979,12147,5379,126416,3828,11848,23866,26590,23752,17527,14752,7234,2220,131616,863,1299,3142,3344,6892,8295,5833,2732,759,33158,986,1201,3605,4070,6210,7999,7644,4858,1495,38068,279,250,942,1022,1778,2656,3178,2478,1026,13610
215,661,2381,5095,4157,3380,2509,2182,804,225,21392,395,672,1322,1116,1875,2666,1612,488,112,10264,404,529,1525,1597,2002,3118,2415,1135,279,13010,113,130,434,470,678,1187,1300,851,238,5393,70,76,224,264,322,540,1020,1212,644,4363,14,34,117,105,134,119,86,61,39,702,348,319,865,795,849,998,974,690,350,6186,2001,4148,9574,8503,9237,11126,9593,5247,1880,61311,749,2656,6381,5599,4647,3494,2134,796,295,26740,237,371,908,838,1899,2780,1818,736,192,9773,186,339,962,959,1510,2332,2348,1418,491,10543,80,62,260,283,523,967,1141,828,408,4555,31,35,141,151,220,448,843,1177,934,3987,6,28,99,81,99,99,81,91,43,623,307,302,743,717,705,796,871,818,646,5902,1587,3790,9489,8638,9595,10918,9240,5864,3003,62131,1414,5034,11474,9753,8029,6002,4318,1599,514,48135,621,1044,2231,1959,3774,5445,3434,1224,311,20042,593,864,2491,2559,3509,5451,4766,2557,767,23556,193,197,694,758,1203,2155,2441,1676,645,9948
216,596,2100,4183,3567,3021,2074,1861,781,191,18371,361,580,1058,941,1752,2073,1225,398,99,8484,396,442,1215,1345,1924,2589,2079,1036,239,11276,106,123,368,440,672,1047,1209,860,197,5016,47,40,197,262,294,470,830,1020,511,3678,4,19,80,105,118,100,69,78,28,604,304,274,732,631,754,750,737,642,299,5128,1805,3590,7836,7290,8537,9102,8006,4807,1574,52565,733,2511,5554,5129,4321,2983,1853,739,266,24084,165,314,714,755,1591,2269,1500,615,163,8087,183,288,825,837,1436,2131,2158,1223,388,9466,57,63,232,257,419,852,1046,751,278,3950,31,33,152,146,183,360,843,928,615,3282,6,14,64,84,99,86,66,69,49,545,230,259,640,598,571,654,692,714,602,4954,1404,3481,8174,7798,8614,9329,8163,5045,2362,54367,1330,4617,9740,8686,7344,5062,3709,1514,463,42458,527,892,1780,1692,3336,4336,2729,1016,269,16568,576,730,2041,2183,3360,4713,4236,2263,633,20738,162,188,595,693,1089,1896,2258,1610,477,8971
217,605,1877,3858,3412,3194,2422,2420,843,210,18836,320,497,1080,1082,1710,2200,1381,379,81,8719,313,368,1059,1171,1611,2508,1930,871,193,10027,125,112,322,390,597,953,1058,685,205,4441,37,33,134,144,179,330,713,937,469,2983,0,8,44,41,40,44,31,29,8,245,263,214,508,498,596,582,611,472,231,3974,1659,3107,7000,6731,7918,9031,8151,4219,1404,49219,682,2169,5126,5038,4716,3725,2494,850,292,25098,162,292,643,668,1610,2472,1670,656,181,8354,160,203,626,752,1094,1807,1917,1094,389,8044,74,46,148,177,315,663,913,685,316,3344,23,18,65,75,119,247,569,870,737,2727,0,7,34,33,28,37,28,21,18,196,210,188,441,444,475,559,653,594,446,4003,1314,2917,7087,7188,8366,9515,8244,4759,2382,51758,1289,4040,8989,8448,7906,6143,4911,1695,505,43928,481,786,1725,1753,3317,4670,3053,1031,261,17071,470,568,1687,1921,2702,4320,3847,1968,580,18067,196,162,465,571,912,1611,1966,1368,527,7781
297,0,4,6,23,26,8,0,0,0,71,0,0,0,11,13,13,0,0,0,36,0,0,3,8,16,19,0,0,0,47,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,19,90,121,93,13,0,0,339,0,4,30,131,163,141,16,0,0,493,0,0,5,5,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,13,16,0,0,0,49,0,0,17,14,18,24,0,0,0,72,0,4,16,30,26,15,0,0,0,86,0,0,0,11,11,14,0,0,0,38,0,0,3,8,16,17,0,0,0,49,0,0,0,0,0,5,0,0,0,5
301,2296,5441,8909,10664,9840,6834,4887,2266,534,51672,254,334,856,1079,1300,1299,826,311,77,6339,472,442,1517,2061,3528,4997,4291,1929,475,19723,124,67,237,314,482,702,763,480,144,3315,33,12,84,120,173,316,770,1079,443,3025,3,6,23,36,49,49,37,40,14,268,187,206,469,477,532,471,521,448,327,3631,3374,6508,12097,14754,15908,14660,12088,6552,2027,87969,2142,5120,10600,13192,11947,7532,4518,1930,598,57573,165,182,619,919,1280,1287,815,391,113,5770,288,260,1060,1481,3330,5850,5693,2687,858,21504,70,44,150,232,346,658,906,587,250,3240,15,15,50,74,158,249,886,1244,749,3429,0,5,25,39,48,42,45,52,29,300,185,179,441,496,495,464,566,690,719,4232,2864,5803,12948,16431,17600,16084,13428,7585,3312,96050,4441,10558,19507,23848,21785,14366,9403,4195,1135,109242,420,516,1475,1997,2585,2588,1639,702,187,12108,761,703,2584,3547,6858,10849,9982,4612,1333,41222,192,111,387,549,829,1364,1670,1069,395,6558
302,1883,5976,13819,13649,10034,6091,3976,1692,505,57619,145,260,751,748,906,988,517,203,59,4579,211,283,1069,1292,2186,3187,2645,1349,500,12722,71,51,163,201,315,428,391,318,122,2062,32,22,68,94,143,226,551,900,458,2496,3,14,46,73,70,80,65,49,41,439,163,315,745,607,541,424,438,418,328,3973,2504,6911,16664,16661,14200,11429,8580,4931,2011,83892,1912,6336,15312,14964,11244,6579,3617,1630,658,62252,107,206,632,587,839,843,499,263,109,4080,171,193,840,896,2042,3834,3923,2298,983,15182,49,36,144,125,241,345,448,438,227,2047,15,11,67,82,165,291,736,1331,956,3664,4,10,51,84,78,95,68,74,51,511,170,264,757,560,450,415,460,589,705,4360,2427,7063,17803,17292,15058,12400,9762,6611,3689,92108,3793,12310,29133,28611,21275,12673,7591,3317,1162,119872,248,467,1379,1335,1753,1834,1010,471,166,8662,383,476,1905,2192,4233,7013,6573,3648,1482,27907,118,87,305,325,550,777,846,754,346,4112
303,3587,12645,26392,24087,16969,10864,7145,2901,740,105326,230,407,956,956,1152,1100,584,228,72,5694,287,379,1366,1573,2461,3716,2912,1630,457,14778,78,80,261,344,425,538,502,395,176,2798,38,42,159,200,309,424,715,1114,551,3559,10,45,214,211,188,209,203,117,75,1259,323,645,1471,1075,845,725,662,577,308,6646,4559,14240,30822,28448,22348,17581,12718,6966,2379,140052,3720,12739,27736,26124,18491,11799,6635,2517,838,110590,190,303,761,681,988,951,695,276,90,4932,228,301,970,1204,2340,4213,4273,2543,1104,17178,58,50,185,291,346,502,643,535,230,2840,22,31,131,232,360,508,1100,1585,1166,5134,3,37,190,221,261,294,269,188,169,1628,315,571,1322,1021,758,669,644,658,603,6553,4528,14038,31288,29770,23538,18937,14251,8304,4198,148852,7303,25381,54131,50203,35451,22663,13776,5421,1581,215913,417,715,1721,1637,2135,2056,1279,510,162,10626,517,680,2333,2778,4796,7930,7180,4171,1561,31956,143,131,439,632,768,1037,1139,930,407,5637
304,2832,6573,8955,11156,10498,6803,5242,2627,652,55331,82,151,363,405,544,551,306,164,47,2617,161,144,460,576,1070,1413,1273,851,284,6236,35,29,57,89,111,145,148,140,79,827,18,3,31,44,57,86,167,277,154,844,5,10,34,34,37,50,36,30,9,249,138,261,336,290,224,194,195,271,192,2108,3266,7177,10244,12603,12551,9232,7375,4353,1418,68204,2867,6102,9707,12872,11775,7294,5064,2250,730,58667,74,102,278,343,502,548,470,277,82,2680,114,117,294,401,1001,1756,2281,1493,662,8115,33,11,45,75,85,136,210,209,146,949,10,3,19,39,66,105,250,445,437,1374,4,3,24,36,43,51,40,32,22,265,134,166,314,302,235,188,279,337,419,2375,3233,6506,10683,14066,13710,10079,8597,5047,2496,74422,5696,12672,18655,24028,22276,14093,10309,4877,1381,113996,157,255,642,752,1050,1098,773,439,128,5298,277,262,758,978,2068,3163,3554,2348,945,14349,68,36,101,166,194,281,356,344,220,1772
305,3076,12749,27787,19634,15223,9913,5831,2295,521,97035,154,388,1146,744,822,844,409,181,41,4726,150,311,1167,1079,1606,2106,1536,788,228,8956,37,60,180,200,252,275,215,177,71,1472,9,32,70,92,120,148,279,417,237,1401,0,24,89,64,56,39,46,40,42,409,333,872,2433,1634,1340,937,737,493,240,9018,3755,14435,32871,23452,19425,14260,9060,4391,1380,123020,3543,14701,28953,19850,16026,9749,5323,1985,639,100778,148,359,887,529,770,760,506,253,81,4301,149,294,763,686,1282,2371,2325,1281,571,9726,31,59,101,125,141,212,226,215,130,1240,10,19,57,56,86,133,321,567,431,1688,3,17,85,52,56,54,55,75,63,458,380,1002,2265,1353,967,842,621,523,383,8326,4268,16460,33121,22654,19330,14115,9382,4899,2292,126510,6615,27454,56743,39493,31243,19666,11160,4278,1168,197809,306,745,2030,1267,1599,1603,921,437,116,9022,293,606,1929,1768,2887,4477,3863,2062,797,18684,66,120,281,323,396,484,449,395,198,2711
306,1638,4523,9591,9084,8640,6481,5655,2244,427,48278,361,510,1155,1254,1725,1921,1249,420,77,8667,650,589,1987,2485,3949,6050,5194,2056,421,23372,165,115,369,490,641,1041,1124,674,164,4781,46,54,178,237,309,600,1142,1293,526,4379,12,23,85,88,118,132,107,91,40,680,702,869,2185,1731,1865,1840,1933,1057,361,12547,3563,6681,15550,15361,17245,18064,16394,7819,2023,102708,1643,4817,11966,11949,10990,7458,4840,1820,388,55876,286,334,935,1201,1634,1982,1274,391,86,8122,425,429,1482,1949,3361,6119,5583,2323,640,22315,136,80,293,325,501,863,1026,606,205,4033,29,30,119,212,241,465,980,1237,752,4066,15,11,87,109,145,131,138,97,61,779,645,803,2150,1621,1626,1778,1642,1055,534,11853,3181,6503,17031,17362,18495,18799,15495,7529,2659,107042,3283,9337,21554,21025,19635,13942,10492,4063,817,104153,641,843,2090,2454,3360,3906,2519,814,163,16792,1070,1019,3470,4435,7309,12174,10781,4373,1059,45691,298,193,658,820,1140,1911,2151,1274,364,8815
307,811,2237,4163,3571,3302,2305,1985,784,165,19326,178,256,507,559,655,621,441,181,35,3428,462,424,1422,1715,2742,4031,3171,1157,219,15336,121,91,244,336,503,810,818,383,100,3402,36,27,94,120,261,502,1113,1286,439,3870,5,9,26,19,24,50,63,50,27,267,338,406,1002,892,1044,1068,823,566,235,6372,1946,3437,7444,7219,8531,9386,8407,4404,1216,52000,788,2321,4945,4720,4320,2863,1897,790,193,22829,113,194,460,498,667,681,429,181,50,3267,260,303,934,1152,2162,3772,3231,1414,399,13625,83,51,179,222,352,624,624,337,135,2610,19,19,47,69,147,277,784,1058,551,2970,6,5,17,15,14,27,54,49,18,212,286,300,736,652,722,737,702,644,396,5165,1542,3189,7318,7324,8388,8976,7724,4476,1741,50676,1604,4557,9109,8290,7623,5165,3878,1569,356,42152,290,444,965,1054,1322,1301,870,362,87,6696,721,726,2349,2865,4907,7806,6406,2568,618,28965,198,139,425,555,856,1433,1440,721,235,6011
