SA4_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
101,127,113,1185,1302,329,2066,206,1448,139,6917,456,833,1976,1839,941,1084,512,1226,161,9025,2491,4651,4058,2861,2559,1448,1165,2202,477,21911,4207,5059,3103,2509,2957,1191,1141,1831,448,22441,5202,5046,3022,2755,3739,1408,1497,1986,485,25148,4159,3974,2377,2401,3132,1392,1627,2254,413,21726,1865,1332,597,513,884,446,505,612,158,6920,568,140,66,33,82,51,50,93,64,1153,73,14,6,0,11,0,3,5,20,132,19143,21160,16391,14215,14633,9093,6706,11665,2364,115366
102,175,178,1378,1497,291,3258,518,2352,153,9800,585,1411,2655,2764,1160,1958,707,1714,232,13194,2795,6907,5245,3895,3363,2061,1443,2387,486,28593,5041,8174,4652,3528,4276,1942,1598,2197,543,31952,5349,7300,4098,3972,4987,2174,2061,2724,566,33226,3589,5170,3115,3193,4431,1846,2019,2553,345,26259,931,1582,702,631,1128,532,487,576,133,6709,160,194,61,34,123,73,48,53,66,811,14,9,4,0,3,8,0,0,30,69,18643,30927,21918,19511,19751,13862,8889,14560,2553,150616
103,111,120,1029,1158,242,1786,220,1473,126,6260,384,824,1772,1710,659,940,548,1147,129,8124,1965,4084,3593,2533,1820,1314,1635,1850,305,19100,2889,3943,2742,2154,2198,1056,1694,1640,326,18635,3509,3647,2535,2264,2686,1061,1967,1920,340,19940,3130,2806,2001,1762,2436,963,1815,2081,244,17230,1814,952,522,407,698,323,548,572,133,5956,629,109,52,34,88,47,74,97,77,1197,89,4,8,3,7,4,0,9,28,149,14523,16495,14252,12016,10827,7495,8501,10788,1705,96596
104,74,40,571,681,129,1348,139,933,61,3970,199,338,901,944,368,658,185,682,92,4365,942,2233,1829,1679,1039,777,525,1377,190,10589,1613,2729,1538,1664,1392,750,550,1206,215,11655,2032,2801,1541,1805,1811,880,722,1388,238,13216,1637,2278,1298,1632,1691,915,853,1406,169,11872,699,767,315,303,486,256,263,376,74,3546,171,60,17,13,35,20,29,34,39,428,22,5,0,0,4,4,3,3,15,52,7396,11250,8017,8720,6963,5606,3261,7409,1085,59693
105,46,38,494,510,88,902,110,682,69,2942,219,487,835,795,336,403,260,583,82,4001,1108,2400,1760,1805,1082,742,838,1245,207,11185,1460,1909,1275,1352,1058,545,722,875,190,9381,1899,1668,1100,1245,1235,517,803,945,178,9586,1974,1431,994,1097,1260,579,931,1031,177,9461,1008,451,296,260,382,188,339,339,69,3342,344,42,23,14,58,27,33,57,44,642,52,4,0,0,3,5,3,5,13,84,8115,8416,6780,7076,5501,3908,4040,5763,1028,50623
106,164,148,1449,1598,291,2776,374,2163,155,9118,505,914,2773,2544,1007,1552,799,1668,199,11960,2349,4628,6003,3742,2992,1934,2720,3024,494,27888,3423,4798,4723,3212,3309,1607,3338,2427,490,27322,3717,4222,4043,3264,3738,1710,3527,2672,500,27393,2838,3187,2953,2362,2936,1446,2713,2395,345,21178,1054,981,539,463,737,325,648,571,123,5425,266,119,45,30,88,45,64,70,52,785,44,3,5,4,3,4,0,6,19,88,14356,18994,22536,17224,15106,11389,14179,15000,2376,131161
107,126,206,1528,1523,392,2596,344,1846,117,8675,628,2102,2880,3244,1517,1998,671,1469,234,14740,2916,9151,5313,4041,3395,1835,1713,2033,476,30865,4473,8522,4096,3350,3919,1612,2028,1883,489,30373,4509,6940,3728,3458,4556,1717,2186,2283,481,29864,2888,4765,2841,2536,3344,1369,1908,2211,322,22182,655,1287,510,430,764,332,386,476,85,4929,100,142,38,24,49,27,30,52,30,501,13,3,6,4,0,6,3,0,8,48,16304,33120,20944,18602,17940,11490,9271,12242,2251,142171
108,105,77,875,1168,195,2046,157,1399,126,6153,285,568,1309,1544,530,901,285,858,118,6403,1197,3118,2479,2285,1330,1090,643,1551,229,13914,2120,3664,2313,2305,1801,1121,739,1489,300,15837,2756,3858,2429,2961,2534,1405,1163,1923,329,19347,2605,3395,2126,2650,2587,1434,1398,2167,291,18655,1139,1145,564,523,710,425,390,563,139,5603,357,119,54,29,85,37,51,69,97,895,34,8,3,4,3,4,0,6,30,95,10598,15949,12155,13456,9779,8459,4826,10023,1655,86902
109,86,43,606,620,128,1150,77,799,82,3580,268,421,1034,966,365,527,243,650,90,4565,1200,2264,1981,1425,963,688,696,1154,173,10549,1882,2326,1450,1183,1236,583,682,1051,178,10565,2175,1980,1326,1290,1606,727,856,1194,198,11352,2038,1607,1133,1098,1507,697,1035,1296,189,10605,952,502,324,281,480,255,364,384,86,3638,273,58,28,12,62,31,37,71,53,618,37,4,0,0,0,5,0,7,13,66,8913,9200,7884,6885,6352,4654,3993,6611,1050,55539
110,131,92,829,872,209,1613,202,1206,114,5266,347,682,1275,1201,540,799,454,1199,114,6618,1624,3297,2543,2036,1484,1048,1291,2359,257,15940,2383,3220,2043,1690,1705,869,1195,1830,219,15164,3132,2968,1660,1876,2055,1017,1330,1800,248,16085,2968,2416,1509,1556,1993,920,1474,1858,244,14940,1844,871,444,364,606,287,481,568,130,5590,599,96,59,24,86,35,75,92,74,1147,82,4,3,0,4,0,5,9,24,139,13113,13654,10360,9620,8684,6599,6505,10917,1427,80873
