SA4_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
101,425,1855,8673,32263,26204,5941,1624,4789,81779,30,488,2557,1731,158,18,15,443,5424,18,257,1377,1271,152,14,11,211,3299,47,740,3929,3001,316,29,19,650,8727,63,916,1949,661,86,15,22,363,4076,18,197,511,87,8,4,0,73,897,0,220,697,56,0,0,0,57,1042,0,17,61,7,0,0,0,3,87,0,34,39,36,12,6,3,15,143,88,1388,3258,837,109,27,32,506,6239,176,406,374,120,51,15,18,290,1444,49,104,123,81,46,12,25,92,531,773,4496,16355,36308,26720,6025,1713,6327,98716
102,272,1828,12349,40734,36443,9121,2069,4664,107480,64,652,4615,3906,189,31,17,765,10223,19,472,1689,3469,377,37,13,448,6522,79,1124,6297,7370,567,69,29,1215,16745,84,982,3095,1975,212,31,14,645,7028,23,117,966,401,22,0,0,100,1638,38,271,1717,432,21,4,3,195,2682,0,73,369,157,6,0,0,37,641,12,73,203,84,37,20,5,24,444,154,1506,6353,3046,295,48,25,1000,12438,76,297,439,143,24,11,0,212,1200,33,73,69,51,27,5,8,43,313,612,4828,25513,51354,37356,9253,2136,7129,138174
103,253,1220,7870,31031,24669,5099,1236,4938,76320,38,625,2566,1269,168,22,10,493,5186,3,218,258,221,50,7,0,112,875,40,847,2824,1487,214,24,17,600,6064,55,526,1265,211,40,7,10,304,2429,3,27,60,3,0,0,0,37,135,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,4,0,20,14,8,7,0,0,5,64,61,572,1342,233,49,12,7,353,2628,87,216,127,126,104,35,13,280,993,29,61,47,88,57,14,18,71,371,476,2921,12202,32957,25092,5180,1292,6245,86372
104,262,1136,5335,20712,14208,2877,710,2598,47834,16,292,1646,950,84,12,5,286,3281,5,114,714,1030,160,25,4,157,2214,20,403,2360,1980,243,37,16,436,5498,33,483,1910,664,49,10,4,342,3493,3,66,340,92,7,3,0,40,559,0,67,149,78,10,0,0,26,329,5,0,70,43,0,0,0,0,120,3,50,40,18,6,5,0,12,139,45,664,2509,893,74,16,4,422,4633,351,728,367,216,87,15,4,357,2129,39,101,76,60,22,12,4,31,340,728,3042,10639,23864,14637,2952,738,3851,60448
105,160,801,4471,16892,11996,2155,543,4322,41340,12,295,1249,371,82,10,6,313,2332,0,11,52,31,5,0,6,20,123,12,299,1302,399,81,16,6,334,2452,36,519,985,120,21,0,3,306,1973,0,8,11,0,0,0,0,3,17,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,8,3,9,0,0,4,30,36,530,997,120,24,3,3,311,2024,134,310,188,104,38,7,3,286,1075,54,133,95,101,69,30,27,122,635,390,2074,7055,17614,12213,2214,585,5377,47524
106,211,1175,8509,37869,37228,6476,1445,4033,96940,11,581,3759,2618,287,21,7,569,7851,3,342,919,1493,368,27,16,232,3400,14,919,4675,4119,663,52,23,801,11255,24,524,776,203,31,6,3,180,1745,0,26,150,87,3,0,0,17,279,0,28,289,157,13,0,0,13,503,0,0,0,0,0,0,0,0,0,4,28,86,42,28,7,6,13,207,25,598,1299,485,74,20,9,225,2736,113,415,367,120,28,8,5,233,1282,32,71,72,70,37,19,0,38,333,397,3181,14918,42657,38023,6571,1487,5324,112548
107,101,793,6067,37843,30108,6938,1440,2932,86229,44,564,2919,2316,227,31,5,392,6492,13,605,2662,4813,602,49,17,527,9277,58,1168,5577,7135,823,76,22,914,15774,69,1384,3982,1226,149,34,16,530,7397,18,396,2290,548,26,3,0,305,3591,27,569,2560,1028,35,0,3,261,4484,12,243,1114,657,37,0,0,95,2168,7,81,141,93,61,20,8,21,431,135,2668,10089,3552,314,65,36,1224,18075,43,264,464,120,38,18,6,147,1096,15,43,64,58,11,10,7,41,248,354,4931,22261,48702,31305,7100,1513,5256,121418
108,351,1517,9386,34612,22847,4293,998,4439,78440,29,501,3427,2483,178,20,9,612,7263,3,171,669,910,147,23,4,132,2070,34,678,4100,3394,324,46,16,749,9327,52,990,2436,668,47,9,10,458,4670,11,105,916,207,9,0,3,79,1336,14,173,860,351,14,0,0,79,1486,0,18,112,106,0,0,0,21,263,6,18,25,11,30,3,0,11,112,88,1306,4356,1340,94,13,13,652,7864,253,642,506,153,55,16,5,535,2167,41,112,110,63,23,3,3,85,441,763,4249,18462,39564,23340,4371,1032,6460,98245
109,100,507,4671,19590,13439,2071,436,3113,43928,14,646,3639,757,56,9,7,547,5680,0,126,192,115,19,6,0,69,538,16,778,3835,875,73,13,7,617,6213,5,114,204,42,3,0,3,65,441,4,9,64,0,0,0,0,11,85,0,0,25,4,0,0,0,6,35,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,10,11,127,293,50,7,0,3,81,575,54,126,118,68,29,4,6,181,574,17,28,52,54,39,7,10,91,295,190,1560,8976,20628,13590,2106,454,4076,51583
110,266,1220,6817,28202,19688,3956,1022,5719,66884,50,720,2723,828,109,23,15,751,5220,5,165,416,132,26,3,0,114,862,52,881,3141,965,138,29,15,865,6085,21,406,653,131,22,4,3,228,1477,0,7,55,5,0,0,0,19,89,0,0,23,3,0,0,0,0,29,0,0,0,0,0,0,0,0,5,0,11,14,8,3,3,4,3,47,21,431,745,152,25,11,5,252,1642,160,332,117,78,39,8,8,347,1096,40,105,67,83,31,13,23,73,432,553,2973,10876,29474,19919,4013,1072,7252,76139
