SA4_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
101,..,317,268,88,77,70,42,7,4,880,..,340,459,172,278,429,299,110,29,2127,..,351,910,833,1354,2823,3398,2676,1280,13622,370,726,516,237,246,371,264,145,73,2941,8,14,22,15,8,25,13,3,0,102,18748,10775,12665,13017,14985,16313,14078,7375,2371,110337,..,329,8138,14199,16550,18482,17204,8131,1487,84528,..,2098,6416,4186,4116,3482,1922,479,61,22756,..,268,1322,2099,2476,1428,745,552,365,9265,38118,..,..,..,..,..,..,..,..,38118,..,8305,..,..,..,..,..,..,..,8305,..,7023,3055,1108,881,546,111,5,0,12726,..,789,511,241,368,634,758,520,260,4083,..,621,735,244,222,197,112,30,13,2170,..,812,1260,464,585,899,661,251,59,4987,..,731,2084,1967,3244,5741,6125,4196,1812,25900,729,1339,1053,545,545,672,521,241,96,5740,18,19,47,21,15,36,27,11,5,200,38857,22333,24627,25076,29004,32113,28188,14410,4175,218779
102,..,614,413,141,175,142,69,38,11,1604,..,619,714,269,503,738,562,249,60,3717,..,342,951,874,1715,3828,5585,4852,2663,20811,435,599,423,244,269,314,290,144,76,2796,8,4,16,14,20,28,24,3,6,124,28791,18061,18577,20473,21833,22538,20524,12521,4700,168012,..,440,10952,22306,23212,23892,22376,12574,2454,118204,..,3123,9746,6108,5235,3814,1987,753,91,30852,..,470,2408,4087,5090,2949,1428,1001,752,18198,58710,..,..,..,..,..,..,..,..,58710,..,14925,..,..,..,..,..,..,..,14925,..,12627,6128,2124,1574,1016,220,11,0,23703,..,1229,894,481,629,1309,1485,1049,592,7685,..,1175,1081,496,472,406,181,80,11,3907,..,1217,1810,721,1185,1557,1219,547,117,8359,..,678,2196,2383,4027,7049,8741,7157,3634,35862,891,1128,856,581,576,582,512,252,120,5494,29,20,26,30,30,50,40,9,6,246,59632,37032,36099,39320,42035,42630,38188,23428,7781,326143
103,..,269,172,64,63,61,27,13,8,676,..,531,463,141,241,293,268,86,29,2048,..,462,836,636,1171,2383,2834,2714,1313,12354,354,629,352,185,202,255,206,125,48,2349,7,5,8,6,14,9,3,3,0,60,18691,10458,11709,11327,12388,12936,11222,6642,2335,97705,..,395,7717,12151,13613,14618,13594,6788,1302,70195,..,2512,6034,3405,2840,2270,1032,328,39,18466,..,384,1633,2246,2339,1225,660,533,416,9437,37864,..,..,..,..,..,..,..,..,37864,..,7391,..,..,..,..,..,..,..,7391,..,6313,2391,1005,805,557,110,0,0,11188,..,858,486,231,352,616,669,431,224,3863,..,562,438,203,192,157,82,29,15,1678,..,1090,1094,378,541,680,599,212,45,4631,..,934,2005,1741,2835,4841,5160,4214,1819,23550,703,1190,764,496,471,484,395,204,77,4774,13,13,22,12,17,9,14,7,0,112,38580,21650,22585,21881,24003,25462,22316,12745,3934,193151
104,..,264,249,98,87,72,27,7,7,813,..,325,366,152,265,465,310,95,20,1998,..,162,389,386,802,1799,2283,2030,988,8833,212,402,233,148,173,244,201,92,44,1731,3,13,17,7,10,16,4,0,0,76,11497,6522,7059,7633,8883,10304,9633,5443,1920,68887,..,211,3956,7259,8607,10341,11120,5818,1184,48500,..,1292,3417,2454,2373,2235,1384,359,67,13580,..,200,1095,1715,1892,1012,567,431,328,7252,23041,..,..,..,..,..,..,..,..,23041,..,4766,..,..,..,..,..,..,..,4766,..,4073,1850,843,663,453,112,8,0,8003,..,618,372,191,263,531,587,353,258,3167,..,525,534,256,249,188,101,41,5,1904,..,615,815,377,572,895,688,203,49,4213,..,313,883,944,1703,3445,4067,3021,1374,15750,421,729,527,382,358,424,388,159,63,3449,20,24,46,19,16,23,13,0,0,157,23480,13361,13508,14428,16703,19558,19027,10386,3326,133769
105,..,180,148,31,36,24,24,9,5,459,..,263,321,89,151,186,130,57,15,1214,..,281,562,365,646,1285,1435,1363,680,6614,239,403,209,123,138,229,157,67,28,1587,0,5,13,5,6,7,3,0,0,39,9889,5448,7020,5781,6040,6871,5518,3336,1146,51045,..,165,4292,5771,5975,7217,6188,3263,632,33499,..,1371,3325,1732,1525,1247,556,165,24,9944,..,275,1178,1263,1235,725,434,270,184,5567,19771,..,..,..,..,..,..,..,..,19771,..,3262,..,..,..,..,..,..,..,3262,..,3053,1345,601,470,281,49,3,0,5798,..,693,366,140,262,406,416,236,108,2632,..,379,368,115,116,90,63,19,5,1156,..,512,768,209,300,374,303,119,39,2623,..,548,1284,933,1527,2726,2813,2122,920,12878,479,759,451,298,296,382,301,130,43,3137,8,8,34,12,4,6,8,0,0,86,20258,11031,13403,11076,11707,13457,11130,6325,1954,100345
106,..,472,305,123,107,93,57,18,12,1181,..,420,466,225,353,464,341,118,22,2421,..,382,910,709,1332,2684,3489,2881,1448,13837,519,699,460,252,283,297,277,158,88,3035,8,11,21,15,5,21,9,3,4,95,26540,15539,17615,17008,17679,17858,15517,8339,2690,138792,..,493,11468,18305,19183,20727,19213,9413,1547,100355,..,3589,9408,5333,4481,3107,1548,471,52,27992,..,508,2568,3520,3684,1951,976,657,415,14280,53463,..,..,..,..,..,..,..,..,53463,..,11174,..,..,..,..,..,..,..,11174,..,10729,4337,1623,1216,618,121,0,0,18641,..,1236,758,334,546,1012,1037,691,338,5958,..,974,856,405,348,256,150,45,13,3050,..,907,1262,606,751,981,796,259,35,5597,..,795,2356,2185,3298,5314,6017,4335,1947,26245,1089,1221,978,640,586,542,476,254,113,5895,15,11,27,20,20,31,22,12,4,158,54569,31647,34033,32961,34105,34540,30359,16126,4467,272805
107,..,507,365,99,106,95,46,15,5,1244,..,1877,1303,240,326,420,304,122,32,4624,..,430,1144,927,1471,2974,3841,3550,1959,16302,372,578,433,249,199,248,200,120,69,2466,3,11,13,19,15,30,16,4,0,111,26046,18545,19135,18934,19410,19376,15994,9732,3670,150843,..,406,11721,22024,22428,22729,19532,10350,2187,111375,..,2941,9864,5145,4113,2888,1335,429,74,26789,..,324,1653,3231,4084,2479,1052,906,642,14372,53050,..,..,..,..,..,..,..,..,53050,..,14386,..,..,..,..,..,..,..,14386,..,11714,5994,2029,1527,907,175,3,0,22345,..,1303,882,388,507,987,1020,778,448,6319,..,970,944,321,269,230,108,40,13,2891,..,3754,3413,655,724,911,634,264,59,10406,..,823,2538,2426,3482,5857,6249,5118,2658,29164,761,1043,894,598,493,500,357,181,105,4926,21,23,31,26,26,38,37,11,0,210,53835,37687,37929,36835,37659,37524,30509,18077,6195,296236
108,..,355,213,82,99,106,70,30,10,967,..,445,397,186,320,615,544,216,71,2791,..,252,597,461,1192,3009,4056,3786,2099,15455,429,590,386,246,278,377,377,168,86,2936,7,7,5,14,3,6,6,7,0,60,16565,9786,9544,10602,13213,17215,17592,10588,3755,108860,..,238,5123,9950,12722,17408,20922,11678,2317,80367,..,1865,4498,3372,3565,3470,2306,807,112,20004,..,346,1678,2443,2815,1677,940,731,516,11154,32886,..,..,..,..,..,..,..,..,32886,..,7210,..,..,..,..,..,..,..,7210,..,6327,2825,1418,1194,804,158,5,0,12743,..,932,483,212,388,849,976,647,395,4875,..,724,532,263,309,262,184,70,18,2361,..,799,901,454,710,1249,1134,473,123,5844,..,486,1290,1262,2657,5807,7343,5789,2934,27569,866,1129,810,585,599,691,689,284,130,5785,10,13,23,25,16,27,16,11,3,139,33764,20079,18163,19980,24980,32247,34676,20500,6551,210942
109,..,155,92,36,36,11,11,12,0,348,..,387,277,93,140,209,157,66,10,1345,..,301,584,412,683,1446,1832,1669,865,7794,142,247,160,86,109,153,105,63,30,1093,0,0,3,0,5,8,0,0,0,24,10025,5964,6404,6502,7045,7926,7040,4235,1401,56551,..,148,4088,7002,7670,9010,8717,4541,859,42031,..,1351,3349,1888,1714,1483,775,235,26,10817,..,185,786,1250,1322,674,332,287,172,5005,20306,..,..,..,..,..,..,..,..,20306,..,4278,..,..,..,..,..,..,..,4278,..,3477,1299,481,401,251,49,0,0,5967,..,471,256,136,169,302,305,197,93,1934,..,333,247,100,92,53,43,21,10,907,..,743,776,238,324,392,376,138,20,3001,..,584,1317,1056,1642,2916,3297,2494,1216,14521,291,496,372,228,246,261,225,102,46,2265,4,5,13,0,8,15,4,6,0,52,20609,12062,12500,12394,13591,15353,14118,8017,2437,111084
110,..,282,210,62,53,55,18,12,5,696,..,554,458,164,216,336,230,77,24,2057,..,447,786,573,1055,2058,2460,2453,1171,11010,338,584,309,156,189,257,196,99,55,2179,8,13,16,4,6,5,4,3,0,62,15544,9246,10182,9461,10252,11341,9685,6115,1995,83816,..,331,6164,9763,10988,12535,11560,6338,1144,58828,..,2425,5025,2731,2386,1911,1001,257,29,15768,..,401,1635,2052,1831,1083,576,497,320,8399,31356,..,..,..,..,..,..,..,..,31356,..,5900,..,..,..,..,..,..,..,5900,..,4871,1952,862,741,449,89,4,0,8974,..,932,499,226,351,600,610,370,176,3766,..,585,549,225,177,135,70,22,5,1770,..,1156,1208,390,481,682,526,186,39,4673,..,928,1815,1523,2398,4214,4486,3634,1575,20570,727,1088,704,409,458,450,376,172,77,4458,12,14,52,19,6,18,9,3,4,135,32087,18629,19608,18197,19813,22080,19310,11489,3363,164579
