SA4_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
101,27,31,52,273,272,545,7,5,13,3,3,9,60,61,123,39297,34119,73416,2426,2973,5401,1355,51,1407,465,52,520,275,98,373,435,203,636,2135,2102,4239,46764,39974,86736,12,0,15,0,0,0,0,0,0,41,31,74,9,8,15,4,7,6,60,46,110,0,0,0,0,5,7,34,46,81,26,50,77,4,14,17,65,115,181,476,244,725,607,410,1013,14,8,16,9,16,26,36,10,46,52,35,82,6374,7886,14261,5000,7458,12457,446,367,816,59249,56122,115366
102,711,416,1125,345,480,823,24,4,30,0,4,0,30,40,65,41575,32438,74007,2325,2555,4879,1140,26,1169,415,39,449,216,65,273,293,212,506,851,1005,1859,47916,37273,85193,229,163,388,5,7,8,0,0,0,290,101,393,39,32,68,38,13,53,598,319,917,3,9,10,0,0,0,17,24,37,30,56,93,12,19,28,68,102,170,446,166,615,1109,590,1702,95,65,159,14,14,30,13,3,21,130,81,208,16930,22014,38943,9378,14515,23887,367,315,682,75829,74786,150616
103,15,12,22,320,144,460,19,3,23,0,0,0,87,110,198,33359,29232,62595,2504,2355,4855,1066,29,1097,279,44,327,193,44,236,322,139,460,1887,1690,3579,40046,33808,73853,5,0,8,4,0,4,0,0,0,6,11,15,0,0,0,3,3,8,13,12,29,0,0,0,0,0,0,30,6,37,11,12,28,0,8,8,46,31,72,398,187,586,461,232,684,0,7,6,4,7,9,25,3,33,30,22,51,5274,6457,11733,3845,5745,9594,358,321,675,50019,46576,96596
104,13,3,13,121,154,274,4,0,7,0,0,0,24,40,63,19614,18965,38578,1399,1592,2989,581,21,602,259,38,295,311,104,420,155,79,232,888,894,1778,23375,21896,45259,0,6,6,0,0,0,0,0,0,9,3,16,0,0,0,3,0,3,12,10,18,0,0,0,0,0,0,9,4,16,8,19,24,4,0,3,26,21,41,216,127,343,257,157,413,6,0,0,0,4,8,9,0,12,17,5,23,3030,3919,6944,2579,4018,6598,235,216,451,29482,30211,59693
105,3,0,7,161,78,248,0,3,8,0,0,4,34,58,94,17223,15658,32879,1376,1540,2910,595,22,617,222,46,265,143,40,181,204,115,325,1205,1166,2369,21173,18727,39900,0,6,6,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,3,11,0,0,0,0,0,0,18,6,25,0,5,4,0,0,3,16,14,35,209,109,320,238,131,367,6,0,10,7,4,7,28,4,31,37,4,48,2404,2816,5219,1873,2774,4642,237,203,445,25965,24649,50623
106,94,63,155,133,180,309,22,7,33,3,0,9,41,32,71,43995,33922,77915,2309,2381,4684,1181,31,1211,377,38,412,196,47,240,361,240,599,1405,1199,2603,50104,38143,88248,15,20,36,0,0,0,3,7,10,33,13,44,8,5,14,17,5,25,77,53,134,0,0,0,3,5,5,9,9,16,16,27,49,3,3,10,31,44,79,452,199,644,560,295,855,31,19,54,6,0,8,15,6,22,51,31,83,8231,12487,20719,8481,12129,20609,355,292,644,67777,63385,131161
107,570,291,862,364,484,845,16,0,11,5,5,6,64,60,118,41737,30384,72120,1910,2324,4233,905,16,927,407,33,440,423,88,511,292,220,512,1166,1318,2478,47852,35219,83069,60,67,120,0,0,0,3,5,3,165,65,224,22,23,45,25,11,38,275,164,442,0,0,0,0,0,0,34,22,59,30,64,95,14,14,34,78,102,185,366,179,535,722,445,1163,37,32,64,3,22,24,11,5,13,54,53,109,14949,20392,35337,8783,13206,21994,273,228,497,72623,69542,142171
108,20,4,24,122,151,274,8,3,11,0,0,6,40,58,96,28119,27728,55849,1817,2280,4100,1064,32,1094,347,50,399,247,91,341,216,112,331,1367,1302,2669,33372,31824,65193,0,4,4,0,0,0,0,0,0,6,5,10,3,0,3,3,0,3,9,6,16,0,0,0,0,0,0,6,13,19,15,24,37,8,3,9,25,34,68,339,183,526,377,232,608,3,3,4,0,0,4,14,4,15,17,7,22,4754,5894,10646,3737,5934,9670,395,368,760,42644,44257,86902
109,3,8,8,81,77,160,8,3,14,0,0,0,47,37,86,19884,17654,37541,1174,1249,2421,483,6,494,181,28,209,281,88,370,198,66,264,1073,1055,2128,23410,20290,43705,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,4,7,14,6,10,17,6,5,9,14,17,30,196,123,316,212,143,356,0,0,0,0,5,4,22,4,36,27,13,40,2756,3253,6010,1707,3272,4985,252,198,448,28374,27166,55539
110,3,3,4,311,130,445,5,4,15,3,0,0,43,61,104,25810,22848,48654,1962,2087,4053,1062,47,1106,349,57,404,186,51,240,303,166,470,1505,1380,2885,31546,26831,58373,0,0,4,0,0,0,0,0,0,3,3,9,0,0,0,0,0,7,8,7,17,0,0,0,0,0,0,49,17,62,28,14,38,8,5,6,84,34,112,293,141,439,381,181,567,0,4,9,7,8,13,21,0,21,24,12,39,5480,6616,12100,3762,5409,9166,346,281,628,41541,39333,80873
