SA4_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
101,1436,8286,6423,81030,1028,98209,30,369,176,8859,160,9593,1632,108,174,547,10,2469,841,184,83,441,18,1562,1704,589,412,1237,30,3978,13618,7659,5891,70730,1128,99026,1436,66,282,58,12,1846,505,123,111,570,14,1317,2652,847,678,6504,103,10783,705,205,98,580,18,1601,439,132,60,217,5,846,2018,72,67,73,6,2230,2813,1826,1275,25630,280,31820,2169,780,329,3121,58,6458,201,20,32,8,5,259,389,142,62,277,9,880,996,162,77,222,15,1480,519,196,89,590,15,1406,460,197,144,146,7,956,653,365,273,234,4,1526,856,192,138,489,19,1692,378,84,51,188,9,711,180,64,20,19,3,288,3516,1984,1564,19791,178,27027,542,95,64,122,6,841,438,102,70,60,0,675,447,48,60,220,4,782,153,32,22,30,0,231,314,18,30,20,0,381,592,203,94,751,7,1656,10351,1868,1479,3213,156,17069,485,87,95,1587,15345,17604,42858,15500,11589,157701,17933,245577
102,2182,15551,11251,107680,1339,138012,76,806,489,14719,178,16271,3744,244,362,805,41,5190,681,214,109,458,13,1477,2183,747,479,1673,27,5109,25922,13748,9835,96357,1592,147458,2719,169,614,161,22,3681,967,203,200,917,7,2288,2877,937,663,6837,83,11395,1127,346,168,1035,16,2692,555,149,74,259,10,1055,2877,191,124,202,10,3399,5973,3008,1916,30512,318,41724,3105,1288,534,4745,55,9726,1006,14,64,25,3,1107,503,205,87,406,9,1197,109,23,15,53,0,205,1509,491,270,1634,30,3927,1236,536,238,372,18,2401,1337,866,582,557,7,3349,1128,275,188,612,16,2224,894,109,142,278,15,1423,270,196,34,27,0,524,6274,3215,2221,24440,212,36358,377,69,29,119,4,604,1258,235,212,106,9,1818,1180,103,117,370,6,1777,217,60,29,55,6,373,470,37,87,17,4,617,1039,334,228,1115,12,2722,14433,3432,2600,4951,200,25614,798,183,133,2030,15743,18889,70493,27332,19419,209445,19064,345747
103,746,5627,4153,80460,922,91903,32,391,222,14946,247,15834,1135,62,103,419,21,1732,283,80,25,214,8,608,971,403,250,1000,19,2640,7016,5187,3968,70667,1079,87906,1136,41,253,86,14,1527,239,65,56,506,0,866,1228,485,370,5711,63,7859,278,102,48,342,12,789,195,65,38,126,3,429,1266,52,42,70,4,1436,1541,1262,757,23221,228,27008,872,436,196,2217,19,3744,167,13,22,7,0,209,174,87,24,222,3,516,52,16,3,17,3,87,296,119,112,555,7,1091,344,149,80,151,3,727,403,288,188,229,7,1116,416,137,66,381,7,1009,192,38,45,118,8,407,80,35,10,11,0,136,1919,1328,1057,17193,162,21656,132,16,5,41,4,204,359,80,48,29,0,521,221,34,12,149,4,419,131,24,16,14,0,191,235,0,17,3,4,259,288,145,81,643,4,1155,5875,1032,774,2441,101,10229,286,85,60,1824,14397,16662,23159,10273,7461,156673,16731,214290
104,717,4727,3415,48818,699,58381,20,281,143,8245,125,8808,800,112,81,306,8,1295,124,45,11,103,8,282,949,312,206,654,9,2132,7938,4521,3118,45720,784,62080,674,24,189,42,15,939,345,60,47,381,9,844,1300,438,305,4361,51,6452,158,80,15,217,4,486,167,51,28,83,5,334,1203,87,124,123,14,1554,1589,993,635,14541,161,17917,688,349,118,1666,14,2832,88,5,12,0,0,110,50,31,11,89,4,179,16,6,0,7,0,30,181,92,54,266,4,599,239,118,67,97,4,519,385,221,161,147,7,922,308,103,70,214,4,700,135,45,24,94,5,302,48,24,14,11,0,94,1928,1209,808,12659,124,16724,42,5,0,27,4,83,327,59,47,51,0,482,218,25,33,122,3,395,41,15,7,12,0,69,121,5,17,13,0,159,299,97,75,403,4,879,6587,985,886,2000,113,10578,316,56,56,1103,9396,10926,22498,8762,6234,99413,11090,147996
105,366,2170,1643,42368,482,47033,20,337,142,17034,300,17844,550,23,45,302,7,933,92,23,8,72,0,196,351,134,104,352,5,948,2392,1947,1444,35461,558,41805,749,11,138,54,12,970,91,20,23,255,4,394,475,196,136,3161,44,4006,124,41,20,188,5,378,53,27,10,30,0,116,941,29,18,45,0,1035,553,440,315,10425,114,11846,347,207,48,1126,6,1743,75,0,4,0,0,85,64,26,17,100,0,204,20,9,0,15,0,42,115,77,31,293,8,513,176,49,41,65,3,327,159,103,90,77,6,439,129,36,34,152,0,362,55,10,25,40,0,130,39,6,0,6,0,50,666,517,357,8214,83,9828,63,8,0,5,4,85,136,14,24,16,0,197,74,14,8,63,5,153,99,5,10,4,0,120,92,6,13,0,0,113,83,41,28,251,0,407,3575,393,328,1214,42,5555,189,38,32,856,12858,13975,10806,4042,2941,85604,14164,117554
106,1155,8784,6750,110529,1087,128309,54,621,338,20498,220,21732,1424,103,143,528,13,2216,363,109,33,273,18,795,1369,566,383,1392,15,3715,12388,8300,5985,97552,1179,125405,1673,81,524,142,14,2424,438,96,71,619,13,1227,1782,852,546,9092,100,12373,375,175,57,575,4,1183,229,87,34,181,5,540,1516,98,32,133,10,1786,2683,1483,1054,25360,231,30810,1091,585,202,2956,34,4865,198,7,26,9,0,250,153,76,29,188,0,443,100,39,8,109,0,261,473,191,111,658,5,1438,711,271,137,256,11,1389,724,473,333,323,15,1876,842,204,140,933,17,2137,267,43,45,210,9,578,183,96,35,48,3,371,3469,2207,1559,24138,191,31561,146,39,12,63,3,261,692,126,85,72,4,985,385,82,24,280,8,780,75,24,23,32,0,155,309,18,29,13,0,363,574,238,147,1239,13,2206,7150,1660,1327,3898,113,14150,424,125,88,2470,13823,16927,34324,16025,11648,212843,16420,291260
107,2971,13340,9859,84932,990,112101,66,606,348,9615,139,10778,4169,153,223,526,34,5103,1774,338,184,807,29,3134,2156,880,521,1991,32,5579,20767,11771,8959,73758,986,116243,2105,139,551,161,19,2972,704,139,151,707,4,1705,3498,1151,924,6494,111,12178,2221,527,286,1686,26,4749,662,175,60,357,7,1265,3066,119,106,115,9,3404,4323,2398,1661,23604,203,32189,6996,2020,961,6921,141,17031,450,24,48,35,0,553,1323,380,237,501,18,2451,6491,809,439,1835,66,9632,1582,546,282,1718,28,4153,949,312,211,256,10,1731,871,536,393,330,18,2146,1381,312,210,840,15,2753,430,73,60,244,6,820,210,104,21,32,5,373,5562,3038,2194,19737,180,30714,2181,262,147,375,16,2976,637,222,149,58,0,1074,2024,310,200,743,29,3302,234,41,23,44,0,345,1258,43,84,78,9,1472,1226,399,302,1179,13,3123,19867,3528,2748,5095,235,31467,1108,174,132,1339,12211,14964,85787,25697,18719,167081,14887,312174
108,1029,7355,5183,81991,1552,97109,32,437,230,14793,355,15842,989,96,99,450,21,1654,247,70,27,155,11,516,1432,476,284,738,32,2957,12623,7079,4875,75360,1579,101515,1080,53,253,67,29,1480,437,112,78,586,8,1219,1836,581,393,5958,96,8859,285,129,35,367,11,827,233,82,22,120,3,460,897,67,35,79,3,1082,2415,1483,888,22004,288,27084,1053,497,160,2330,37,4083,127,6,24,6,0,159,131,76,15,208,0,423,37,5,0,24,0,68,498,172,75,497,11,1255,302,152,85,137,9,694,512,316,197,255,14,1304,536,121,69,296,10,1034,200,45,39,132,4,419,49,31,21,11,0,114,3019,1768,1220,18495,253,24748,100,16,9,32,4,163,416,91,49,35,3,597,321,39,36,203,3,607,89,16,9,11,4,124,211,8,21,3,3,251,470,142,97,586,11,1309,5333,1361,947,2733,117,10494,301,80,80,1780,13340,15583,29605,13289,9029,162447,16936,231310
109,535,3073,2190,42853,539,49195,17,152,67,4409,83,4719,576,33,39,200,3,847,158,54,22,113,5,349,738,266,175,657,16,1845,4041,2806,2055,39608,645,49149,790,29,133,38,6,994,109,35,17,260,6,424,884,390,262,5785,64,7381,199,63,22,229,4,520,127,42,12,82,6,268,1062,38,27,27,3,1157,811,655,443,13267,118,15297,800,350,123,2232,29,3528,67,6,11,10,0,91,49,26,22,114,0,204,17,3,0,12,0,35,92,46,20,156,5,317,223,48,32,67,5,371,209,144,106,114,6,574,237,71,39,223,0,573,83,20,15,43,0,164,26,16,9,3,18,73,1077,739,524,11079,118,13534,106,16,4,48,0,168,150,31,20,20,0,217,121,23,15,116,3,282,93,8,11,10,0,119,128,3,15,4,0,149,131,74,21,279,8,519,4276,584,421,1349,93,6720,205,37,26,1149,8244,9666,14997,5733,4024,88234,9663,122654
110,511,3800,3119,69420,876,77724,34,432,188,19192,351,20199,1226,49,78,505,14,1871,74,32,13,61,4,180,642,259,162,557,9,1629,5085,3658,2752,59299,1030,71826,1103,34,160,32,17,1350,197,48,48,324,7,620,937,393,257,6097,74,7754,111,36,24,221,4,396,95,23,14,80,0,211,947,22,16,53,0,1037,1076,796,554,17815,193,20433,395,212,75,1349,24,2049,133,3,9,4,0,143,89,34,15,166,0,305,17,6,0,7,0,34,136,56,24,271,6,493,260,91,62,116,11,536,293,181,138,161,5,776,187,53,22,198,3,470,109,19,32,80,0,241,70,25,9,5,0,108,1402,972,725,15556,147,18801,80,13,7,13,0,114,272,33,56,26,0,389,165,18,16,135,5,340,97,9,14,3,0,126,442,7,22,0,4,473,197,90,64,468,0,825,5653,785,671,2057,101,9258,266,43,32,1524,17085,18951,18219,7057,5371,136960,19372,186985
