SA4_CODE_2021,M_15_19_yr_VWOG_Volunteer,M_15_19_yr_VWOG_Not_vol,M_15_19_yr_VWOG_NS,M_15_19_yr_Oseas_visitors,M_15_19_yr_Total,M_20_24_yr_VWOG_Volunteer,M_20_24_yr_VWOG_Not_vol,M_20_24_yr_VWOG_NS,M_20_24_yr_Oseas_visitors,M_20_24_yr_Total,M_25_34_yr_VWOG_Volunteer,M_25_34_yr_VWOG_Not_vol,M_25_34_yr_VWOG_NS,M_25_34_yr_Oseas_visitors,M_25_34_yr_Total,M_35_44_yr_VWOG_Volunteer,M_35_44_yr_VWOG_Not_vol,M_35_44_yr_VWOG_NS,M_35_44_yr_Oseas_visitors,M_35_44_yr_Total,M_45_54_yr_VWOG_Volunteer,M_45_54_yr_VWOG_Not_vol,M_45_54_yr_VWOG_NS,M_45_54_yr_Oseas_visitors,M_45_54_yr_Total,M_55_64_yr_VWOG_Volunteer,M_55_64_yr_VWOG_Not_vol,M_55_64_yr_VWOG_NS,M_55_64_yr_Oseas_visitors,M_55_64_yr_Total,M_65_74_yr_VWOG_Volunteer,M_65_74_yr_VWOG_Not_vol,M_65_74_yr_VWOG_NS,M_65_74_yr_Oseas_visitors,M_65_74_yr_Total,M_75_84_yr_VWOG_Volunteer,M_75_84_yr_VWOG_Not_vol,M_75_84_yr_VWOG_NS,M_75_84_yr_Oseas_visitors,M_75_84_yr_Total,M_85_yr_over_VWOG_Volunteer,M_85_yr_over_VWOG_Not_vol,M_85_yr_over_Voluntary_wk_ns,M_85_yr_over_Oseas_visitors,M_85_yr_over_Tot,M_Tot_VWOG_Volunteer,M_Tot_VWOG_Not_vol,M_Tot_VWOG_NS,M_Tot_Overseas_visitors,M_Tot_Tot,F_15_19_yr_VWOG_Volunteer,F_15_19_yr_VWOG_Not_vol,F_15_19_yr_VWOG_NS,F_15_19_yr_Oseas_visitors,F_15_19_yr_Total,F_20_24_yr_VWOG_Volunteer,F_20_24_yr_VWOG_Not_vol,F_20_24_yr_VWOG_NS,F_20_24_yr_Oseas_visitors,F_20_24_yr_Total,F_25_34_yr_VWOG_Volunteer,F_25_34_yr_VWOG_Not_vol,F_25_34_yr_VWOG_NS,F_25_34_yr_Oseas_visitors,F_25_34_yr_Total,F_35_44_yr_VWOG_Volunteer,F_35_44_yr_VWOG_Not_vol,F_35_44_yr_VWOG_NS,F_35_44_yr_Oseas_visitors,F_35_44_yr_Total,F_45_54_yr_VWOG_Volunteer,F_45_54_yr_VWOG_Not_vol,F_45_54_yr_VWOG_NS,F_45_54_yr_Oseas_visitors,F_45_54_yr_Total,F_55_64_yr_VWOG_Volunteer,F_55_64_yr_VWOG_Not_vol,F_55_64_yr_VWOG_NS,F_55_64_yr_Oseas_visitors,F_55_64_yr_Total,F_65_74_yr_VWOG_Volunteer,F_65_74_yr_VWOG_Not_vol,F_65_74_yr_VWOG_NS,F_65_74_yr_Oseas_visitors,F_65_74_yr_Total,F_75_84_yr_VWOG_Volunteer,F_75_84_yr_VWOG_Not_vol,F_75_84_yr_VWOG_NS,F_75_84_yr_Oseas_visitors,F_75_84_yr_Total,F_85_yr_over_VWOG_Volunteer,F_85_yr_over_VWOG_Not_vol,F_85_yr_over_Voluntary_wk_ns,F_85yr_over_Oseas_visitors,F_85_yr_over_Tot,F_Tot_VWOG_Volunteer,F_Tot_VWOG_Not_vol,F_Tot_VWOG_NS,F_Tot_Overseas_visitors,F_Tot_Tot,P_15_19_yr_VWOG_Volunteer,P_15_19_yr_VWOG_Not_vol,P_15_19_yr_VWOG_NS,P_15_19_yr_Oseas_visitors,P_15_19_yr_Total,P_20_24_yr_VWOG_Volunteer,P_20_24_yr_VWOG_Not_vol,P_20_24_yr_VWOG_NS,P_20_24_yr_Oseas_visitors,P_20_24_yr_Total,P_25_34_yr_VWOG_Volunteer,P_25_34_yr_VWOG_Not_vol,P_25_34_yr_VWOG_NS,P_25_34_yr_Oseas_visitors,P_25_34_yr_Total,P_35_44_yr_VWOG_Volunteer,P_35_44_yr_VWOG_Not_vol,P_35_44_yr_VWOG_NS,P_35_44_yr_Oseas_visitors,P_35_44_yr_Total,P_45_54_yr_VWOG_Volunteer,P_45_54_yr_VWOG_Not_vol,P_45_54_yr_VWOG_NS,P_45_54_yr_Oseas_visitors,P_45_54_yr_Total,P_55_64_yr_VWOG_Volunteer,P_55_64_yr_VWOG_Not_vol,P_55_64_yr_VWOG_NS,P_55_64_yr_Oseas_visitors,P_55_64_yr_Total,P_65_74_yr_VWOG_Volunteer,P_65_74_yr_VWOG_Not_vol,P_65_74_yr_VWOG_NS,P_65_74_yr_Oseas_visitors,P_65_74_yr_Total,P_75_84_yr_VWOG_Volunteer,P_75_84_yr_VWOG_Not_vol,P_75_84_yr_VWOG_NS,P_75_84_yr_Oseas_visitors,P_75_84_yr_Total,P_85_yr_over_VWOG_Volunteer,P_85_yr_over_VWOG_Not_vol,P_85_yr_over_Voluntary_wk_ns,P_85_yr_over_Oseas_visitors,P_85_yr_over_Tot,P_Tot_VWOG_Volunteer,P_Tot_VWOG_Not_vol,P_Tot_VWOG_NS,P_Tot_Overseas_visitors,P_Tot_Total
101,934,5458,626,4,7026,645,5057,554,14,6277,1458,11174,1387,75,14102,2145,10414,1144,21,13733,2901,11733,1306,19,15962,3540,13131,1377,19,18061,3622,11123,1131,27,15903,1588,5675,644,4,7904,214,1824,278,3,2323,17054,75587,8447,193,101284,1043,4791,520,6,6358,684,4671,401,20,5773,1775,11360,991,57,14189,2995,10354,966,23,14332,3482,11966,981,17,16449,3884,13118,1120,28,18156,4149,10344,976,18,15489,1706,5850,712,11,8272,246,2756,437,0,3444,19973,75201,7102,180,102450,1975,10246,1143,11,13384,1339,9719,948,38,12049,3235,22534,2375,141,28285,5140,20760,2119,40,28059,6389,23702,2287,33,32411,7422,26247,2497,53,36215,7774,21468,2110,43,31393,3296,11518,1359,9,16181,460,4580,715,5,5761,37026,150790,15551,374,203732
102,1180,8783,583,7,10555,790,8109,474,16,9390,1381,16024,1106,12,18534,2275,16486,1048,28,19843,2660,17540,1094,26,21319,2545,17612,909,25,21099,2671,15110,923,27,18722,1550,9331,906,11,11802,236,3007,662,9,3909,15287,112009,7711,150,135157,1276,7989,516,7,9790,969,7663,482,4,9116,1721,16768,1084,20,19590,3167,17226,1102,17,21512,3417,18426,967,29,22835,3196,19387,945,41,23572,3527,16962,1127,31,21652,1705,10760,1306,8,13778,264,4907,1422,4,6603,19246,120092,8953,160,148441,2452,16772,1100,12,20344,1762,15769,955,12,18498,3101,32792,2189,32,38123,5446,33716,2150,41,41348,6075,35969,2061,53,44154,5740,37001,1854,66,44662,6194,32069,2059,56,40379,3254,20087,2212,22,25582,502,7915,2083,14,10513,34533,232092,16666,313,283603
103,887,5313,613,0,6811,570,4730,669,7,5978,1261,9890,1424,23,12597,1892,8933,1349,22,12195,2182,9724,1185,13,13116,2278,10634,1068,18,14004,2534,8818,889,10,12252,1330,4976,592,8,6904,220,1636,211,0,2065,13155,64653,8009,108,85916,980,4716,504,0,6201,648,4450,405,9,5508,1559,10245,868,15,12686,2595,8765,875,6,12245,2597,9921,866,22,13397,2686,10438,832,17,13974,3020,8379,744,4,12151,1547,5226,655,7,7439,274,2726,399,0,3396,15906,64864,6142,85,86997,1863,10027,1115,4,13010,1221,9178,1072,20,11489,2820,20132,2293,40,25280,4483,17698,2220,35,24432,4778,19646,2055,32,26515,4965,21074,1900,37,27977,5558,17197,1634,14,24404,2882,10202,1246,18,14345,498,4358,604,0,5468,29067,129515,14146,188,172914
104,466,3319,338,0,4130,290,2698,354,31,3373,665,5853,939,83,7540,1066,5852,849,34,7797,1359,6571,757,21,8712,1702,7834,707,8,10253,2049,7895,609,11,10560,929,4248,459,6,5647,128,1418,237,0,1781,8656,45683,5250,207,59797,510,3063,313,0,3889,332,2588,230,30,3185,909,6214,644,42,7806,1565,6115,623,21,8322,1742,7243,589,20,9592,2113,8452,583,26,11173,2538,7575,594,14,10722,1194,4422,553,3,6174,176,2095,452,0,2728,11073,47770,4589,155,63589,973,6382,654,3,8022,620,5291,586,63,6563,1574,12067,1587,123,15346,2629,11966,1472,60,16128,3098,13817,1353,41,18301,3812,16291,1283,33,21421,4587,15467,1199,23,21278,2126,8667,1015,7,11817,308,3512,684,0,4508,19729,93451,9841,360,123384
105,377,2553,514,0,3442,249,2423,440,9,3123,747,5786,1086,38,7654,996,4468,925,7,6400,1127,4809,864,6,6806,1268,5696,893,3,7869,1226,4747,750,11,6732,604,2519,460,0,3583,89,819,189,0,1097,6690,33816,6133,78,46716,435,2310,413,6,3155,324,2391,367,8,3085,898,6188,907,26,8018,1326,4525,832,7,6684,1317,4873,774,5,6961,1481,5662,769,8,7916,1481,4301,668,10,6458,812,2613,566,3,4001,145,1290,324,0,1763,8215,34147,5618,63,48041,812,4859,926,5,6601,571,4814,815,17,6211,1645,11972,1989,64,15668,2318,8996,1756,13,13083,2443,9677,1634,11,13769,2750,11356,1660,17,15787,2714,9046,1415,17,13190,1423,5130,1032,3,7586,235,2111,515,0,2864,14901,67958,11745,145,94757
106,824,7813,626,3,9275,587,7129,634,3,8355,1256,15310,1583,24,18174,2008,14015,1383,22,17430,2153,14421,1135,14,17727,2200,14706,976,16,17897,2545,12397,800,19,15764,1294,6570,615,5,8484,176,1809,262,0,2253,13035,94190,8024,112,115357,936,7047,485,5,8483,712,6749,399,7,7870,1757,15835,913,24,18536,2963,14050,850,14,17877,2713,15009,748,11,18488,2806,15197,694,24,18727,3116,12428,711,14,16269,1384,7040,665,5,9092,193,2969,494,4,3661,16587,96332,5962,121,118998,1760,14869,1119,8,17758,1297,13883,1034,12,16225,3012,31153,2504,43,36708,4966,28068,2234,36,35306,4866,29437,1881,29,36219,5008,29902,1675,42,36627,5661,24828,1513,30,32031,2681,13605,1273,11,17574,366,4781,756,8,5909,29614,190521,13988,228,234355
107,1204,7959,492,3,9657,1067,9075,550,18,10704,1702,17082,982,24,19798,2246,15629,876,12,18759,2644,15569,835,17,19069,2371,15807,667,15,18873,2586,11961,653,26,15214,1186,7234,631,6,9055,168,2506,509,0,3192,15171,102823,6195,121,124317,1340,7501,501,5,9342,1444,8416,490,11,10359,2092,17014,966,21,20097,3009,15919,850,26,19795,2930,16454,717,15,20126,2712,16659,642,32,20047,2884,13106,676,27,16688,1288,8484,791,5,10568,208,3966,905,7,5076,17903,107524,6537,147,132105,2544,15458,995,8,19003,2506,17487,1036,27,21061,3798,34103,1952,51,39901,5252,31551,1723,35,38557,5576,32024,1550,37,39191,5092,32466,1314,49,38917,5470,25068,1328,47,31905,2467,15720,1417,12,19622,373,6473,1419,4,8269,33075,210340,12731,266,256417
108,696,5013,617,6,6343,483,3935,482,3,4900,890,7759,1048,28,9722,1476,7966,959,25,10430,1940,9972,942,25,12872,2625,12846,1054,23,16553,3639,13945,1158,15,18757,1794,8390,805,4,10994,241,2707,458,6,3412,13787,72532,7529,131,93978,892,4628,504,3,6028,555,3773,329,5,4663,1167,8413,788,14,10384,2083,8558,767,23,11428,2463,10896,813,19,14188,3372,14268,977,12,18628,4281,13691,1094,9,19078,2034,8645,1041,8,11719,317,4026,820,0,5161,17160,76895,7125,95,101280,1596,9643,1121,9,12368,1033,7712,812,11,9564,2058,16169,1833,44,20110,3557,16529,1728,44,21859,4406,20867,1752,41,27067,6006,27113,2027,36,35178,7914,27639,2258,27,37831,3822,17035,1845,15,22712,553,6731,1279,6,8571,30944,149431,14651,230,195261
109,530,2662,373,3,3570,356,2516,275,9,3161,740,5441,598,50,6828,1150,4847,575,14,6587,1460,5193,612,5,7269,1556,6023,622,11,8209,1571,5673,574,5,7827,795,3078,372,3,4251,140,1020,197,0,1362,8302,36455,4204,101,49064,582,2563,335,0,3482,377,2477,231,0,3091,879,5587,550,31,7041,1544,4989,539,18,7089,1649,5442,476,8,7570,1822,6250,573,8,8655,1839,5336,504,0,7676,1005,3279,508,0,4791,169,1603,254,0,2030,9865,37524,3975,68,51428,1106,5229,708,5,7049,733,4989,509,16,6250,1617,11025,1142,81,13864,2697,9839,1120,32,13680,3107,10635,1088,13,14841,3376,12277,1200,17,16860,3410,11007,1080,6,15505,1800,6361,880,3,9043,310,2624,451,0,3390,18162,73979,8175,169,100496
110,750,4317,737,4,5813,489,4054,737,14,5294,1199,8420,1282,109,11003,1615,7244,1148,65,10068,1978,7779,1212,25,10999,2161,8864,1218,9,12244,2334,7515,974,3,10824,1226,4252,678,6,6161,201,1282,307,4,1789,11958,53725,8288,235,74203,891,4093,832,5,5823,606,3902,644,14,5163,1508,8729,1164,43,11444,2304,7191,1052,26,10567,2353,7966,1077,11,11413,2519,8999,1049,10,12581,2762,7036,898,10,10707,1469,4692,804,3,6969,261,2174,462,0,2896,14673,54792,7974,118,77560,1644,8415,1569,9,11634,1099,7958,1383,26,10462,2704,17143,2451,148,22449,3914,14433,2198,92,20635,4334,15750,2286,41,22415,4681,17863,2266,15,24830,5101,14554,1866,17,21534,2696,8942,1477,6,13129,460,3449,772,4,4686,26635,108514,16265,355,151764
