SA4_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
101,1353,4243,59,5660,27991,2521,53,36215,293,3720,29,4044,25180,2118,43,31393,46,647,10,701,14132,1340,9,16181,10,47,0,59,5025,681,5,5761,35883,13106,1563,50551,137305,15508,374,203732
102,1820,4766,68,6659,36079,1868,66,44662,321,4129,40,4494,33750,2076,56,40379,71,660,5,735,22555,2261,22,25582,17,36,0,47,8352,2100,14,10513,57084,14697,1463,73249,193313,16723,313,283603
103,954,3782,55,4791,21244,1907,37,27977,191,2973,20,3185,19555,1658,14,24404,42,575,6,618,12449,1262,18,14345,11,45,0,55,4815,599,0,5468,32389,11863,1512,45764,112819,14144,188,172914
104,775,2524,39,3338,16763,1291,33,21421,164,2306,13,2482,17567,1211,23,21278,46,428,0,473,10329,1006,7,11817,9,32,0,41,3790,674,0,4508,20393,8033,1091,29521,83658,9847,360,123384
105,432,2054,28,2514,11574,1676,17,15787,105,1454,3,1571,10214,1395,17,13190,26,294,0,321,6207,1056,3,7586,0,24,0,31,2303,524,0,2864,16080,6268,717,23063,59724,11826,145,94757
106,1200,5576,70,6852,28056,1674,42,36627,219,4353,23,4590,25913,1491,30,32031,47,659,5,708,15573,1281,11,17574,3,37,0,43,5078,785,8,5909,48379,16721,1951,67054,152996,14074,228,234355
107,1553,5157,58,6775,30745,1357,49,38917,244,4537,24,4803,25742,1313,47,31905,61,711,5,776,17411,1421,12,19622,14,38,0,51,6788,1425,4,8269,52041,15266,1315,68622,174739,12785,266,256417
108,1102,3918,59,5077,28033,2034,36,35178,233,3394,28,3657,31912,2244,27,37831,69,655,6,730,20075,1901,15,22712,18,34,0,53,7203,1304,6,8571,28905,11885,1395,42185,138216,14634,230,195261
109,587,2300,29,2915,12730,1204,17,16860,105,1825,7,1932,12448,1117,6,15505,20,365,3,386,7749,903,3,9043,3,26,0,27,2892,467,0,3390,17765,6932,849,25550,66494,8275,169,100496
110,853,2916,35,3800,18746,2269,15,24830,188,2385,18,2591,17055,1865,17,21534,32,486,4,524,11105,1496,6,13129,7,25,0,25,3873,781,4,4686,26071,9415,1219,36710,98473,16231,355,151764
