SA4_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
101,93,49,243,319,519,1058,2102,1948,1062,7393,11,15,62,66,69,105,151,145,91,721,854,888,2314,2084,2323,2659,2478,1728,965,16289,6041,11992,28136,28007,32360,36152,31337,16164,5757,195949
102,108,63,267,347,654,1481,2576,2360,1514,9361,15,34,81,101,124,171,200,187,128,1040,872,888,2050,2013,2001,1993,2515,2812,2211,17363,8986,18457,38072,41287,44082,44572,40305,25529,10494,271783
103,92,59,216,317,528,1218,2273,1779,1115,7605,8,10,64,66,79,90,152,128,54,647,823,1020,2256,2194,2095,2063,2050,1732,872,15105,5819,11462,25227,24397,26451,27931,24379,14325,5461,165452
104,61,50,215,336,372,764,1324,1290,852,5271,10,24,139,125,97,113,99,52,52,704,511,566,1592,1442,1381,1387,1467,1292,879,10510,3626,6477,15212,16056,18255,21374,21246,11800,4504,118549
105,58,50,164,212,396,944,1579,1177,634,5202,7,6,28,26,44,74,92,80,28,381,786,789,1948,1748,1662,1769,1647,1247,653,12253,3350,6183,15602,13067,13744,15761,13172,7577,2857,91317
106,125,116,386,418,683,1532,2757,1995,1189,9198,21,30,79,87,117,154,135,105,59,786,820,986,2406,2149,1923,1841,1951,1859,1055,14994,8570,16193,36644,35252,36171,36569,31989,17548,5900,224832
107,72,69,266,396,559,1413,2891,3001,1810,10481,19,34,114,165,182,224,375,448,354,1917,817,955,1851,1633,1517,1449,1701,2008,1632,13561,8720,21002,39831,38508,39137,38842,31816,19593,8262,245706
108,90,59,229,312,554,1364,2766,2362,1567,9305,9,12,29,29,68,92,89,112,71,515,782,771,1782,1749,1759,2275,2735,2365,1492,15702,5767,9536,20048,21800,27004,35130,37789,22688,8559,188331
109,49,41,167,256,298,642,1313,1341,762,4859,3,14,61,67,123,113,86,84,37,589,496,484,1132,1116,1132,1335,1313,1120,609,8741,3066,6222,13782,13643,14827,16844,15492,9032,3388,96280
110,90,84,275,323,547,1159,2029,1841,975,7320,14,37,107,80,97,111,147,103,39,735,1291,1330,2411,2187,2320,2430,2175,1816,909,16862,5739,10416,22286,20528,22356,24803,21514,13115,4686,145445
111,125,122,365,500,694,1529,2561,2427,1874,10190,16,33,129,152,192,246,227,183,155,1323,955,1273,2349,1975,1798,1868,2264,2610,2019,17112,10314,25930,51547,48236,47889,46675,40562,25123,10839,307128
112,58,54,218,325,466,1011,1971,2212,1528,7847,16,20,54,64,71,111,100,81,80,594,991,986,2361,2537,2449,2666,2632,2113,1634,18372,6170,11412,26151,30096,33227,37606,35562,19563,8342,208120
113,68,75,254,359,510,947,1625,1540,997,6381,4,33,160,154,145,148,150,119,85,999,719,902,1846,1675,1634,1570,1463,1216,752,11787,5323,10451,21342,19289,19568,20525,16665,9916,4215,127297
114,46,36,125,186,285,722,1599,1208,779,4987,11,8,25,50,50,69,81,75,49,427,495,530,1232,1197,1222,1255,1383,1381,867,9559,3785,7099,15878,16642,19184,23304,24541,14906,5238,130575
115,27,28,76,101,200,478,1100,1021,591,3623,10,19,71,95,133,167,208,192,176,1067,352,336,793,1037,883,786,872,934,844,6850,7057,15586,25849,39117,37642,30941,24123,13099,4988,198408
116,76,128,482,747,1074,2000,3064,2253,1003,10836,16,93,353,448,648,780,773,557,286,3959,1296,1823,4536,4086,2768,2135,1937,1420,883,20886,10736,26517,60009,68150,47819,38011,27116,12554,4408,295315
117,16,61,312,300,395,830,1532,1696,797,5939,5,90,497,317,249,415,540,610,368,3083,709,2895,7639,4424,2900,2406,1879,1425,777,25060,5427,31482,96602,59846,38751,29560,20224,10754,3939,296587
118,10,21,112,108,159,320,753,1112,808,3402,0,27,96,81,82,135,163,231,208,1030,543,930,3130,2256,1648,1293,1350,1538,1563,14245,4641,15444,49289,39405,33453,26447,20878,13704,6401,209668
119,54,104,739,1212,2051,3859,6450,6656,3373,24500,26,157,896,902,1314,2246,2637,2403,1451,12037,1695,2671,6902,5351,4078,3805,3460,3304,2979,34237,14518,42310,95716,83884,73913,68293,50150,30331,14650,473757
120,15,42,180,240,371,763,1883,2759,1762,8017,7,91,396,226,258,354,560,746,629,3273,407,1222,3173,2049,1450,1335,1500,1404,1333,13877,5147,22079,56624,46200,39070,33277,24791,14423,7016,248639
121,12,19,96,132,218,398,875,929,724,3405,3,13,193,222,212,260,311,262,218,1700,493,596,1987,2129,1588,1404,1600,1647,1549,12982,7799,22006,52058,66099,59909,47921,37880,23984,10905,328564
122,18,23,62,141,167,335,684,906,643,2979,6,15,53,116,160,139,139,154,139,924,373,381,1110,1137,1098,932,959,1217,1167,8380,5663,13617,28615,35163,39538,31986,23667,16278,7222,201750
123,64,69,327,469,747,1520,2160,1521,670,7548,16,33,170,195,271,406,398,292,137,1922,898,915,2169,2225,1660,1421,1447,1371,842,12947,8784,18398,41085,43197,36509,31985,24235,11467,3663,219327
124,85,73,348,416,721,1475,2501,1730,887,8236,19,27,147,198,228,257,309,259,127,1567,983,1205,2956,2651,2140,1763,1737,1677,1177,16285,9258,20467,45759,45632,42275,38592,30927,15369,5257,253534
125,47,173,1041,1596,2131,2881,3746,3043,1529,16180,42,231,1389,1478,1653,2067,1765,1302,724,10647,1523,2808,7770,6049,3844,3225,2607,2046,1515,31388,10919,35701,91862,79564,55418,48446,34353,18930,7923,383121
126,13,19,60,124,165,438,858,926,687,3284,5,34,204,165,160,251,259,274,222,1593,244,508,1498,1214,831,808,751,745,852,7443,3806,12859,32256,31882,24786,22532,17266,9680,5031,160096
127,128,272,1318,2517,3478,5281,6005,4311,2026,25351,42,283,1406,1816,2962,4671,3840,2431,1402,18846,1683,1804,4207,4147,3364,3311,2690,2039,1275,24511,14050,32368,67591,65263,59331,54465,36998,18315,7131,355514
128,20,9,59,92,174,348,909,1078,783,3474,3,18,46,76,68,95,141,170,104,722,288,288,860,907,828,695,774,994,1096,6736,5557,12764,26137,30299,31592,28094,22446,13707,6400,176992
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,8,3,0,0,32
201,102,124,256,308,407,723,1535,1855,1129,6437,8,27,63,50,83,84,87,54,38,497,567,584,1201,1171,1375,1300,1514,1324,768,9798,4153,9537,20636,20510,22411,22549,20381,11025,4287,135492
