SA4_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
101,81779,205576,5424,9107,3299,6429,8727,15535,4076,6856,897,1613,1042,1809,87,138,143,287,6239,10700,486,833,637,1045,108,168,215,475,1444,2510,531,969,98716,235299,18463,..,117174,235299
102,107480,286428,10223,16979,6522,13005,16745,29979,7028,11905,1638,2877,2682,4755,641,1159,444,932,12438,21628,440,651,583,904,17,27,162,324,1200,1903,313,597,138174,340550,14532,..,152706,340550
103,76320,190613,5186,8282,875,1487,6064,9769,2429,3494,135,197,4,7,4,13,64,109,2628,3808,308,467,225,349,48,85,407,953,993,1853,371,736,86372,206768,10752,..,97129,206768
104,47834,120922,3281,5682,2214,4528,5498,10212,3493,5908,559,1000,329,523,120,188,139,252,4633,7870,831,1603,977,1515,118,145,207,475,2129,3731,340,670,60448,143406,6577,..,67025,143406
105,41340,102961,2332,3837,123,237,2452,4079,1973,2975,17,33,6,0,0,0,30,70,2024,3084,508,931,118,210,322,546,128,280,1075,1968,635,1192,47524,113293,6750,..,54276,113293
106,96940,257792,7851,13492,3400,6468,11255,19961,1745,2566,279,447,503,867,0,3,207,444,2736,4326,589,795,463,800,68,98,166,307,1282,1990,333,630,112548,284699,13028,..,125581,284699
107,86229,240381,6492,11801,9277,19902,15774,31702,7397,12870,3591,6096,4484,8015,2168,4118,431,999,18075,32099,396,567,286,438,12,10,407,839,1096,1853,248,493,121418,306528,8496,..,129912,306528
108,78440,192347,7263,11997,2070,3981,9327,15979,4670,7146,1336,2101,1486,2385,263,470,112,257,7864,12362,876,1526,978,1499,55,103,253,495,2167,3624,441,765,98245,225078,12492,..,110738,225078
109,43928,107595,5680,8695,538,817,6213,9510,441,640,85,136,35,48,0,0,10,21,575,841,280,481,178,256,31,61,85,188,574,989,295,528,51583,119464,6322,..,57909,119464
110,66884,165688,5220,8262,862,1453,6085,9711,1477,2236,89,152,29,47,5,4,47,94,1642,2532,542,857,341,486,70,102,142,312,1096,1756,432,755,76139,180440,9473,..,85613,180440
