SA4_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
101,1314,71,37,11,3,1435,602,49,31,3,0,687,540,47,26,0,0,610,1044,54,58,3,3,1159,1423,100,122,8,5,1657,4040,312,241,7,5,4609,4315,480,122,9,4,4933,5565,342,68,8,15,5993,3127,84,31,3,8,3240,2783,66,22,0,4,2874,1598,32,19,3,8,1658,1437,84,34,4,4,1568,27779,1701,822,58,58,30426
102,1728,127,93,9,5,1952,630,61,51,4,0,743,589,74,28,5,0,697,1003,103,54,5,0,1162,1437,138,87,4,6,1673,4198,344,286,10,4,4841,5997,528,360,12,3,6899,9767,559,368,12,9,10707,5908,215,135,0,6,6263,4413,125,96,4,4,4639,2677,72,60,3,4,2816,2383,158,91,5,5,2638,40724,2494,1709,64,38,45024
103,1123,42,11,15,0,1186,573,19,8,5,0,604,614,20,5,0,0,644,1189,36,10,3,0,1242,1694,54,12,5,3,1767,4554,126,42,21,4,4739,4662,94,11,24,7,4793,4658,48,7,17,9,4737,1851,16,5,14,3,1882,1371,15,3,5,0,1393,976,7,3,9,3,1004,1354,29,5,3,6,1397,24623,487,113,121,47,25396
104,742,42,18,7,3,821,383,16,10,3,0,415,324,31,13,3,0,370,655,25,16,9,4,716,900,59,45,4,0,1002,2594,157,106,25,4,2893,2768,168,61,18,0,3021,3151,127,56,17,4,3353,1203,27,9,7,4,1243,763,26,19,3,0,812,429,22,10,7,0,460,859,51,29,16,0,953,14769,761,391,114,23,16063
105,767,5,4,4,11,792,474,12,5,0,0,493,498,9,4,3,0,514,945,11,5,8,0,969,1142,18,12,7,6,1179,2414,41,8,6,3,2466,1992,19,4,6,6,2025,1605,15,4,5,13,1635,579,10,0,0,0,597,391,3,0,0,0,394,351,5,0,0,9,367,796,14,3,4,0,817,11962,145,44,45,57,12256
106,1446,62,15,5,5,1531,609,38,12,0,0,660,539,40,3,0,0,589,1083,68,19,3,3,1173,1596,114,17,6,0,1738,5548,322,50,13,0,5938,7302,277,41,8,5,7627,8748,227,35,5,5,9019,3817,53,12,5,8,3894,2797,29,8,0,4,2851,1450,22,5,3,4,1480,2075,80,11,6,0,2179,37028,1345,219,46,43,38677
107,1342,147,114,0,0,1611,478,52,52,4,0,586,398,70,49,8,0,520,720,95,65,3,0,886,987,132,106,4,0,1231,3015,340,375,12,0,3746,3893,545,505,9,6,4967,7361,903,630,17,8,8921,5210,444,276,15,0,5946,4604,273,183,3,0,5070,2761,125,114,6,0,3011,1831,158,156,5,0,2149,32596,3292,2632,85,26,38631
108,1100,74,47,7,3,1240,589,58,25,0,0,673,545,39,32,3,0,615,1035,74,40,6,0,1160,1426,67,40,10,0,1546,3826,212,140,18,5,4197,3983,220,99,14,0,4320,4474,142,60,9,6,4686,1815,37,22,3,3,1876,1180,27,20,0,3,1238,686,20,14,3,0,729,1208,66,30,9,5,1317,21874,1036,581,73,35,23600
109,751,32,0,0,0,786,417,28,0,0,0,449,384,38,4,0,0,422,895,74,0,0,0,971,1274,69,0,0,3,1349,3225,110,7,11,3,3355,2685,39,0,4,3,2735,2132,24,3,5,0,2167,722,10,0,0,0,732,499,6,0,0,3,510,389,0,0,0,5,392,820,19,0,4,0,846,14186,455,21,30,26,14718
110,1073,34,0,3,5,1116,493,15,3,7,3,515,560,16,0,0,0,575,1155,22,4,4,0,1183,1676,36,6,8,3,1736,4292,71,9,14,4,4402,3496,50,4,9,3,3570,2910,29,5,6,0,2956,1086,13,0,0,0,1101,759,9,0,0,0,771,583,6,4,0,3,592,1154,18,4,4,0,1180,19242,317,44,60,31,19693
111,2037,183,71,3,0,2292,801,70,21,0,0,891,652,69,42,3,0,763,1181,109,46,5,0,1340,1645,109,84,0,6,1839,5171,421,262,10,3,5865,7247,666,312,0,0,8236,11815,673,392,9,4,12892,6328,280,128,3,4,6744,4325,207,109,7,0,4640,2699,144,108,3,3,2961,2478,168,98,4,5,2752,46368,3103,1670,43,26,51208
112,1353,147,67,6,3,1571,543,87,33,8,0,659,507,74,26,4,0,617,912,141,55,8,3,1118,1283,162,79,8,7,1531,3539,461,217,17,5,4237,3869,558,192,8,4,4631,5228,550,170,17,8,5968,2667,215,63,4,0,2948,2202,145,58,3,0,2417,1543,71,41,5,0,1665,1547,201,58,13,5,1822,25205,2811,1056,96,35,29202
113,874,21,14,9,5,921,464,7,7,3,0,476,469,9,10,0,0,479,1001,17,27,10,0,1049,1512,24,38,9,0,1587,4125,57,55,18,4,4258,3446,36,29,0,5,3518,2887,15,17,0,4,2919,875,3,4,5,0,881,727,4,0,4,3,741,528,6,4,4,8,540,1052,8,8,3,4,1073,17955,208,202,64,35,18459
114,1020,37,19,7,0,1077,399,8,0,0,0,407,296,25,0,5,0,327,547,19,7,10,0,581,824,30,16,0,0,876,2286,89,23,7,3,2411,2640,87,15,8,7,2747,3830,72,28,0,0,3932,1974,23,9,4,7,2014,1613,20,14,0,0,1649,1335,9,8,0,3,1349,1072,37,3,5,5,1114,17821,445,139,51,27,18480
115,1631,97,52,0,0,1784,353,25,13,0,0,394,265,31,10,0,0,311,459,39,22,0,0,525,608,40,22,3,0,675,1734,142,94,0,0,1972,2081,186,134,0,7,2402,4175,411,438,3,3,5033,3945,412,286,5,13,4653,7067,612,206,3,15,7903,8866,348,108,0,11,9338,2405,137,71,0,3,2614,33604,2479,1455,19,54,37594
