SA4_CODE_2021,F_Mgmt_Cmrce_35_44_yr,F_Mgmt_Cmrce_45_54_yr,F_Mgmt_Cmrce_55_64_yr,F_Mgmt_Cmrce_65_74_yr,F_Mgmt_Cmrce_75_84_yr,F_Mgmt_Cmrce_85_yr_over,F_Mgmt_Cmrce_Tot,F_Scty_Cul_15_24_yr,F_Scty_Cul_25_34_yr,F_Scty_Cul_35_44_yr,F_Scty_Cul_45_54_yr,F_Scty_Cul_55_64_yr,F_Scty_Cul_65_74_yr,F_Scty_Cul_75_84_yr,F_Scty_Cul_85_yr_over,F_Scty_Cul_Tot,F_Crtve_Arts_15_24_yr,F_Crtve_Arts_25_34_yr,F_Crtve_Arts_35_44_yr,F_Crtve_Arts_45_54_yr,F_Crtve_Arts_55_64_yr,F_Crtve_Arts_65_74_yr,F_Crtve_Arts_75_84_yr,F_Crtve_Arts_85_yr_over,F_Crtve_Arts_Tot,F_FoodHos_PsnlSvcs_15_24_yr,F_FoodHos_PsnlSvcs_25_34_yr,F_FoodHos_PsnlSvcs_35_44_yr,F_FoodHos_PsnlSvcs_45_54_yr,F_FoodHos_PsnlSvcs_55_64_yr,F_FoodHos_PsnlSvcs_65_74_yr,F_FoodHos_PsnlSvcs_75_84_ye,F_FoodHos_PsnlSvcs_85_over,F_FoodHos_PsnlSvcs_Tot,F_Mix_Fld_Prog_15_24_yr,F_Mix_Fld_Prog_25_34_yr,F_Mix_Fld_Prog_35_44_yr,F_Mix_Fld_Prog_45_54_yr,F_Mix_Fld_Prog_55_64_yr,F_Mix_Fld_Prog_65_74_yr,F_Mix_Fld_Prog_75_84_yr,F_Mix_Fld_Prog_85_yr_over,F_Mix_Fld_Prog_Tot,F_Fld_stud_inad_desc_15_24,F_Fld_stud_inad_desc_25_34,F_Fld_stud_inad_desc_35_44,F_Fld_stud_inad_desc_45_54,F_Fld_stud_inad_desc_55_64,F_Fld_stud_inad_desc_65_74,F_Fld_stud_inad_desc_75_84,F_Fld_stud_inad_desc_85_over,F_Fld_stud_inad_desc_Tot,F_Fld_stud_ns_15_24_yr,F_Fld_stud_ns_25_34_yr,F_Fld_stud_ns_35_44_yr,F_Fld_stud_ns_45_54_yr,F_Fld_stud_ns_55_64_yr,F_Fld_stud_ns_65_74_yr,F_Fld_stud_ns_75_84_yr,F_Fld_stud_ns_85_yr_over,F_Fld_stud_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Nat_Phy_Sci_15_24_yr,P_Nat_Phy_Sci_25_34_yr,P_Nat_Phy_Sci_35_44_yr,P_Nat_Phy_Sci_45_54_yr,P_Nat_Phy_Sci_55_64_yr,P_Nat_Phy_Sci_65_74_yr,P_Nat_Phy_Sci_75_84_yr,P_Nat_Phy_Sci_85_yr_over,P_Nat_Phy_Sci_Tot,P_IT_15_24_yr,P_IT_25_34_yr,P_IT_35_44_yr,P_IT_45_54_yr,P_IT_55_64_yr,P_IT_65_74_yr,P_IT_75_84_yr,P_IT_85_yr_over,P_IT_Tot,P_Egnr_rel_Tech_15_24_yr,P_Egnr_rel_Tech_25_34_yr,P_Egnr_rel_Tech_35_44_yr,P_Egnr_rel_Tech_45_54_yr,P_Egnr_rel_Tech_55_64_yr,P_Egnr_rel_Tech_65_74_yr,P_Egnr_rel_Tech_75_84_yr,P_Egnr_rel_Tech_85_yr_over,P_Egnr_rel_Tech_Tot,P_Arc_Bld_15_24_yr,P_Arc_Bld_25_34_yr,P_Arc_Bld_35_44_yr,P_Arc_Bld_45_54_yr,P_Arc_Bld_55_64_yr,P_Arc_Bld_65_74_yr,P_Arc_Bld_75_84_yr,P_Arc_Bld_85_yr_over,P_Arc_Bld_Tot,P_Agric_Env_Rel_Stud_15_24,P_Agric_Env_Rel_Stud_25_34,P_Agric_Env_Rel_Stud_35_44,P_Agric_Env_Rel_Stud_45_54,P_Agric_Env_Rel_Stud_55_64,P_Agric_Env_Rel_Stud_65_74,P_Agric_Env_Rel_Stud_75_84,P_Agric_Env_Rel_Stud_85_over,P_Agric_Envir_Rel_Stud_Tot,P_Hlth_15_24_yr,P_Hlth_25_34_yr,P_Hlth_35_44_yr,P_Hlth_45_54_yr,P_Hlth_55_64_yr,P_Hlth_65_74_yr,P_Hlth_75_84_yr,P_Hlth_85_yr_over,P_Hlth_Tot,P_Edu_15_24_yr,P_Edu_25_34_yr,P_Edu_35_44_yr,P_Edu_45_54_yr,P_Edu_55_64_yr,P_Edu_65_74_yr,P_Edu_75_84_yr,P_Edu_85_yr_over,P_Edu_Tot,P_Mgmt_Cmrce_15_24_yr,P_Mgmt_Cmrce_25_34_yr,P_Mgmt_Cmrce_35_44_yr,P_Mgmt_Cmrce_45_54_yr,P_Mgmt_Cmrce_55_64_yr,P_Mgmt_Cmrce_65_74_yr,P_Mgmt_Cmrce_75_84_yr,P_Mgmt_Cmrce_85_yr_over,P_Mgmt_Cmrce_Tot,P_Scty_Cul_15_24_yr,P_Scty_Cul_25_34_yr,P_Scty_Cul_35_44_yr,P_Scty_Cul_45_54_yr,P_Scty_Cul_55_64_yr,P_Scty_Cul_65_74_yr,P_Scty_Cul_75_84_yr,P_Scty_Cul_85_yr_over,P_Scty_Cul_Tot,P_Crtve_Arts_15_24_yr,P_Crtve_Arts_25_34_yr,P_Crtve_Arts_35_44_yr,P_Crtve_Arts_45_54_yr,P_Crtve_Arts_55_64_yr,P_Crtve_Arts_65_74_yr,P_Crtve_Arts_75_84_yr,P_Crtve_Arts_85_yr_over,P_Crtve_Arts_Tot,P_FoodHos_PsnlSvcs_15_24,P_FoodHos_PsnlSvcs_25_34,P_FoodHos_PsnlSvcs_35_44,P_FoodHos_PsnlSvcs_45_54,P_FoodHos_PsnlSvcs_55_64,P_FoodHos_PsnlSvcs_65_74,P_FoodHos_PsnlSvcs_75_84,P_FoodHos_PsnlSvcs_85_over,P_FoodHos_PsnlSvcs_Tot,P_Mix_Fld_Prog_15_24_yr,P_Mix_Fld_Prog_25_34_yr,P_Mix_Fld_Prog_35_44_yr,P_Mix_Fld_Prog_45_54_yr,P_Mix_Fld_Prog_55_64_yr,P_Mix_Fld_Prog_65_74_yr,P_Mix_Fld_Prog_75_84_yr,P_Mix_Fld_Prog_85_yr_over,P_Mix_Fld_Prog_Tot,P_Fld_stud_inad_desc_15_24,P_Fld_stud_inad_desc_25_34,P_Fld_stud_inad_desc_35_44,P_Fld_stud_inad_desc_45_54,P_Fld_stud_inad_desc_55_64,P_Fld_stud_inad_desc_65_74,P_Fld_stud_inad_desc_75_84,P_Fld_stud_inad_desc_85_over,P_Fld_stud_inad_desc_Tot,P_Fld_stud_ns_15_24_yr,P_Fld_stud_ns_25_34_yr,P_Fld_stud_ns_35_44_yr,P_Fld_stud_ns_45_54_yr,P_Fld_stud_ns_55_64_yr,P_Fld_stud_ns_65_74_yr,P_Fld_stud_ns_75_84_yr,P_Fld_stud_ns_85_yr_over,P_Fld_stud_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr
101,2702,3008,2709,1671,546,152,13765,656,1920,2110,2260,2192,1294,352,52,10834,147,512,498,459,409,289,111,28,2446,473,954,808,720,553,329,134,23,4001,10,14,3,13,11,9,6,0,71,37,129,175,210,162,111,39,11,879,973,1082,1117,1211,1388,1328,1088,655,8841,3947,10862,11319,12048,12052,8763,3731,1340,64063,118,489,537,687,687,634,275,45,3483,198,785,802,573,473,277,56,5,3169,686,2597,2542,2913,3363,2938,1396,376,16814,677,1723,1436,1537,1629,1152,485,136,8775,267,739,779,993,1037,705,280,66,4858,496,2088,1863,2101,2595,2008,826,238,12216,313,1416,1694,1774,2075,2164,832,206,10480,951,3426,4023,4479,4182,2748,972,222,21006,896,2668,3086,3402,3268,2221,708,118,16366,251,813,772,697,653,496,178,47,3902,681,1475,1303,1197,933,549,225,42,6408,28,21,11,24,17,19,4,4,135,81,259,340,416,365,301,119,37,1918,2224,2625,2507,2832,3098,2819,2025,1055,19183,7862,21124,21698,23633
102,4446,4357,3777,2613,1079,272,20759,1109,2806,3044,3115,2617,1484,473,86,14727,431,871,911,656,453,298,151,33,3811,689,1428,1343,1198,902,604,257,68,6491,21,24,7,13,25,15,7,4,114,54,124,189,209,167,120,40,17,922,1056,1259,1317,1217,1252,1639,1962,1769,11484,6147,15262,17261,16561,14760,11195,5773,2746,89707,180,518,649,693,561,539,239,50,3432,249,691,1073,817,542,283,63,6,3715,788,2793,3201,3916,4746,4077,2597,728,22848,995,2306,2466,2334,2062,1497,801,229,12699,259,668,716,671,538,289,146,36,3321,1106,3536,3643,3515,3542,2443,1052,303,19145,589,2443,2682,2511,2468,2729,1011,262,14699,1508,4833,6801,6785,5885,4395,1965,449,32626,1465,3824,4207,4315,3601,2305,889,153,20763,755,1474,1490,1079,727,530,246,58,6362,983,2103,2017,1877,1353,937,450,101,9825,55,43,16,15,32,27,15,8,212,134,281,432,477,382,278,156,45,2178,2234,2643,2686,2686,2535,2948,3276,2613,21623,11295,28159,32082,31697
103,2150,2303,1992,1244,419,118,10754,609,1553,1557,1539,1307,709,217,34,7527,126,388,342,292,224,136,75,22,1605,466,891,756,641,378,219,101,20,3473,26,16,7,10,9,8,7,0,80,32,81,89,115,78,63,28,7,489,972,1008,1020,1103,1073,1137,1038,621,7969,3952,9732,9463,9487,8551,6286,3068,1174,51706,96,321,335,373,307,258,109,19,1820,95,301,329,242,211,121,33,0,1328,929,3036,2708,2924,3004,2276,1053,262,16187,555,1081,1032,929,966,637,312,70,5579,245,687,747,906,883,645,355,66,4537,683,2238,1890,1790,2067,1557,691,212,11129,390,1558,1650,1722,1597,1588,645,157,9302,757,2818,3143,3309,2914,1931,682,175,15723,769,2038,2094,2115,1768,1122,375,88,10378,199,563,502,437,333,237,128,24,2421,649,1337,1162,973,647,396,174,45,5382,39,44,17,17,12,16,6,0,149,86,172,188,232,205,148,70,23,1126,2297,2630,2599,2546,2453,2391,1936,965,17819,7794,18808,18393,18516
104,1333,1580,1549,1170,432,102,7659,330,1017,1119,1292,1329,821,198,35,6144,64,240,273,254,239,153,71,15,1311,329,585,567,504,373,249,94,11,2716,8,9,3,3,9,14,8,10,66,25,59,67,91,76,68,11,4,401,609,743,759,751,744,878,834,608,5923,2328,5902,6529,7023,7216,5782,2617,1020,38415,49,171,221,260,265,290,115,26,1401,74,215,227,174,198,131,35,4,1061,368,1138,1163,1414,1986,2053,1051,280,9457,260,668,751,807,1022,898,362,106,4875,137,416,478,522,454,304,95,25,2438,393,1359,1397,1582,1776,1374,565,137,8577,184,865,1145,1162,1372,1601,639,141,7095,506,1576,1931,2259,2294,1897,698,161,11328,416,1374,1566,1834,1823,1286,354,66,8720,128,393,454,392,358,285,114,29,2149,449,902,876,816,605,401,168,26,4252,16,21,5,4,10,22,15,14,108,55,130,144,191,202,158,62,19,953,1392,1823,1785,1721,1628,1752,1492,946,12541,4424,11060,12150,13153
105,1012,1051,952,513,161,31,5098,302,881,751,707,689,332,70,11,3734,57,128,96,74,59,56,27,6,499,196,406,330,273,192,127,53,8,1599,15,14,4,7,8,0,3,0,50,19,46,43,49,48,26,11,4,246,810,976,933,901,908,861,744,446,6583,2261,6011,5083,4772,4681,3097,1566,633,28106,28,155,135,131,122,62,29,7,679,36,181,172,81,99,57,7,0,642,459,1483,1177,1206,1355,1042,454,126,7295,223,541,422,386,479,329,140,35,2560,196,475,452,493,494,296,151,30,2586,394,1435,1033,834,1098,727,314,89,5922,203,968,929,936,801,596,222,53,4702,320,1773,1533,1465,1396,771,265,48,7563,369,1217,1039,1003,912,502,116,24,5192,75,209,133,110,85,83,33,9,742,255,639,521,424,312,226,89,14,2489,22,24,5,10,11,5,3,0,86,39,108,105,128,101,69,39,5,592,1807,2185,1979,1914,1973,1806,1390,690,13750,4434,11394,9639,9123
106,3565,3392,2843,1637,584,127,16563,909,2258,2255,2083,1804,965,264,37,10580,218,451,418,338,261,189,82,27,1986,749,1580,1219,1014,601,362,136,21,5685,28,17,8,7,10,3,0,5,77,41,102,123,129,106,63,31,6,608,924,1134,1053,1010,990,1128,1107,729,8072,5434,13747,13372,12345,10870,7600,3430,1269,68080,96,382,472,443,397,408,143,30,2380,134,473,463,339,296,187,43,0,1933,1427,5261,4979,5051,5273,3975,1916,405,28290,661,1420,1308,1272,1280,1003,502,114,7568,368,671,753,712,550,313,150,26,3553,794,2675,2499,2458,2632,1933,766,190,13953,462,1787,1971,1810,1741,1812,649,164,10392,1402,4524,4985,4795,4135,2673,1072,206,23795,1168,2952,2913,2729,2351,1458,448,76,14098,386,700,621,482,383,309,139,35,3047,1008,2191,1870,1554,945,593,256,35,8463,41,31,17,15,19,15,3,5,132,96,286,338,374,286,205,98,22,1701,2278,3016,2754,2545,2318,2296,2041,1120,18371,10318,26380,25952,24576
107,4071,3905,3125,1861,638,202,18509,1325,3056,3038,2800,2357,1297,372,68,14318,502,994,830,624,390,245,112,28,3721,775,1292,1115,975,615,346,157,25,5300,26,14,12,8,16,13,17,23,130,66,163,173,174,144,77,51,23,875,1024,1115,1036,956,902,982,1199,1081,8302,6874,16721,16097,14642,12511,8459,3886,1856,81038,388,990,776,736,653,528,251,28,4349,348,1023,1097,650,465,217,39,10,3845,1200,4519,4060,4707,5487,4262,2182,656,27065,1144,2335,1990,1872,1487,927,561,185,10508,207,535,554,514,358,212,75,16,2467,1196,3999,3350,2895,2751,1765,674,202,16828,574,2794,2735,2501,2608,2579,884,237,14910,1838,5379,6216,5922,4814,3111,1084,295,28652,1800,4305,4279,3877,3227,1939,620,140,20178,840,1628,1346,966,616,388,149,34,5965,1105,1829,1681,1467,928,542,288,46,7888,43,26,22,15,21,25,29,35,219,145,351,384,414,318,209,109,41,1967,2189,2368,2177,2072,1873,1889,2208,1697,16472,13013,32075,30663,28603
108,1950,2329,2768,2189,864,230,12308,590,1370,1643,1970,2000,1243,350,59,9229,104,266,303,283,309,248,94,32,1637,434,862,791,692,656,513,177,50,4180,27,9,4,12,16,7,6,4,88,23,63,81,99,139,89,40,16,546,915,921,936,1052,1385,1644,1593,1161,9611,3512,7948,8878,10173,11941,9830,4837,2024,59151,40,175,228,299,373,440,197,47,1796,115,274,301,288,305,269,56,5,1609,561,1475,1728,2334,3414,3931,2271,582,16296,437,988,1077,1313,1578,1483,691,191,7760,190,440,508,685,671,445,196,39,3185,641,2102,1995,2295,2977,2261,998,284,13543,251,1230,1479,1736,2129,2448,1038,261,10571,734,2084,2777,3374,3931,3492,1480,376,18245,742,1831,2212,2649,2724,1899,619,115,12786,179,408,456,426,462,418,167,56,2568,638,1276,1271,1160,1026,866,318,85,6635,56,24,11,16,25,14,14,4,159,83,142,180,220,305,247,106,38,1316,2093,2141,2139,2253,2850,3311,2889,1783,19453,6743,14573,16359,19044
109,1213,1219,1038,562,178,57,5590,284,815,859,931,877,507,122,17,4404,67,151,166,125,109,74,45,11,748,251,596,458,395,295,187,92,31,2291,17,14,8,3,10,5,3,0,50,17,43,65,57,52,32,15,4,288,592,611,621,588,718,733,732,390,4979,2128,5513,5557,5213,5146,3587,1865,674,29684,28,122,150,170,150,111,47,10,786,51,232,178,118,118,56,5,0,757,444,1421,1216,1345,1513,1285,606,138,7968,291,720,558,533,560,454,201,70,3372,178,545,612,605,512,341,146,41,2979,378,1326,1199,1034,1211,937,404,112,6603,193,903,1012,910,953,806,380,74,5230,417,1536,1855,1841,1623,990,349,99,8712,362,1096,1156,1247,1116,701,186,27,5890,116,234,250,175,157,125,70,15,1140,326,864,706,597,461,281,141,48,3429,33,19,17,11,9,7,3,0,96,36,107,143,131,117,89,49,8,684,1274,1325,1318,1344,1526,1529,1307,668,10286,4116,10447,10375,10067
110,1691,1831,1618,987,372,88,8662,465,1363,1331,1319,1223,682,219,45,6633,82,247,209,197,181,98,58,23,1095,404,676,573,422,320,187,54,12,2645,18,14,9,3,9,6,0,0,58,26,61,73,92,62,60,20,5,402,1535,1269,1198,1252,1285,1209,1141,643,9534,4093,8466,8180,8006,7788,5603,2929,1105,46161,103,336,354,297,289,250,121,26,1777,83,242,251,158,137,96,15,3,991,752,2117,1909,1863,2114,1719,823,190,11486,339,834,701,695,745,584,294,71,4272,367,836,932,936,794,541,303,58,4760,574,1843,1501,1503,1785,1389,614,194,9404,297,1250,1428,1401,1437,1333,570,120,7843,680,2283,2441,2574,2319,1487,601,129,12518,588,1855,1806,1857,1696,1083,383,69,9338,126,387,316,293,264,195,84,30,1686,560,1003,911,704,527,340,119,23,4183,32,32,11,6,9,10,3,6,100,68,139,165,216,173,133,52,15,959,3094,2705,2550,2700,2802,2495,2068,1005,19430,7669,15853,15277,15218
