SA4_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
101,101093,102269,203366,41972,27073,69045,13689,24758,38447,3582,4288,7873,2338,1813,4151,61588,57930,119513,32264,37717,69980,3.8,3.1,3.5,60.9,56.6,58.8,58.6,54.9,56.7,4960,5141,10103,1694,3346,5040,10955,16004,26959,7691,11300,18993,26352,13578,39930,950,1737,2684,1604,2680,4283,28902,17998,46896,95720,96261,191984,16475,16996,33471,63340,62997,126336,43250,45021,88270
102,135006,148282,283287,48672,30502,79172,19102,33750,52860,8046,10532,18577,4217,3280,7499,80042,78064,158108,47787,61831,109618,5.3,4.2,4.7,59.3,52.6,55.8,56.2,50.4,53.2,4790,5411,10205,1600,3420,5024,14391,21526,35913,10645,16984,27631,37835,21457,59291,1401,2592,3997,2624,4429,7055,41859,28478,70341,134840,143529,278365,21874,23312,45186,89544,94854,184401,58669,63941,122611
103,85813,86914,172725,37467,21887,59357,9671,21305,30983,2876,3380,6250,2306,1833,4133,52324,48409,100726,27184,32640,59828,4.4,3.8,4.1,61,55.7,58.3,58.3,53.6,55.9,2339,2809,5149,886,2049,2932,7110,12204,19313,5071,8543,13613,23616,12884,36499,952,1728,2683,1320,2364,3686,25890,16975,42870,82642,83727,166371,13956,14508,28463,55003,54973,109976,36195,38282,74473
104,59589,63436,123022,18965,12415,31384,8582,15578,24158,1937,2216,4151,2023,1561,3587,31503,31773,63281,24061,27416,51476,6.4,4.9,5.7,52.9,50.1,51.4,49.5,47.6,48.5,1558,1922,3476,792,1672,2462,5455,8655,14105,4030,6894,10922,16238,9327,25557,669,1232,1899,1105,1803,2911,18009,12360,30371,56141,59196,115340,9629,10550,20176,37107,38509,75616,25370,28063,53431
105,46630,47980,94610,19769,12875,32645,4587,9936,14518,1612,1849,3460,1302,992,2297,27269,25646,52914,13933,16918,30852,4.8,3.9,4.3,58.5,53.4,55.9,55.7,51.4,53.5,1043,1339,2387,403,982,1380,3188,6181,9372,2348,4064,6417,11477,6436,17914,452,903,1358,623,1092,1712,12553,8429,20984,42924,43794,86721,7264,7737,15004,29640,29571,59215,17464,19014,36473
106,115245,118883,234120,49344,27234,76577,13750,30211,43960,4690,5937,10624,3597,2917,6512,71376,66299,137676,38040,47032,85070,5,4.4,4.7,61.9,55.8,58.8,58.8,53.3,56,2479,2950,5423,993,2320,3310,8173,13795,21964,7937,12388,20328,36820,21075,57895,1282,2535,3813,1724,3360,5081,39815,26976,66787,113395,116590,229981,20356,21389,41745,71829,72926,144756,54341,57896,112234
107,124191,131960,256150,48427,28862,77291,16919,31357,48280,7280,9320,16599,3906,3056,6965,76536,72597,149131,41850,53199,95044,5.1,4.2,4.7,61.6,55,58.2,58.5,52.7,55.5,6898,7443,14343,1822,3822,5641,15812,21513,37324,10120,14296,24413,34101,17569,51671,1133,2310,3441,2023,4033,6060,37257,23912,61173,124337,128810,253145,20015,21205,41219,84915,88087,173001,51655,54635,106291
108,93853,101184,195034,27259,17967,45231,12413,22784,35194,2976,3512,6480,3090,2283,5369,45735,46537,92274,41860,48063,89920,6.8,4.9,5.8,48.7,46,47.3,45.4,43.7,44.6,2234,2626,4862,1041,2129,3169,7462,11930,19388,6193,10637,16830,27199,15190,42391,1022,2112,3140,1687,3075,4764,29913,20378,50287,87895,93541,181435,14818,16244,31060,57881,60811,118689,40232,44586,84822
109,48959,51360,100322,21149,11903,33054,5723,13342,19064,1497,1918,3421,1332,1027,2357,29701,28196,57897,15257,19330,34591,4.5,3.6,4.1,60.7,54.9,57.7,57.9,52.9,55.4,1093,1412,2499,553,1345,1897,3855,6867,10724,3167,5074,8244,13204,7376,20586,462,853,1321,646,1061,1711,14315,9293,23611,46547,48146,94690,8182,8668,16849,30885,31504,62396,20851,22432,43283
110,73971,77447,151417,30928,19182,50107,8325,17353,25675,2290,2800,5091,2228,1883,4112,43772,41220,84994,22506,28568,51073,5.1,4.6,4.8,59.2,53.2,56.1,56.2,50.8,53.4,2116,2606,4722,734,1765,2503,5711,9976,15687,3981,7059,11038,18233,10789,29022,853,1544,2399,1052,1960,3014,20140,14294,34429,68352,70191,138549,13001,13800,26796,45813,46657,92469,30832,33198,64025
111,154124,165148,319272,64294,40196,104493,22511,44497,67009,5670,7617,13287,5380,3824,9207,97860,96133,193995,49058,61354,110408,5.5,4,4.7,63.5,58.2,60.8,60,55.9,57.9,7650,8516,16165,2280,4646,6931,20853,29589,50437,12157,17382,29536,42170,22417,64593,1577,2735,4306,2563,4422,6987,46308,29580,75889,151107,157792,308903,27123,29299,56425,99568,103488,203059,69491,74689,144181
112,103124,112718,215841,33960,21537,55496,17230,30168,47393,3766,4635,8397,3054,2575,5632,58000,58912,116917,36979,45313,82286,5.3,4.4,4.8,56.2,52.3,54.2,53.3,50,51.6,3533,4567,8100,1486,3176,4662,12067,18607,30676,7717,12856,20574,26384,14500,40887,975,1817,2791,1705,3158,4863,29063,19481,48541,96769,102674,199448,17422,19391,36807,63725,66696,130420,45041,50306,95351
113,65979,66949,132925,31468,17874,49343,7299,16764,24063,2049,2491,4538,1709,1390,3095,42523,38515,81041,18548,23820,42373,4,3.6,3.8,64.5,57.5,61,61.9,55.5,58.6,1612,1877,3492,660,1531,2187,5343,9179,14524,3686,6023,9710,17027,9348,26375,705,1295,1994,902,1649,2558,18633,12294,30925,63028,64174,127204,11065,11662,22721,41427,41840,83262,28366,29866,58229
114,65669,69706,135376,22573,13336,35914,9126,16695,25823,2349,2883,5232,1635,1313,2954,35680,34238,69916,26311,31601,57908,4.6,3.8,4.2,54.3,49.1,51.6,51.8,47.2,49.5,2898,3134,6029,918,2052,2970,7106,10355,17463,5043,8025,13070,18948,9308,28258,620,1307,1928,1239,2239,3477,20806,12853,33662,62137,65340,127478,10821,11653,22470,40898,42768,83666,28610,30978,59594
115,102285,107481,209770,47912,31687,79599,14184,24350,38534,6197,7589,13780,2928,2408,5332,71218,66032,137250,28050,38109,66158,4.1,3.6,3.9,69.6,61.4,65.4,66.8,59.2,62.9,11940,11102,23046,1985,3190,5177,22740,27147,49891,9388,12867,22255,18758,8307,27068,567,1271,1833,1802,2974,4781,21135,12551,33679,108495,111020,219517,17137,17795,34932,71474,73077,144551,47794,49549,97347
116,153080,156398,309477,61109,44373,105478,18825,27899,46727,13515,10840,24356,5747,5168,10915,99194,88285,187477,45061,59224,104286,5.8,5.9,5.8,64.8,56.4,60.6,61,53.1,57.1,13075,13027,26099,1835,2963,4799,26969,33258,60227,13043,14608,27647,24149,14542,38695,1134,2063,3192,2243,3195,5434,27521,19801,47325,157636,159736,317376,27502,27771,55266,95552,97414,192966,76782,77960,154742
