SA4_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
101,0,0,13,33,181,119,270,337,84,69,80,104,35,14,38,1383,21,20,21,23,83,12,15,17,0,6,0,5,0,0,3,220,0,10,14,33,24,13,30,18,0,0,3,0,0,3,4,162,0,19,50,92,96,148,229,80,24,10,24,42,14,11,17,848,0,3,10,18,37,26,51,47,14,8,11,15,4,0,3,243,0,0,0,0,10,11,23,24,0,7,20,68,7,0,10,173,0,3,4,18,28,51,145,83,21,14,14,26,16,3,23,457,315,1141,2655,1568,1021,621,920,432,40,52,50,75,31,17,370,9304,9,10,70,132,142,153,229,138,20,17,18,25,23,0,21,1015,0,0,3,27,51,35,39,29,8,6,0,8,3,6,23,244,158,459,780,773,600,443,686,392,100,92,105,184,80,51,166,5070,834,2922,5205,4219,3748,2804,4858,3229,793,842,853,1139,409,196,1147,33181
102,0,0,22,128,480,409,472,442,94,95,92,133,60,10,59,2486,16,20,25,30,148,42,73,42,7,6,4,3,6,0,9,430,4,9,16,45,33,24,48,38,6,9,4,3,0,0,0,237,0,14,68,190,279,319,685,220,96,44,49,40,45,18,32,2102,0,6,38,37,55,24,51,43,0,11,0,7,3,4,13,302,0,0,0,0,18,24,28,18,9,0,8,8,0,3,7,112,0,0,7,16,44,103,283,193,58,35,31,35,14,11,31,849,474,1486,4307,2667,2237,1647,3029,1421,186,137,124,145,92,35,580,18571,3,14,77,149,142,186,282,201,43,48,21,32,21,8,22,1244,0,0,4,49,79,37,78,95,24,20,12,20,5,6,5,435,247,578,1119,1318,1059,838,1414,809,161,136,136,152,65,30,228,8289,1202,3649,7693,6878,7325,6185,10237,5995,1201,1097,974,1085,496,184,1556,55754
103,0,0,5,29,113,126,189,257,50,58,89,129,29,12,43,1123,25,13,11,7,21,3,10,4,0,0,3,6,0,0,7,108,0,0,6,10,6,12,23,9,0,6,0,0,7,0,9,98,0,6,17,34,61,101,213,82,29,21,34,31,25,0,6,655,0,6,4,5,30,26,47,50,10,19,19,21,0,0,5,243,0,0,0,0,8,7,4,8,0,0,0,0,7,0,0,49,0,0,0,5,14,30,82,83,18,20,14,25,9,0,19,324,191,559,1394,774,419,301,409,214,35,35,31,25,13,11,215,4630,5,0,32,52,37,59,105,64,12,23,16,13,3,3,17,440,0,0,0,8,25,23,45,52,10,16,6,15,14,0,22,232,91,177,309,309,242,246,381,286,80,63,86,115,52,8,113,2559,521,1331,2489,1937,1808,1576,2850,2196,526,621,642,686,301,79,810,18376
104,0,0,3,24,91,74,124,146,54,43,33,34,14,8,29,678,4,4,8,8,24,5,16,0,5,0,4,0,0,0,5,81,0,3,6,9,6,8,12,5,3,0,0,0,0,0,7,69,4,7,35,65,77,75,203,39,33,4,13,17,23,10,13,614,0,0,9,7,17,3,16,9,4,0,0,0,0,0,0,77,0,0,0,0,8,14,11,11,8,14,18,36,5,0,8,135,0,0,0,7,26,20,67,54,21,26,16,10,11,0,30,280,195,645,1563,813,520,323,581,291,26,43,37,36,24,8,246,5361,4,11,30,86,70,49,103,62,19,14,7,11,9,4,8,488,0,0,0,7,7,3,16,24,6,3,15,14,10,0,14,131,55,175,295,286,237,211,543,442,108,136,148,289,80,76,165,3242,418,1428,2549,2096,1974,1368,2897,1879,516,621,694,946,328,134,888,18733
105,0,0,3,6,66,61,114,167,33,39,84,98,40,13,20,748,4,0,4,0,10,0,3,0,0,0,0,0,0,0,0,27,0,0,0,3,4,3,3,0,0,0,0,6,0,0,0,22,3,0,9,13,21,23,88,38,0,3,21,4,12,6,0,250,0,0,0,4,12,14,53,51,13,7,19,16,11,0,4,202,0,0,0,0,0,0,5,12,0,3,8,15,0,0,7,60,0,0,0,3,5,6,29,26,8,5,3,8,0,0,14,109,72,186,407,213,127,66,108,84,20,20,15,28,16,7,79,1448,0,4,12,22,18,19,35,13,0,3,14,11,4,5,0,161,0,0,0,7,12,15,9,23,9,0,4,0,0,0,10,86,25,79,129,104,86,67,202,150,45,31,52,81,28,31,61,1160,158,504,810,612,686,546,1470,1421,432,464,501,509,219,125,389,8843
106,0,0,11,36,269,183,305,409,69,62,90,84,40,9,43,1610,27,11,12,20,52,12,17,7,0,0,4,0,0,0,7,172,0,3,16,21,15,14,13,5,0,7,0,0,7,0,0,115,0,7,29,84,92,131,474,179,24,24,41,50,23,12,17,1185,0,4,3,10,20,15,42,48,10,10,4,3,0,0,4,161,0,0,0,0,4,7,17,27,0,3,15,21,0,0,5,102,0,0,0,10,27,48,157,133,35,37,31,33,17,3,24,562,295,906,2172,1283,990,607,1068,527,64,44,59,76,72,34,279,8480,6,6,27,66,89,82,171,93,17,7,25,16,26,6,25,664,0,0,0,18,22,14,73,68,12,5,19,39,14,0,48,338,109,245,442,453,390,263,647,358,81,63,67,159,51,29,149,3502,776,2052,3598,3127,3235,2358,4871,3119,604,551,715,848,369,168,1074,27470
107,0,0,6,118,466,262,302,282,46,76,100,86,42,7,45,1836,32,26,38,66,188,56,43,15,0,3,0,4,0,0,21,488,7,6,14,38,21,17,47,41,11,8,11,3,3,7,3,227,0,5,42,102,148,171,356,136,29,20,25,44,21,10,7,1120,0,0,7,27,51,39,51,41,21,26,23,21,13,0,7,330,0,0,0,0,7,28,22,26,6,6,4,7,6,0,0,121,0,0,6,19,42,92,333,226,69,40,39,57,21,9,17,963,396,1707,5052,2498,1421,835,1543,809,109,98,112,99,63,15,492,15261,4,7,40,141,99,124,256,178,35,47,28,47,45,16,23,1103,0,0,4,232,225,101,125,153,37,50,66,75,19,3,38,1120,165,912,1948,2542,1209,1246,1491,1086,374,219,342,366,125,26,323,12390,1041,5577,11352,8910,5924,5149,7893,5707,1425,1319,1571,1861,886,172,1820,60607
108,0,0,15,28,187,139,174,172,59,48,67,74,26,5,52,1050,15,5,20,16,38,6,15,9,3,0,0,0,0,3,10,139,0,4,14,19,13,4,13,6,0,4,0,4,0,0,4,93,3,9,46,91,113,117,203,63,7,10,11,16,5,9,20,730,3,5,9,3,16,13,21,22,4,3,0,10,0,0,3,113,0,0,0,0,0,3,7,8,3,7,8,4,4,0,4,45,0,0,6,8,23,35,97,68,17,15,22,21,15,4,25,351,408,1189,2832,1503,933,542,840,313,43,56,43,68,26,13,455,9266,4,16,58,96,84,59,134,83,26,8,17,27,16,9,22,655,0,0,3,10,33,14,27,29,3,11,6,11,6,0,27,179,137,339,491,497,366,239,393,245,55,63,69,70,29,13,111,3126,908,2550,4549,3406,2948,1862,3052,1774,402,445,464,552,243,95,1164,24403
109,0,0,5,10,88,66,152,181,39,38,51,72,16,5,22,743,6,0,6,3,8,4,4,0,0,0,0,0,0,0,0,37,0,3,9,10,11,8,6,7,0,4,0,0,0,0,0,49,0,0,7,20,16,51,86,44,3,7,7,13,9,0,4,273,0,4,3,3,11,12,21,36,15,11,20,6,3,3,5,154,0,0,0,0,0,0,6,11,0,4,9,3,4,0,0,42,0,0,0,5,15,12,54,33,13,9,8,7,0,0,10,172,110,379,833,406,294,137,272,76,14,15,27,22,18,7,129,2731,4,5,9,11,20,33,38,36,14,4,5,7,8,0,8,194,0,0,0,8,5,13,21,27,4,16,7,6,5,4,3,129,44,142,178,170,126,98,320,332,44,42,84,135,39,28,80,1866,290,1109,1453,1002,1010,790,1879,1671,402,431,482,519,195,81,412,11723
110,0,0,0,13,92,62,222,364,59,60,71,91,27,21,38,1134,3,0,4,0,11,5,6,4,0,5,0,0,0,0,0,44,0,7,5,9,8,9,12,8,3,0,3,5,0,0,0,57,0,5,11,28,38,95,125,52,10,17,17,28,17,0,9,451,5,3,4,0,20,7,34,48,13,18,17,28,4,0,0,206,0,0,0,0,3,6,20,23,19,19,35,90,14,0,11,242,0,0,0,0,9,15,71,27,16,7,16,13,9,0,10,199,119,395,935,500,265,188,316,138,31,49,38,32,8,4,151,3166,5,8,56,63,52,60,150,64,12,25,9,15,16,0,11,536,0,0,0,3,19,13,52,60,41,106,98,53,11,0,27,487,35,86,184,182,132,136,337,261,98,95,125,214,96,42,80,2102,258,853,1539,1324,1168,1084,2329,1934,562,776,1043,1474,462,173,567,15545
