SA4_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
122,3213,2995,6204,8514,8085,16600,1664,1469,3131,1434,1272,2715,11630,10832,22462,5083,4767,9845,2540,2389,4932,2535,2564,5104,10164,9735,19898,348,341,689,300,433,731,1255,567,1819,1143,1667,2814,12,8,19,3057,3016,6073,3168,3637,6805,585,892,1472,483,596,1077,1024,1889,2914,8,12,22,5270,7028,12296,8335,10059,18392,223,255,482,564,819,1381,6,0,8,793,1084,1878,3931,4391,8321,256,280,532,38326,39367,77696
123,3849,3474,7328,10516,9901,20418,2223,2325,4549,1926,1909,3837,14700,14162,28861,6613,6224,12836,2635,2700,5326,1610,1682,3300,10872,10621,21495,409,535,939,404,745,1144,1536,743,2280,1080,1894,2976,20,14,29,3441,3932,7373,2332,3309,5640,738,1185,1924,366,545,912,865,1593,2459,10,11,28,4314,6650,10965,7784,10613,18392,370,453,821,500,810,1308,6,3,15,874,1268,2144,7229,7643,14870,214,236,454,45526,48015,93541
124,4096,3657,7746,10735,10128,20860,2487,2549,5033,1684,1536,3219,14917,14238,29153,6342,6329,12670,3120,3069,6186,1770,1600,3370,11245,11019,22269,505,689,1198,403,811,1213,1814,944,2754,1270,2368,3638,17,13,29,4008,4822,8832,2157,3103,5257,766,1322,2093,442,631,1080,1182,2410,3594,8,16,27,4554,7489,12045,8578,12333,20904,382,384,766,557,909,1464,14,10,26,950,1306,2251,8784,8869,17655,206,204,410,48776,51619,100391
125,5024,4538,9566,14549,13737,28283,4146,4075,8220,1941,2032,3973,20697,19885,40580,9038,8491,17523,3865,3799,7663,1865,1946,3813,14800,14253,29053,1430,1119,2549,1778,2317,4098,1363,776,2137,2246,3603,5846,27,27,48,6834,7845,14681,7665,8238,15905,3478,3506,6985,1021,1055,2077,1917,2551,4468,56,41,100,14138,15396,29532,21039,23296,44331,2238,1742,3983,1868,2039,3905,48,35,88,4151,3818,7973,18888,15618,34496,612,690,1301,85213,82097,167308
126,2115,1920,4038,6133,5760,11889,1346,1337,2685,743,649,1386,8229,7760,15984,3477,3424,6901,1612,1498,3112,1213,1129,2341,6312,6061,12368,255,284,543,469,710,1174,431,204,641,984,1652,2637,3,6,17,2148,2864,5010,3949,4148,8103,1473,1685,3157,495,447,943,1107,1576,2684,22,22,42,7045,7876,14924,9202,10750,19950,345,386,725,601,802,1408,6,5,14,950,1194,2146,3591,3811,7399,301,384,684,30701,31884,62584
127,4817,4274,9097,14308,13233,27534,4944,4850,9791,2584,2605,5190,21893,20747,42639,11693,10873,22571,4290,4439,8730,2286,2391,4679,18308,17756,36069,1013,1092,2113,1062,1838,2895,1716,696,2409,1726,2760,4491,31,37,67,5554,6422,11967,5779,7761,13543,1370,1811,3183,844,990,1833,1189,1908,3099,30,42,77,9214,12519,21731,14816,19009,33820,930,1112,2044,1177,1839,3017,48,51,93,2154,3002,5155,14213,13911,28122,331,401,726,76532,79097,155627
128,2870,2649,5513,7191,6521,13710,2228,2140,4360,549,530,1078,9980,9196,19175,5143,4930,10076,2121,2137,4255,869,948,1820,8142,8019,16166,275,380,654,232,346,578,1610,569,2179,895,1392,2291,10,7,21,3023,2698,5721,2173,3057,5235,451,660,1112,379,487,865,931,1574,2504,8,9,11,3947,5781,9731,6972,8496,15464,148,153,303,373,594,972,8,5,11,531,754,1281,3312,3793,7106,130,147,273,31940,33049,64989
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3
201,1844,1747,3586,4616,4177,8788,1834,1798,3631,719,757,1476,7174,6742,13923,2803,2829,5638,1707,1617,3322,1162,1268,2429,5686,5719,11400,230,231,467,192,311,504,585,320,904,604,916,1521,6,10,13,1622,1797,3417,982,1634,2614,441,806,1242,157,242,396,589,1315,1908,10,11,14,2173,4002,6176,3799,5803,9602,187,180,368,315,551,864,13,11,17,519,741,1251,5362,5070,10434,77,61,143,24459,25883,50343
202,1755,1617,3375,4609,4306,8917,1824,1714,3537,540,531,1071,6981,6560,13539,3182,3033,6216,1296,1327,2622,826,870,1698,5306,5238,10545,282,357,641,228,429,657,588,326,913,592,848,1440,8,9,20,1699,1971,3668,817,1455,2269,298,606,905,117,196,306,461,1200,1667,8,10,22,1701,3462,5166,3409,5444,8849,194,191,385,287,489,769,14,6,20,494,682,1176,5617,5283,10896,82,60,135,23632,24880,48513
