SA4_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
101,1423,27366,28792,30754,5578,36336,11884,1289,13177,11168,899,12068,5026,443,5470,2632,247,2875,62892,35828,98716
102,1654,36875,38522,41016,6335,47342,19002,1449,20452,18494,898,19392,7905,406,8308,3942,208,4151,92003,46171,138174
103,1240,25172,26413,25524,4390,29921,10536,1172,11707,9537,712,10247,4981,403,5384,2519,183,2698,54344,32028,86372
104,860,16546,17413,19020,4048,23063,7304,830,8136,6286,463,6750,2932,232,3165,1792,127,1922,38194,22252,60448
105,688,14350,15036,12682,3384,16061,5634,951,6583,4703,633,5331,2457,373,2832,1465,208,1676,27631,19895,47524
106,1714,26977,28690,34813,4793,39607,16079,1192,17268,15084,765,15850,6987,324,7308,3671,163,3830,78334,34218,112548
107,1387,29870,31260,36168,5187,41355,17401,1582,18981,17702,944,18648,7329,366,7692,3302,187,3492,83273,38144,121418
108,1240,28491,29730,33143,5955,39101,10971,1166,12140,9151,668,9824,4349,377,4726,2518,207,2731,61375,36867,98245
109,780,15545,16329,16041,2740,18780,5774,696,6470,5408,463,5872,2606,215,2822,1200,118,1315,31800,19781,51583
110,1039,22452,23491,22274,4681,26964,8908,1270,10178,7862,854,8723,3960,466,4423,2154,208,2366,46201,29937,76139
111,2241,41174,43412,46634,7348,53979,21498,2346,23840,20846,1073,21919,8163,436,8603,3505,212,3719,102887,52588,155470
112,1513,30222,31728,31756,7229,38987,12939,1921,14857,11623,1136,12760,5138,518,5654,2752,263,3011,65722,41284,107001
113,886,17824,18703,18748,3104,21855,8068,930,9000,7437,572,8007,3862,317,4176,2093,177,2276,41094,22923,64024
114,890,18055,18945,22854,3569,26421,7958,752,8712,7100,578,7677,3259,260,3515,1715,135,1847,43771,23343,67117
115,763,11062,11831,21883,1737,23621,15355,546,15894,19680,469,20148,8514,216,8725,4526,96,4625,70724,14122,84846
116,943,20357,21301,27877,4228,32103,24152,1759,25910,27233,1498,28730,11704,747,12457,8047,439,8487,99966,29024,128982
117,1677,56294,57970,43269,13876,57139,15415,4620,20032,10932,2126,13058,3211,678,3888,1482,288,1770,75973,77886,153861
118,1421,31990,33403,29966,7860,37830,13675,2471,16147,13321,977,14293,4502,315,4814,1483,122,1598,64362,43728,108087
119,1590,45759,47350,50899,9127,60023,34341,3743,38085,33435,2425,35863,16422,1228,17652,11686,730,12416,148377,63011,211385
120,1387,31364,32755,34024,6846,40872,18561,2411,20974,16765,1330,18090,5633,488,6117,2390,220,2611,78753,42666,121417
121,1964,40469,42433,47323,6198,53525,25855,1583,27438,27077,830,27906,9530,272,9795,3377,91,3467,115116,49454,164571
122,1227,21328,22557,27596,3736,31333,14347,1008,15356,17628,598,18228,6943,261,7206,2587,99,2691,70330,27038,97369
123,923,17959,18884,25293,3131,28424,17193,977,18174,18232,793,19022,9042,407,9446,5701,267,5969,76388,23531,99918
124,1357,28264,29620,33616,4796,38409,19253,1274,20526,18768,848,19618,8623,420,9041,4953,250,5199,86557,35856,122411
125,1267,36728,37990,39214,8110,47321,28791,3614,32403,27221,2498,29717,12248,1303,13556,9591,793,10378,118322,53039,171363
126,766,17936,18705,21233,3264,24493,12520,926,13441,12476,502,12977,4435,188,4619,2132,105,2242,53564,22921,76484
127,939,24148,25083,31318,4383,35697,25350,1711,27058,28065,1471,29531,15851,827,16681,12806,567,13377,114328,33106,147434
128,1019,18699,19722,25123,2700,27823,13016,562,13579,15077,351,15425,6331,156,6487,2267,60,2323,62825,22523,85350
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,934,21349,22279,21945,3597,25546,8825,920,9741,8314,470,8783,3724,232,3951,1585,119,1699,45319,26685,72000
202,915,19569,20488,21085,3285,24369,8681,893,9570,8174,493,8668,3513,235,3750,1609,99,1710,43987,24578,68557
203,1677,33784,35462,39404,5989,45396,17519,1846,19366,17736,1141,18869,7172,452,7625,2705,219,2922,86214,43430,129641
204,1121,22424,23547,24946,3906,28849,9106,937,10038,8279,631,8911,3783,323,4108,1617,161,1781,48856,28383,77241
205,1706,37590,39291,41141,6506,47649,14572,1478,16052,13180,963,14141,6126,459,6588,2718,212,2928,79449,47202,126657
206,3236,115333,118572,80686,26049,106734,28140,8140,36279,22263,3178,25437,6288,836,7126,1913,255,2174,142533,153784,296316
207,1621,34916,36537,40423,5793,46213,21929,1872,23806,23574,1137,24708,8464,453,8912,2885,215,3099,98901,44386,143279
208,2083,46057,48143,47734,6531,54272,24342,1752,26090,27236,1055,28291,9098,396,9498,2463,113,2581,112961,55911,168868
209,2172,42199,44378,53690,7226,60911,32329,2447,34768,35124,1548,36674,13705,666,14371,6074,373,6445,143087,54459,197544
210,1291,29206,30498,37546,5089,42633,24500,1801,26304,26507,1375,27880,11866,712,12579,7250,378,7630,108960,38556,147519
211,2266,41997,44263,56354,6224,62570,31532,1639,33166,33647,996,34642,12612,416,13026,5211,185,5392,141613,51443,193051
212,2573,54056,56626,73097,10536,83631,50602,4634,55233,53929,3204,57136,23148,1546,24696,14730,848,15574,218079,74816,292892
213,2753,57960,60712,70421,11423,81850,51200,4595,55792,54215,3290,57501,22322,1673,23997,14086,910,14996,214999,79853,294854
214,1570,33517,35091,38008,5736,43744,17060,1365,18424,16764,828,17590,6584,394,6976,2483,156,2640,82475,41994,124469
215,826,20123,20953,19795,3540,23336,7614,851,8464,6465,608,7072,3327,317,3643,1578,160,1739,39605,25596,65201
216,656,15908,16560,17150,2695,19842,6660,719,7380,6157,450,6609,3086,248,3327,1683,130,1813,35380,20150,55527
217,714,16337,17049,17168,2688,19858,6322,584,6909,5649,374,6021,2741,202,2942,1141,91,1232,33727,20286,54018
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,1390,19622,21009,28206,3209,31414,14353,770,15123,14476,420,14898,5520,169,5695,2631,79,2713,66587,24272,90854
302,1316,23622,24938,25665,4193,29858,13468,1050,14520,12855,484,13342,4634,175,4809,1992,83,2074,59934,29604,89541
303,1603,30056,31666,35820,6952,42777,21765,2744,24512,21935,1338,23271,8793,552,9338,4723,268,4989,94642,41907,136555
304,1046,13229,14275,19432,2775,22207,11075,1002,12072,12582,426,13010,4645,183,4833,1645,55,1703,50427,17671,68103
305,1913,43184,45098,35212,11417,46625,14077,3223,17307,12488,1287,13775,4459,400,4857,1314,139,1448,69460,59645,129105
306,1883,27858,29737,29034,9048,38083,12893,1872,14761,11042,1188,12232,4786,547,5342,3391,344,3738,63025,40861,103886
307,935,14479,15416,16012,3473,19484,6087,801,6885,5178,516,5692,2761,291,3048,1738,142,1882,32710,19701,52412
308,2121,23709,25834,25204,6725,31923,11644,1360,13001,10913,850,11764,5002,416,5419,2857,200,3066,57738,33267,91002
309,3532,58017,61544,72733,15891,88624,36560,4410,40971,34319,2351,36675,13177,906,14086,6921,388,7310,167242,81970,249212
310,1878,28200,30086,35256,5640,40893,20624,1760,22386,19595,1027,20621,9151,551,9695,6628,305,6933,93123,37486,130610
311,1563,25497,27055,32999,5472,38472,19832,1981,21816,18649,1334,19989,9262,687,9944,7698,427,8127,90008,35394,125403
312,1864,17475,19335,19188,5911,25097,9097,1255,10352,8369,789,9158,3908,387,4297,1997,176,2176,44420,25990,70405
313,1547,25723,27272,32553,4842,37394,14025,1122,15146,12293,727,13025,5780,397,6176,3853,219,4070,70061,33020,103081
314,1228,13632,14861,22382,2572,24949,13399,701,14098,14282,421,14700,5650,163,5811,2871,78,2950,59813,17561,77377
315,559,9720,10279,6813,5960,12774,3294,748,4041,2975,573,3552,1725,280,2004,1810,184,1998,17179,17466,34644
316,2768,36930,39692,51926,9554,61477,21359,2296,23653,20518,1261,21778,8140,477,8611,3865,181,4047,108566,50697,159265
317,1064,16815,17882,19070,2823,21891,8394,793,9187,7489,417,7906,3567,217,3780,2234,99,2336,41817,21169,62994
318,2074,24434,26513,26383,6587,32964,12492,1585,14072,10581,896,11472,4614,418,5036,2815,254,3072,58953,34171,93129
319,2048,35391,37441,43714,9567,53283,14943,1665,16605,11879,961,12838,5735,432,6169,3836,276,4113,82162,48283,130448
397,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
401,1936,35853,37793,37449,5668,43115,17040,1689,18728,17716,812,18520,6131,251,6381,2033,133,2167,82296,44406,126696
402,2408,43480,45886,48092,6714,54806,26634,2087,28719,24687,1162,25846,10448,551,10995,6617,297,6913,118891,54278,173169
