SA4_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
101,19143,21160,16391,14215,14633,9093,6706,11665,2364,115366
102,18643,30927,21918,19511,19751,13862,8889,14560,2553,150616
103,14523,16495,14252,12016,10827,7495,8501,10788,1705,96596
104,7396,11250,8017,8720,6963,5606,3261,7409,1085,59693
105,8115,8416,6780,7076,5501,3908,4040,5763,1028,50623
106,14356,18994,22536,17224,15106,11389,14179,15000,2376,131161
107,16304,33120,20944,18602,17940,11490,9271,12242,2251,142171
108,10598,15949,12155,13456,9779,8459,4826,10023,1655,86902
109,8913,9200,7884,6885,6352,4654,3993,6611,1050,55539
110,13113,13654,10360,9620,8684,6599,6505,10917,1427,80873
111,20489,45995,25979,24476,23084,15580,10662,15858,2679,184787
112,15054,22899,15652,15185,12091,10113,5387,12855,2052,111291
113,12040,12715,10890,10005,8250,6227,5473,10818,1517,77948
114,9272,13239,10770,8924,7290,6013,3432,6907,1117,66967
115,24449,39926,14188,10050,19743,10297,4656,6506,2098,131916
116,19403,42161,18674,17578,26887,13474,19503,15120,3768,176562
117,33632,74573,15803,15898,21874,12413,5223,9302,3416,192139
118,27743,54477,9919,9659,15026,9298,2694,4741,2670,136223
119,30072,61549,27152,24667,36995,21989,15667,20982,5606,244684
120,27426,57322,12678,12027,20351,11396,4444,8577,2850,157055
121,44524,88946,13286,14656,26377,14189,3334,6793,3533,215638
122,28137,41212,14647,11898,16286,10959,3829,6324,2000,135285
123,15270,24196,18478,15014,19811,11427,13178,12468,2766,132607
124,18628,31056,21732,17521,23578,12357,14519,13480,2830,155712
125,23749,57793,20822,18878,28615,15336,14103,17100,5139,201545
126,16442,38706,8211,7354,13848,7277,2399,4285,1698,100212
127,18424,33696,21047,17735,26198,14460,19420,17646,4176,172795
128,19809,30698,15150,11628,18179,9382,4028,5918,1713,116501
197,0,0,0,0,0,0,27,0,0,35
201,10171,16329,11357,10343,9260,6952,4480,8344,1299,78536
202,10058,16971,10372,9775,8608,6453,4359,8640,1266,76490
203,19753,36336,22892,20703,17704,13725,8959,14634,2670,157372
204,13665,14835,13170,11692,9228,7102,6177,10591,1656,88111
205,17997,21589,19908,16406,14362,11136,8242,15462,2569,127669
206,61419,147466,27783,33995,41758,24810,7628,16475,6173,367512
207,31942,66375,14266,15913,22934,16262,4178,8913,3331,184112
208,41490,73008,19574,19966,28230,18565,5249,9872,3719,219669
209,33574,65466,35977,30003,35746,22183,15736,21243,5017,264944
210,22190,39609,27434,21665,26367,16060,15287,17561,4242,190420
211,36022,63705,38914,28250,35690,22610,12126,20603,4561,262480
212,44411,82121,58086,44554,51543,34732,34679,44910,9147,404186
213,44332,85433,48976,43594,53470,32672,40186,38249,9409,396327
214,20134,28525,24299,17604,17666,13598,7108,13105,2659,144696
215,12578,10508,8740,8321,6811,5686,4731,10271,1540,69185
216,9380,9524,8490,7212,6222,5285,4157,8878,1196,60352
217,10981,9726,8098,7162,5625,5056,4158,8863,1140,60803
297,11,33,36,22,4,0,29,33,5,170
301,16528,24353,16921,13027,17773,10327,6957,10142,1881,117922
302,15157,32273,13615,13271,17144,9448,5738,8838,2032,117517
303,24143,59274,19978,19925,25166,15388,9653,14855,3497,191869
304,14979,35286,8066,10005,11968,7097,2565,4945,1237,96140
305,28129,66009,13566,17475,21684,12638,4382,9371,2688,175931
306,14394,21755,16977,16877,13541,10608,7021,14013,2295,117479
307,11008,7132,8348,5878,6121,4267,5451,9015,1182,58402
308,11590,16038,18724,12229,11751,8534,12494,12827,2176,106353
309,40986,63953,44091,40202,39562,32417,15754,28654,6403,312020
310,16434,27103,22573,22134,21436,13641,15645,19428,3381,161768
311,15137,21910,24454,19027,21520,13527,17340,19790,3558,156261
