SA4_CODE_2021,M_0_4_yr_Need_for_assist,M_0_4_yr_No_need_for_assist,M_0_4_yr_Need_for_assist_ns,M_0_4_yr_OS_vis,M_0_4_yr_Tot,M_5_14_yr_Need_for_assist,M_5_14_yr_No_need_for_assist,M_5_14_yr_Need_for_assist_ns,M_5_14_yr_OS_vis,M_5_14_yr_Tot,M_15_19_yr_Need_for_assist,M_15_19_No_need_for_assist,M_15_19_Need_for_assist_ns,M_15_19_yr_OS_vis,M_15_19_yr_Tot,M_20_24_yr_Need_for_assist,M_20_24_No_need_for_assist,M_20_24_Need_for_assist_ns,M_20_24_yr_OS_vis,M_20_24_yr_Tot,M_25_34_yr_Need_for_assist,M_25_34_No_need_for_assist,M_25_34_Need_for_assist_ns,M_25_34_yr_OS_vis,M_25_34_yr_Tot,M_35_44_yr_Need_for_assist,M_35_44_No_need_for_assist,M_35_44_Need_for_assist_ns,M_35_44_yr_OS_vis,M_35_44_yr_Tot,M_45_54_yr_Need_for_assist,M_45_54_No_need_for_assist,M_45_54_Need_for_assist_ns,M_45_54_yr_OS_vis,M_45_54_yr_Tot,M_55_64_yr_Need_for_assist,M_55_64_No_need_for_assist,M_55_64_Need_for_assist_ns,M_55_64_yr_OS_vis,M_55_64_yr_Tot,M_65_74_yr_Need_for_assist,M_65_74_No_need_for_assist,M_65_74_Need_for_assist_ns,M_65_74_yr_OS_vis,M_65_74_yr_Tot,M_75_84_yr_Need_for_assist,M_75_84_No_need_for_assist,M_75_84_Need_for_assist_ns,M_75_84_yr_OS_vis,M_75_84_yr_Tot,M_85_yr_over_Need_for_assist,M_85_over_No_need_for_assist,M_85_over_Need_for_assist_ns,M_85_over_OS_vis,M_85_yr_over_Tot,M_Tot_Need_for_assist,M_Tot_No_need_for_assist,M_Tot_Need_for_assist_ns,M_Tot_OS_vis,M_Tot_Tot,F_0_4_yr_Need_for_assist,F_0_4_yr_No_need_for_assist,F_0_4_yr_Need_for_assist_ns,F_0_4_yr_OS_vis,F_0_4_yr_Tot,F_5_14_yr_Need_for_assist,F_5_14_yr_No_need_for_assist,F_5_14_yr_Need_for_assist_ns,F_5_14_yr_OS_vis,F_5_14_yr_Tot,F_15_19_yr_Need_for_assist,F_15_19_No_need_for_assist,F_15_19_Need_for_assist_ns,F_15_19_yr_OS_vis,F_15_19_yr_Tot,F_20_24_yr_Need_for_assist,F_20_24_No_need_for_assist,F_20_24_Need_for_assist_ns,F_20_24_yr_OS_vis,F_20_24_yr_Tot,F_25_34_yr_Need_for_assist,F_25_34_No_need_for_assist,F_25_34_Need_for_assist_ns,F_25_34_yr_OS_vis,F_25_34_yr_Tot,F_35_44_yr_Need_for_assist,F_35_44_No_need_for_assist,F_35_44_Need_for_assist_ns,F_35_44_yr_OS_vis,F_35_44_yr_Tot,F_45_54_yr_Need_for_assist,F_45_54_No_need_for_assist,F_45_54_Need_for_assist_ns,F_45_54_yr_OS_vis,F_45_54_yr_Tot,F_55_64_yr_Need_for_assist,F_55_64_No_need_for_assist,F_55_64_Need_for_assist_ns,F_55_64_yr_OS_vis,F_55_64_yr_Tot,F_65_74_yr_Need_for_assist,F_65_74_No_need_for_assist,F_65_74_Need_for_assist_ns,F_65_74_yr_OS_vis,F_65_74_yr_Tot,F_75_84_yr_Need_for_assist,F_75_84_No_need_for_assist,F_75_84_Need_for_assist_ns,F_75_84_yr_OS_vis,F_75_84_yr_Tot,F_85_yr_over_Need_for_assist,F_85_over_No_need_for_assist,F_85_over_Need_for_assist_ns,F_85_over_OS_vis,F_85_yr_over_Tot,F_Tot_Need_for_assist,F_Tot_No_need_for_assist,F_Tot_Need_for_assist_ns,F_Tot_OS_vis,F_Tot_Tot,P_0_4_yr_Need_for_assist,P_0_4_yr_No_need_for_assist,P_0_4_yr_Need_for_assist_ns,P_0_4_yr_OS_vis,P_0_4_yr_Tot,P_5_14_yr_Need_for_assist,P_5_14_yr_No_need_for_assist,P_5_14_yr_Need_for_assist_ns,P_5_14_yr_OS_vis,P_5_14_yr_Tot,P_15_19_yr_Need_for_assist,P_15_19_No_need_for_assist,P_15_19_Need_for_assist_ns,P_15_19_yr_OS_vis,P_15_19_yr_Tot,P_20_24_yr_Need_for_assist,P_20_24_No_need_for_assist,P_20_24_Need_for_assist_ns,P_20_24_yr_OS_vis,P_20_24_yr_Tot,P_25_34_yr_Need_for_assist,P_25_34_No_need_for_assist,P_25_34_Need_for_assist_ns,P_25_34_yr_OS_vis,P_25_34_yr_Tot,P_35_44_yr_Need_for_assist,P_35_44_No_need_for_assist,P_35_44_Need_for_assist_ns,P_35_44_yr_OS_vis,P_35_44_yr_Tot,P_45_54_yr_Need_for_assist,P_45_54_No_need_for_assist,P_45_54_Need_for_assist_ns,P_45_54_yr_OS_vis,P_45_54_yr_Tot,P_55_64_yr_Need_for_assist,P_55_64_No_need_for_assist,P_55_64_Need_for_assist_ns,P_55_64_yr_OS_vis,P_55_64_yr_Tot,P_65_74_yr_Need_for_assist,P_65_74_No_need_for_assist,P_65_74_Need_for_assist_ns,P_65_74_yr_OS_vis,P_65_74_yr_Tot,P_75_84_yr_Need_for_assist,P_75_84_No_need_for_assist,P_75_84_Need_for_assist_ns,P_75_84_yr_OS_vis,P_75_84_yr_Tot,P_85_yr_over_Need_for_assist,P_85_over_No_need_for_assist,P_85_over_Need_for_assist_ns,P_85_over_OS_vis,P_85_yr_over_Tot,P_Tot_Need_for_assist,P_Tot_No_need_for_assist,P_Tot_Need_for_assist_ns,P_Tot_OS_vis,P_Tot_Tot
101,98,6084,428,3,6619,843,13314,1104,7,15269,281,6240,498,4,7026,199,5531,526,14,6277,337,12382,1301,75,14102,339,12251,1118,21,13733,531,14123,1291,19,15962,848,15853,1342,19,18061,1236,13588,1055,27,15903,1254,6120,525,4,7904,897,1208,212,3,2323,6853,106705,9412,206,123172,49,5832,422,4,6309,407,12646,985,8,14042,173,5772,409,6,6358,131,5253,367,20,5773,312,12864,947,57,14189,405,12965,949,23,14332,655,14804,971,17,16449,907,16130,1085,28,18156,1157,13429,882,18,15489,1558,6180,532,11,8272,1774,1349,321,0,3444,7530,107219,7858,192,122801,153,11916,848,13,12928,1252,25958,2089,10,29313,450,12010,909,11,13384,333,10782,891,38,12049,645,25254,2251,141,28285,741,25220,2059,40,28059,1182,28925,2260,33,32411,1756,31986,2426,53,36215,2390,27018,1935,43,31393,2812,12299,1059,9,16181,2676,2550,537,5,5761,14383,213928,17271,397,245973
102,228,9295,483,8,10011,1897,19178,1152,21,22247,614,9420,515,7,10555,418,8488,471,16,9390,571,16899,1039,12,18534,577,18250,990,28,19843,745,19464,1083,26,21319,1276,18851,946,25,21099,1809,16042,848,27,18722,2027,9041,718,11,11802,1493,1921,490,9,3909,11660,146852,8731,177,167425,128,8810,505,0,9436,846,18815,1127,10,20795,350,8971,468,7,9790,258,8398,456,4,9116,482,18069,1020,20,19590,592,19861,1041,17,21512,899,20938,963,29,22835,1474,21101,950,41,23572,1917,18699,1004,31,21652,2761,10004,1002,8,13778,2991,2615,989,4,6603,12694,156283,9528,174,178681,350,18103,989,11,19456,2740,37994,2281,27,43043,958,18391,976,12,20344,676,16887,926,12,18498,1053,34971,2062,32,38123,1170,38114,2030,41,41348,1641,40400,2057,53,44154,2752,39949,1893,66,44662,3731,34745,1849,56,40379,4794,19045,1722,22,25582,4487,4529,1481,14,10513,24356,303131,18263,354,346101
103,106,5983,433,4,6532,958,12818,1092,5,14867,321,5995,491,0,6811,219,5111,636,7,5978,317,10889,1363,23,12597,358,10492,1326,22,12195,537,11430,1132,13,13116,794,12125,1066,18,14004,1072,10320,858,10,12252,1164,5231,507,8,6904,822,1075,162,0,2065,6662,91475,9068,109,107313,66,5571,435,0,6073,452,12568,1084,5,14114,207,5587,403,0,6201,144,4976,379,9,5508,277,11537,855,15,12686,333,11064,840,6,12245,539,11997,849,22,13397,752,12388,815,17,13974,1043,10429,675,4,12151,1440,5483,505,7,7439,1714,1382,302,0,3396,6969,92977,7143,93,107181,169,11561,867,3,12598,1408,25380,2173,10,28982,527,11587,897,4,13010,359,10086,1022,20,11489,593,22430,2215,40,25280,685,21548,2167,35,24432,1075,23426,1978,32,26515,1545,24515,1882,37,27977,2115,20745,1526,14,24404,2603,10714,1015,18,14345,2541,2457,465,0,5468,13630,184449,16214,208,214499
104,73,3306,248,5,3631,621,7863,619,10,9111,241,3606,284,0,4130,154,2857,334,31,3373,237,6315,912,83,7540,254,6679,828,34,7797,387,7538,763,21,8712,722,8839,680,8,10253,1002,8987,559,11,10560,969,4321,346,6,5647,678,927,174,0,1781,5336,61228,5744,221,72536,34,3322,261,5,3621,300,7721,613,3,8635,120,3493,268,0,3889,82,2861,214,30,3185,206,6936,622,42,7806,265,7430,609,21,8322,427,8546,601,20,9592,685,9914,547,26,11173,901,9278,530,14,10722,1184,4560,419,3,6174,1385,1027,310,0,2728,5592,65089,5003,160,75844,108,6620,510,11,7250,916,15584,1236,16,17748,364,7103,552,3,8022,231,5723,545,63,6563,444,13248,1534,123,15346,525,14111,1432,60,16128,816,16078,1362,41,18301,1406,18755,1230,33,21421,1909,18264,1087,23,21278,2153,8884,768,7,11817,2060,1954,490,0,4508,10927,126319,10746,379,148381
105,56,3378,455,0,3890,450,6368,1049,9,7872,166,2811,467,0,3442,112,2579,426,9,3123,173,6416,1029,38,7654,180,5319,889,7,6400,297,5652,851,6,6806,480,6494,887,3,7869,666,5343,711,11,6732,653,2500,427,0,3583,402,535,162,0,1097,3636,47391,7355,89,58475,32,3256,432,0,3717,209,6328,931,0,7468,77,2709,364,6,3155,69,2649,362,8,3085,151,6950,893,26,8018,152,5721,813,7,6684,323,5867,767,5,6961,488,6675,754,8,7916,554,5283,612,10,6458,775,2751,481,3,4001,814,652,292,0,1763,3647,48833,6687,62,59230,93,6627,887,3,7606,662,12699,1974,9,15340,245,5522,834,5,6601,183,5227,786,17,6211,323,13363,1922,64,15668,333,11040,1697,13,13083,618,11520,1616,11,13769,967,13165,1635,17,15787,1226,10629,1320,17,13190,1424,5252,907,3,7586,1214,1185,456,0,2864,7285,96224,14041,148,117704
106,199,8388,438,4,9028,1798,17425,1132,8,20364,570,8191,509,3,9275,370,7352,632,3,8355,505,16118,1531,24,18174,507,15552,1345,22,17430,741,15830,1139,14,17727,1155,15764,965,16,17897,1636,13388,721,19,15764,1520,6449,508,5,8484,893,1141,214,0,2253,9902,125585,9137,122,144749,113,8049,427,0,8586,881,17281,1004,5,19172,313,7765,401,5,8483,226,7257,381,7,7870,444,17193,873,24,18536,574,16458,831,14,17877,859,16855,755,11,18488,1284,16703,714,24,18727,1589,14050,618,14,16269,1882,6688,516,5,9092,1880,1402,384,4,3661,10049,129694,6892,124,146762,310,16443,859,3,17612,2677,34710,2137,15,39538,891,15947,908,8,17758,597,14606,1010,12,16225,949,33312,2404,43,36708,1080,32009,2181,36,35306,1607,32684,1895,29,36219,2437,32467,1681,42,36627,3231,27434,1342,30,32031,3405,13132,1024,11,17574,2772,2535,597,8,5909,19953,255280,16030,248,291504
107,189,8611,412,6,9218,1239,17558,877,4,19687,435,8761,457,3,9657,351,9812,528,18,10704,517,18319,933,24,19798,530,17395,827,12,18759,728,17519,799,17,19069,1096,17058,701,15,18873,1531,13036,624,26,15214,1774,6741,534,6,9055,1358,1420,409,0,3192,9750,136230,7104,136,153221,81,8156,377,6,8622,614,17031,871,3,18524,269,8618,455,5,9342,258,9637,455,11,10359,437,18720,915,21,20097,532,18406,833,26,19795,911,18480,715,15,20126,1234,18120,666,32,20047,1702,14330,632,27,16688,2589,7327,641,5,10568,2674,1708,699,7,5076,11290,140538,7259,155,159247,269,16770,793,11,17843,1856,34589,1745,14,38202,699,17376,911,8,19003,606,19449,981,27,21061,962,37040,1850,51,39901,1059,35804,1659,35,38557,1639,36005,1515,37,39191,2327,35179,1362,49,38917,3232,27363,1257,47,31905,4363,14069,1176,12,19622,4029,3124,1110,4,8269,21042,276767,14362,296,312468
108,122,4703,419,13,5256,1106,11117,992,9,13227,400,5480,453,6,6343,267,4177,445,3,4900,420,8279,1002,28,9722,424,9052,929,25,10430,707,11231,916,25,12872,1275,14209,1048,23,16553,1915,15797,1033,15,18757,1910,8464,617,4,10994,1337,1801,266,6,3412,9890,94297,8128,150,112464,75,4604,387,3,5065,565,11178,1001,7,12757,238,5411,380,3,6028,175,4177,309,5,4663,339,9265,768,14,10384,412,10251,756,23,11428,715,12669,792,19,14188,1256,16389,967,12,18628,1702,16376,982,9,19078,2317,8695,700,8,11719,2628,2080,454,0,5161,10406,101093,7488,112,119103,195,9303,811,12,10318,1675,22297,1991,16,25983,636,10887,833,9,12368,445,8352,755,11,9564,755,17538,1769,44,20110,828,19297,1684,44,21859,1417,23901,1710,41,27067,2534,30599,2011,36,35178,3616,32179,2009,27,37831,4221,17159,1315,15,22712,3967,3881,714,6,8571,20294,195394,15614,260,231562
109,74,3281,297,0,3648,537,6624,680,0,7844,173,3105,287,3,3570,125,2758,264,9,3161,208,6002,572,50,6828,168,5847,562,14,6587,299,6342,626,5,7269,481,7110,614,11,8209,715,6576,527,5,7827,682,3261,298,3,4251,512,698,152,0,1362,3981,51594,4870,110,60553,33,3180,281,0,3495,233,6552,568,3,7351,101,3122,257,0,3482,86,2777,230,0,3091,168,6298,542,31,7041,170,6371,533,18,7089,325,6773,472,8,7570,459,7620,561,8,8655,679,6549,451,0,7676,910,3506,373,0,4791,1033,831,165,0,2030,4201,53573,4425,75,62280,108,6463,575,3,7148,765,13173,1247,0,15193,273,6219,548,5,7049,212,5530,490,16,6250,375,12299,1117,81,13864,341,12218,1091,32,13680,624,13113,1091,13,14841,948,14728,1176,17,16860,1392,13123,978,6,15505,1600,6767,672,3,9043,1545,1528,313,0,3390,8186,105166,9295,183,122832
110,104,5030,539,4,5677,784,10553,1309,9,12658,247,4944,623,4,5813,193,4380,709,14,5294,268,9403,1223,109,11003,288,8603,1115,65,10068,457,9345,1169,25,10999,731,10314,1193,9,12244,1032,8887,902,3,10824,1013,4561,583,6,6161,642,912,235,4,1789,5769,76923,9604,241,92538,54,4490,493,6,5043,354,10520,1339,0,12210,160,4954,707,5,5823,129,4392,631,14,5163,235,10047,1112,43,11444,284,9226,1032,26,10567,472,9865,1057,11,11413,738,10795,1044,10,12581,929,8935,833,10,10707,1289,5047,630,3,6969,1382,1146,364,0,2896,6036,79416,9234,121,94811,158,9522,1028,4,10718,1140,21075,2646,5,24867,405,9895,1330,9,11634,325,8774,1334,26,10462,512,19452,2337,148,22449,579,17825,2141,92,20635,935,19211,2226,41,22415,1464,21106,2236,15,24830,1964,17814,1732,17,21534,2307,9602,1212,6,13129,2023,2064,598,4,4686,11806,156341,18834,365,187349
