SUA_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
1000,14855,16038,37513,42193,50322,45711,13572,2118,227,222552,10858,3982,9628,9165,11406,27462,50151,31175,12331,166170,2172,1854,4209,4557,4966,5428,4899,3719,2058,33869,27890,21879,51360,55922,66701,78600,68615,37013,14618,422593,8049,18519,46035,51513,62969,51849,14517,2485,240,256177,16533,10837,21455,25062,28108,33274,15378,3107,369,154123,1974,1769,4891,3713,3930,5143,1905,342,59,23735,965,872,1761,1581,1724,1626,768,456,121,9878,27517,31994,74141,81876,96729,91895,32574,6388,791,443906,1032,1452,2106,1704,2098,2107,306,10,0,10808,1728,883,1162,990,1163,1590,488,41,11,8055,2756,2338,3264,2694,3258,3697,786,55,12,18861,30277,34331,77404,84567,99989,95587,33365,6447,802,462770,22781,7246,15285,15295,20530,49258,97968,60716,20652,309737,4598,4057,8740,9320,10423,11605,10411,7035,3363,69554,57663,45631,101427,109185,130942,156450,141742,74195,24813,842056
1001,1864,2305,5221,4960,4778,3750,922,76,9,23883,949,489,1108,1067,1012,2022,4041,2871,1268,14832,145,161,358,310,231,228,239,243,127,2037,2951,2950,6690,6338,6023,6002,5202,3193,1402,40754,912,2570,6655,6211,6075,4286,803,45,3,27565,2114,1691,2939,2860,2545,2518,1114,152,6,15947,203,165,546,327,290,333,123,13,3,2005,78,88,203,129,104,84,23,16,0,718,3303,4509,10339,9526,9008,7220,2073,234,19,46230,126,205,267,232,203,167,22,0,0,1229,304,154,163,118,93,127,46,3,0,1007,425,354,430,349,300,303,68,3,6,2234,3728,4869,10767,9877,9303,7525,2136,234,21,48464,2023,824,1649,1604,1788,3428,7315,5039,1989,25670,308,337,747,647,535,468,445,391,200,4076,6070,6024,13165,12130,11624,11416,9904,5667,2219,78213
1002,459,621,1193,1021,1024,899,248,35,3,5500,406,258,338,231,238,438,826,722,293,3744,232,214,167,111,75,86,80,92,70,1138,1096,1090,1697,1367,1341,1421,1148,848,370,10378,163,464,1388,1296,1323,1039,207,19,3,5914,507,555,750,578,484,565,292,59,0,3787,57,68,105,63,62,93,42,9,0,494,18,22,39,23,14,22,3,7,0,149,752,1100,2283,1966,1885,1720,548,92,8,10348,28,54,97,56,41,39,3,0,0,316,92,73,50,34,25,24,12,0,0,306,117,125,148,86,71,58,15,0,0,620,870,1230,2428,2052,1960,1779,558,92,8,10970,748,477,518,405,417,783,1469,1263,475,6550,390,404,327,210,168,173,129,160,106,2075,2008,2108,3269,2665,2541,2730,2160,1511,592,19587
1003,786,751,1768,2151,2476,2188,598,71,6,10789,331,142,367,428,502,1086,2726,1928,961,8479,42,50,156,125,137,129,168,145,170,1116,1156,945,2290,2705,3118,3397,3497,2136,1136,20376,257,710,1807,2387,2803,2140,438,46,0,10596,1042,640,1231,1539,1577,1741,820,133,14,8733,95,78,231,213,180,209,84,6,5,1097,28,36,64,68,64,58,18,10,3,350,1427,1466,3329,4208,4620,4146,1369,198,20,20776,35,50,78,52,67,58,8,0,0,355,115,31,49,40,74,70,20,3,0,405,148,89,127,97,134,131,28,3,0,756,1572,1554,3460,4304,4754,4279,1393,198,20,21536,744,262,562,648,850,1929,4974,3529,1557,15047,112,104,289,281,268,253,302,244,245,2101,2429,1917,4308,5233,5869,6461,6669,3971,1827,38677
1004,228,223,540,647,774,809,209,17,0,3443,146,74,167,134,230,642,1293,849,373,3905,32,22,58,66,61,83,74,79,38,512,405,321,765,845,1065,1536,1583,945,407,7866,92,219,630,691,866,677,145,20,0,3341,283,195,344,416,478,650,284,28,0,2677,38,23,58,67,89,102,34,5,0,413,12,8,34,34,32,21,4,4,0,144,426,442,1063,1202,1464,1450,468,56,3,6581,19,26,40,31,54,32,7,0,0,199,25,15,24,15,16,33,5,0,0,134,44,38,58,43,69,67,13,0,0,331,470,486,1120,1251,1534,1514,481,56,3,6907,325,121,255,243,442,1132,2488,1606,615,7225,66,60,118,119,159,168,150,131,54,1029,863,662,1496,1609,2132,2815,3112,1792,669,15163
1005,749,1040,1975,1770,1830,1369,339,24,4,9091,450,167,423,311,365,713,1412,1041,560,5440,50,62,112,107,106,82,80,80,75,753,1243,1267,2515,2187,2304,2164,1830,1144,634,15285,293,1026,2547,2381,2480,1660,307,19,0,10715,911,794,1067,896,869,827,391,58,9,5813,90,85,208,117,104,148,52,4,4,807,22,49,66,37,29,24,11,5,0,237,1317,1941,3888,3436,3482,2663,758,86,8,17579,50,84,100,68,72,56,6,0,0,432,110,68,53,43,34,41,11,4,0,375,161,158,162,112,103,93,13,4,0,808,1475,2101,4051,3548,3586,2755,772,90,8,18382,1054,446,917,718,716,1266,2623,1901,858,10494,118,142,237,232,213,184,157,149,104,1541,2649,2691,5210,4500,4514,4204,3544,2139,973,30419
1006,616,717,1608,1790,2212,1802,687,112,9,9554,476,122,331,366,470,945,2400,2010,703,7818,45,46,75,90,103,98,120,146,170,892,1135,890,2014,2239,2788,2845,3203,2271,880,18261,301,728,1978,2216,2684,1993,539,71,3,10533,724,565,939,1141,1303,1328,807,193,12,7019,124,92,225,149,169,209,94,12,3,1077,24,24,55,56,48,45,26,9,0,295,1175,1420,3203,3566,4202,3573,1465,291,22,18918,28,35,64,49,63,58,10,0,0,316,73,30,41,40,45,34,15,7,0,290,104,62,104,89,110,101,24,7,0,604,1279,1484,3305,3659,4314,3669,1493,297,24,19520,962,233,500,511,721,1519,4050,3586,1214,13300,80,100,142,185,210,190,222,268,263,1653,2320,1811,3953,4352,5252,5378,5762,4144,1502,34473
1007,268,298,827,687,719,773,175,17,0,3774,142,104,215,203,217,509,907,618,297,3211,39,37,89,87,69,72,76,93,83,636,446,443,1135,980,1014,1355,1156,723,377,7621,130,380,1029,874,964,895,188,8,0,4489,303,189,417,340,314,455,167,23,3,2209,23,29,114,62,64,87,36,3,0,409,14,16,36,33,23,37,8,4,0,169,472,612,1592,1311,1369,1478,399,38,5,7275,30,28,50,49,55,45,4,0,0,262,29,22,20,20,19,32,15,0,0,157,57,47,68,74,75,79,14,0,0,421,531,662,1662,1386,1444,1555,414,38,5,7695,340,176,358,342,442,930,1725,1096,467,5877,92,90,169,170,148,142,138,137,112,1206,967,926,2194,1896,2032,2628,2284,1268,583,14775
1008,122,255,909,670,520,410,139,8,0,3032,71,44,137,148,149,262,451,223,101,1585,13,45,118,72,50,58,37,16,24,436,205,352,1165,890,718,726,626,242,118,5049,14,96,622,582,506,339,83,6,0,2249,159,235,830,579,438,396,215,18,0,2866,39,25,100,75,56,43,20,4,0,356,6,9,63,35,19,9,5,0,0,143,215,365,1610,1263,1011,793,323,28,0,5614,3,16,63,34,34,22,0,0,0,172,18,30,34,25,22,12,5,0,0,153,28,43,98,57,56,34,5,0,0,322,241,405,1715,1325,1069,824,327,28,0,5933,149,93,249,256,247,503,846,426,145,2922,35,74,223,159,121,109,72,33,30,860,430,580,2183,1733,1438,1442,1246,491,174,9708
1009,284,198,425,642,873,889,189,21,5,3534,130,48,101,120,200,688,1641,1146,420,4493,13,6,19,26,17,59,67,64,30,302,427,257,549,790,1091,1632,1893,1231,463,8323,142,221,462,670,992,752,114,9,0,3365,335,163,272,407,537,707,231,34,6,2685,34,21,52,56,57,97,37,0,0,358,3,9,18,10,26,28,4,4,3,114,522,414,802,1147,1616,1582,385,48,11,6519,9,28,33,27,32,43,6,0,0,187,45,13,16,12,32,45,17,0,0,182,59,35,58,41,63,89,17,0,4,366,573,450,854,1191,1677,1673,406,51,11,6886,306,99,170,188,375,1204,3196,2272,731,8535,30,19,48,47,46,108,147,113,69,622,907,570,1073,1425,2092,2979,3748,2435,807,16036
