SUA_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
1000,6507,136,48,51,36,6776,3158,87,37,25,13,3320,3033,64,29,22,4,3153,6059,117,47,46,26,6296,8114,141,67,38,21,8382,19820,360,150,98,36,20473,17574,343,94,73,33,18114,19431,249,89,62,45,19871,9585,81,39,31,24,9766,8269,73,30,26,15,8404,5944,37,35,24,29,6060,7103,134,37,38,16,7329,114603,1815,706,530,287,117939
1001,504,24,0,0,0,534,266,27,0,0,0,303,216,36,4,0,0,258,473,71,0,0,0,546,873,94,10,0,0,976,2858,121,10,0,0,2987,2751,44,0,0,4,2807,2087,27,3,0,4,2117,649,6,0,0,0,656,457,10,0,3,0,466,284,0,0,0,0,282,590,26,0,0,0,615,12011,478,30,12,14,12545
1002,108,0,0,0,0,110,41,0,0,0,0,46,50,0,0,0,0,47,102,5,0,0,0,109,155,10,4,0,0,174,510,9,3,0,0,529,503,10,0,0,0,519,380,9,0,0,0,388,145,4,0,0,0,147,108,3,0,0,0,118,79,0,0,0,0,80,115,5,0,0,0,115,2301,69,12,0,6,2382
1003,214,35,8,0,0,250,66,17,3,0,0,90,67,20,8,0,0,91,109,39,3,0,0,149,167,40,8,0,0,212,453,97,24,3,0,590,566,111,33,0,0,713,904,145,28,4,0,1083,535,60,9,0,0,603,487,44,10,0,0,536,299,26,7,0,0,331,264,47,8,0,0,320,4125,679,142,16,7,4968
1004,115,7,12,0,0,134,49,5,4,0,0,57,37,4,0,0,0,40,58,9,5,0,0,64,80,8,8,0,4,96,243,15,15,0,0,274,299,16,9,0,0,324,320,13,7,0,0,344,139,4,3,0,0,142,82,3,3,0,0,90,48,0,0,0,0,48,83,3,5,0,0,95,1556,87,59,3,0,1707
1005,155,3,7,0,0,166,52,3,0,0,0,66,65,7,0,0,0,71,115,8,5,0,0,122,188,21,4,0,0,217,655,45,16,0,5,720,976,33,3,0,0,1015,1067,24,3,0,0,1091,390,4,0,0,0,397,231,0,0,0,0,230,133,5,0,0,0,134,197,17,0,0,0,214,4220,181,36,0,0,4442
1006,250,4,3,0,0,265,85,0,0,0,0,89,73,8,0,0,0,80,107,6,0,0,0,111,163,3,6,0,0,174,478,22,7,0,6,508,623,17,6,3,3,653,1163,25,6,0,0,1194,730,8,7,6,0,748,619,15,3,0,0,636,518,0,5,0,0,525,313,9,0,0,0,320,5119,118,46,11,8,5297
1007,138,0,0,0,0,138,183,6,0,0,0,184,184,0,0,0,0,186,336,0,0,0,0,339,322,3,0,0,0,325,479,0,0,0,0,479,227,0,0,3,0,231,110,0,0,0,0,108,38,0,0,0,0,38,22,0,0,0,0,28,19,0,0,0,0,19,143,0,0,0,0,143,2195,10,0,0,4,2219
1008,47,10,0,0,0,66,19,6,0,0,0,24,11,5,0,0,0,18,12,5,4,0,0,17,16,8,0,0,0,23,46,18,4,4,0,70,56,35,7,0,0,103,107,35,19,0,0,154,68,37,8,0,0,113,103,30,12,0,0,145,158,20,9,0,0,186,57,21,3,0,0,81,705,223,59,3,0,1003
1009,103,0,0,0,0,113,49,3,0,0,0,53,41,5,0,0,0,41,68,8,0,3,0,82,86,5,0,0,0,92,239,9,6,3,0,262,303,10,0,0,0,312,411,14,0,4,0,426,166,0,0,0,0,172,107,0,0,0,0,112,55,0,0,0,0,60,84,4,0,0,0,90,1723,63,13,9,0,1809
1010,1707,127,93,9,5,1931,628,61,51,4,0,740,576,74,28,5,0,681,993,103,54,5,0,1152,1428,138,87,4,6,1656,4164,344,286,10,4,4802,5948,528,360,12,3,6853,9708,559,369,12,9,10646,5846,215,135,0,6,6194,4313,122,96,4,4,4535,2585,72,60,3,6,2724,2349,158,91,5,5,2608,40236,2490,1706,66,33,44538
1011,345,29,18,0,0,399,141,16,6,0,0,173,116,27,10,0,0,156,255,22,16,0,0,290,321,46,37,0,0,409,976,112,97,3,0,1193,1342,126,52,0,0,1530,1865,101,51,0,3,2021,784,16,3,0,0,814,480,16,15,0,0,509,234,20,5,4,0,255,429,25,22,0,0,489,7290,574,328,24,8,8228
1012,121,0,0,0,0,130,56,8,0,0,0,69,83,0,3,0,0,82,156,4,3,0,0,168,298,10,12,0,0,317,1026,36,9,0,0,1070,1150,19,4,0,3,1167,971,12,0,0,3,981,319,3,0,0,0,322,187,0,0,0,0,189,123,5,0,0,0,125,297,11,0,0,0,302,4777,107,35,4,4,4929
1013,74,14,16,0,0,101,29,18,8,0,0,58,34,5,4,3,0,46,63,10,15,0,0,84,115,13,10,0,0,139,208,37,34,0,0,277,244,32,25,0,0,298,355,21,12,0,0,384,148,4,6,0,0,161,66,0,8,0,0,78,52,3,6,0,0,55,78,14,13,0,0,111,1463,170,154,9,3,1798
1014,100,12,3,0,0,112,42,0,3,0,0,46,54,5,3,0,0,59,87,5,0,0,0,91,165,13,3,0,0,178,489,34,4,0,0,526,605,29,0,4,0,637,644,15,0,0,0,664,236,3,0,0,0,238,141,5,0,0,0,151,75,3,0,0,0,83,121,6,3,0,0,128,2763,116,16,6,3,2904
1015,71,0,0,0,0,74,42,0,0,0,0,42,58,5,6,0,0,62,128,3,0,0,0,137,185,7,0,3,0,185,573,14,11,3,0,600,446,10,6,3,0,468,274,6,0,3,0,283,58,0,0,0,0,60,46,0,0,0,0,51,36,0,0,0,0,39,85,0,0,3,0,95,2006,43,24,29,0,2098
