SUA_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
1000,377,237,934,1362,2451,5877,11106,9244,5119,36696,56,72,219,225,298,430,573,542,256,2679,4583,4448,10069,10587,11548,13131,12632,9070,4446,80514,26788,45577,101390,109128,130869,156416,141700,74170,24798,810838
1001,41,45,153,208,210,391,682,807,556,3098,5,19,69,80,148,110,99,55,28,616,315,336,752,677,571,562,590,574,345,4717,2683,6002,13161,12123,11623,11414,9892,5664,2215,74768
1002,15,29,43,55,47,92,131,143,91,636,3,21,50,36,24,18,22,14,4,192,388,410,334,222,182,187,146,197,122,2188,1137,2100,3269,2665,2541,2727,2163,1513,592,18706
1003,5,15,55,48,65,163,306,365,314,1338,3,0,19,11,12,22,23,8,15,112,120,114,302,299,287,290,380,370,309,2466,996,1916,4304,5233,5869,6452,6661,3965,1820,37225
1004,8,9,16,25,51,90,203,184,93,684,0,0,5,10,5,5,9,7,8,48,64,57,133,128,172,191,221,200,103,1274,412,661,1496,1606,2124,2811,3112,1792,673,14700
1005,11,11,46,44,72,150,252,252,186,1026,0,9,17,11,21,14,24,16,9,118,128,251,557,464,335,224,194,217,135,2503,1156,2686,5207,4500,4507,4196,3541,2136,973,28901
1006,8,4,18,36,50,121,241,217,122,822,3,3,5,13,16,19,20,20,11,103,79,97,156,190,233,214,280,345,309,1899,926,1809,3945,4351,5246,5376,5761,4144,1498,33061
1007,11,13,34,56,69,235,376,229,149,1176,0,0,0,0,7,10,3,15,3,47,93,103,193,205,169,176,198,174,132,1445,540,929,2194,1892,2032,2630,2279,1268,584,14333
1008,0,0,6,8,5,17,29,22,14,126,0,0,3,5,0,0,0,0,0,13,33,77,234,167,126,117,91,42,28,898,174,574,2180,1734,1438,1438,1245,491,174,9450
1009,5,0,9,16,31,71,216,220,139,705,0,0,0,0,9,6,11,9,6,43,34,19,50,43,57,135,190,176,77,788,400,570,1073,1425,2092,2976,3747,2435,810,15526
1010,106,62,263,343,647,1460,2551,2338,1510,9285,15,34,80,95,124,168,203,183,128,1029,864,880,2038,1993,1976,1979,2490,2803,2210,17232,8851,18242,37804,40900,43514,44023,39910,25365,10467,269071
1011,31,39,141,240,187,359,594,555,375,2512,9,16,123,97,69,88,68,24,23,518,229,203,655,568,531,533,582,644,512,4458,1946,3457,8438,8809,9194,9797,9829,5644,2293,59405
1012,11,14,35,51,105,212,372,299,180,1279,0,4,20,15,12,24,28,17,3,126,216,218,594,441,383,329,300,270,182,2928,1181,2433,6694,5021,4478,4414,3514,2292,908,30946
1013,3,7,22,30,58,123,288,265,200,989,0,0,3,5,16,8,9,4,16,71,49,45,110,101,120,158,298,314,234,1432,473,726,1521,1739,2147,3143,4204,2931,1351,18232
1014,10,5,36,58,64,127,264,248,152,961,0,0,8,16,15,19,10,19,10,98,89,133,376,275,274,189,209,181,171,1894,689,1596,3562,2931,2939,3034,2685,1671,731,19828
1015,16,4,29,39,67,112,193,225,166,846,0,3,5,8,13,15,17,12,5,77,76,97,191,159,168,147,191,189,184,1402,519,1098,2184,2017,2200,2415,2309,1595,775,15122
1016,8,8,53,66,113,156,253,274,176,1108,0,5,40,28,42,41,43,40,45,283,55,90,262,190,187,182,148,158,154,1421,528,1214,3352,2729,2536,2354,1659,1111,601,16085
1017,16,13,30,28,55,139,260,204,107,856,3,5,0,0,10,11,6,7,5,52,104,189,477,374,228,201,156,146,113,1990,532,909,1857,1683,1782,2031,1942,1139,462,12321
1018,10,14,39,60,72,118,221,261,185,969,6,7,6,6,12,12,11,6,12,79,148,156,294,267,206,257,254,240,211,2036,884,1724,3593,3425,3613,3900,3302,1929,939,23312
1019,6,5,15,25,40,84,148,122,79,522,0,0,0,0,0,10,4,6,0,31,51,65,229,172,130,124,152,133,67,1129,337,623,1481,1295,1512,1749,1600,1077,388,10061
1020,3,4,28,31,26,74,134,88,43,425,0,0,0,0,5,4,0,4,5,26,28,46,61,66,70,88,83,82,20,536,425,758,1550,1827,1988,1899,1649,844,167,11107
1021,13,14,38,46,65,147,225,223,170,937,5,0,12,7,7,22,24,12,8,92,55,68,119,103,103,115,172,222,173,1124,717,1568,3055,2879,3157,3488,3367,2535,1125,21893
1022,3,4,8,16,22,56,100,81,77,369,0,0,4,0,0,9,7,15,5,37,26,45,109,107,102,87,79,81,55,689,351,681,1855,1578,1520,1396,1158,825,353,9714
1023,10,8,31,51,46,83,118,90,61,487,0,0,0,0,8,8,11,0,0,35,50,71,221,185,133,93,75,57,36,933,373,710,1910,1656,1543,1426,1015,512,183,9322
1024,3,3,19,22,37,122,234,232,137,811,0,3,7,4,7,5,20,13,11,72,64,59,93,87,129,185,273,374,232,1492,644,1095,2066,2469,3384,4406,4926,3364,1094,23449
1025,179,175,543,666,1032,2163,3760,3157,2285,13969,17,41,166,197,256,315,274,217,169,1656,1248,1722,3668,3116,2667,2567,2926,3212,2336,23449,13919,33344,69417,64047,62242,59373,50759,29836,12412,395340
1026,21,18,57,80,129,241,409,299,212,1460,4,6,3,18,19,16,28,25,18,121,188,242,677,572,467,321,281,262,111,3134,1110,2306,5226,4575,4473,4642,4253,2580,1060,30222
1027,28,22,57,80,118,202,351,295,204,1355,0,0,18,20,30,17,46,26,10,173,120,156,348,296,282,258,275,261,185,2184,1111,2494,5833,5362,4966,4540,3966,2406,1027,31705
1028,13,5,30,53,93,171,406,387,328,1486,0,0,9,13,18,23,17,13,13,105,105,133,263,275,281,314,430,459,389,2661,1269,2574,4934,5413,6103,6552,7046,5002,2191,41077
1029,8,11,38,21,48,73,116,100,88,501,4,0,5,7,4,13,3,5,3,50,106,125,173,115,96,92,90,56,22,880,763,1247,2594,2079,2194,1894,1353,704,309,13139
1030,7,7,14,20,34,116,280,210,110,808,0,0,0,10,5,7,17,10,3,58,64,48,117,115,118,134,192,199,99,1099,468,834,1865,2050,2283,2846,3362,2006,645,16358
1031,585,1026,5162,8131,11968,20693,32130,29647,16165,125509,207,1121,5895,6319,8390,12228,12016,9871,6184,62245,11323,18253,48433,39315,28699,24977,23225,21459,17616,233295,111668,318697,763221,726990,612596,523659,389363,219669,94076,3759942
1032,27,15,88,80,120,226,362,355,234,1506,3,3,34,22,20,29,32,17,4,166,229,230,529,447,390,325,336,406,259,3150,1363,2637,6329,5227,4907,4816,4244,2924,1235,33673
1033,17,9,49,76,84,202,342,319,239,1341,0,0,3,4,9,18,13,19,6,75,117,127,256,250,225,291,333,350,275,2218,790,1343,2837,2610,2938,3608,3535,2472,1100,21226
1034,0,4,10,12,19,63,198,157,109,573,0,0,5,3,0,6,11,6,4,39,48,35,89,91,121,166,154,117,63,902,332,585,1479,1729,1881,2586,3024,1728,630,13969
1035,33,45,122,160,153,249,374,411,288,1832,0,12,82,97,66,56,43,27,22,403,174,213,453,372,351,316,338,314,261,2785,2090,4527,8268,6912,6425,6307,5128,3157,1483,44310
1036,71,71,268,394,550,1401,2859,2960,1773,10354,12,34,114,162,182,224,371,448,354,1904,798,939,1827,1605,1480,1405,1635,1944,1582,13220,8475,20638,39123,37657,38113,37618,30637,18920,8000,239182
2000,346,268,960,1120,1650,3432,7010,8636,4890,28319,46,77,239,241,304,370,348,398,212,2233,2751,2422,5428,6147,7109,8384,8415,6430,3366,50458,15738,30239,68220,75800,92591,110562,101513,52170,18030,564870
2001,7,9,27,30,51,98,212,233,138,806,0,0,6,8,17,13,24,15,10,92,55,47,141,116,110,108,126,97,39,842,541,1371,3529,3439,3112,2627,2296,1150,431,18488
2002,14,12,32,25,38,88,164,252,110,742,0,3,4,4,3,7,7,8,3,46,58,66,122,141,139,157,164,166,149,1154,386,819,1812,1595,1798,2014,2047,1418,567,12461
2003,72,93,177,186,229,402,875,1066,742,3836,8,26,52,36,66,51,60,29,27,357,357,420,829,664,688,603,693,707,522,5479,2816,7192,15406,13878,13547,12780,11280,6496,2844,86238
2004,59,57,216,257,276,422,930,1086,702,4019,9,25,108,115,133,120,82,43,24,660,295,317,822,681,674,643,644,726,610,5420,2541,6579,14015,12610,12149,12049,10662,6244,2798,79634
2005,3,0,12,21,21,37,75,99,56,328,0,3,0,6,3,5,4,0,3,22,33,23,85,85,103,82,133,161,193,903,183,345,1065,1361,1514,1621,1740,1057,476,9362
2006,4,7,27,37,33,75,151,245,189,771,0,0,29,14,25,24,17,6,7,122,17,28,98,80,65,78,130,100,50,646,275,682,1655,1403,1474,1526,1460,995,492,9961
2007,15,8,31,36,60,122,257,354,170,1045,0,4,11,14,6,16,11,12,6,80,59,70,191,138,171,174,228,232,191,1452,479,1060,2440,2321,2769,3064,3039,1914,753,17847
2008,125,119,362,446,585,966,2082,2699,1763,9157,19,49,194,242,254,236,211,223,150,1587,671,928,1943,1711,1586,1465,1639,1636,1156,12744,6399,17985,39996,37586,35609,33168,29348,16861,7091,224033
2009,7,5,3,10,23,36,111,141,76,410,0,3,4,0,0,0,0,4,0,17,67,42,50,106,130,114,111,83,84,788,519,949,1694,3027,3334,2872,2208,1141,317,16057
2010,15,12,44,37,43,68,146,252,224,829,0,0,8,8,10,13,11,10,0,59,62,71,135,92,102,101,122,129,91,903,375,976,2268,1925,1928,2112,1772,1221,593,13179
2011,1226,1689,6758,9790,12372,19306,36070,45284,25910,158413,302,1410,6228,7219,8345,10225,10084,9588,5931,59345,10458,16174,43369,34292,26549,22300,21384,20046,14843,209425,101607,321961,774565,719825,612197,510586,385258,226058,97903,3749960
2012,43,37,131,155,204,380,693,810,475,2917,4,34,100,90,90,97,75,78,43,610,269,239,656,599,602,581,576,454,282,4267,1387,3002,7194,6283,6700,6885,5767,3382,1400,42001
2013,23,11,61,61,82,147,291,325,203,1206,4,4,8,10,16,20,26,23,13,127,76,91,202,192,212,234,261,172,103,1551,573,1175,2685,2378,2648,3062,2755,1459,590,17335
2014,7,4,21,28,34,74,146,143,95,556,0,0,6,4,6,6,4,6,0,37,35,42,69,97,88,104,105,94,44,677,275,535,1094,1211,1478,1745,1535,769,344,8991
2015,12,11,17,30,39,72,139,198,110,624,0,9,6,11,14,17,3,8,8,66,48,52,120,124,110,90,108,107,110,875,368,805,1891,1775,1884,1854,1703,1065,470,11815
2016,28,33,170,239,217,313,607,656,381,2655,3,24,107,153,177,130,87,88,44,815,209,260,615,527,489,503,462,458,369,3887,1291,3189,7356,6540,6461,6231,5203,3257,1409,40928
2017,5,6,27,31,34,55,107,153,150,558,0,5,17,18,34,26,24,8,10,145,41,46,122,96,85,94,85,89,74,739,249,676,1649,1360,1174,1344,1105,800,425,8776
2018,41,22,100,105,131,260,504,596,368,2133,0,9,25,40,37,34,37,39,27,251,175,210,499,501,426,468,491,518,458,3746,1129,2500,5873,5187,5168,5523,4852,2925,1314,34475
2019,14,9,26,37,59,84,184,303,196,912,0,0,5,12,13,13,15,16,9,93,62,55,135,115,146,139,185,232,172,1241,481,996,2311,2225,2401,2437,2302,1675,820,15649
2020,30,23,66,65,89,166,328,508,337,1609,0,9,29,17,22,26,17,22,10,153,101,96,326,280,284,255,265,261,98,1959,921,2171,5647,4899,4985,5162,4702,2833,1029,32338
2021,22,15,51,60,68,117,327,471,301,1435,0,6,32,30,15,25,19,5,3,131,132,111,278,300,252,237,279,279,246,2111,886,1888,4568,4295,4500,4579,3965,2315,1117,28114
3000,352,269,837,1167,2122,4545,10895,12095,4621,36891,55,84,321,250,329,440,542,449,245,2715,3921,4760,12475,11997,13375,13547,11134,6398,2375,79986,20267,36081,85970,89180,104612,122265,108526,50096,13262,630267
3001,0,3,9,12,16,45,59,53,6,210,0,0,7,9,8,7,4,0,0,28,65,182,569,347,315,472,332,101,8,2399,374,1201,3202,2413,2216,2627,2006,582,68,14693
3002,641,580,2398,3360,4679,6765,14394,19132,9919,61878,124,407,1961,2156,2468,2518,2024,1405,873,13939,6072,8734,20234,16344,13338,10709,10455,9696,7279,102873,68018,169772,363654,349212,315885,258295,200556,110488,41633,1877509
3003,38,26,85,136,217,368,1087,1656,876,4492,4,29,68,46,60,66,39,69,30,396,192,210,551,418,487,519,652,675,363,4067,1953,3824,8175,7727,8606,9720,10390,6907,2362,59661
3004,45,44,166,288,302,530,900,997,531,3785,16,22,110,160,197,177,150,108,31,968,779,1154,2785,2084,2043,1915,1783,1120,456,14121,4161,8797,21013,21333,22287,19938,15796,7594,2357,123277
3005,4,5,11,20,27,38,70,72,20,258,0,4,15,11,9,3,3,4,0,48,65,92,211,221,166,208,160,52,33,1214,427,963,2228,2234,1817,1585,875,287,86,10503
3006,17,12,43,65,103,176,348,387,187,1344,4,4,9,13,22,21,14,14,4,105,137,136,399,426,379,353,294,178,97,2397,1245,2529,6058,6076,6225,5678,3665,1616,524,33618
3007,151,134,438,647,899,1703,3507,4513,2532,14538,27,62,242,284,282,302,348,290,226,2060,1978,2797,6952,5678,5191,4848,5012,4885,3468,40809,17544,42252,92661,92542,91616,82588,73417,43987,16266,552870
3008,10,10,26,35,74,97,300,457,264,1264,0,0,5,7,10,17,12,14,4,71,81,65,181,166,161,165,174,154,110,1250,670,1169,2486,2448,2696,2807,2738,1746,738,17506
