SUA_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
5010,24,41,69,7,10,19,12,48,61,18,62,81,28,41,62,30,49,74,48,66,112,53,55,106,63,117,183,74,127,202,73,167,240,118,163,281,315,437,754,308,35,344,400,171,575,303,31,330,1041,265,1304,386,43,429,69,262,336,3367,2192,5557
6000,412,573,988,256,282,545,234,803,1034,332,1768,2100,1167,4897,6065,1254,2427,3677,4439,1505,5944,3469,1911,5377,3751,1745,5499,4121,1123,5235,2863,938,3804,2899,667,3573,5369,859,6226,3621,155,3771,2387,227,2613,1313,65,1377,2551,397,2947,3675,216,3895,605,987,1588,44720,21527,66249
6001,49,100,148,22,37,63,43,166,207,56,395,451,198,975,1173,228,584,811,766,303,1071,583,347,932,576,357,934,726,207,938,441,172,620,458,135,593,947,158,1107,585,18,603,420,20,439,232,4,240,425,58,478,588,35,620,97,196,290,7433,4280,11714
6002,76,114,187,29,51,85,42,160,205,64,362,432,202,1059,1262,258,570,828,914,322,1239,750,388,1139,682,386,1069,795,247,1043,578,194,770,554,139,690,1062,193,1253,703,27,722,451,38,485,252,12,264,444,67,507,579,41,620,133,231,365,8560,4603,13168
6003,433,683,1117,177,273,450,232,848,1075,285,1738,2024,997,4807,5805,1280,3067,4346,3313,2214,5526,3322,2502,5829,4132,2700,6834,4964,1984,6946,3608,1793,5394,3749,1251,5003,7896,1872,9768,5917,395,6311,4520,503,5024,3020,157,3175,7038,734,7771,3762,570,4332,474,972,1446,59132,29052,88184
6004,154,304,458,90,130,226,93,445,539,155,886,1040,457,2334,2789,558,1534,2092,1789,1007,2794,1599,1213,2811,1857,1208,3066,2187,843,3031,1507,634,2143,1468,460,1934,3222,592,3810,2140,134,2276,1645,140,1787,960,51,1005,2020,263,2282,1498,189,1688,221,443,669,23629,12818,36443
6005,24,49,70,16,18,35,21,79,99,26,161,186,92,573,664,105,290,398,495,168,659,322,153,472,346,148,496,388,79,461,252,84,334,252,76,327,487,77,563,335,11,347,229,14,243,134,0,139,238,21,256,325,12,338,57,119,174,4141,2122,6263
7000,61,251,307,165,119,285,278,286,566,155,332,483,553,594,1143,354,375,735,785,605,1385,799,692,1491,839,938,1782,913,826,1731,655,705,1364,681,639,1322,1306,1234,2540,1080,349,1430,954,434,1391,681,191,868,1456,708,2163,1692,180,1871,376,1133,1511,13773,10597,24373
7001,39,102,146,11,44,58,35,88,124,37,124,163,89,246,339,67,198,269,151,194,345,171,276,443,257,372,631,299,389,686,265,324,590,253,260,514,764,464,1231,686,95,781,626,154,781,414,55,466,1122,230,1352,614,147,757,56,286,340,5976,4043,10019
7002,172,406,578,51,114,164,109,302,412,163,777,944,321,1107,1424,387,719,1101,783,732,1517,788,1054,1842,1204,1285,2493,1518,1337,2859,1348,1210,2557,1555,1103,2659,4129,1977,6107,3365,414,3779,2961,539,3497,2216,220,2439,5810,939,6748,3361,605,3969,251,740,993,30492,15583,46080
8000,0,0,0,0,0,0,0,3,3,0,7,7,0,13,16,0,3,4,0,5,5,3,6,9,6,8,14,13,15,19,8,3,9,6,4,13,26,8,35,35,0,32,21,0,24,24,0,24,89,0,96,19,4,17,4,0,3,264,70,336
8001,601,1165,1764,258,427,685,268,1104,1373,359,2142,2504,948,4764,5713,1208,3097,4304,2812,2996,5811,3052,3753,6802,4392,4711,9106,6188,4883,11067,5566,5326,10886,6023,4611,10633,15220,9029,24245,13126,1075,14200,12988,2166,15156,10504,629,11131,35934,3684,39617,6596,1153,7746,628,1131,1760,126655,57838,184490
9000,8,14,23,7,13,23,6,14,18,12,36,43,20,80,99,21,50,67,50,53,104,55,55,107,64,60,123,72,50,122,63,33,96,72,38,109,127,36,166,97,0,98,75,19,95,57,4,60,94,18,111,97,8,102,26,30,56,1008,615,1629
