SUA_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
2011,16405,22081,38484,5480,6519,12007,6234,14591,20829,6403,28060,34462,18197,62925,81113,19906,40494,60398,56366,31421,87780,54663,40062,94720,68824,46206,115026,82660,39947,122615,65879,36059,101939,69680,28964,98641,157569,50733,208299,125249,8009,133256,105741,13946,119686,71751,3877,75629,227130,23047,250175,64736,10119,74858,13541,16200,29741,1236408,523252,1759666
2012,151,237,390,52,80,133,69,234,299,104,503,601,307,1141,1448,321,749,1069,1089,478,1563,849,621,1473,1071,605,1670,1164,398,1565,840,326,1172,890,238,1128,1791,347,2138,1222,74,1297,869,82,954,515,25,542,1017,131,1153,987,70,1058,289,462,753,13604,6802,20408
2013,57,110,166,27,50,80,33,150,183,42,355,393,157,789,943,170,406,573,509,234,737,463,291,755,427,283,714,489,177,669,336,114,451,333,88,425,679,118,796,471,14,482,338,24,363,162,6,169,401,43,445,379,33,411,108,224,333,5576,3507,9081
2014,30,51,80,24,15,36,21,75,91,27,150,174,67,326,395,90,190,286,276,117,393,243,159,402,243,130,370,258,109,368,181,70,249,185,50,233,366,98,469,259,7,265,179,16,199,95,3,102,176,31,202,220,20,237,59,88,148,2991,1691,4686
2015,42,69,115,12,26,43,26,66,86,20,155,176,97,409,506,88,277,369,285,183,472,255,207,461,323,188,507,349,140,487,237,124,362,257,89,344,494,113,606,313,12,329,285,36,316,163,5,168,384,60,446,263,23,293,57,104,156,3965,2288,6257
2016,162,171,335,56,75,134,50,233,288,88,462,547,280,1079,1359,333,724,1059,997,488,1481,904,601,1504,1002,608,1607,1170,431,1604,827,358,1179,934,233,1165,1784,310,2098,1252,66,1315,853,84,931,502,14,517,1084,146,1225,777,84,859,250,369,616,13308,6534,19835
2017,28,37,67,11,8,23,6,49,57,23,125,143,55,273,328,64,176,242,203,128,333,192,165,353,204,135,336,260,94,358,197,72,273,201,62,262,436,71,505,302,17,324,175,22,198,108,8,112,214,31,240,148,17,163,41,81,122,2869,1572,4442
2018,134,219,353,39,68,113,66,233,301,84,512,590,252,1212,1466,298,720,1018,876,418,1301,827,525,1351,804,505,1309,906,395,1297,631,311,943,691,247,936,1315,304,1615,991,43,1035,760,95,851,403,23,425,1026,135,1157,721,56,775,189,347,538,11002,6363,17369
2019,56,80,127,12,35,52,20,101,125,27,236,260,98,630,729,124,396,521,425,231,653,366,327,687,419,256,676,455,160,615,318,147,462,362,79,439,729,125,857,468,13,478,330,29,358,172,12,180,364,55,418,305,27,332,81,168,251,5136,3101,8240
2020,124,148,267,53,53,106,56,149,203,49,269,316,208,768,981,229,581,813,792,371,1162,729,411,1145,818,375,1195,905,287,1191,715,231,950,800,195,1000,1639,241,1882,1122,39,1161,852,44,898,429,4,437,1098,71,1166,697,32,731,176,198,376,11500,4481,15981
2021,83,148,232,28,58,85,33,165,201,48,299,346,171,801,977,187,620,813,617,385,998,612,469,1079,699,425,1123,854,343,1196,594,213,810,591,179,772,1336,254,1591,966,60,1024,678,67,742,408,15,429,867,105,970,503,58,561,129,269,395,9409,4927,14338
3000,2444,3308,5755,1148,1306,2446,1110,3054,4163,1241,6388,7628,4518,16568,21084,4421,9003,13416,16094,7153,23249,12425,8500,20933,13581,8226,21802,15077,6203,21276,10209,4538,14748,11096,3716,14810,21711,6020,27729,15075,1238,16312,11412,1913,13330,6630,548,7182,15032,3200,18233,18678,1447,20124,4002,6932,10935,185891,99277,285163
3001,30,73,107,7,19,25,24,49,71,12,78,91,35,134,167,61,177,232,144,168,314,130,238,373,174,239,412,229,177,407,194,126,319,200,127,328,440,225,663,302,84,384,214,82,303,135,28,160,314,145,454,366,80,445,40,99,141,3044,2347,5390
3002,5560,7958,13526,2168,2702,4868,2421,6632,9057,2775,13638,16416,8272,31930,40200,10645,23928,34582,29774,16255,46026,29556,21201,50760,36899,24127,61025,43918,20147,64068,34887,17014,51899,36967,13523,50488,83454,23050,106498,64260,4194,68448,53846,5841,59688,36972,1534,38513,107347,8549,115904,38297,5952,44251,5484,7840,13322,633512,256021,889538
3003,187,295,489,116,125,247,96,344,440,144,756,895,483,2133,2612,531,1397,1927,2026,785,2816,1604,890,2494,1722,798,2521,1794,537,2331,1230,394,1620,1237,292,1529,2312,414,2733,1522,90,1618,1074,102,1178,617,24,649,1258,169,1426,1334,133,1464,319,564,883,19609,10249,29858
3004,365,573,939,129,189,316,174,542,712,211,1145,1353,562,2373,2939,808,1862,2671,1942,1380,3322,2014,1889,3897,2518,1955,4475,3032,1533,4560,2395,1181,3576,2535,900,3434,5185,1388,6575,3729,249,3975,2907,332,3242,1840,90,1935,3915,501,4420,3192,471,3658,388,843,1227,37826,19407,57239
3005,30,34,64,12,13,20,13,27,42,7,55,66,26,112,133,46,71,117,100,107,209,100,117,212,143,161,304,154,136,295,154,135,287,170,105,283,476,199,673,382,31,411,327,74,396,253,5,261,606,93,694,418,24,439,35,109,142,3462,1601,5067
3006,106,192,302,43,52,97,55,174,224,63,367,427,233,708,940,310,538,845,699,347,1045,564,436,997,670,467,1135,788,390,1176,590,395,981,632,298,929,1532,550,2082,1148,54,1209,1023,133,1156,622,19,645,1463,200,1668,1051,97,1151,137,252,387,11735,5674,17406
3007,2083,2887,4974,760,972,1730,762,2026,2793,865,4396,5258,2708,10983,13687,3301,8705,12006,10341,5597,15941,9713,7052,16764,12145,7372,19517,14426,5736,20164,10680,4337,15011,11394,3466,14864,24474,5370,29846,17867,1249,19118,14002,1509,15511,8643,466,9113,22780,2414,25193,11784,1974,13758,2157,3321,5479,180893,79830,260723
3008,47,80,136,25,36,63,35,105,139,40,206,247,144,689,832,162,477,643,636,212,847,518,290,810,545,241,792,598,158,759,430,109,537,397,84,478,687,111,797,402,19,420,289,16,302,164,9,165,226,39,268,394,38,433,101,130,231,5843,3057,8897
