SUA_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
1000,5409,18424,254,24094,120128,12230,147,156603,1124,14838,104,16064,114819,10862,109,141852,221,2647,18,2879,64103,7211,52,74249,31,159,0,190,21170,3455,15,24831,144206,54159,6273,204639,560632,76784,1430,843489
1001,459,1662,27,2143,8765,510,13,11432,84,1444,5,1531,7909,463,12,9913,14,276,4,296,4967,414,4,5666,0,17,0,23,1966,232,0,2220,15879,5529,742,22155,51630,4434,75,78292
1002,124,297,5,427,2129,178,5,2733,21,274,0,299,1734,129,7,2167,3,53,0,54,1296,158,0,1512,0,3,0,6,477,118,0,592,3221,1084,135,4438,12994,2154,41,19624
1003,282,757,17,1054,5127,275,9,6465,54,918,6,973,5381,311,6,6677,28,149,0,178,3519,270,0,3971,5,7,0,12,1555,257,0,1822,6804,2605,286,9693,26683,2294,57,38732
1004,85,294,4,378,2265,173,7,2819,26,270,3,299,2651,168,4,3121,3,51,0,53,1605,138,4,1798,0,8,0,8,611,53,0,669,1965,877,101,2947,11101,1112,18,15176
1005,165,624,11,801,3188,222,6,4211,28,571,0,603,2801,146,3,3547,3,95,0,97,1902,135,3,2142,0,11,0,9,885,74,0,973,5830,2188,291,8300,19751,2365,39,30458
1006,264,602,14,874,4314,186,7,5388,37,631,4,672,4865,225,10,5767,10,191,0,202,3673,276,3,4149,5,10,0,16,1208,274,0,1502,6411,2050,236,8695,24022,1755,52,34524
1007,66,333,6,408,2065,156,4,2633,17,246,0,264,1871,147,3,2282,5,35,0,44,1078,150,0,1268,3,6,0,3,461,119,0,583,2203,968,125,3295,10129,1350,15,14788
1008,95,93,5,193,1122,122,3,1448,21,167,0,192,979,74,7,1257,0,36,0,43,409,45,0,492,0,0,0,0,151,23,0,174,1545,473,55,2072,6720,914,112,9817
1009,91,340,0,434,2421,123,9,2985,14,273,0,289,3326,136,3,3751,12,77,0,85,2224,125,0,2433,6,5,0,8,735,67,0,807,2073,934,87,3094,12256,686,17,16055
