SUA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
1000,0,8,28,105,525,369,661,878,223,211,201,346,107,55,163,3883,45,39,49,48,171,31,25,31,3,4,6,4,0,0,21,481,9,27,53,81,65,36,68,33,12,17,13,3,5,6,18,440,13,40,161,335,423,507,984,345,72,54,95,139,69,35,62,3317,6,16,42,37,68,57,98,92,25,22,34,34,10,5,18,554,0,0,0,0,23,23,54,55,18,32,59,137,23,0,25,442,0,4,17,33,80,103,387,272,54,59,68,71,50,15,75,1292,1122,3813,9344,5308,3534,2215,3020,1311,167,185,178,208,124,41,1484,32050,20,54,247,449,413,428,707,367,86,81,69,72,86,15,91,3178,0,4,6,61,115,71,91,82,35,15,27,56,23,13,71,676,433,1212,2079,2104,1587,1152,1932,1218,226,272,312,610,278,129,663,14205,2689,8832,16052,13065,11808,8447,13075,7778,1724,1860,2109,2990,1306,554,4433,96728
1001,0,0,4,15,94,67,152,189,41,19,44,45,12,8,15,705,8,7,8,3,17,5,3,0,0,0,0,0,0,0,5,58,0,0,3,8,6,0,8,9,0,4,0,0,0,0,0,51,0,0,4,18,16,48,112,26,5,7,12,13,4,0,0,263,0,5,3,4,3,13,27,36,21,7,17,5,0,9,0,153,0,0,0,0,0,4,3,12,0,7,8,0,0,0,0,39,0,0,0,0,13,18,41,30,14,5,11,0,0,0,9,137,85,240,614,323,262,119,301,88,19,22,39,23,22,16,82,2244,4,0,10,18,11,24,41,46,7,4,7,0,11,0,7,204,0,0,0,9,7,11,17,22,6,45,61,66,7,0,6,257,58,164,204,202,130,108,434,423,99,98,192,200,49,8,49,2423,282,962,1264,912,961,748,2186,1861,448,504,608,539,193,69,280,11810
1002,0,0,0,0,13,5,28,35,10,10,19,21,4,0,6,158,0,3,0,0,0,0,4,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,11,0,4,7,6,11,37,28,4,0,0,0,0,5,0,0,98,0,0,0,0,13,8,11,21,11,9,16,12,0,0,0,95,0,0,0,0,0,3,4,0,0,4,0,5,0,0,0,17,0,0,0,0,0,7,17,0,0,0,5,0,0,0,0,26,18,53,169,87,61,41,71,44,6,8,9,11,4,0,17,596,3,0,9,20,8,14,30,20,5,8,0,4,4,0,7,135,0,0,0,0,0,4,3,17,4,12,4,20,4,0,0,67,9,18,29,32,29,41,109,72,29,51,87,87,30,10,12,646,42,128,272,221,224,268,616,464,143,212,463,655,133,19,76,3938
1003,0,0,5,7,30,17,26,25,7,8,10,8,5,6,11,165,0,4,5,0,13,0,4,5,0,0,0,0,0,0,0,19,0,0,0,5,5,0,0,8,4,0,0,3,0,0,0,28,0,14,19,35,43,24,72,23,4,6,3,9,0,5,0,262,0,0,3,3,0,13,5,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,7,0,0,0,0,8,16,37,32,3,3,0,6,0,4,12,128,66,181,468,255,191,175,315,161,27,22,14,20,14,5,67,1993,0,5,16,24,28,30,48,37,7,6,16,11,7,0,0,241,0,0,0,4,9,6,9,5,5,0,0,4,0,0,0,45,30,56,97,108,72,76,151,127,33,33,29,48,18,11,26,918,152,432,787,662,691,569,1047,681,141,134,129,167,71,34,204,5910
1004,0,0,0,3,16,6,9,25,5,0,10,0,0,0,5,87,0,3,3,6,12,5,0,0,0,0,0,0,0,0,0,27,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,3,16,0,15,18,7,0,0,0,0,0,0,3,73,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,4,10,5,0,3,0,3,0,0,0,34,44,157,313,179,108,43,57,34,7,3,5,3,0,0,51,1004,0,0,0,13,15,15,11,0,0,0,0,3,0,0,0,66,0,0,0,3,0,6,3,0,0,0,0,0,0,0,3,20,15,45,94,60,49,34,35,15,8,0,12,13,3,0,4,390,96,383,599,419,302,215,257,150,43,37,46,52,31,8,111,2752
1005,0,0,0,4,17,26,40,62,5,17,30,19,14,6,8,246,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,5,4,0,4,0,0,0,0,0,0,4,20,0,0,0,6,7,26,41,4,3,4,8,5,4,0,0,120,0,0,0,0,7,9,23,31,0,3,5,12,0,0,0,97,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,19,18,6,0,3,0,0,0,6,74,36,104,209,151,89,64,84,37,9,10,10,9,4,0,37,853,0,0,5,7,6,9,22,17,0,0,11,0,0,0,4,88,0,0,0,3,9,6,11,15,5,3,3,4,4,0,14,84,13,30,51,61,47,53,57,51,23,10,18,14,4,0,36,464,81,225,391,360,348,354,703,520,125,152,184,155,79,16,209,3911
1006,0,0,4,8,24,21,34,63,18,15,17,22,3,0,4,233,11,9,12,9,26,3,5,4,0,0,0,0,0,0,3,72,0,5,3,3,3,0,10,8,5,0,0,0,3,0,0,48,5,3,13,41,28,37,78,25,5,0,9,4,5,4,3,258,0,0,4,3,7,3,4,8,3,3,0,3,0,0,3,43,0,0,0,0,5,15,15,6,4,0,0,5,0,0,0,50,0,0,0,4,9,7,33,25,5,8,5,6,3,4,4,112,106,278,745,517,278,183,309,99,8,11,11,19,11,5,121,2693,4,4,24,34,23,29,37,25,4,0,4,5,11,3,10,215,0,0,0,8,6,0,4,4,4,0,0,10,0,0,3,44,33,96,170,209,112,77,123,60,12,15,9,19,18,0,45,986,236,631,1305,1156,830,578,1172,663,150,158,198,196,111,23,274,7667
1007,0,0,0,0,29,19,19,46,10,13,23,22,10,7,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,21,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,11,4,24,53,35,20,6,17,5,7,0,0,0,0,0,5,192,0,0,0,0,6,3,6,6,0,5,0,7,0,0,0,27,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,3,15,14,14,15,15,16,20,7,0,10,0,3,0,0,139,12,86,106,84,112,87,143,113,29,36,49,63,29,15,20,978
1008,0,0,0,5,3,3,11,3,5,0,4,0,5,0,0,40,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,13,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,8,13,20,17,5,0,0,0,3,5,0,0,76,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,11,0,0,0,3,4,3,10,12,0,0,0,0,3,0,0,37,6,31,84,88,71,66,123,81,19,19,32,26,25,0,18,708,0,0,5,15,10,20,31,23,3,4,13,10,21,7,3,169,0,0,0,3,0,0,0,3,0,0,0,0,0,0,6,12,3,6,22,37,59,48,114,165,79,71,110,189,75,4,29,1010,19,89,171,235,263,255,500,456,145,148,239,313,179,18,83,3113
1009,0,0,0,0,9,5,6,3,0,4,0,0,0,0,4,41,5,0,0,0,0,0,3,0,3,0,0,0,0,3,0,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,12,11,4,10,6,0,0,0,0,0,0,0,45,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,3,0,0,5,25,42,141,294,162,83,67,74,29,3,9,4,11,3,0,47,963,0,0,6,6,9,6,9,10,0,0,0,10,3,3,0,68,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,13,16,56,41,30,20,26,9,0,3,0,7,0,0,5,230,88,255,465,324,213,162,199,85,21,21,12,36,12,9,91,1998
