SUA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
1010,0,0,25,128,475,404,472,442,94,95,92,133,60,10,59,2482,16,20,25,29,148,42,73,42,7,6,4,3,6,0,9,427,4,9,16,40,33,24,48,38,6,9,4,3,0,0,0,237,0,14,68,189,277,320,679,211,96,44,49,40,44,18,32,2082,0,6,38,37,55,24,51,43,0,11,0,7,3,4,13,302,0,0,0,0,18,24,28,18,9,0,8,8,0,3,7,112,0,0,7,16,44,99,282,193,58,35,31,35,14,11,31,851,473,1480,4277,2641,2203,1619,3018,1405,186,137,121,143,92,35,574,18420,3,14,76,148,136,185,280,200,43,45,25,32,21,8,23,1227,0,0,4,49,75,36,78,95,24,20,12,20,5,6,5,428,241,578,1114,1308,1052,836,1404,810,161,128,136,152,65,30,227,8244,1191,3627,7637,6825,7229,6114,10198,5968,1201,1093,965,1084,496,184,1545,55358
1011,0,0,3,13,64,47,67,82,36,28,22,20,9,0,12,398,5,6,3,7,20,5,14,0,0,0,0,0,0,0,8,59,0,0,0,3,4,3,10,3,0,0,0,0,0,0,5,34,4,0,24,38,47,51,136,31,14,3,14,12,17,3,3,402,0,0,3,7,3,3,7,7,4,0,0,0,0,0,0,46,0,0,0,0,0,9,8,11,8,12,19,27,5,0,5,102,0,0,0,4,10,12,44,29,13,16,10,8,4,0,20,181,117,355,815,409,273,188,359,167,16,24,21,26,23,8,105,2897,0,4,14,41,33,26,65,38,8,9,6,11,5,4,3,259,0,0,0,4,5,3,8,16,4,3,9,15,4,0,0,84,30,103,167,162,127,128,391,365,98,124,131,268,63,77,71,2314,231,786,1391,1132,1087,862,1999,1378,399,503,593,828,257,112,390,11936
1012,0,0,0,4,18,19,61,92,13,20,40,43,14,0,8,339,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,17,0,0,0,3,0,3,4,0,0,0,0,6,0,0,0,14,0,0,3,4,8,9,32,16,4,0,18,0,7,6,0,108,0,0,0,4,10,11,49,55,7,3,19,12,10,0,3,182,0,0,0,0,0,0,3,14,0,0,8,4,0,0,3,39,0,0,0,0,4,4,11,13,3,5,0,9,0,5,0,43,18,56,130,59,37,14,43,49,8,6,8,12,10,4,27,483,0,0,7,3,3,6,11,3,0,5,3,0,0,5,0,52,0,0,0,4,0,12,8,13,5,0,0,0,0,0,0,44,11,16,35,26,22,23,103,87,23,18,33,19,5,25,12,450,49,146,243,191,221,225,879,1016,321,332,328,264,103,85,121,4512
1013,0,0,0,0,16,20,18,17,5,6,3,9,5,0,8,111,8,0,4,0,14,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,8,15,10,0,15,3,0,0,0,9,0,3,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,6,11,0,0,0,0,0,0,4,37,65,134,297,137,77,37,48,14,0,5,0,5,0,0,40,861,0,0,7,8,8,5,9,6,0,0,3,4,0,0,3,44,0,0,0,0,9,0,0,5,0,0,0,0,0,0,6,18,21,49,57,45,33,19,25,15,7,8,6,9,0,0,20,316,148,306,492,300,264,159,224,145,31,52,63,67,24,9,119,2391
1014,0,0,0,7,30,10,28,51,8,8,11,16,0,0,0,183,4,4,0,3,8,0,3,3,0,0,0,0,0,0,4,22,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,3,7,9,3,5,0,0,3,0,0,4,37,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,20,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,11,0,0,0,0,0,9,20,8,0,0,3,3,3,0,5,47,30,67,164,92,52,27,46,27,6,0,4,11,0,0,43,576,0,0,0,9,3,10,14,7,0,0,0,0,0,0,0,46,0,0,0,0,3,0,4,6,0,0,0,0,0,0,4,30,11,21,39,49,28,23,93,51,14,10,8,23,4,28,41,445,51,172,296,262,225,178,445,384,92,81,97,190,38,55,186,2746
1015,0,0,0,0,6,9,25,13,4,4,8,3,3,0,5,77,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,19,0,0,0,0,13,0,12,3,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,17,7,49,118,60,22,12,21,11,0,0,0,0,3,0,25,331,0,0,0,6,0,0,6,3,0,3,0,0,0,0,4,27,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,7,13,20,12,15,7,25,20,3,4,4,3,7,0,18,162,22,106,168,142,134,59,200,128,31,33,30,32,26,3,59,1180
1016,0,0,0,6,27,26,52,75,11,32,34,67,20,11,7,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,34,28,7,10,3,10,3,8,0,113,0,0,0,0,3,3,12,4,0,6,0,0,4,0,0,38,0,0,0,0,4,0,14,14,4,9,29,39,8,0,0,119,0,0,0,0,6,6,11,4,3,0,0,0,0,0,0,28,5,19,39,24,11,17,33,20,3,0,4,8,9,0,0,212,0,0,0,0,4,5,0,4,0,0,4,0,0,0,0,31,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,3,11,27,31,73,119,159,135,43,33,38,51,21,4,31,788,105,332,247,124,229,439,1019,812,305,365,456,612,192,51,199,5478
1017,0,0,0,0,21,20,14,25,5,3,4,5,0,0,8,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,4,4,0,0,5,0,0,6,25,16,41,106,48,21,10,15,7,0,0,0,0,0,0,18,291,0,3,5,0,6,0,6,0,0,0,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,0,16,23,15,12,13,16,7,3,0,4,0,0,0,20,134,35,96,179,116,96,84,108,88,30,10,16,21,7,9,149,1037
1018,0,0,0,0,25,23,35,38,3,13,11,16,0,0,5,170,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,18,0,0,0,5,0,0,4,3,0,0,0,0,0,0,0,14,0,0,0,11,19,17,20,13,0,0,9,0,0,0,0,96,0,0,0,0,0,4,0,10,4,6,3,0,3,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,11,0,10,6,4,3,5,3,3,0,0,45,19,70,207,103,74,65,84,33,7,3,10,8,0,3,20,698,0,3,8,19,12,9,23,19,0,0,6,4,0,0,0,100,0,0,0,3,0,3,10,12,6,0,10,3,3,0,0,60,6,23,37,52,57,37,84,39,16,17,20,18,12,3,13,433,64,200,351,289,370,271,494,316,84,78,112,123,48,16,67,2887
1019,0,0,0,0,21,19,11,17,4,0,0,6,0,3,8,87,0,0,3,0,3,0,6,0,0,0,4,0,0,0,4,18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,3,8,5,0,0,0,0,0,0,0,21,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,4,0,0,0,0,0,35,14,36,124,99,29,21,15,3,0,0,0,0,0,0,26,370,0,0,0,4,6,0,4,0,0,0,0,0,0,0,0,21,0,0,0,0,3,5,0,13,0,0,0,0,0,0,0,26,10,14,19,37,20,34,16,7,0,0,0,4,0,0,16,177,45,107,212,219,152,131,156,100,31,18,25,30,0,7,105,1336
1020,0,0,0,0,15,4,13,6,0,0,0,3,0,0,0,48,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,6,7,28,17,0,0,0,4,0,3,0,70,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,3,4,5,0,0,0,0,0,32,10,50,142,83,68,34,70,58,4,10,4,3,13,0,12,570,0,0,0,6,0,4,10,10,0,0,7,0,0,0,0,36,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,11,9,38,31,8,17,25,7,0,3,10,7,7,0,8,165,31,109,240,181,181,100,239,142,10,30,29,21,21,4,33,1384
1021,0,0,0,4,28,11,33,25,0,10,3,8,3,0,4,132,0,0,6,0,4,0,3,0,0,0,0,0,0,0,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,25,19,34,42,18,8,5,0,9,0,0,0,171,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,7,11,18,3,0,5,3,0,0,0,58,51,124,296,196,125,74,84,54,10,4,3,0,5,0,61,1073,0,0,11,10,10,14,14,9,0,7,0,0,0,0,3,93,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,12,29,52,88,84,78,64,120,48,7,6,4,18,6,6,35,653,148,317,586,525,468,353,493,270,49,54,42,72,24,13,163,3583
1022,0,0,0,0,5,11,13,14,3,4,6,12,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,7,5,16,10,0,0,0,5,0,0,0,36,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,13,0,8,6,0,0,0,0,34,14,33,78,43,26,15,44,16,4,0,11,3,0,0,11,304,0,0,3,6,6,0,4,6,0,0,4,0,0,0,0,31,0,0,0,0,5,0,3,5,0,0,0,0,0,0,0,15,6,7,22,17,6,15,19,10,3,5,6,14,15,0,5,142,30,72,147,110,98,87,176,144,37,40,40,49,20,3,36,1087
1023,0,0,0,0,12,10,29,40,8,4,9,12,4,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,23,9,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,10,9,5,0,0,10,0,0,7,43,0,14,58,22,17,15,9,7,0,3,0,4,0,0,9,166,0,0,0,0,4,6,4,4,0,0,0,0,0,0,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,0,3,16,11,15,16,36,26,5,0,4,28,4,4,12,164,7,39,101,77,99,99,217,193,37,34,41,76,11,8,91,1118
1024,0,0,0,8,21,15,16,27,5,5,6,7,6,0,3,131,10,5,0,3,16,5,0,0,0,0,0,0,0,0,0,37,0,0,0,11,4,3,0,6,0,0,0,0,0,0,5,25,0,3,15,25,31,24,54,21,0,4,7,0,0,3,0,184,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,11,24,18,5,3,5,3,5,3,0,78,80,193,496,307,218,125,232,117,8,6,12,23,26,21,56,1922,0,4,6,11,21,12,25,17,6,3,6,5,12,0,0,126,0,0,0,0,0,3,7,0,0,0,5,0,4,0,6,25,24,61,118,131,66,40,71,49,8,15,7,10,6,0,17,623,177,472,871,681,576,359,617,341,71,96,100,105,74,34,155,4727
