SUA_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
1000,5947,110331,116285,130341,26122,156458,48311,6043,54349,43654,4266,47916,22394,2267,24660,12565,1142,13706,263201,150165,413367
1001,578,11979,12555,11691,1796,13489,5165,522,5686,4827,261,5089,2075,124,2201,930,62,990,25256,14752,40006
1002,126,3047,3173,2655,502,3161,1082,170,1250,960,94,1053,414,30,447,274,13,284,5517,3853,9375
1003,269,5423,5688,6215,1063,7279,2400,246,2637,2196,137,2330,915,63,978,440,24,465,12427,6948,19376
1004,96,2414,2514,2760,485,3245,744,83,834,656,65,725,298,39,338,170,17,183,4730,3106,7835
1005,235,4098,4335,4186,688,4872,1903,203,2106,1820,87,1910,825,59,883,408,21,429,9380,5156,14536
1006,201,4336,4533,5582,697,6283,2090,138,2226,2083,102,2188,947,51,997,462,27,492,11370,5353,16718
1007,143,2891,3034,2260,481,2737,928,103,1035,690,67,756,272,31,301,146,18,164,4429,3594,8021
1008,62,1265,1328,1066,483,1549,501,197,700,445,142,588,176,56,229,65,19,87,2306,2170,4476
1009,89,2263,2351,3275,445,3718,848,61,911,702,37,733,328,7,341,160,4,169,5399,2821,8221
1010,1640,36743,38389,40668,6291,46955,18825,1441,20263,18330,890,19221,7805,396,8200,3841,209,4052,91103,45970,137075
1011,415,8232,8646,9123,1767,10891,3851,413,4260,3371,222,3595,1592,100,1695,962,79,1043,19319,10810,30134
1012,225,4313,4540,4226,853,5077,2140,304,2446,1935,180,2119,964,105,1073,519,53,574,10009,5812,15825
1013,124,3568,3691,3528,607,4139,923,102,1025,713,50,764,291,27,316,140,6,147,5723,4356,10082
1014,127,3192,3319,2885,445,3329,1218,109,1332,1119,73,1193,512,29,546,259,21,283,6125,3871,9995
1015,105,2599,2712,2364,454,2818,979,102,1088,781,56,838,399,31,431,225,21,247,4861,3271,8137
1016,82,1985,2064,2014,368,2379,1082,121,1206,1048,70,1117,530,43,570,316,30,342,5072,2610,7680
1017,59,1606,1666,1672,306,1973,745,68,818,582,66,646,335,33,366,255,30,279,3644,2104,5745
1018,160,4087,4250,3313,690,4007,1499,212,1710,1215,91,1307,536,52,588,331,28,366,7058,5164,12224
1019,54,2063,2122,1559,243,1805,581,60,637,520,29,546,213,14,223,117,6,127,3038,2415,5458
1020,79,994,1070,1712,196,1912,828,41,867,816,27,848,420,12,434,237,7,243,4092,1276,5371
1021,127,2629,2754,3469,497,3966,1529,97,1629,1298,46,1343,618,29,640,389,14,402,7431,3302,10734
1022,79,1386,1463,1424,250,1671,700,71,773,627,49,677,298,18,317,134,13,144,3267,1784,5051
1023,82,1493,1582,1282,232,1511,639,54,696,615,35,653,282,16,296,170,13,180,3066,1851,4915
1024,184,3474,3662,4632,623,5260,1299,119,1417,1171,64,1241,491,29,525,246,21,270,8028,4327,12359
1025,2920,51511,54435,59081,8909,67994,28532,2832,31366,27539,1382,28921,11077,573,11654,4938,277,5210,134087,65493,199577
1026,206,4137,4345,4435,695,5132,2006,208,2220,1718,151,1872,842,86,924,486,44,533,9701,5323,15023
1027,200,4790,4992,4577,771,5348,2159,243,2404,2060,107,2172,1056,69,1126,494,31,527,10548,6014,16569
1028,272,6443,6720,7096,1112,8208,2471,280,2753,2256,121,2371,966,42,1013,441,29,464,13497,8031,21528
1029,118,1613,1730,1752,253,2009,896,73,970,905,48,950,455,16,469,221,4,224,4345,2007,6356
1030,120,2442,2562,3150,510,3655,1015,90,1101,818,74,891,342,23,362,175,8,186,5616,3144,8756
1031,16997,398470,415466,452978,79275,532260,275005,27006,302011,282917,16557,299480,121346,7437,128782,72026,4100,76127,1221274,532841,1754112
