SUA_CODE_2021,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
2014,1448,2894,20,107,82,372,33,148,520,2043,660,2667,37,166,82,247,230,699,347,1117,1005,3785,6,35,44,135,23,79,216,586,289,836,12,29,52,105,201,430,266,566,554,1401,35,72,3040,8148
2015,1703,3401,25,129,141,640,36,161,874,3419,1069,4346,67,274,126,384,221,708,409,1372,1484,5721,14,47,59,195,44,145,296,802,400,1186,23,88,72,155,258,553,360,796,763,1976,65,136,4015,11238
2016,5273,10565,134,837,579,2827,166,800,3079,12339,3948,16800,282,1214,353,1175,1029,3315,1656,5701,5609,22507,48,239,212,769,122,455,1042,2947,1435,4407,103,313,181,397,848,1853,1132,2558,2564,6968,207,448,13653,40483
2017,1252,2498,22,123,89,414,21,107,676,2658,806,3311,35,146,74,240,182,582,293,970,1099,4277,9,38,48,173,12,56,220,613,292,879,9,33,38,89,163,354,207,470,499,1357,50,110,2904,8238
2018,4552,9054,78,459,401,1888,107,483,2274,8837,2866,11667,177,720,273,937,808,2567,1266,4227,4127,15889,48,226,132,482,89,336,971,2625,1238,3665,78,249,184,379,839,1795,1100,2432,2338,6094,174,360,11185,31396
2019,2251,4494,33,163,205,936,40,193,1031,4064,1301,5362,92,385,148,485,326,1018,565,1883,1871,7248,17,81,80,287,51,181,401,1048,554,1606,20,62,96,203,358,787,479,1052,1028,2657,64,127,5206,14530
2020,4959,9933,115,646,459,2202,126,571,2652,10499,3346,13918,216,931,340,1131,909,2911,1465,4977,4807,18892,39,171,134,459,57,196,724,2031,955,2861,64,199,181,395,617,1331,862,1924,1813,4788,133,280,11719,33890
2021,4004,8003,78,423,346,1590,92,443,1990,7754,2506,10210,181,754,282,945,735,2352,1199,4050,3702,14254,13,79,118,396,55,203,669,1719,862,2389,70,210,130,270,600,1311,793,1791,1655,4177,163,335,9525,26766
3000,90048,178301,1457,8169,7082,32514,2939,13858,37632,149931,49105,204473,2526,10144,4524,14060,13972,43203,21026,67413,70128,271890,454,2210,1953,7184,1537,6043,12445,35377,16390,50813,651,2076,1776,3827,10119,22001,12548,27911,28942,78720,2684,5747,191803,534658
3001,1434,2787,10,42,101,481,36,133,759,2796,907,3455,29,102,66,193,144,451,236,749,1146,4207,0,18,34,111,20,73,242,621,303,819,9,32,55,109,113,245,175,391,481,1206,36,73,3095,8275
