SUA_CODE_2021,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
1000,127126,253587,2072,11533,10005,46447,3849,17810,52290,209505,68217,285294,4131,16945,6855,22138,20588,64736,31579,103820,99792,389114,546,2582,2693,9523,1764,6497,16053,44746,21064,63349,1085,3420,2860,6036,15099,32438,19048,41893,40108,105237,3274,6908,270301,754844
1001,10381,20696,184,1000,942,4402,283,1295,5892,22999,7305,29688,426,1776,656,2179,1666,5263,2743,9221,10055,38908,69,343,375,1336,191,695,2189,5837,2830,8205,159,530,414,900,1497,3188,2073,4617,4899,12822,382,800,25718,73224
1002,2445,4884,50,325,237,1153,59,290,1167,4591,1514,6362,77,325,155,524,285,902,516,1745,2038,8103,24,101,87,336,25,102,449,1242,578,1780,34,117,103,216,311,650,451,989,1028,2767,88,190,5594,15946
1003,5884,11795,61,358,419,1918,142,632,2461,9648,3086,12549,173,719,349,1152,947,2940,1464,4810,4555,17361,32,135,149,487,65,222,807,2084,1054,2934,59,181,199,431,818,1760,1081,2374,2135,5302,160,338,12726,34798
1004,2648,5305,22,122,122,569,60,281,664,2607,865,3578,57,220,76,229,300,934,431,1389,1297,4963,14,67,62,251,41,163,342,946,469,1430,23,83,53,116,306,666,384,863,850,2297,54,104,4852,12667
1005,3755,7501,87,446,375,1775,131,616,2101,8236,2687,11067,167,718,277,917,623,1955,1060,3585,3751,14655,30,138,157,544,88,314,819,2243,1094,3241,63,204,162,333,591,1246,814,1785,1910,5026,152,310,9564,27497
1006,5431,10869,67,388,434,2037,142,669,2449,9666,3100,12760,191,798,362,1193,846,2695,1398,4680,4494,17441,22,105,111,390,62,231,484,1311,684,2041,71,219,136,309,717,1583,928,2110,1608,4147,127,266,11666,32725
1007,1935,3832,21,112,124,576,56,258,735,2837,940,3780,52,216,73,230,353,1102,475,1541,1417,5321,13,62,43,158,51,209,479,1326,591,1754,29,85,67,141,379,825,471,1051,1063,2799,89,189,4505,12142
1008,1095,2165,7,28,78,325,12,61,532,2013,627,2431,23,92,59,183,144,434,220,707,849,3134,0,13,32,95,13,34,157,384,198,523,10,18,50,96,131,272,185,385,385,909,31,55,2359,6271
1009,3245,6493,35,169,121,564,53,248,724,2868,932,3855,73,291,124,400,388,1220,581,1912,1515,5768,19,84,41,139,32,108,249,710,341,1039,22,72,75,158,288,620,384,849,728,1889,42,97,5531,14245
1010,37135,74691,703,3880,3563,16464,1203,5634,19594,76706,25062,102680,1898,8017,2795,9551,7680,24813,12364,42381,37431,145060,263,1256,1187,4032,694,2544,6710,18146,8857,25977,689,2203,1488,3301,7070,15524,9249,21029,18103,47014,1220,2546,93891,269319
1011,8711,17487,117,655,700,3288,249,1147,3956,15715,5018,20813,258,1094,514,1676,1389,4382,2161,7154,7180,27966,47,202,253,881,162,578,1560,4175,2016,5839,103,338,309,676,1379,2966,1787,3983,3810,9824,261,555,19961,55827
1012,3943,7891,68,383,385,1816,121,559,2579,10091,3152,12849,140,567,224,704,652,2066,1016,3333,4171,16184,24,115,111,398,99,367,976,2794,1211,3673,45,156,121,270,610,1338,779,1754,1991,5429,175,362,10276,29864
1013,3338,6662,20,105,124,562,62,289,678,2658,889,3615,56,231,104,338,345,1083,508,1652,1394,5267,15,64,52,189,46,162,369,1044,482,1454,17,58,68,153,442,934,529,1134,1007,2595,77,166,5820,14687
1014,2559,5130,58,305,174,824,119,575,1312,5170,1662,6873,73,314,142,463,478,1534,692,2310,2350,9180,21,94,55,198,65,245,523,1457,667,1995,30,92,92,197,455,967,575,1251,1236,3249,92,199,6245,17755
1015,2063,4150,35,183,149,697,68,339,900,3569,1153,4788,47,201,72,254,296,943,427,1402,1579,6184,20,90,75,259,66,248,569,1607,734,2193,40,136,71,146,385,827,500,1105,1226,3306,104,214,4973,13850
1016,1997,4026,58,328,199,940,69,349,1304,5111,1632,6729,109,455,133,434,469,1563,704,2453,2336,9184,14,78,64,213,42,137,339,1005,457,1436,32,109,44,103,319,722,396,922,852,2358,84,193,5279,15760
1017,1503,3046,33,197,93,457,74,378,598,2395,794,3429,49,195,68,221,273,879,384,1292,1175,4720,25,114,55,229,57,242,443,1312,580,1899,28,95,65,145,335,770,433,1011,1015,2914,90,198,3785,10875
1018,2749,5526,52,287,236,1118,93,445,1359,5314,1740,7165,88,387,153,510,496,1611,744,2509,2477,9679,30,146,126,416,86,312,710,1823,955,2694,60,206,179,374,670,1475,913,2053,1868,4746,140,282,7238,20233
1019,1322,2638,24,140,93,434,39,187,524,2073,679,2840,40,173,68,212,231,748,337,1126,1020,3966,9,53,36,139,37,118,260,739,345,1054,24,65,34,77,291,616,347,753,693,1812,57,114,3089,8530
1020,1693,3417,41,238,191,889,73,346,1003,3998,1313,5467,80,332,115,396,380,1196,573,1930,1885,7391,8,42,47,187,28,103,252,724,341,1063,26,73,53,112,230,491,303,670,644,1734,34,64,4259,12604
1021,3355,6756,50,283,237,1118,121,562,1474,5773,1876,7740,161,691,205,702,682,2190,1053,3582,2936,11323,16,55,84,295,65,236,518,1406,670,1995,42,137,93,206,516,1145,653,1482,1329,3475,95,197,7713,21763
1022,1346,2702,28,169,117,558,45,202,852,3353,1043,4280,35,132,71,215,211,668,311,1020,1357,5303,5,17,34,113,39,131,265,727,340,991,9,33,28,58,189,410,224,498,566,1488,46,96,3319,9576
1023,1165,2315,28,141,125,586,60,291,716,2869,926,3886,52,217,84,264,202,624,336,1105,1266,4991,7,42,58,222,34,123,330,920,432,1312,18,50,30,67,181,401,230,513,663,1824,40,86,3129,9221
1024,4457,8879,45,247,248,1127,102,458,1178,4589,1573,6426,107,429,227,745,585,1842,918,3018,2488,9444,16,84,85,277,44,162,419,1127,568,1639,42,138,106,222,476,1006,625,1369,1187,3013,79,161,8208,21498
1025,53742,107698,904,5023,5125,23641,1716,7820,30800,119179,38550,155665,2643,11090,4173,14155,10747,34338,17561,59584,56110,215255,330,1542,1658,5726,1048,3814,9917,26339,12949,37419,883,2761,2147,4748,9308,20371,12338,27884,25283,65308,2166,4510,137303,392763
1026,4045,8133,77,430,359,1689,127,594,2065,8120,2621,10825,141,598,226,743,736,2358,1100,3698,3720,14526,29,140,131,477,86,319,844,2384,1089,3317,55,155,150,329,717,1577,922,2060,2011,5379,168,352,9950,28393
1027,4120,8210,80,492,447,2071,147,703,2726,10883,3401,14153,151,615,269,877,669,2107,1086,3598,4487,17748,33,166,145,549,102,410,876,2413,1162,3536,59,194,132,275,604,1310,796,1779,1957,5317,165,350,10728,31628
1028,6566,13130,62,369,536,2447,114,518,2555,9966,3273,13294,174,734,410,1383,776,2403,1367,4517,4640,17814,31,147,183,607,82,300,931,2466,1224,3522,66,211,210,430,872,1873,1150,2517,2376,6038,175,353,13754,37331
1029,1627,3235,44,229,196,898,72,333,1114,4414,1422,5880,86,365,96,328,395,1255,577,1943,1995,7820,13,90,33,121,35,153,355,964,446,1326,25,66,53,106,254,556,328,731,768,2056,57,128,4457,13247
1030,3016,6035,30,165,170,762,55,264,944,3610,1201,4803,58,235,95,300,342,1060,493,1599,1694,6401,18,63,52,203,43,164,354,982,461,1416,18,67,78,157,421,909,514,1135,981,2546,60,122,5746,15110
1031,437152,884524,9973,58926,60363,283495,12421,59398,334747,1296457,417515,1698276,35360,155068,56899,202041,112999,378273,205254,735381,622774,2433655,2685,13076,12367,43610,5278,19784,60482,161281,80801,237757,9116,30860,21482,49797,76833,174887,107435,255547,188234,493298,22147,47408,1270313,3858889
