SUA_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
1010,30,394,5,433,9401,578,3,10418,384,240,0,628,8169,466,16,9284,5132,398,122,5652,11616,1116,12,18396,11243,313,211,11761,6840,1028,28,19652,7037,521,134,7691,12270,1062,26,21047,1223,1324,23,2568,17315,900,25,20809,200,1506,17,1717,15859,923,23,18523,33,295,6,330,10435,925,11,11705,9,14,0,18,3200,672,9,3896,25290,4998,519,30804,95109,7670,148,133730,73,609,5,681,8444,508,7,9644,790,459,23,1267,7253,485,4,9008,8239,605,267,9109,9240,1084,20,19458,14219,409,396,15010,5205,1074,17,21307,7193,1110,172,8480,13086,946,27,22536,571,3387,43,3993,18318,951,41,23302,111,2569,28,2712,17586,1127,31,21463,27,362,3,392,11971,1331,8,13707,10,26,0,32,5118,1431,4,6590,31228,9525,934,41689,96233,8925,160,147007,103,1002,9,1111,17847,1086,11,20056,1175,700,29,1897,15422,953,12,18294,13372,1005,387,14768,20853,2200,32,37848,25454,713,600,26774,12050,2099,38,40964,14232,1634,304,16171,25356,2005,49,43584
1011,9,86,0,96,1919,160,0,2175,76,48,3,129,1536,111,28,1801,1093,111,34,1241,2498,324,49,4112,2088,81,79,2245,1632,300,19,4201,1395,126,51,1565,2496,280,18,4367,269,334,10,613,3718,267,8,4604,42,469,7,520,3973,234,10,4736,16,88,0,110,2272,225,9,2606,3,11,0,13,754,135,0,909,4985,1371,186,6537,20801,2047,135,29511,20,177,0,196,1804,136,0,2137,165,106,7,280,1313,106,28,1724,1691,187,94,1975,2087,323,37,4428,2664,154,177,2990,1354,293,19,4656,1342,286,82,1710,2888,249,10,4860,113,866,14,995,3965,255,21,5229,30,770,5,808,4051,248,6,5112,9,117,0,129,2623,303,0,3051,3,6,0,10,1105,270,0,1391,6046,2665,384,9098,21185,2178,129,32583,33,267,0,300,3727,287,0,4314,241,156,8,408,2848,218,54,3525,2792,298,130,3220,4586,647,87,8535,4749,230,259,5237,2981,597,40,8858,2733,412,134,3284,5383,532,29,9221
1012,9,44,0,46,1062,147,0,1257,77,34,5,116,904,128,0,1146,911,98,24,1034,1882,314,15,3243,1220,51,42,1313,895,218,7,2432,570,84,17,675,1293,194,0,2164,96,219,7,320,1595,163,3,2078,14,192,0,207,1319,133,0,1659,0,48,3,47,863,89,0,998,0,0,0,0,285,46,0,334,2906,770,99,3772,10094,1422,29,15315,12,102,0,117,904,110,0,1128,169,100,5,278,909,106,0,1297,1407,156,75,1631,1520,315,11,3476,1478,93,77,1642,731,226,3,2604,542,238,27,803,1323,189,0,2318,47,528,5,582,1610,146,3,2345,13,331,0,347,1395,114,3,1862,3,64,0,74,1082,136,0,1296,0,9,0,11,488,75,0,574,3668,1621,192,5480,9966,1423,26,16897,20,148,0,164,1965,254,0,2383,252,136,12,395,1815,236,0,2441,2324,248,93,2666,3403,627,15,6715,2691,144,122,2954,1624,444,7,5038,1112,322,43,1481,2617,385,6,4487
1013,3,12,0,17,415,41,0,472,12,12,0,28,309,28,0,363,184,20,3,200,461,43,0,709,408,18,20,446,352,42,4,843,241,27,4,272,676,56,0,1010,49,107,0,153,1219,75,0,1446,13,137,0,152,1742,105,0,1998,0,29,0,30,1255,87,0,1373,0,0,0,0,442,80,0,521,915,355,29,1297,6876,555,10,8742,7,30,0,38,396,35,0,470,38,32,4,68,281,17,0,368,348,44,17,406,351,59,0,821,526,17,31,580,278,44,0,906,247,70,10,325,763,56,0,1143,30,226,4,256,1387,56,5,1702,7,191,0,201,1883,119,7,2209,0,33,0,33,1356,169,0,1561,3,5,0,3,625,200,0,832,1204,651,66,1914,7314,759,12,9999,13,42,0,53,812,76,0,942,50,46,4,101,589,43,0,727,528,59,16,607,808,106,4,1527,934,35,51,1028,623,89,4,1743,484,105,13,603,1439,109,3,2155
1014,3,29,0,37,603,56,3,699,25,16,0,46,755,101,4,908,502,39,16,559,1007,283,9,1855,708,35,18,767,548,186,0,1490,320,62,9,381,890,186,0,1462,76,147,0,229,1186,97,0,1520,10,116,0,124,1037,85,3,1246,0,20,0,20,673,47,0,737,0,0,0,0,236,26,0,266,1644,470,49,2166,6938,1068,18,10193,0,48,0,52,541,47,0,640,76,46,3,122,538,33,0,694,726,72,38,842,763,109,5,1717,811,43,42,903,448,86,0,1441,308,124,20,458,943,78,0,1481,37,335,5,376,1073,72,4,1520,5,197,4,207,1155,79,4,1440,8,44,0,53,826,52,0,927,0,4,0,3,431,29,0,465,1974,919,118,3017,6717,585,9,10330,5,84,0,89,1149,103,4,1339,103,60,3,173,1296,134,3,1601,1229,114,56,1401,1770,387,9,3574,1519,83,65,1669,994,275,3,2937,625,181,33,841,1829,267,7,2940
1015,4,35,0,39,514,51,0,609,55,29,4,86,399,53,5,542,348,43,19,410,521,91,21,1037,452,28,24,503,370,85,11,964,243,42,6,293,664,81,0,1047,56,113,0,173,923,71,0,1168,14,102,0,115,932,67,0,1110,0,30,0,33,616,47,0,701,0,3,0,3,238,25,0,265,1174,419,58,1648,5182,573,41,7447,9,33,0,43,395,45,0,483,95,44,3,148,365,50,0,566,556,60,38,652,403,111,0,1172,595,44,48,689,295,81,0,1067,249,134,14,391,686,85,3,1167,29,231,4,266,927,63,0,1248,10,170,0,177,957,61,0,1195,4,41,0,42,784,74,0,900,0,0,0,0,425,78,0,500,1541,770,106,2415,5236,638,7,8298,11,74,0,81,916,95,0,1089,152,75,7,232,767,102,4,1107,907,103,53,1058,924,204,24,2207,1043,72,75,1193,659,162,11,2025,495,172,24,686,1353,159,7,2213
1016,0,19,0,16,539,51,0,609,26,19,0,44,531,48,5,636,382,35,3,421,1103,167,37,1723,617,21,14,651,636,122,29,1443,299,29,10,335,828,113,6,1286,60,89,0,150,962,87,0,1196,14,88,0,102,618,66,0,785,0,20,0,22,414,48,0,491,0,3,0,3,174,51,0,226,1395,325,29,1754,5808,752,85,8397,5,47,0,52,501,38,0,587,64,42,5,110,430,48,5,595,599,63,30,693,863,127,15,1693,703,41,36,777,456,81,3,1330,271,101,5,376,807,86,5,1271,33,268,3,307,776,77,10,1165,12,172,0,187,629,61,3,874,0,42,0,46,516,61,0,619,0,3,0,3,290,88,0,379,1678,774,90,2542,5270,673,34,8518,9,67,0,71,1044,87,0,1196,90,66,5,159,963,103,13,1227,979,94,37,1112,1962,291,51,3417,1316,62,52,1432,1095,208,37,2768,563,129,15,706,1635,203,14,2556
1017,3,24,0,28,427,71,0,527,29,22,0,47,316,152,0,513,232,19,13,266,393,370,3,1031,306,21,16,343,245,276,0,866,159,40,4,211,540,141,0,889,38,83,0,119,765,105,0,990,17,59,3,75,811,66,0,949,6,16,0,25,444,53,0,523,0,0,0,0,136,13,0,149,784,287,36,1108,4071,1244,4,6427,4,42,4,49,365,62,0,475,56,40,7,101,258,37,0,396,392,38,26,455,274,100,0,832,431,32,17,484,247,94,0,822,179,84,12,266,552,78,0,899,15,193,0,208,773,64,0,1039,5,114,0,125,803,60,0,987,3,21,0,19,519,79,0,619,0,0,0,0,245,64,0,311,1074,562,68,1702,4049,635,3,6393,4,66,6,71,791,135,0,1001,84,58,7,153,574,183,0,912,625,60,41,723,667,468,5,1866,734,58,34,820,487,375,0,1686,333,127,12,472,1095,220,0,1784
1018,4,39,0,41,790,81,0,916,42,31,0,77,723,86,9,886,464,50,18,536,1064,151,8,1762,714,32,34,788,683,128,0,1599,477,59,14,552,1066,112,7,1732,123,131,3,256,1501,138,5,1903,16,146,0,164,1293,105,0,1560,0,23,0,22,707,89,0,812,0,0,0,0,268,61,0,329,1845,517,73,2434,8103,946,34,11516,6,76,0,76,690,93,0,860,92,60,6,160,600,85,0,846,710,70,56,839,846,162,9,1854,1011,66,64,1141,539,146,3,1826,443,158,27,626,1158,108,0,1887,57,320,4,381,1508,107,9,2007,15,263,0,279,1357,107,0,1740,0,60,0,62,945,114,0,1122,0,0,0,0,496,105,0,608,2335,1074,156,3566,8141,1023,15,12754,11,116,0,123,1476,173,0,1774,128,94,6,232,1323,168,9,1735,1173,129,77,1377,1910,314,15,3618,1731,100,95,1926,1227,274,7,3428,922,209,44,1174,2228,217,3,3619
1019,0,15,0,15,287,39,0,343,15,7,0,23,268,52,0,347,224,18,8,246,381,185,0,815,270,13,10,290,253,125,0,672,161,32,9,198,487,78,0,762,41,76,3,114,671,75,0,864,13,61,0,77,660,59,0,788,0,9,0,9,434,42,0,478,0,0,0,0,130,5,0,133,725,229,28,979,3564,665,0,5207,13,26,0,36,249,31,0,312,37,23,3,63,200,14,0,278,290,28,23,341,291,41,0,676,327,20,20,370,213,40,0,626,155,58,10,216,492,47,0,753,21,157,5,180,674,31,0,885,8,80,0,93,677,41,0,808,0,15,0,15,532,51,0,596,0,0,0,0,232,17,0,252,854,403,56,1316,3549,310,0,5182,13,39,0,50,537,71,0,652,56,31,4,94,459,67,0,623,521,46,25,590,672,222,0,1488,600,32,32,659,464,174,0,1293,314,85,19,413,981,123,0,1516
1020,3,17,0,21,447,24,0,495,20,10,0,33,364,24,0,417,255,27,14,297,414,39,0,751,527,13,16,552,289,26,0,877,318,50,8,375,568,44,0,997,43,99,5,138,775,40,0,964,7,82,0,89,700,35,0,832,0,11,0,14,395,25,4,438,0,0,0,0,67,5,0,73,1176,318,40,1535,4026,272,14,5839,3,41,0,47,383,20,0,442,40,30,0,70,257,18,0,341,431,27,21,482,287,28,3,805,637,35,38,706,206,35,0,953,286,94,4,389,572,34,0,1001,18,210,3,231,674,39,0,940,6,134,0,136,643,34,0,816,0,17,0,17,364,23,0,408,0,0,0,0,93,3,0,92,1414,593,74,2082,3481,241,3,5802,7,56,0,65,833,42,0,943,59,40,0,104,622,39,0,764,686,57,36,778,705,66,3,1553,1165,46,60,1261,495,66,0,1828,606,144,14,764,1138,83,3,1994
1021,3,27,0,28,695,37,0,756,44,24,0,70,717,39,0,825,491,52,14,556,858,64,0,1477,785,15,27,831,537,69,0,1438,447,59,15,518,998,53,0,1560,79,130,0,207,1370,53,0,1634,15,139,0,156,1391,69,0,1604,4,43,0,46,1048,53,0,1145,0,7,0,7,408,28,0,445,1874,491,58,2415,8007,466,4,10897,13,45,0,60,640,46,0,741,94,40,3,140,564,42,0,742,761,45,42,847,673,55,3,1579,940,37,45,1018,372,62,0,1446,428,128,19,574,964,64,0,1599,39,305,3,347,1451,58,4,1864,8,236,0,237,1435,84,0,1762,0,50,0,57,1241,90,0,1389,0,0,0,0,630,49,0,678,2273,893,112,3281,7960,548,10,11797,10,72,0,85,1330,83,0,1498,134,66,8,209,1281,80,0,1574,1252,96,54,1402,1526,121,4,3057,1721,53,68,1844,903,128,0,2880,869,187,31,1093,1953,116,0,3158
1022,0,11,0,14,346,20,0,377,24,6,4,34,305,28,0,366,306,19,6,339,499,69,0,903,434,22,11,467,271,61,0,800,226,19,3,248,455,53,0,758,34,55,0,92,549,46,0,686,4,46,0,46,464,35,0,543,0,16,0,16,312,31,0,357,0,4,0,4,106,10,0,125,1032,197,30,1262,3305,351,0,4920,0,28,0,28,281,18,0,331,43,22,0,69,229,21,0,314,416,37,35,489,408,51,0,952,474,25,27,531,209,40,0,778,180,61,10,262,459,44,0,759,12,136,0,147,528,39,0,708,0,93,0,91,486,37,0,611,0,29,0,30,401,43,0,466,0,0,0,0,187,37,0,231,1131,433,80,1644,3180,324,4,5159,5,41,0,47,630,36,0,709,68,32,7,102,530,44,0,679,726,62,41,829,903,123,0,1859,910,47,36,993,481,105,0,1578,404,84,18,512,912,92,0,1520
1023,3,13,0,14,376,36,0,429,20,16,0,35,290,48,0,368,286,23,4,318,514,169,4,1007,417,26,14,452,309,138,0,901,177,33,3,218,483,105,0,803,38,38,0,76,618,62,0,754,7,45,0,47,423,31,0,504,0,11,0,11,213,19,0,241,0,0,0,0,52,10,0,59,947,193,25,1163,3282,610,7,5061,6,33,0,37,290,26,0,352,57,16,0,84,230,29,0,337,438,40,17,489,350,62,0,903,468,26,22,517,197,51,0,762,180,68,11,252,452,35,0,741,13,120,4,130,509,34,0,672,5,67,0,68,409,26,0,505,0,14,0,14,235,25,0,273,0,0,0,0,103,18,0,124,1158,383,46,1589,2772,310,4,4681,9,43,0,55,667,62,0,782,76,34,0,114,527,75,0,710,726,63,24,808,866,231,4,1909,885,50,35,960,510,189,3,1663,355,97,14,466,934,141,0,1543
1024,4,29,0,34,714,49,0,802,12,19,0,28,496,36,0,561,263,19,3,292,673,51,0,1013,635,28,24,685,413,46,0,1143,521,48,14,584,947,63,4,1594,101,129,3,234,1738,91,4,2064,16,203,0,213,2030,102,0,2352,0,39,0,42,1462,123,0,1625,0,0,0,0,369,65,0,439,1557,515,49,2113,8837,626,8,11591,7,47,0,57,589,35,0,679,37,30,0,68,439,27,0,536,437,33,14,489,518,47,0,1057,864,27,34,925,349,55,0,1325,540,95,22,652,1069,68,0,1791,41,333,6,382,1889,87,0,2349,10,307,0,319,2158,105,0,2583,0,60,0,60,1560,127,0,1742,0,0,0,0,515,142,4,659,1933,936,78,2947,9080,689,9,12720,16,78,0,95,1305,80,0,1476,45,48,6,102,935,62,0,1096,700,55,18,775,1190,102,0,2074,1499,51,60,1607,756,106,4,2470,1068,143,31,1241,2017,130,7,3390
1025,55,631,0,686,13655,813,8,15162,510,443,13,969,14839,1036,21,16864,8888,733,221,9839,22250,2241,52,34377,17134,604,528,18262,11233,1889,41,31426,9715,930,230,10874,17966,1566,25,30433,1504,2805,46,4362,22972,1285,34,28650,245,3669,11,3931,19059,1199,29,24218,54,726,0,782,11855,997,11,13642,7,30,3,42,3809,631,0,4480,38122,10579,1053,49748,137637,11651,212,199254,90,1011,14,1112,12676,747,7,14544,1168,899,55,2113,13567,848,14,16545,13305,1379,658,15339,18193,1585,40,35155,20867,945,956,22768,8585,1338,31,32724,9540,2213,330,12077,18655,1133,27,31884,731,6871,67,7670,22088,1024,44,30823,218,5669,28,5918,19531,1148,49,26643,54,864,7,924,13969,1339,10,16242,7,58,6,65,6566,1317,5,7956,45970,19907,2110,67986,133827,10473,234,212516,144,1642,18,1801,26330,1559,12,29704,1678,1343,67,3083,28406,1886,41,33411,22190,2114,872,25179,40446,3826,90,69537,38002,1548,1480,41031,19819,3226,67,64149,19259,3147,558,22952,36624,2700,52,62319
1026,3,56,0,63,1009,116,0,1191,65,48,0,117,929,172,0,1217,706,79,30,812,1451,488,5,2753,1035,55,38,1130,794,407,0,2327,564,77,18,658,1259,291,4,2212,110,173,8,290,1805,190,6,2292,15,202,0,222,1688,105,6,2018,8,42,0,56,1100,78,0,1233,0,3,0,3,387,38,0,429,2509,733,95,3337,10418,1886,23,15666,10,81,0,90,896,109,0,1091,142,74,4,219,787,87,3,1090,1100,115,66,1279,1006,190,4,2487,1295,77,82,1458,620,175,0,2252,538,191,28,753,1359,155,0,2268,47,423,4,478,1770,113,3,2361,22,330,5,353,1784,111,0,2246,3,56,0,60,1200,92,3,1350,0,4,0,4,583,47,0,630,3160,1339,192,4693,10000,1070,15,15782,15,140,0,153,1908,219,4,2281,206,122,5,335,1710,257,3,2308,1803,192,96,2092,2453,680,11,5231,2329,129,127,2583,1414,581,3,4581,1098,263,43,1405,2616,449,8,4482
1027,0,65,0,63,1215,73,0,1356,74,39,4,120,1023,93,6,1233,887,86,35,1006,1601,177,7,2793,1351,58,41,1449,952,157,4,2561,753,74,22,852,1433,158,3,2446,109,184,5,299,1752,115,9,2179,10,208,3,222,1502,97,0,1828,8,48,0,52,936,86,0,1079,0,4,0,4,342,50,0,393,3194,768,107,4063,10758,1007,35,15856,15,143,0,157,1076,85,0,1312,161,93,11,262,925,80,0,1268,1271,136,81,1482,1381,177,7,3055,1636,106,104,1849,811,151,0,2811,726,204,32,952,1447,125,5,2534,62,467,4,532,1728,112,5,2381,16,398,3,424,1610,112,4,2144,5,80,0,82,1133,114,5,1337,3,9,0,15,527,100,0,635,3897,1625,231,5749,10627,1059,23,17468,18,206,0,216,2292,154,3,2669,238,131,13,376,1941,171,4,2499,2157,222,109,2492,2986,365,10,5845,2988,156,145,3295,1760,304,7,5367,1476,277,57,1808,2878,282,12,4982
1028,10,81,0,82,1312,79,3,1474,51,41,0,99,1069,83,0,1250,616,68,23,710,1525,150,3,2384,1403,54,56,1515,932,145,7,2596,946,71,28,1049,1653,132,10,2838,175,199,4,374,2457,156,5,2996,32,305,0,338,2780,173,4,3295,7,81,0,89,2020,179,0,2283,0,5,0,6,700,145,0,856,3241,904,108,4259,14441,1240,37,19969,10,111,0,126,1281,72,0,1477,107,79,8,192,1056,76,0,1328,1001,115,58,1173,1249,132,0,2557,1796,72,86,1954,749,121,10,2835,977,204,50,1235,1904,135,11,3287,84,522,8,616,2804,148,4,3564,19,501,3,528,3045,186,5,3760,10,92,0,107,2378,232,3,2724,3,7,0,13,1055,268,0,1336,4005,1707,222,5936,15526,1378,37,22870,17,187,6,209,2589,150,8,2954,160,125,9,292,2123,160,0,2578,1620,180,82,1884,2774,282,10,4948,3201,126,142,3463,1678,266,14,5427,1921,280,78,2280,3558,268,18,6123
1029,0,30,0,26,690,92,0,813,26,26,0,50,603,104,0,759,433,33,13,486,783,120,0,1385,569,28,21,613,347,73,5,1039,272,48,11,326,708,59,0,1093,50,100,0,156,769,61,0,982,7,82,0,91,542,41,0,672,0,15,0,19,287,21,0,325,0,0,0,0,107,8,0,116,1362,356,48,1772,4836,575,10,7183,6,35,0,39,420,24,0,486,60,34,0,101,358,32,0,486,592,57,32,675,467,71,0,1218,652,40,39,725,266,49,4,1045,291,106,12,403,648,45,0,1102,22,222,0,239,639,31,3,918,4,115,0,125,526,40,0,686,3,24,0,22,331,22,0,380,0,4,0,4,183,11,0,197,1627,630,87,2346,3838,317,5,6511,7,63,0,73,1107,120,0,1298,88,63,5,151,964,135,0,1244,1027,90,44,1161,1248,192,3,2600,1220,65,62,1347,621,115,0,2088,564,151,18,732,1357,103,0,2196
1030,0,25,0,30,416,47,0,488,29,11,0,37,361,26,0,426,292,30,9,323,522,57,0,901,513,23,18,549,352,73,0,974,268,41,17,322,695,68,3,1091,59,97,3,161,1107,67,0,1337,10,128,0,130,1408,69,0,1613,3,27,0,34,882,65,0,979,0,0,0,0,244,22,0,261,1166,380,43,1583,5985,497,9,8072,8,30,0,37,398,38,0,477,55,29,8,92,286,32,0,410,452,38,16,514,394,64,0,975,647,24,35,710,306,63,0,1082,273,114,13,391,753,46,0,1196,24,236,3,264,1178,66,0,1509,7,203,0,207,1474,72,0,1757,0,34,0,34,921,71,0,1026,4,3,0,8,337,41,0,383,1468,717,76,2256,6050,498,10,8808,8,54,0,64,810,90,0,968,86,38,8,131,647,59,3,836,741,70,25,832,915,125,4,1869,1157,54,51,1254,657,137,3,2054,535,152,33,722,1449,120,4,2292
1031,313,3428,23,3769,128081,7311,194,139353,2090,2919,64,5072,148538,11281,429,165319,60540,4362,612,65522,284669,28025,1238,379449,179608,3154,1463,184224,154710,22533,923,362385,112336,3314,952,116605,168317,15835,789,301547,22563,9458,316,32335,211833,12563,879,257608,3687,15748,158,19590,156836,9198,986,186606,544,3844,28,4411,89936,7370,309,102022,69,209,0,285,31093,5134,77,36583,381751,46434,3620,431808,1374011,119251,5821,1930889,446,5973,43,6463,117401,6503,185,130550,5531,5197,170,10895,134891,9004,441,155232,105197,7186,1636,114015,247684,24289,1074,387058,219822,5033,2721,227579,119548,19199,701,367020,110724,7962,1348,120039,178999,13646,723,313407,11043,26725,548,38315,218464,11024,1514,269315,2696,27333,368,30397,164578,9500,1234,205710,544,4734,67,5349,103709,9229,347,118635,80,267,8,353,47096,10246,91,57783,456080,90404,6915,553407,1332365,112638,6316,2004719,754,9399,74,10229,245480,13817,374,269904,7619,8117,234,15966,283434,20277,877,320555,165738,11545,2248,179533,532353,52317,2310,766512,399434,8181,4186,411799,274253,41733,1625,729410,223065,11283,2302,236646,347312,29488,1513,614960
1032,8,70,0,78,1366,142,0,1584,91,49,0,140,1030,120,3,1298,777,77,38,892,1887,297,20,3094,1224,51,40,1317,996,220,11,2542,562,86,22,668,1478,216,0,2367,112,178,3,288,1801,150,0,2247,33,229,3,260,1604,128,0,1997,3,45,0,47,1088,152,0,1291,0,8,0,8,353,98,0,453,2811,782,105,3699,11606,1529,39,16873,20,104,0,121,1094,126,0,1342,190,77,8,276,950,117,0,1349,1321,150,75,1545,1456,250,0,3257,1458,85,79,1627,842,231,5,2705,604,216,24,842,1531,168,0,2543,62,500,4,572,1860,144,0,2577,21,371,0,394,1702,143,3,2253,4,67,0,73,1357,203,0,1634,0,5,0,4,625,153,0,779,3690,1573,194,5456,11416,1547,18,18440,27,171,0,198,2458,267,0,2921,279,128,14,416,1984,244,3,2648,2099,225,111,2440,3343,545,23,6353,2686,137,121,2940,1835,449,14,5245,1162,302,39,1512,3009,391,0,4909
