SUA_CODE_2021,M_0_4_yr_Need_for_assist,M_0_4_yr_No_need_for_assist,M_0_4_yr_Need_for_assist_ns,M_0_4_yr_OS_vis,M_0_4_yr_Tot,M_5_14_yr_Need_for_assist,M_5_14_yr_No_need_for_assist,M_5_14_yr_Need_for_assist_ns,M_5_14_yr_OS_vis,M_5_14_yr_Tot,M_15_19_yr_Need_for_assist,M_15_19_No_need_for_assist,M_15_19_Need_for_assist_ns,M_15_19_yr_OS_vis,M_15_19_yr_Tot,M_20_24_yr_Need_for_assist,M_20_24_No_need_for_assist,M_20_24_Need_for_assist_ns,M_20_24_yr_OS_vis,M_20_24_yr_Tot,M_25_34_yr_Need_for_assist,M_25_34_No_need_for_assist,M_25_34_Need_for_assist_ns,M_25_34_yr_OS_vis,M_25_34_yr_Tot,M_35_44_yr_Need_for_assist,M_35_44_No_need_for_assist,M_35_44_Need_for_assist_ns,M_35_44_yr_OS_vis,M_35_44_yr_Tot,M_45_54_yr_Need_for_assist,M_45_54_No_need_for_assist,M_45_54_Need_for_assist_ns,M_45_54_yr_OS_vis,M_45_54_yr_Tot,M_55_64_yr_Need_for_assist,M_55_64_No_need_for_assist,M_55_64_Need_for_assist_ns,M_55_64_yr_OS_vis,M_55_64_yr_Tot,M_65_74_yr_Need_for_assist,M_65_74_No_need_for_assist,M_65_74_Need_for_assist_ns,M_65_74_yr_OS_vis,M_65_74_yr_Tot,M_75_84_yr_Need_for_assist,M_75_84_No_need_for_assist,M_75_84_Need_for_assist_ns,M_75_84_yr_OS_vis,M_75_84_yr_Tot,M_85_yr_over_Need_for_assist,M_85_over_No_need_for_assist,M_85_over_Need_for_assist_ns,M_85_over_OS_vis,M_85_yr_over_Tot,M_Tot_Need_for_assist,M_Tot_No_need_for_assist,M_Tot_Need_for_assist_ns,M_Tot_OS_vis,M_Tot_Tot,F_0_4_yr_Need_for_assist,F_0_4_yr_No_need_for_assist,F_0_4_yr_Need_for_assist_ns,F_0_4_yr_OS_vis,F_0_4_yr_Tot,F_5_14_yr_Need_for_assist,F_5_14_yr_No_need_for_assist,F_5_14_yr_Need_for_assist_ns,F_5_14_yr_OS_vis,F_5_14_yr_Tot,F_15_19_yr_Need_for_assist,F_15_19_No_need_for_assist,F_15_19_Need_for_assist_ns,F_15_19_yr_OS_vis,F_15_19_yr_Tot,F_20_24_yr_Need_for_assist,F_20_24_No_need_for_assist,F_20_24_Need_for_assist_ns,F_20_24_yr_OS_vis,F_20_24_yr_Tot,F_25_34_yr_Need_for_assist,F_25_34_No_need_for_assist,F_25_34_Need_for_assist_ns,F_25_34_yr_OS_vis,F_25_34_yr_Tot,F_35_44_yr_Need_for_assist,F_35_44_No_need_for_assist,F_35_44_Need_for_assist_ns,F_35_44_yr_OS_vis,F_35_44_yr_Tot,F_45_54_yr_Need_for_assist,F_45_54_No_need_for_assist,F_45_54_Need_for_assist_ns,F_45_54_yr_OS_vis,F_45_54_yr_Tot,F_55_64_yr_Need_for_assist,F_55_64_No_need_for_assist,F_55_64_Need_for_assist_ns,F_55_64_yr_OS_vis,F_55_64_yr_Tot,F_65_74_yr_Need_for_assist,F_65_74_No_need_for_assist,F_65_74_Need_for_assist_ns,F_65_74_yr_OS_vis,F_65_74_yr_Tot,F_75_84_yr_Need_for_assist,F_75_84_No_need_for_assist,F_75_84_Need_for_assist_ns,F_75_84_yr_OS_vis,F_75_84_yr_Tot,F_85_yr_over_Need_for_assist,F_85_over_No_need_for_assist,F_85_over_Need_for_assist_ns,F_85_over_OS_vis,F_85_yr_over_Tot,F_Tot_Need_for_assist,F_Tot_No_need_for_assist,F_Tot_Need_for_assist_ns,F_Tot_OS_vis,F_Tot_Tot,P_0_4_yr_Need_for_assist,P_0_4_yr_No_need_for_assist,P_0_4_yr_Need_for_assist_ns,P_0_4_yr_OS_vis,P_0_4_yr_Tot,P_5_14_yr_Need_for_assist,P_5_14_yr_No_need_for_assist,P_5_14_yr_Need_for_assist_ns,P_5_14_yr_OS_vis,P_5_14_yr_Tot,P_15_19_yr_Need_for_assist,P_15_19_No_need_for_assist,P_15_19_Need_for_assist_ns,P_15_19_yr_OS_vis,P_15_19_yr_Tot,P_20_24_yr_Need_for_assist,P_20_24_No_need_for_assist,P_20_24_Need_for_assist_ns,P_20_24_yr_OS_vis,P_20_24_yr_Tot,P_25_34_yr_Need_for_assist,P_25_34_No_need_for_assist,P_25_34_Need_for_assist_ns,P_25_34_yr_OS_vis,P_25_34_yr_Tot,P_35_44_yr_Need_for_assist,P_35_44_No_need_for_assist,P_35_44_Need_for_assist_ns,P_35_44_yr_OS_vis,P_35_44_yr_Tot,P_45_54_yr_Need_for_assist,P_45_54_No_need_for_assist,P_45_54_Need_for_assist_ns,P_45_54_yr_OS_vis,P_45_54_yr_Tot,P_55_64_yr_Need_for_assist,P_55_64_No_need_for_assist,P_55_64_Need_for_assist_ns,P_55_64_yr_OS_vis,P_55_64_yr_Tot,P_65_74_yr_Need_for_assist,P_65_74_No_need_for_assist,P_65_74_Need_for_assist_ns,P_65_74_yr_OS_vis,P_65_74_yr_Tot,P_75_84_yr_Need_for_assist,P_75_84_No_need_for_assist,P_75_84_Need_for_assist_ns,P_75_84_yr_OS_vis,P_75_84_yr_Tot,P_85_yr_over_Need_for_assist,P_85_over_No_need_for_assist,P_85_over_Need_for_assist_ns,P_85_over_OS_vis,P_85_yr_over_Tot,P_Tot_Need_for_assist,P_Tot_No_need_for_assist,P_Tot_Need_for_assist_ns,P_Tot_OS_vis,P_Tot_Tot
1000,447,24673,2260,20,27400,3811,56390,5965,36,66203,1284,25935,2555,14,29789,862,20344,2558,72,23827,1340,43142,5593,299,50376,1434,46141,5691,175,53436,2386,55815,6046,94,64336,4252,67109,6489,79,77920,6074,61687,5363,62,73179,5730,28588,2867,27,37217,3800,5393,1009,13,10206,31418,435220,46382,881,513899,238,23577,2186,4,26004,1783,54592,5605,18,61998,783,24810,2294,14,27903,583,19396,1897,71,21945,1095,45884,4373,203,51563,1332,49783,4806,99,56015,2508,59068,5129,65,66765,4098,69029,5479,78,78676,5302,58814,4495,46,68669,6637,27547,2826,27,37036,7160,5929,1528,5,14622,31512,438437,40615,626,511196,686,48250,4445,24,53408,5594,110985,11566,51,128199,2069,50748,4845,27,57693,1438,39737,4451,136,45772,2442,89028,9964,507,101942,2761,95923,10495,272,109452,4887,114884,11171,158,131105,8347,136135,11969,147,156603,11377,120502,9858,109,141852,12361,56142,5694,52,74249,10957,11324,2532,15,24831,62929,873660,86992,1509,1025095
1001,77,2836,195,0,3111,577,5499,400,0,6476,203,2727,185,3,3119,125,2768,180,0,3075,220,5884,377,14,6497,188,5261,338,0,5792,273,5020,310,0,5604,375,4785,256,3,5419,502,3992,208,9,4706,497,1855,123,4,2476,345,416,53,0,811,3373,41044,2626,37,47081,46,2845,191,0,3083,292,5600,377,4,6270,100,2693,162,0,2952,99,2693,162,0,2952,190,6129,373,16,6700,221,5789,330,4,6346,301,5482,247,0,6023,394,5357,257,10,6011,553,4459,194,7,5208,695,2314,177,0,3193,759,550,95,0,1407,3640,43901,2559,44,50141,118,5682,383,9,6190,869,11095,770,4,12746,298,5422,343,5,6072,222,5462,345,0,6029,412,12004,749,26,13196,404,11052,671,6,12136,573,10504,554,0,11629,768,10139,509,13,11432,1050,8449,403,12,9913,1187,4175,303,4,5666,1100,968,143,0,2220,7012,84948,5188,79,97225
1002,20,601,56,0,678,81,1196,152,0,1426,33,723,151,0,909,33,802,187,4,1024,36,1375,163,11,1586,44,1148,100,4,1301,44,1066,91,4,1204,67,1150,89,3,1308,91,873,50,0,1016,101,496,69,0,665,62,121,32,0,223,603,9554,1149,23,11339,3,574,49,0,632,44,1303,144,0,1486,24,832,240,0,1096,24,845,220,0,1090,34,1479,175,4,1700,38,1218,104,0,1368,49,1221,73,5,1341,76,1261,86,0,1424,89,987,72,0,1155,155,608,82,0,848,143,150,75,0,370,685,10482,1333,18,12512,25,1175,110,5,1310,121,2500,299,0,2919,58,1556,391,0,2008,53,1650,406,0,2114,73,2856,333,14,3281,82,2373,207,3,2670,90,2290,162,6,2552,142,2416,178,5,2733,178,1860,129,7,2167,257,1106,147,0,1512,212,276,108,0,592,1286,20043,2484,40,23854
1003,18,1072,48,3,1144,171,2442,171,3,2791,65,1125,77,0,1271,48,869,57,4,980,56,1823,134,4,2021,68,2307,154,9,2535,81,2540,133,6,2761,161,2769,126,3,3060,227,2797,147,6,3179,262,1484,90,0,1831,255,363,67,0,686,1417,19590,1215,31,22260,8,981,63,0,1055,78,2312,138,0,2531,36,1069,55,3,1160,27,862,48,0,946,63,2073,145,8,2293,76,2484,146,3,2710,108,2857,151,10,3128,154,3103,143,4,3404,217,3117,151,3,3498,371,1658,114,0,2136,548,466,120,0,1137,1699,20981,1279,36,23993,29,2053,112,3,2202,253,4752,310,5,5324,104,2194,131,3,2433,83,1734,104,3,1923,122,3901,281,11,4319,142,4789,303,7,5242,187,5398,286,16,5885,321,5868,269,9,6465,447,5918,300,6,6677,631,3137,203,0,3971,805,836,191,0,1822,3115,40574,2496,68,46251
1004,8,353,37,0,408,59,790,93,0,935,30,394,34,0,458,8,300,29,0,342,26,641,62,0,733,33,672,52,0,765,49,916,99,0,1069,91,1106,85,7,1286,139,1319,77,0,1536,138,666,49,0,854,103,142,20,0,267,681,7301,650,12,8644,7,341,32,0,382,32,810,71,0,916,10,366,24,0,403,14,285,25,0,321,19,685,59,0,766,28,746,69,0,849,43,953,72,0,1066,89,1361,76,0,1536,139,1375,76,3,1583,169,710,61,0,944,204,160,43,0,407,755,7792,609,9,9168,16,697,68,0,780,87,1597,167,0,1850,36,760,63,0,868,23,586,58,0,662,50,1328,117,0,1502,63,1418,120,3,1609,91,1871,170,0,2137,182,2472,162,7,2819,272,2692,150,4,3121,307,1374,111,4,1798,305,300,65,0,669,1438,15089,1261,21,17810
1005,24,1038,54,0,1114,194,2222,136,0,2553,74,1237,93,0,1404,54,1177,190,3,1426,77,2198,427,3,2702,68,1894,351,7,2320,92,1900,217,0,2208,131,1781,129,0,2044,167,1459,88,0,1720,187,754,57,4,995,157,154,26,0,335,1223,15802,1770,20,18822,15,995,53,0,1061,91,2207,126,5,2423,48,1141,54,0,1243,25,1186,58,4,1269,63,2331,116,0,2514,70,2006,110,0,2186,100,2082,113,5,2307,114,1959,85,3,2168,165,1595,71,0,1833,261,834,48,3,1144,366,222,49,0,634,1316,16564,893,19,18791,41,2031,106,0,2177,282,4431,263,4,4979,121,2380,148,0,2649,83,2356,246,6,2695,140,4525,540,6,5216,140,3896,464,8,4510,191,3986,334,7,4520,240,3739,221,6,4211,331,3058,163,3,3547,447,1581,106,3,2142,526,376,71,0,973,2542,32362,2660,45,37614
1006,16,994,50,4,1073,134,2312,114,3,2565,48,1091,49,0,1193,27,842,52,0,921,56,1809,74,3,1944,53,1958,99,3,2116,79,2272,114,5,2465,101,2331,98,4,2532,157,2300,103,4,2564,218,1555,103,4,1874,199,334,92,0,625,1095,17797,942,33,19866,19,1017,31,0,1067,85,2259,115,0,2464,33,1051,45,0,1138,15,831,47,4,898,37,1901,76,9,2022,53,2090,96,4,2244,101,2576,109,0,2784,129,2613,105,9,2852,186,2910,111,6,3206,324,1809,137,4,2275,372,352,151,0,880,1349,19416,1021,39,21829,36,2014,83,14,2144,222,4573,225,3,5027,83,2141,97,3,2325,42,1669,100,6,1819,95,3711,150,13,3968,104,4047,194,4,4358,178,4847,223,4,5253,226,4946,204,7,5388,340,5213,206,10,5767,544,3362,235,3,4149,570,689,243,0,1502,2451,37210,1963,69,41693
1007,8,419,45,0,479,73,832,104,0,1009,37,423,60,0,515,13,417,58,0,489,30,931,97,3,1062,35,789,92,0,921,64,860,94,0,1020,113,1074,84,0,1276,149,911,63,3,1132,104,396,44,0,539,81,97,27,0,204,722,7143,775,7,8647,9,443,35,0,492,35,862,118,0,1014,12,396,43,0,446,12,389,38,0,440,22,1011,94,0,1135,35,849,90,0,983,60,881,73,0,1009,115,1166,72,4,1359,107,973,67,0,1156,163,486,79,0,723,160,138,77,0,377,736,7602,788,10,9132,19,865,84,0,966,114,1692,217,0,2021,45,820,103,0,967,30,807,94,3,930,51,1941,197,6,2199,73,1638,179,0,1898,122,1742,168,0,2029,221,2241,163,4,2633,260,1887,131,3,2282,269,876,117,0,1268,241,235,110,0,583,1453,14747,1562,15,17779
1008,0,217,31,0,250,13,467,47,0,527,3,196,21,0,224,3,199,29,16,248,6,912,104,31,1047,11,751,84,4,846,18,624,77,5,715,36,613,62,3,719,46,540,37,6,629,42,191,18,0,249,19,28,7,0,56,195,4742,499,61,5500,3,218,17,0,240,6,474,52,0,532,4,186,13,0,206,5,294,47,13,361,10,1038,110,18,1189,9,810,72,0,891,28,642,52,5,730,28,644,58,0,726,37,551,33,4,630,46,188,18,0,242,61,43,21,0,118,243,5088,498,48,5869,4,433,49,0,487,21,937,103,0,1064,5,382,38,0,429,7,494,76,27,605,18,1951,212,52,2230,21,1557,151,4,1742,44,1266,124,11,1445,67,1255,114,3,1448,84,1092,73,7,1257,86,378,29,0,492,78,73,28,0,174,438,9828,993,112,11368
1009,10,300,14,0,319,80,786,37,0,903,30,437,22,0,481,14,283,9,0,311,23,474,33,0,524,25,581,25,0,632,50,922,25,6,1005,97,1194,54,4,1349,182,1600,81,3,1860,189,976,46,0,1203,123,201,24,0,350,819,7749,366,12,8950,0,266,8,0,282,39,821,45,0,907,17,395,14,0,427,16,233,8,0,257,22,505,20,0,548,21,737,30,4,790,45,1022,25,0,1091,85,1480,62,3,1638,157,1670,66,0,1893,220,963,47,0,1231,223,212,30,0,463,839,8312,361,8,9518,8,569,25,0,603,117,1614,81,0,1810,43,830,39,0,907,27,520,24,0,570,44,976,55,6,1081,47,1321,55,4,1428,101,1938,57,8,2095,184,2682,116,9,2985,336,3272,144,3,3751,410,1934,91,0,2433,344,412,48,0,807,1656,16063,730,22,18472
