SUA_CODE_2021,Cntd_home_Cen_Nt_0_14_yr,Cntd_home_Cen_Nt_15_24_yr,Cntd_home_Cen_Nt_25_34_yr,Cntd_home_Cen_Nt_35_44_yr,Cntd_home_Cen_Nt_45_54_yr,Cntd_home_Cen_Nt_55_64_yr,Cntd_home_Cen_Nt_65_74_yr,Cntd_home_Cen_Nt_75_84_yr,Cntd_home_Cen_Nt_85_yr_over,Cntd_home_Cen_Night_Tot,Vis_from_Same_SA2_0_14,Vis_from_Same_SA2_15_24,Vis_from_Same_SA2_25_34,Vis_from_Same_SA2_35_44,Vis_from_Same_SA2_45_54,Vis_from_Same_SA2_55_64,Vis_from_Same_SA2_65_74,Vis_from_Same_SA2_75_84,Vis_from_Same_SA2_85_yr_over,Vis_from_Same_SA2_Tot,Vis_fro_Diff_SA2_NSW_0_14,Vis_fr_Diff_SA2_NSW_15_24,Vis_fr_Diff_SA2_NSW_25_34,Vis_fr_Diff_SA2_NSW_35_44,Vis_fr_Diff_SA2_NSW_45_54,Vis_fr_Diff_SA2_NSW_55_64,Vis_fr_Diff_SA2_NSW_65_74,Vis_fr_Diff_SA2_NSW_75_84,Vis_fr_Diff_SA2_NSW_85_over,Vis_fr_Diff_SA2_NSW_Tot,Vis_fro_Diff_SA2_Vic_0_14,Vis_fr_Diff_SA2_Vic_15_24,Vis_fr_Diff_SA2_Vic_25_34,Vis_fr_Diff_SA2_Vic_35_44,Vis_fr_Diff_SA2_Vic_45_54,Vis_fr_Diff_SA2_Vic_55_64,Vis_fr_Diff_SA2_Vic_65_74,Vis_fr_Diff_SA2_Vic_75_84,Vis_fr_Diff_SA2_Vic_85_over,Vis_fr_Diff_SA2_Vic_Tot,Vis_fro_Diff_SA2_Qld_0_14,Vis_fr_Diff_SA2_Qld_15_24,Vis_fr_Diff_SA2_Qld_25_34,Vis_fr_Diff_SA2_Qld_35_44,Vis_fr_Diff_SA2_Qld_45_54,Vis_fr_Diff_SA2_Qld_55_64,Vis_fr_Diff_SA2_Qld_65_74,Vis_fr_Diff_SA2_Qld_75_84,Vis_fr_Diff_SA2_Qld_85_over,Vis_fr_Diff_SA2_Qld_Tot,Vis_fro_Diff_SA2_SA_0_14,Vis_fr_Diff_SA2_SA_15_24,Vis_fr_Diff_SA2_SA_25_34,Vis_fr_Diff_SA2_SA_35_44,Vis_fr_Diff_SA2_SA_45_54,Vis_fr_Diff_SA2_SA_55_64,Vis_fr_Diff_SA2_SA_65_74,Vis_fr_Diff_SA2_SA_75_84,Vis_fr_Diff_SA2_SA_85_over,Vis_fr_Diff_SA2_SA_Tot,Vis_fro_Diff_SA2_WA_0_14,Vis_fr_Diff_SA2_WA_15_24,Vis_fr_Diff_SA2_WA_25_34,Vis_fr_Diff_SA2_WA_35_44,Vis_fr_Diff_SA2_WA_45_54,Vis_fr_Diff_SA2_WA_55_64,Vis_fr_Diff_SA2_WA_65_74,Vis_fr_Diff_SA2_WA_75_84,Vis_fr_Diff_SA2_WA_85_over,Vis_fr_Diff_SA2_WA_Tot,Vis_fro_Diff_SA2_Tas_0_14,Vis_fr_Diff_SA2_Tas_15_24,Vis_fr_Diff_SA2_Tas_25_34,Vis_fr_Diff_SA2_Tas_35_44,Vis_fr_Diff_SA2_Tas_45_54,Vis_fr_Diff_SA2_Tas_55_64,Vis_fr_Diff_SA2_Tas_65_74,Vis_fr_Diff_SA2_Tas_75_84,Vis_fr_Diff_SA2_Tas_85_over,Vis_fr_Diff_SA2_Tas_Tot,Vis_fro_Diff_SA2_NT_0_14,Vis_fr_Diff_SA2_NT_15_24,Vis_fr_Diff_SA2_NT_25_34,Vis_fr_Diff_SA2_NT_35_44,Vis_fr_Diff_SA2_NT_45_54,Vis_fr_Diff_SA2_NT_55_64,Vis_fr_Diff_SA2_NT_65_74,Vis_fr_Diff_SA2_NT_75_84,Vis_fr_Diff_SA2_NT_85_over,Vis_fr_Diff_SA2_NT_Tot,Vis_fro_Diff_SA2_ACT_0_14,Vis_fr_Diff_SA2_ACT_15_24,Vis_fr_Diff_SA2_ACT_25_34,Vis_fr_Diff_SA2_ACT_35_44,Vis_fr_Diff_SA2_ACT_45_54,Vis_fr_Diff_SA2_ACT_55_64,Vis_fr_Diff_SA2_ACT_65_74,Vis_fr_Diff_SA2_ACT_75_84,Vis_fr_Diff_SA2_ACT_85_over,Vis_fr_Diff_SA2_ACT_Tot,Vis_fro_Diff_SA2_OT_0_14,Vis_fr_Diff_SA2_OT_15_24,Vis_fr_Diff_SA2_OT_25_34,Vis_fr_Diff_SA2_OT_35_44,Vis_fr_Diff_SA2_OT_45_54,Vis_fr_Diff_SA2_OT_55_64,Vis_fr_Diff_SA2_OT_65_74,Vis_fr_Diff_SA2_OT_75_84,Vis_fr_Diff_SA2_OT_85_over,Vis_fr_Diff_SA2_OT_Tot,Vis_fro_Diff_SA2_TOT_0_14,Vis_fr_Diff_SA2_TOT_15_24,Vis_fr_Diff_SA2_TOT_25_34,Vis_fr_Diff_SA2_TOT_35_44,Vis_fr_Diff_SA2_TOT_45_54,Vis_fr_Diff_SA2_TOT_55_64,Vis_fr_Diff_SA2_TOT_65_74,Vis_fr_Diff_SA2_TOT_75_84,Vis_fr_Diff_SA2_TOT_85_over,Vis_fr_Diff_SA2_TOT_TTOT,Vis_from_Tot_Viss_0_14_yr,Vis_from_Tot_Viss_15_24_yr,Vis_from_Tot_Viss_25_34_yr,Vis_from_Tot_Viss_35_44_yr,Vis_from_Tot_Viss_45_54_yr,Vis_from_Tot_Viss_55_64_yr,Vis_from_Tot_Viss_65_74_yr,Vis_from_Tot_Viss_75_84_yr,Vis_from_Tot_Viss_85_over,Vis_from_Tot_Viss_Tot,OS_vis_0_14_yr,OS_vis_15_24_yr,OS_vis_25_34_yr,OS_vis_35_44_yr,OS_vis_45_54_yr,OS_vis_55_64_yr,OS_vis_65_74_yr,OS_vis_75_84_yr,OS_vis_85_yr_over,OS_vis_Tot,Tot_pop_pl_en_0_14_yr,Tot_pop_pl_en_15_24_yr,Tot_pop_pl_en_25_34_yr,Tot_pop_pl_en_35_44_yr,Tot_pop_pl_en_45_54_yr,Tot_pop_pl_en_55_64_yr,Tot_pop_pl_en_65_74_yr,Tot_pop_pl_en_75_84_yr,Tot_pop_pl_en_85_yr_over,Tot_pop_pl_en_Tot
1000,175221,94595,93957,103130,123666,146394,132701,70580,23744,963997,311,307,265,285,339,527,579,460,170,3234,5461,7057,5705,4739,5628,7546,6395,2374,798,45698,110,329,438,284,360,576,974,446,61,3583,158,534,494,350,501,628,414,114,21,3218,23,77,105,70,83,108,96,35,8,610,4,67,72,34,34,74,83,21,4,395,8,38,34,24,36,102,95,28,4,374,0,17,12,7,14,13,13,4,0,91,227,261,356,265,278,483,385,128,19,2393,0,0,0,0,4,4,0,0,0,3,5996,8388,7206,5771,6937,9531,8459,3159,903,56355,6304,8696,7471,6051,7277,10062,9042,3611,1071,59589,78,172,507,272,158,147,109,52,15,1509,181602,103465,101942,109452,131105,156603,141852,74249,24831,1025095
1001,18576,11412,12596,11724,11263,11033,9581,5508,2122,93812,11,18,25,11,17,26,31,27,12,184,179,295,219,170,141,164,137,74,52,1430,156,287,264,193,183,153,123,54,32,1445,3,45,38,16,13,21,7,0,0,145,0,10,7,5,3,7,5,0,0,38,0,3,5,6,3,7,5,0,0,30,0,8,0,0,0,10,0,0,0,17,0,5,4,0,3,0,0,0,0,15,0,14,7,4,0,5,0,0,0,30,0,0,0,0,0,0,0,0,0,0,333,667,546,390,347,359,292,131,84,3148,351,684,569,400,364,385,322,160,97,3329,9,7,26,6,0,13,12,4,0,79,18934,12094,13196,12136,11629,11432,9913,5666,2220,97225
1002,4136,3690,3095,2555,2419,2619,2090,1466,567,22644,5,10,8,5,4,12,5,7,5,55,86,351,139,97,97,69,51,35,20,939,0,11,9,0,7,0,0,0,0,32,0,38,13,0,9,24,3,0,0,96,0,4,0,0,0,0,3,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,10,0,0,3,0,0,0,0,0,0,3,0,6,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,87,409,165,104,115,107,66,38,21,1109,87,419,169,106,123,115,67,45,27,1165,4,0,14,3,6,5,7,0,0,40,4227,4116,3281,2670,2552,2733,2167,1512,592,23854
1003,7347,4100,4074,5068,5674,6158,6330,3831,1755,44344,14,5,11,7,9,9,16,14,10,97,131,193,174,121,144,219,188,87,45,1306,0,12,7,5,4,22,79,22,10,167,8,26,36,29,28,33,27,7,0,196,4,3,0,0,3,3,8,0,0,26,0,0,0,0,3,0,0,3,0,13,0,0,0,0,0,4,9,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,152,239,221,158,185,292,319,127,56,1743,166,250,234,164,192,297,337,140,65,1839,12,6,11,7,16,9,6,0,0,68,7518,4359,4319,5242,5885,6465,6677,3971,1822,46251
1004,2522,1399,1373,1498,1969,2576,2972,1716,644,16670,0,0,3,0,8,5,8,6,3,41,87,111,87,79,95,132,68,43,13,708,6,0,7,0,5,13,6,3,0,36,0,0,12,4,13,3,8,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,16,29,38,79,54,26,7,289,0,0,0,0,0,0,0,0,0,0,106,130,121,109,160,230,130,67,24,1083,107,126,121,109,165,235,141,79,33,1118,3,0,0,3,0,7,4,4,0,21,2633,1527,1502,1609,2137,2819,3121,1798,669,17810
1005,7013,4899,4953,4326,4302,4047,3413,2050,929,35944,0,11,7,0,5,10,13,6,14,73,132,402,235,165,185,129,118,75,26,1466,0,12,4,0,3,0,4,0,0,24,4,0,8,0,0,4,4,0,0,23,0,5,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,140,422,251,172,198,146,125,76,29,1557,139,439,256,170,211,152,133,87,36,1626,4,6,6,8,7,6,3,3,0,45,7159,5342,5216,4510,4520,4211,3547,2142,973,37614
1006,6964,3880,3769,4207,5082,5195,5549,4036,1455,40125,6,0,0,8,4,12,15,8,4,46,182,242,176,135,149,160,185,95,42,1372,0,0,0,0,0,6,6,0,0,16,0,13,0,3,9,5,3,6,0,36,0,0,4,0,0,0,3,0,0,10,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,4,0,0,12,0,0,0,0,0,0,0,0,0,0,186,256,184,138,155,176,204,103,44,1453,192,256,183,146,161,187,214,112,50,1496,15,12,13,4,4,7,10,3,0,69,7168,4141,3968,4358,5253,5388,5767,4149,1502,41693
1007,2890,1752,2055,1769,1909,2411,2068,1207,572,16632,5,5,3,12,0,8,19,13,0,65,92,85,100,86,91,154,114,34,11,768,0,14,6,5,5,10,18,0,0,57,0,0,3,7,0,11,9,0,0,22,3,25,18,18,23,32,44,12,0,175,0,0,0,0,0,0,7,0,0,11,0,0,0,3,0,0,3,0,0,14,0,0,6,0,0,0,0,0,0,10,0,0,3,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,95,133,135,113,125,210,198,52,11,1070,100,140,144,126,127,215,215,60,16,1131,0,3,6,0,0,4,3,0,0,15,2992,1896,2199,1898,2029,2633,2282,1268,583,17779
1008,1450,888,1998,1603,1296,1268,1119,446,167,10230,0,0,10,0,9,4,4,3,0,26,86,81,131,100,96,101,68,23,3,695,8,17,23,14,22,41,34,17,0,176,6,14,17,12,10,8,9,0,0,71,0,3,0,0,0,3,4,0,0,17,0,0,3,5,0,0,0,0,0,14,0,0,0,3,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,3,0,0,11,0,0,0,0,0,0,0,0,0,0,102,123,177,136,130,170,126,40,7,1003,102,123,184,133,141,175,126,41,7,1028,0,31,52,4,11,3,7,0,0,112,1550,1031,2230,1742,1445,1448,1257,492,174,11368
1009,2316,1383,999,1355,2006,2824,3575,2340,788,17585,0,0,0,6,3,7,14,12,0,45,90,87,70,60,70,130,136,66,16,726,3,0,3,0,3,4,13,15,0,49,0,7,4,4,4,6,7,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,7,0,0,0,0,0,0,0,0,0,0,96,91,76,62,84,144,156,83,16,813,95,91,77,67,86,153,169,89,22,864,3,0,6,4,8,9,3,0,0,22,2414,1475,1081,1428,2095,2985,3751,2433,807,18472
1010,60515,36895,36619,39957,42439,42873,38822,24753,10063,332934,44,46,26,38,42,67,106,78,52,497,1255,1317,1105,880,998,1028,911,524,343,8369,4,10,8,13,5,20,18,11,0,101,21,40,34,18,31,35,45,13,3,240,0,0,0,3,0,5,8,0,0,19,0,9,9,0,6,5,0,7,0,38,0,3,0,3,4,10,8,4,0,31,0,0,3,4,0,0,0,0,0,8,3,12,5,5,3,3,4,0,0,33,0,0,0,0,0,0,0,0,0,0,1289,1386,1166,925,1051,1103,1002,559,348,8836,1335,1428,1191,964,1094,1177,1104,634,407,9340,40,28,32,38,49,65,58,22,14,346,61885,38346,37848,40964,43584,44108,39986,25414,10482,342625
1011,12902,7252,7930,8419,8740,9263,9085,5307,2184,71089,14,14,16,19,17,32,25,28,23,183,281,475,428,353,384,441,500,180,72,3114,5,5,16,12,15,27,160,105,4,362,15,24,31,11,32,26,21,7,0,163,0,0,0,3,0,5,11,5,4,37,0,0,0,0,0,5,0,7,0,13,0,4,20,0,0,3,13,5,0,44,0,0,0,0,0,0,0,0,0,0,4,3,3,3,0,5,15,7,0,43,0,0,0,0,0,0,0,0,0,3,303,513,505,378,432,513,720,317,81,3774,321,534,523,395,454,542,744,348,102,3958,6,56,87,40,29,31,16,4,0,274,13232,7841,8535,8858,9221,9839,9847,5656,2291,75326
1012,8570,4450,6370,4767,4227,4168,3312,2186,877,38924,10,12,3,7,8,10,11,12,3,84,192,356,298,226,217,209,176,81,25,1776,0,3,10,7,8,10,3,6,0,36,7,5,16,9,14,18,6,0,0,69,0,0,3,7,0,3,7,0,0,21,0,4,0,0,6,0,0,4,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,4,0,0,0,5,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,199,363,322,245,241,245,190,93,26,1937,205,373,329,254,252,255,207,105,36,2016,3,0,15,7,6,4,6,0,0,54,8776,4828,6715,5038,4487,4425,3528,2292,908,40994
1013,2440,1515,1410,1658,2031,2924,3937,2823,1305,20050,4,3,5,0,3,10,19,14,7,63,88,146,103,68,110,193,206,71,38,1021,0,0,3,0,0,5,30,15,4,56,3,8,4,10,0,8,5,7,0,33,0,0,0,0,0,0,4,4,0,9,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,95,154,112,78,113,207,246,96,38,1140,97,158,116,77,121,218,262,105,47,1205,0,0,4,4,3,6,5,0,0,24,2539,1672,1527,1743,2155,3146,4206,2930,1358,21276
