SUA_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
5000,1247,1011,1073,803,246,27,5602,50,627,778,859,934,671,121,15,4051,1122,5959,5915,4906,4224,3113,945,174,26351,501,2438,3426,4129,4655,3528,1100,179,19961,4222,10858,11165,10697,10264,6299,1848,286,55643,1484,929,703,600,557,331,80,10,4689,242,423,629,807,995,864,291,58,4308,5950,12210,12491,12108,11816,7482,2217,361,64630,73,169,215,253,280,344,167,43,1540,4972,9192,9203,9480,8219,5577,2888,983,50503,12753,31710,33274,32731,31204,21509,7674,1778,172641
5001,134,125,135,107,40,13,685,11,65,97,140,130,95,25,0,569,114,519,627,645,554,464,198,44,3180,87,305,427,504,557,440,231,56,2603,628,1180,1060,1050,975,637,288,105,5921,306,107,79,64,68,31,14,3,668,27,42,53,120,135,117,38,18,549,964,1331,1187,1227,1181,782,346,124,7144,6,19,27,26,25,53,33,11,203,225,245,236,256,321,331,337,225,2177,1427,2602,2734,2936,2908,2276,1196,477,16559
5002,158,99,108,80,19,0,646,5,88,123,79,84,61,7,0,449,105,738,588,393,350,282,80,8,2536,55,232,332,269,305,296,66,5,1560,200,525,569,560,459,404,87,12,2814,85,58,40,21,30,25,3,0,263,14,37,47,49,61,65,21,3,293,296,613,658,624,552,493,118,12,3367,4,14,13,16,21,23,17,0,110,339,585,462,481,539,382,168,25,2987,809,2438,2324,1971,1958,1626,481,52,11660
5003,337,298,218,155,39,11,1293,18,145,253,271,208,132,37,5,1067,246,1349,1599,1376,955,634,244,69,6477,161,723,1001,984,964,663,281,80,4862,1640,2976,2913,2591,2175,1323,504,115,14237,564,304,178,145,104,64,22,12,1396,83,107,196,249,263,172,75,15,1161,2289,3387,3286,2987,2543,1557,604,138,16793,13,48,72,60,64,76,41,18,392,440,579,562,546,546,542,482,326,4026,3187,6452,7116,6519,5506,3753,1736,643,34908
5004,175,189,126,148,59,3,807,6,81,170,180,125,115,25,7,713,98,685,1051,918,694,616,259,65,4383,76,364,583,659,669,579,280,58,3265,536,1126,1379,1315,1121,865,370,83,6800,223,86,73,77,60,55,18,7,598,40,48,84,136,142,153,55,17,684,798,1265,1542,1528,1324,1080,444,103,8087,13,27,28,33,40,61,38,5,253,250,334,331,331,421,422,341,192,2613,1231,2856,3885,3838,3404,3010,1446,436,20108
5005,35,33,25,15,3,0,143,3,16,37,32,28,14,9,0,141,31,209,185,174,125,83,53,13,873,11,78,132,141,146,100,62,22,685,214,417,386,382,324,172,81,12,1977,63,43,33,19,16,8,4,0,187,16,7,20,34,35,16,9,3,137,285,471,439,426,369,198,101,16,2302,4,5,0,4,15,9,8,4,53,171,160,185,217,175,185,170,51,1311,514,971,1018,1032,871,605,395,99,5508
5006,163,127,97,55,8,7,571,9,100,123,129,98,56,14,4,528,141,610,678,611,372,251,86,17,2759,115,352,475,501,501,337,114,28,2427,642,1360,1231,1283,1096,682,259,64,6611,282,160,109,83,75,44,11,4,762,36,49,81,108,98,82,34,13,504,955,1571,1419,1480,1275,804,306,73,7885,12,24,22,40,37,24,23,18,198,438,474,544,474,446,395,356,223,3356,1680,3235,3428,3355,2829,1927,901,363,17723
5007,210,119,75,20,8,0,685,7,79,91,68,57,21,3,0,325,168,725,625,373,246,108,36,5,2273,53,287,379,321,271,103,22,3,1429,529,1357,1177,1024,769,311,87,13,5261,222,103,58,50,20,6,7,0,466,30,63,66,79,60,38,10,0,352,783,1525,1301,1152,847,357,100,13,6080,12,31,20,23,15,14,7,0,123,395,624,579,506,560,392,131,72,3259,1449,3490,3210,2562,2067,1009,295,92,14173
5008,154,79,32,13,0,0,448,7,74,87,70,27,10,0,0,280,84,582,528,305,137,63,10,0,1720,32,231,369,289,190,65,10,0,1182,287,976,1003,731,427,154,34,0,3615,110,71,53,33,23,7,0,0,296,14,30,47,54,37,17,5,0,209,410,1077,1104,820,484,180,36,0,4116,8,17,19,14,7,3,0,0,74,358,722,770,632,460,175,48,6,3162,903,2857,3038,2213,1335,508,112,12,10970
5009,29980,19578,12715,7636,2745,559,99073,807,8123,10370,9530,7349,4321,1365,227,42085,20798,79026,78878,54581,34802,23257,9186,2329,302856,9799,28398,34616,32612,27381,19003,8472,2315,162595,30605,59023,54139,48753,42858,27535,12297,3356,278558,10395,4611,3333,2692,2223,1482,571,117,25427,2176,3135,4605,6077,5828,4615,2409,781,29615,43177,66768,62085,57517,50905,33630,15273,4252,333603,924,1982,2499,2276,2079,2218,1553,550,14075,12567,17753,16481,13812,12173,12305,11638,8303,105022,89723,226267,234906,189903,147410,102367,50214,18539,1059318
