SUA_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
1000,4649,5039,5296,4481,1476,197,24486,180,1589,2497,3127,3581,3253,706,89,15021,3097,16835,18536,18034,16203,14034,4723,951,92421,1973,7934,11204,14468,16160,12485,4816,1042,70081,13580,29872,29825,32666,35141,23726,9294,2008,176100,1888,1983,1756,2024,2451,1654,486,90,12332,941,1329,1810,3036,4496,4190,1830,412,18034,16404,33187,33386,37724,42090,29563,11602,2506,206469,210,396,461,605,995,1182,735,216,4798,11199,11127,11872,13419,15841,16053,11441,5361,96311,33192,74293,82613,92420,100155,81050,35505,10358,509592
1001,660,464,388,233,73,3,2552,35,326,444,418,360,266,82,9,1932,414,2460,2400,1694,1131,944,340,70,9452,358,1353,1477,1476,1354,965,399,81,7471,1752,3935,3221,2949,2625,1643,672,209,16997,217,251,188,161,135,113,25,4,1094,99,143,181,260,303,264,128,44,1416,2075,4323,3585,3370,3066,2022,821,249,19509,22,43,52,48,47,67,61,20,366,780,869,805,707,725,786,783,390,5842,3730,10060,9419,8177,7074,5286,2555,823,47123
1002,468,338,342,245,125,38,1930,13,79,112,115,103,111,32,4,565,198,802,575,514,448,341,173,47,3097,77,218,238,284,298,210,128,35,1486,330,645,457,437,451,282,148,54,2796,114,38,34,28,38,23,10,3,302,33,25,31,58,72,67,44,14,345,479,715,527,521,559,372,202,66,3440,14,21,15,18,18,21,14,3,127,837,360,236,197,219,186,249,141,2426,1619,2549,2178,1980,1980,1485,927,338,13068
1003,346,314,327,286,92,17,1630,7,75,161,203,213,227,46,8,943,156,992,1378,1279,998,957,381,105,6237,99,451,593,802,814,755,371,106,3996,528,1073,1229,1273,1473,1095,480,152,7302,84,59,55,75,99,84,23,3,481,25,71,104,127,189,265,113,41,936,638,1208,1383,1477,1768,1437,617,195,8721,7,16,22,37,51,64,63,21,279,304,355,359,362,405,537,497,372,3192,1222,3319,4247,4486,4569,4262,2067,828,24995
1004,75,71,116,138,67,16,535,0,23,50,42,90,84,46,0,335,34,191,199,210,300,321,153,43,1456,24,110,209,221,295,312,137,37,1344,190,435,449,569,625,545,231,55,3105,26,33,30,29,52,49,11,0,230,10,24,27,68,91,100,58,9,391,228,491,502,668,772,691,304,66,3720,3,8,12,10,25,34,16,11,116,159,146,136,232,257,293,265,129,1626,452,1017,1181,1457,1858,1873,988,307,9135
1005,250,230,223,157,66,13,1202,12,93,125,130,105,105,35,5,625,252,1019,851,723,519,385,158,39,3941,126,402,421,511,470,317,165,59,2481,682,1417,1196,1100,932,583,261,79,6251,94,90,66,77,58,50,10,8,449,46,73,77,107,144,149,56,25,684,825,1580,1350,1276,1143,784,327,105,7385,8,16,18,38,32,35,28,14,183,432,588,503,391,279,258,269,168,2886,1672,3935,3523,3300,2769,2042,1054,407,18705
1006,397,406,350,420,218,65,2175,15,75,122,164,196,210,84,8,876,177,835,1082,1059,880,933,564,135,5671,130,402,495,737,669,727,452,122,3745,482,1120,1030,1072,1115,770,478,114,6179,59,53,61,76,90,63,36,12,450,26,53,66,156,196,231,169,30,939,566,1221,1163,1303,1395,1068,688,160,7564,11,17,28,31,52,92,67,29,318,216,186,228,299,298,379,473,400,2490,1134,3042,3523,4004,3838,3830,2542,925,22837
1007,59,54,56,35,3,0,289,3,44,49,38,66,32,9,0,236,67,310,206,177,171,137,48,11,1115,26,149,166,210,228,107,28,13,927,222,614,512,506,584,408,142,36,3018,37,48,23,28,38,29,4,0,203,17,20,28,43,63,46,24,10,255,276,682,560,575,690,486,169,41,3480,9,7,3,6,18,15,5,0,68,215,208,229,203,219,241,200,145,1665,605,1478,1270,1266,1449,1042,454,209,7776
1008,160,115,107,109,24,9,667,0,25,37,44,53,49,10,0,222,74,709,509,398,296,269,91,17,2351,52,255,238,180,166,133,53,7,1086,71,291,226,224,249,151,50,16,1282,9,19,13,16,19,11,3,0,96,10,24,32,36,38,40,13,6,203,93,340,271,273,312,206,63,24,1573,14,27,20,16,11,15,10,3,110,116,269,192,145,135,103,50,32,1047,347,1766,1430,1166,1079,882,294,86,7051
1009,59,78,79,92,50,4,390,6,22,30,46,66,85,34,0,295,37,199,257,296,301,333,162,29,1613,32,86,181,264,340,366,191,37,1492,220,362,459,659,848,766,422,128,3857,24,28,25,38,46,50,19,9,237,16,16,32,44,98,124,75,19,425,259,402,515,739,989,945,516,155,4517,7,0,11,14,21,40,37,9,131,74,58,70,85,199,287,251,100,1127,409,795,1119,1522,1997,2157,1232,334,9571
1010,2503,2029,1784,1383,497,81,10083,124,654,964,969,1007,936,264,49,4974,1613,7666,8477,6653,4848,4145,1690,411,35501,1149,3845,5170,6106,5112,3778,1758,406,27321,4863,10338,10563,10773,10600,6833,3699,1007,58675,710,615,550,622,648,548,214,38,3953,375,534,803,1242,1502,1548,776,207,6987,5951,11484,11915,12634,12757,8925,4688,1254,69619,100,188,239,302,365,476,327,88,2092,2134,2387,2510,2562,2741,3378,3607,2746,22069,11147,27969,31779,31265,28601,23030,12829,5029,171656
1011,449,442,323,331,94,28,2009,16,167,219,244,281,306,84,11,1320,278,1617,1804,1538,1177,1132,400,81,8027,154,765,999,1257,1203,1000,442,124,5940,959,2133,2154,2213,2314,1725,770,190,12464,155,169,119,112,159,135,40,12,904,71,128,152,216,295,352,184,41,1442,1195,2432,2425,2542,2772,2215,992,245,14816,17,50,49,48,55,66,71,20,373,557,761,690,663,685,804,801,575,5529,2225,6108,6632,6739,6500,5852,2881,1074,38016
1012,376,158,133,60,17,7,1382,12,131,148,117,125,78,14,0,621,240,1424,1023,615,446,307,108,23,4190,113,494,520,469,441,262,128,39,2464,615,1575,1217,1093,978,562,248,63,6349,92,118,72,50,70,29,16,4,458,33,86,75,98,135,116,70,14,623,742,1781,1366,1238,1178,707,334,82,7430,12,34,35,32,31,34,29,15,205,495,664,492,442,395,363,355,193,3406,1624,5137,3949,3070,2747,1810,992,357,19694
1013,63,68,66,57,36,6,362,6,28,33,36,61,69,21,6,263,43,254,283,226,272,319,161,33,1593,45,121,217,257,323,386,164,59,1560,213,449,479,577,821,794,446,138,3919,29,33,44,43,51,60,21,4,292,20,19,24,59,113,154,84,28,499,259,503,549,681,987,1002,553,171,4707,3,0,10,13,24,43,27,13,136,135,123,121,171,262,420,471,335,2040,498,1091,1272,1445,1994,2312,1433,625,10658
1014,130,88,100,85,33,11,602,3,70,88,64,82,54,15,6,373,134,557,392,300,240,222,122,35,1996,85,349,327,360,305,254,116,29,1821,442,983,785,714,705,433,201,48,4310,56,47,38,42,33,27,9,6,259,34,46,55,79,105,80,37,14,454,533,1071,877,839,842,541,248,66,5014,3,15,13,17,21,19,16,10,112,250,398,297,306,236,268,222,175,2149,1010,2617,2112,1972,1829,1445,764,329,12071
1015,61,64,44,25,20,3,265,7,33,43,42,47,37,13,0,221,38,273,251,231,189,159,53,22,1218,37,137,213,218,218,193,82,22,1113,380,731,606,566,543,351,170,53,3403,65,53,50,47,42,40,6,6,309,30,41,43,45,75,64,45,16,356,477,821,697,658,658,464,228,71,4077,3,8,6,10,16,16,17,3,85,202,220,194,216,200,248,231,215,1723,766,1536,1462,1445,1368,1150,646,332,8698
1016,124,64,52,19,6,0,484,3,41,27,39,32,33,10,0,200,118,661,441,281,176,101,42,12,1829,61,292,292,202,166,81,33,8,1136,298,676,619,508,469,237,103,27,2934,29,40,30,31,36,14,3,0,183,24,56,35,65,67,40,15,4,307,347,765,683,607,575,291,122,29,3430,8,25,22,13,10,14,5,7,105,182,333,238,230,210,173,173,162,1706,728,2338,1837,1442,1219,719,382,226,8886
1017,30,15,21,25,0,6,113,4,15,19,32,20,25,7,0,124,27,159,140,152,118,109,39,17,754,23,79,125,149,164,147,48,10,740,221,483,422,447,525,359,146,34,2645,36,45,20,40,31,24,5,0,210,15,19,38,39,63,67,20,14,271,277,555,479,526,617,447,167,43,3126,4,4,4,9,10,18,10,4,63,350,503,406,250,244,197,176,99,2231,689,1339,1208,1132,1188,968,449,173,7155
1018,185,172,150,116,50,0,881,11,69,111,100,107,103,31,5,538,105,641,702,633,530,413,138,51,3211,95,275,335,401,433,317,108,40,2008,452,926,871,820,812,513,210,62,4674,82,80,46,59,57,49,6,4,391,38,57,66,73,119,103,60,15,542,573,1070,988,953,987,661,284,84,5600,8,10,14,19,18,41,16,12,133,345,326,320,273,307,325,295,226,2415,1157,2576,2647,2558,2532,1979,926,417,14789
1019,33,37,41,32,13,0,192,0,19,22,31,33,31,10,4,156,28,178,137,133,128,126,46,17,789,26,97,112,141,156,121,57,17,737,188,440,332,403,409,267,149,20,2216,35,28,24,28,38,16,4,0,178,18,25,19,24,44,42,27,4,200,243,498,377,460,491,331,169,31,2597,4,6,3,8,16,11,6,6,55,139,242,192,160,160,180,177,70,1327,452,1073,879,966,1026,837,475,147,5847
1020,81,64,33,27,9,0,247,3,23,44,32,37,26,6,0,176,41,221,277,202,130,130,38,4,1048,50,155,233,283,239,164,44,4,1166,225,584,650,664,547,334,166,15,3186,36,35,30,35,34,18,9,0,189,19,14,27,38,59,49,18,5,231,276,646,698,737,641,403,192,16,3613,0,8,11,5,15,16,7,0,60,88,75,78,104,121,127,105,24,725,461,1152,1428,1423,1212,885,410,54,7038
1021,113,158,140,147,106,28,804,5,57,41,69,79,67,43,5,377,110,448,448,377,362,381,192,77,2387,85,294,320,384,415,351,210,90,2147,444,1006,937,911,928,669,370,125,5393,78,74,52,46,43,41,26,12,373,31,50,55,86,113,132,97,40,612,553,1130,1049,1043,1086,844,489,175,6378,5,15,10,27,21,37,44,16,177,158,145,147,146,171,237,303,205,1514,927,2191,2132,2207,2277,2065,1391,598,13780
1022,84,47,28,32,8,0,275,3,25,34,41,24,22,5,0,155,57,327,252,196,139,113,74,15,1167,24,132,174,175,140,101,58,10,820,251,664,494,422,346,190,92,29,2485,24,38,19,25,27,13,4,3,153,10,25,17,37,48,51,25,10,215,284,731,526,488,418,248,122,32,2856,8,8,13,8,10,10,20,3,73,82,136,123,116,118,103,107,71,854,463,1433,1215,1067,876,627,383,135,6198
1023,32,35,16,12,4,0,139,0,20,26,19,21,12,7,0,101,36,169,151,111,77,47,23,7,609,22,120,137,137,103,67,17,4,613,238,672,510,441,364,172,68,14,2479,25,41,30,28,26,15,0,0,167,8,26,36,37,36,24,10,0,178,274,738,575,503,429,215,79,14,2823,0,0,5,8,5,12,3,0,43,148,241,215,164,128,93,65,39,1086,482,1330,1141,978,780,452,186,67,5417
1024,120,181,169,178,80,9,829,5,31,43,92,118,133,37,3,472,72,343,472,531,536,519,258,42,2768,64,231,339,485,595,575,295,69,2654,333,576,730,923,1075,950,548,126,5255,40,39,39,34,78,78,26,4,336,20,32,51,88,153,197,118,26,686,384,648,818,1048,1305,1225,685,161,6272,4,8,12,26,30,60,42,17,198,149,114,122,177,273,370,472,272,1960,679,1464,1932,2542,3032,3060,1876,570,15156
1025,5037,3536,2644,1814,630,132,17810,196,1357,1732,1606,1496,1329,332,60,8106,3478,16101,14096,10045,6691,5335,2060,500,58316,1697,6329,7378,7806,6827,4507,1963,492,36993,8426,18593,16007,15441,14279,9222,4270,1240,87479,1301,1114,940,881,812,599,203,42,5881,572,794,916,1500,1892,1817,892,269,8653,10298,20503,17863,17818,16985,11638,5367,1543,102012,175,275,301,340,414,482,314,118,2426,3519,4288,3796,3473,3432,3845,3875,2626,28853,19519,52715,50191,44629,38489,28959,14542,5472,254521
1026,232,163,128,97,38,7,884,15,91,106,86,114,107,36,6,568,154,766,632,465,441,339,157,49,2992,87,416,493,541,555,409,183,56,2745,692,1525,1214,1131,1078,747,382,126,6898,103,105,78,70,77,66,14,8,518,45,62,82,104,137,160,65,24,688,840,1692,1368,1312,1297,974,464,160,8099,9,23,23,28,30,54,26,11,212,499,733,635,537,397,365,340,168,3666,1612,3944,3486,3130,2965,2350,1236,446,19170
1027,405,278,197,146,40,15,1490,14,131,157,150,117,91,42,9,703,241,1336,1218,828,554,485,166,44,4874,114,477,567,621,505,400,190,52,2935,697,1605,1302,1153,949,552,259,88,6604,75,93,74,64,79,65,22,6,479,39,83,78,116,141,138,98,13,713,811,1784,1462,1331,1174,757,377,109,7797,10,18,29,33,33,34,29,9,203,320,385,347,342,334,344,331,208,2615,1534,4519,4173,3584,2913,2261,1177,449,20609
1028,393,386,249,244,89,25,1699,6,90,164,202,176,197,62,10,905,223,1200,1208,1079,826,747,378,117,5772,128,395,730,855,854,757,394,131,4247,739,1332,1309,1469,1550,1223,686,224,8527,119,89,82,97,119,96,40,6,647,62,56,102,151,204,302,178,54,1103,920,1470,1488,1720,1872,1621,897,290,10276,16,23,32,33,60,78,56,17,309,303,313,319,357,432,589,638,517,3462,1600,3807,4325,4632,4471,4235,2509,1101,26679
1029,54,59,36,17,9,0,256,3,32,36,32,27,15,9,0,150,77,351,277,169,126,103,30,9,1140,68,198,200,234,155,102,29,7,999,399,955,755,704,531,234,91,31,3700,61,52,33,32,28,23,0,4,242,23,38,23,53,72,45,18,7,274,482,1047,820,792,638,299,110,38,4213,0,10,12,7,18,7,6,0,66,255,204,128,139,130,125,80,31,1080,885,1919,1529,1430,1126,671,265,87,7906
1030,77,113,108,119,37,7,526,4,36,55,48,57,74,23,4,296,54,271,314,274,270,293,104,19,1608,33,154,255,268,341,305,133,25,1514,246,645,609,630,719,642,316,81,3890,32,47,44,45,48,53,15,8,282,17,32,29,51,97,139,60,8,435,296,723,682,731,864,823,388,93,4604,0,10,12,19,17,29,17,7,113,148,144,141,152,186,273,231,109,1381,543,1399,1545,1603,1846,1917,924,259,10040
1031,122790,70152,44167,25222,9072,1810,386251,1964,16132,20265,17961,14002,10248,3236,603,84421,66915,264097,220314,145660,97270,60196,23954,6866,885272,27978,72376,82340,78440,59356,36812,16507,5312,379118,40643,87994,82828,82016,70402,42078,21929,6970,434861,5418,5464,5971,6452,5931,3691,1322,342,34596,4192,7400,10559,15275,16340,13026,6494,2197,75488,50252,100857,99357,103749,92667,58798,29745,9508,544944,2060,5704,6157,5256,5090,4750,2935,1022,32975,34689,56936,48017,36038,31557,28555,25285,19688,280763,188679,624314,599248,457251,344111,224586,110745,44808,2593745
1032,245,186,120,73,35,0,1014,19,99,138,118,101,109,30,0,626,231,1107,819,619,453,363,179,62,3835,68,465,515,540,522,334,189,59,2682,720,1575,1366,1199,1071,729,365,93,7121,97,142,76,74,71,67,26,4,559,54,81,83,116,146,153,87,26,744,870,1791,1533,1389,1289,945,475,120,8423,12,45,23,19,25,42,27,8,204,526,602,512,453,405,404,516,294,3718,1750,4450,3790,3322,2911,2275,1443,545,20493
1033,104,50,63,47,22,0,361,0,35,33,49,44,48,21,0,243,72,285,263,252,260,255,110,36,1528,57,199,242,308,314,249,116,44,1536,421,851,694,760,850,568,316,75,4539,71,84,63,52,64,46,11,3,389,18,40,48,68,110,92,56,25,459,512,971,803,883,1022,706,387,103,5387,13,15,8,14,26,32,24,10,134,298,302,283,274,375,411,448,295,2697,955,1887,1738,1827,2104,1757,1127,488,11881
1034,89,58,112,117,40,3,488,3,35,54,43,66,70,29,0,308,26,272,327,276,305,311,122,30,1678,26,125,192,221,279,286,131,36,1296,208,448,496,503,611,561,261,80,3164,21,23,37,27,44,43,13,0,206,13,32,43,38,80,112,66,23,411,239,504,569,570,740,713,341,104,3785,0,0,9,5,20,34,16,7,97,116,117,122,144,209,214,190,93,1203,418,1113,1361,1313,1735,1754,871,280,8845
1035,445,375,295,174,64,20,1826,17,182,222,238,177,128,39,6,1012,427,1757,1496,1057,725,517,216,58,6262,225,665,660,752,695,470,218,86,3769,1173,2162,1686,1474,1457,878,350,110,9287,177,181,100,96,87,61,20,5,723,54,85,107,148,211,179,90,31,903,1395,2423,1895,1713,1759,1117,465,145,10919,27,48,43,34,47,43,36,15,290,467,531,446,439,422,446,427,307,3490,2584,6045,5209,4615,4120,2899,1462,638,27567
1036,3415,2579,2124,1485,452,71,13838,124,1009,1193,997,969,848,224,40,5405,2934,9892,7969,6134,4344,3174,1164,281,35890,1351,3837,4835,5156,4282,2852,1059,298,23676,4971,9879,9136,9097,8641,5339,2607,800,50470,646,533,512,525,590,371,128,39,3341,348,460,625,1075,1407,1223,573,166,5874,5968,10868,10277,10693,10640,6936,3298,1003,59685,85,150,206,220,302,334,200,62,1565,2095,2187,2015,1946,2003,2078,2333,1727,16388,12770,31459,29903,27735,24660,17707,8733,3474,156440
2000,3281,3482,3680,3066,918,130,17360,210,1626,2592,3084,3308,2793,677,73,14361,2381,11799,13361,12366,11291,10037,3480,653,65370,1711,6515,8832,10781,11572,9849,3801,803,53860,8328,20258,20534,22877,24263,15756,6014,1313,119343,1187,1189,1245,1108,1337,891,265,51,7275,476,807,1151,1583,2053,1906,792,209,8980,9993,22258,22928,25571,27656,18553,7074,1573,135599,91,261,301,343,467,634,434,137,2670,6741,5995,6831,8244,10162,10882,8169,3983,61010,21272,51096,58137,63865,68129,55828,24546,7353,350223
2001,206,124,80,44,18,0,683,17,99,121,102,57,65,9,0,473,135,650,609,391,210,173,82,18,2274,106,424,491,397,290,214,96,27,2049,335,1053,920,743,617,377,129,32,4199,44,47,56,32,32,24,7,0,240,21,36,66,60,59,45,19,4,305,398,1131,1041,841,704,448,153,38,4746,6,16,20,10,20,5,6,4,88,147,184,167,161,154,154,132,43,1142,817,2692,2650,2033,1512,1105,503,130,11445
2002,60,43,39,33,12,0,272,0,36,49,50,50,53,17,0,257,36,273,211,200,182,163,92,21,1174,27,172,192,221,203,208,113,40,1177,209,535,438,466,417,329,169,42,2602,27,32,37,19,26,26,3,0,181,8,18,36,32,40,23,21,8,186,245,583,508,519,489,383,190,49,2967,3,10,9,7,13,11,15,3,77,142,142,146,150,180,203,207,165,1334,465,1288,1179,1189,1159,1049,650,282,7259
2003,1137,883,677,481,176,27,4584,38,454,638,629,547,459,127,23,2929,794,3501,3336,2414,1544,1275,520,112,13494,429,1445,1614,1615,1394,1113,489,133,8227,1665,3866,3161,2866,2503,1595,696,212,16574,265,280,195,157,120,105,30,11,1149,78,160,179,218,237,205,110,33,1226,2008,4300,3534,3243,2862,1904,838,254,18944,28,57,59,60,61,70,55,24,413,919,938,773,810,755,915,885,613,6613,4294,11832,11089,9657,7835,6214,3082,1193,55206
2004,714,544,440,342,130,15,3120,53,460,597,522,444,351,87,11,2530,691,3004,2739,1935,1322,1059,410,128,11288,375,1297,1420,1415,1303,1116,510,127,7557,1427,3693,3099,2891,2564,1603,768,228,16271,224,214,209,149,160,121,22,3,1108,94,131,175,215,235,211,103,39,1221,1754,4046,3485,3254,2958,1935,890,275,18603,9,67,40,50,58,68,48,25,367,724,938,802,795,815,850,943,690,6561,3702,10644,9795,8519,7342,5723,3023,1270,50016
2005,169,170,154,155,75,8,796,0,30,83,105,122,106,38,3,485,17,189,367,353,275,298,152,22,1674,14,84,129,168,211,193,128,22,939,74,196,187,214,250,198,88,29,1238,13,12,12,12,17,10,5,0,84,5,11,11,19,34,22,20,3,131,92,224,210,248,301,233,108,37,1451,6,4,5,8,5,11,8,4,46,76,86,94,121,92,167,189,213,1036,212,680,1046,1173,1146,1164,697,308,6429
2006,33,36,21,31,11,4,174,3,31,29,28,15,32,12,0,150,27,231,186,133,99,110,58,24,863,18,137,130,149,157,128,52,18,803,219,501,429,351,350,208,99,29,2181,22,34,21,12,12,18,0,0,124,15,27,18,29,29,27,9,0,139,248,566,465,394,390,248,103,26,2445,0,15,5,5,4,5,8,5,46,59,115,106,90,106,149,121,75,819,375,1128,965,839,793,699,363,147,5306
2007,92,76,47,25,6,0,383,5,63,81,83,79,40,19,0,369,99,488,470,346,275,186,67,19,1939,49,213,270,301,291,214,111,22,1478,308,724,655,754,693,520,217,47,3918,33,38,25,28,24,12,9,0,172,16,26,33,52,61,53,17,3,265,352,789,715,836,775,589,243,56,4351,3,3,14,16,13,11,23,11,89,154,204,152,196,238,303,310,209,1774,674,1879,1782,1850,1721,1378,778,318,10380
2008,3161,2197,1616,1096,425,49,12767,134,1383,1694,1499,1273,1024,295,39,7336,2644,10696,9804,6742,4667,3728,1399,334,40022,1354,4183,4715,4806,4016,3343,1561,397,24372,3706,8884,8070,7461,6776,4323,1941,618,41789,498,426,458,365,297,241,82,12,2388,235,393,499,605,619,630,314,100,3397,4439,9706,9024,8433,7696,5198,2339,738,47564,87,149,176,149,163,211,204,74,1213,1959,2278,2049,1951,1889,2153,2189,1414,15878,10911,32337,30625,25777,21315,16753,8409,3039,149155
2009,257,239,207,99,38,3,990,3,52,172,201,154,107,24,3,713,113,434,830,700,469,291,126,19,2986,71,202,412,447,392,302,128,16,1971,199,456,693,714,583,329,155,21,3150,24,16,29,27,29,27,6,0,159,19,27,44,60,77,59,27,9,312,237,496,771,798,686,415,186,33,3624,0,8,10,20,18,24,24,4,108,133,64,120,177,147,150,119,98,1017,570,1391,2563,2585,2074,1386,649,171,11393
2010,94,61,42,22,4,6,375,10,56,63,58,55,33,15,3,292,92,400,296,242,169,151,53,18,1428,39,210,244,257,243,167,78,28,1259,287,670,547,467,468,282,101,25,2850,40,46,25,25,24,15,3,0,186,11,19,33,41,41,35,8,3,197,340,738,614,538,527,332,113,34,3227,3,5,9,5,8,12,12,7,61,155,156,115,125,116,151,169,106,1087,651,1693,1423,1282,1164,862,443,193,7723
2011,107733,57264,34961,20161,7498,1405,348904,2454,22462,28237,25963,19758,12733,3847,639,116097,64952,246329,212515,138055,84847,53663,21188,5920,827470,27070,80543,88415,76679,56717,37409,17227,5251,389312,43680,103655,92834,91904,77464,44407,22294,7064,483303,6463,6402,5889,5235,4534,2780,915,204,32416,3758,7402,9789,12316,11746,8406,4330,1559,59302,53900,117464,108505,109451,93748,55599,27535,8821,575022,1740,4781,5090,3629,3397,3331,2220,957,25145,31784,51598,42185,33487,28604,27088,24775,17311,256836,189164,635798,592678,444532,322034,209985,104298,40311,2538788
2012,220,142,137,64,27,4,893,17,159,160,203,152,93,21,4,802,192,1197,974,764,555,342,133,34,4192,181,596,681,731,705,448,167,30,3535,730,1861,1497,1489,1310,779,310,71,8056,120,159,114,102,81,46,14,0,632,53,77,95,146,110,87,38,11,614,911,2095,1705,1732,1505,913,368,84,9305,11,35,33,30,30,25,27,11,195,621,742,686,668,667,698,542,309,4938,1951,5090,4455,4276,3747,2588,1281,469,23859
2013,49,49,45,34,17,3,242,10,44,47,40,51,44,12,0,246,80,270,236,175,194,172,64,10,1189,49,246,239,263,267,184,87,19,1352,359,976,799,790,808,505,205,64,4504,48,46,57,21,21,22,5,0,229,15,30,29,45,41,50,20,6,240,424,1056,878,858,877,580,237,74,4973,4,5,7,4,10,18,20,4,76,224,234,225,239,278,321,193,101,1811,790,1910,1675,1622,1724,1348,620,211,9890
2014,37,28,27,24,11,0,159,6,20,27,37,44,40,5,5,176,32,184,153,137,122,107,38,4,778,18,89,154,132,153,127,45,15,724,143,330,344,409,409,270,85,17,2016,26,19,20,21,11,12,4,0,110,4,12,22,43,25,23,11,0,146,178,365,385,474,448,305,103,24,2269,0,0,9,8,10,8,11,0,38,89,83,115,107,138,134,106,60,838,323,771,875,924,930,745,312,111,4985
2015,107,73,56,42,8,0,402,4,64,62,68,45,42,12,3,295,66,395,328,269,166,158,63,15,1464,36,203,217,255,224,153,93,21,1209,193,498,470,446,404,290,129,29,2465,39,42,25,21,31,12,3,0,176,8,25,24,26,32,30,9,9,166,249,562,518,496,467,331,140,32,2805,3,6,8,4,12,6,8,4,56,114,133,139,124,113,134,135,138,1041,490,1477,1386,1294,1078,870,461,220,7265
2016,338,195,134,80,27,7,1260,15,204,223,214,160,101,28,7,954,286,1346,1028,660,530,369,120,33,4375,205,753,792,688,582,417,178,47,3655,785,1635,1377,1357,1194,706,327,81,7473,127,103,82,87,45,42,6,0,506,50,78,90,133,101,70,39,14,576,968,1822,1550,1578,1344,822,374,97,8559,16,46,42,21,28,26,8,9,193,569,726,609,580,571,533,555,399,4543,2100,5331,4587,3935,3356,2354,1287,594,23533
2017,36,26,15,21,3,0,175,0,36,34,39,45,25,3,0,181,48,262,246,130,99,70,30,9,892,36,159,168,122,137,82,50,19,770,169,448,333,273,266,155,62,15,1713,38,17,20,9,12,8,0,0,114,14,23,31,25,26,16,7,3,141,217,484,386,313,294,179,69,20,1965,0,5,6,7,3,3,0,3,34,110,135,116,97,118,96,126,82,875,430,1152,986,732,706,478,285,131,4904
