SUA_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
4000,160,74,1064,1215,184,1760,198,1980,172,6810,554,744,1924,1387,555,913,630,1934,159,8799,2685,3471,3955,2282,1685,1208,1678,3370,354,20695,4488,3875,3366,2337,2489,1247,1792,2871,404,22867,5928,3784,3499,2888,3160,1638,2206,3490,495,27087,6024,3420,3108,2867,3077,1635,2359,3762,464,26711,3293,1121,838,561,904,404,742,1078,258,9191,939,107,77,40,115,50,59,181,139,1716,91,0,3,3,3,0,3,17,28,162,24165,16599,17833,13574,12170,8866,9666,18676,2474,124033
4001,423,710,3098,6555,1390,12408,969,8141,535,34232,2640,9036,9540,13362,6815,10087,2940,7954,1136,63513,13308,41561,22290,21047,17059,9767,8035,13019,2534,148612,21483,41365,18176,16782,19016,7243,7388,10213,2492,144149,21901,32088,15660,14907,20426,7739,7579,10398,2244,132949,14726,22428,11835,11536,17140,6730,7154,9104,1565,102214,3963,6835,2790,2341,4378,1864,1598,2279,512,26560,618,810,275,137,423,254,114,237,226,3098,58,44,21,6,16,22,5,25,64,264,79119,154879,83694,86671,86661,56115,35782,61372,11290,655585
4002,15,15,147,184,43,357,34,285,12,1094,55,125,255,201,89,187,86,171,19,1187,217,519,528,441,236,262,206,329,47,2785,306,496,393,374,306,219,213,280,31,2630,399,464,329,390,427,232,300,314,50,2914,353,330,282,328,307,205,318,314,36,2481,104,96,77,70,73,64,70,83,12,650,24,12,7,0,8,4,5,6,9,70,3,0,0,0,0,5,0,0,0,11,1477,2067,2024,1990,1485,1528,1240,1786,209,13819
4003,8,3,58,71,11,146,12,151,8,463,35,39,127,123,39,111,31,166,14,683,136,164,252,219,128,163,81,336,33,1501,136,143,157,180,133,98,91,304,23,1265,158,148,172,218,160,111,102,287,34,1399,155,138,139,230,166,99,137,228,21,1313,60,39,29,57,34,20,34,48,7,337,13,0,4,5,5,0,0,6,0,38,0,0,0,0,0,0,0,0,0,0,689,689,939,1092,687,756,490,1516,147,7004
4004,6,3,52,46,15,124,9,90,8,363,15,56,85,91,33,62,34,68,8,446,94,271,209,246,115,114,80,174,26,1331,100,188,146,183,140,57,80,101,18,1008,132,172,147,198,139,80,99,105,25,1113,110,138,139,184,134,63,129,137,24,1052,38,36,28,24,38,7,32,37,3,250,0,8,0,0,3,0,3,3,7,23,0,0,0,0,0,0,0,0,0,0,488,869,805,977,622,509,471,715,113,5578
4005,8,0,70,82,17,188,4,127,12,511,30,75,134,124,53,69,17,89,9,598,119,307,290,195,133,146,71,191,27,1468,191,298,221,214,184,121,75,169,19,1491,212,270,197,232,205,135,80,189,26,1542,185,205,146,200,154,117,110,171,15,1302,60,55,33,32,53,24,29,52,10,346,18,8,0,0,9,5,3,6,8,49,0,0,0,0,0,0,0,0,0,6,818,1213,1091,1082,808,797,389,997,122,7323
4006,6,4,52,50,13,167,18,93,8,412,27,73,114,114,43,66,41,86,6,574,65,223,190,198,92,98,126,117,6,1113,98,145,139,146,117,66,105,112,18,947,133,168,153,180,148,102,157,137,24,1197,103,134,118,178,127,74,146,115,28,1027,28,36,22,25,24,13,28,27,6,205,4,0,3,0,4,0,3,0,4,18,0,0,0,0,0,0,0,0,0,0,468,783,784,886,557,596,608,699,101,5491
4007,4,4,49,124,12,190,17,167,10,570,25,48,117,118,40,104,20,123,12,595,98,234,280,232,106,131,58,143,12,1297,206,317,289,266,158,110,76,154,32,1616,260,362,287,325,211,164,105,230,27,1970,275,391,281,384,273,180,120,228,20,2154,158,175,77,97,114,64,48,75,14,827,29,20,13,0,21,4,10,9,18,132,0,0,0,0,0,0,0,0,4,8,1061,1553,1399,1552,937,955,452,1121,150,9176
4008,5,8,73,67,17,195,27,121,14,516,19,78,143,142,60,109,105,123,15,795,122,377,409,257,138,128,307,196,30,1974,177,323,293,206,171,85,277,139,44,1712,211,301,363,272,237,131,301,224,40,2094,196,211,304,206,161,98,269,188,52,1687,37,48,59,38,26,15,41,39,6,308,0,5,6,5,0,0,3,10,5,32,0,0,0,0,0,0,0,0,0,0,772,1344,1656,1183,817,760,1337,1037,202,9116
5000,140,88,1018,951,221,1373,329,1753,173,6047,483,927,2159,1105,700,709,1107,1981,188,9367,2776,4691,6326,2475,2132,990,3489,4081,438,27399,4869,4794,6405,2493,2751,1049,4079,3266,518,30235,6176,4457,5848,2834,3158,1354,4925,3461,597,32807,5998,4000,4484,2560,3087,1419,4667,3358,513,30086,3131,1228,998,573,895,451,1173,1044,231,9723,928,99,75,45,118,62,85,197,114,1719,116,0,0,0,0,3,3,12,28,172,24613,20290,27317,13031,13062,7410,19866,19170,2791,147559
5001,17,15,174,226,49,391,18,300,24,1214,39,99,288,215,80,149,65,210,14,1167,184,550,600,344,268,232,170,317,32,2693,337,614,451,420,339,223,172,340,36,2937,483,687,454,518,402,248,235,352,43,3418,407,586,350,441,434,226,250,333,38,3065,188,168,112,91,116,67,82,121,11,956,33,22,10,7,9,13,7,17,4,119,11,0,0,0,0,0,0,4,0,18,1696,2740,2437,2264,1704,1551,1008,1985,215,15601
