SUA_CODE_2021,M_SEO_Before_2005,M_SEO_2005_2010,M_SEO_2011_2015,M_SEO_2016,M_SEO_2017,M_SEO_2018,M_SEO_2019,M_SEO_2020,M_SEO_2021,M_SEO_Yr_arr_ns,M_SEO_Tot,M_Sol_sp_En_Vww_B_2005,M_Sol_sp_En_Vww_2005_2010,M_Sol_sp_En_Vww_2011_2015,M_Sol_sp_En_Vww_2016,M_Sol_sp_En_Vww_2017,M_Sol_sp_En_Vww_2018,M_Sol_sp_En_Vww_2019,M_Sol_sp_En_Vww_2020,M_Sol_sp_En_Vww_2021,M_Sol_sp_En_Vww_Yr_arr_ns,M_Sol_sp_En_Vww_Tot,M_Sol_sp_En_Nwna_B_2005,M_Sol_sp_En_Nwna_2005_2010,M_Sol_sp_En_Nwna_2011_2015,M_Sol_sp_En_Nwna_2016,M_Sol_sp_En_Nwna_2017,M_Sol_sp_En_Nwna_2018,M_Sol_sp_En_Nwna_2019,M_Sol_sp_En_Nwna_2020,M_Sol_sp_En_Nwna_2021,M_Sol_sp_En_Nwna_Yr_arr_ns,M_Sol_sp_En_Nwna_Tot,M_Sol_sp_E_Pr_E_ns_B_2005,M_Sol_sp_E_Pr_E_ns_2005_2010,M_Sol_sp_E_Pr_E_ns_2011_2015,M_Sol_sp_E_Pr_E_ns_2016,M_Sol_sp_E_Pr_E_ns_2017,M_Sol_sp_E_Pr_E_ns_2018,M_Sol_sp_E_Pr_E_ns_2019,M_Sol_sp_E_Pr_E_ns_2020,M_Sol_sp_E_Pr_E_ns_2021,M_So_sp_E_Pr_E_ns_Yr_ar_ns,M_Sol_sp_E_Pr_E_ns_Tot,M_Sol_sp_En_Tot_B_2005,M_Sol_sp_En_Tot_2005_2010,M_Sol_sp_En_Tot_2011_2015,M_Sol_sp_En_Tot_2016,M_Sol_sp_En_Tot_2017,M_Sol_sp_En_Tot_2018,M_Sol_sp_En_Tot_2019,M_Sol_sp_En_Tot_2020,M_Sol_sp_En_Tot_2021,M_Sol_sp_En_Tot_Yr_arr_ns,M_Sol_sp_En_Tot_YoA_Tot,M_LanProf_En_ns_B_2005,M_LanProf_En_ns_2005_2010,M_LanProf_En_ns_2011_2015,M_LanProf_En_ns_2016,M_LanProf_En_ns_2017,M_LanProf_En_ns_2018,M_LanProf_En_ns_2019,M_LanProf_En_ns_2020,M_LanProf_En_ns_2021,M_LanProf_En_ns_Yr_arr_ns,M_LanProf_En_ns_Tot,M_Tot_B_2005,M_Tot_2005_2010,M_Tot_2011_2015,M_Tot_2016,M_Tot_2017,M_Tot_2018,M_Tot_2019,M_Tot_2020,M_Tot_2021,M_Tot_Yr_arrival_ns,M_Tot_YoA_Tot,F_SEO_B_2005,F_SEO_2005_2010,F_SEO_2011_2015,F_SEO_2016,F_SEO_2017,F_SEO_2018,F_SEO_2019,F_SEO_2020,F_SEO_2021,F_SEO_Yr_arr_ns,F_SEO_Tot,F_Sol_sp_En_Vww_B_2005,F_Sol_sp_En_Vww_2005_2010,F_Sol_sp_En_Vww_2011_2015,F_Sol_sp_En_Vww_2016,F_Sol_sp_En_Vww_2017,F_Sol_sp_En_Vww_2018,F_Sol_sp_En_Vww_2019,F_Sol_sp_En_Vww_2020,F_Sol_sp_En_Vww_2021,F_Sol_sp_En_Vww_Yr_arr_ns,F_Sol_sp_En_Vww_Tot,F_Sol_sp_En_Nwna_B_2005,F_Sol_sp_En_Nwna_2005_2010,F_Sol_sp_En_Nwna_2011_2015,F_Sol_sp_En_Nwna_2016,F_Sol_sp_En_Nwna_2017,F_Sol_sp_En_Nwna_2018,F_Sol_sp_En_Nwna_2019,F_Sol_sp_En_Nwna_2020,F_Sol_sp_En_Nwna_2021,F_Sol_sp_En_Nwna_Yr_arr_ns,F_Sol_sp_En_Nwna_Tot,F_Sol_sp_En_Pr_En_ns_B_2005,F_Sol_sp_E_Pr_En_ns_2005_2010,F_Sol_sp_E_Pr_En_ns_2011_2015,F_Sol_sp_En_Prof_En_ns_2016,F_Sol_sp_En_Prof_En_ns_2017,F_Sol_sp_En_Prof_En_ns_2018,F_Sol_sp_En_Prof_En_ns_2019,F_Sol_sp_En_Prof_En_ns_2020,F_Sol_sp_En_Prof_En_ns_2021,F_So_sp_En_Pro_En_ns_Yr_ar_ns,F_Sol_sp_En_Prof_En_ns_Tot,F_Sol_sp_En_Tot_B_2005,F_Sol_sp_En_Tot_2005_2010,F_Sol_sp_En_Tot_2011_2015,F_Sol_sp_En_Tot_2016,F_Sol_sp_En_Tot_2017,F_Sol_sp_En_Tot_2018,F_Sol_sp_En_Tot_2019,F_Sol_sp_En_Tot_2020,F_Sol_sp_En_Tot_2021,F_Sol_sp_En_Tot_Yr_arr_ns,F_Sol_sp_En_Tot_YoA_Tot,F_LanProf_En_ns_B_2005,F_LanProf_En_ns_2005_2010,F_LanProf_En_ns_2011_2015,F_LanProf_En_ns_2016,F_LanProf_En_ns_2017,F_LanProf_En_ns_2018,F_LanProf_En_ns_2019,F_LanProf_En_ns_2020,F_LanProf_En_ns_2021,F_LanProf_En_ns_Yr_arr_ns,F_LanProf_En_ns_Tot,F_Tot_B_2005,F_Tot_2005_2010,F_Tot_2011_2015,F_Tot_2016,F_Tot_2017,F_Tot_2018,F_Tot_2019,F_Tot_2020,F_Tot_2021,F_Tot_Yr_arrival_ns,F_Tot_YoA_Tot,P_SEO_B_2005,P_SEO_2005_2010,P_SEO_2011_2015,P_SEO_2016,P_SEO_2017,P_SEO_2018,P_SEO_2019,P_SEO_2020,P_SEO_2021,P_SEO_Yr_arr_ns,P_SEO_Tot,P_Sol_sp_En_Vww_B_2005,P_Sol_sp_En_Vww_2005_2010,P_Sol_sp_En_Vww_2011_2015,P_Sol_sp_En_Vww_2016,P_Sol_sp_En_Vww_2017,P_Sol_sp_En_Vww_2018,P_Sol_sp_En_Vww_2019,P_Sol_sp_En_Vww_2020,P_Sol_sp_En_Vww_2021,P_Sol_sp_En_Vww_Yr_arr_ns,P_Sol_sp_En_Vww_Tot,P_Sol_sp_En_Nwna_B_2005,P_Sol_sp_En_Nwna_2005_2010,P_Sol_sp_En_Nwna_2011_2015,P_Sol_sp_En_Nwna_2016,P_Sol_sp_En_Nwna_2017,P_Sol_sp_En_Nwna_2018,P_Sol_sp_En_Nwna_2019,P_Sol_sp_En_Nwna_2020,P_Sol_sp_En_Nwna_2021,P_Sol_sp_En_Nwna_Yr_arr_ns,P_Sol_sp_En_Nwna_Tot,P_Sol_sp_En_Pr_En_ns_B_2005,P_Sol_sp_E_Pr_En_ns_2005_2010,P_Sol_sp_E_Pr_En_ns_2011_2015,P_Sol_sp_En_Prof_En_ns_2016,P_Sol_sp_En_Prof_En_ns_2017,P_Sol_sp_En_Prof_En_ns_2018,P_Sol_sp_En_Prof_En_ns_2019,P_Sol_sp_En_Prof_En_ns_2020,P_Sol_sp_En_Prof_En_ns_2021,P_So_sp_En_Pro_En_ns_Yr_ar_ns,P_Sol_sp_En_Prof_En_ns_Tot,P_Sol_sp_En_Tot_B_2005,P_Sol_sp_En_Tot_2005_2010
4007,1935,109,81,6,7,6,13,3,5,84,2258,128,28,29,8,14,13,7,9,0,7,250,8,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4,134,36,29,8,12,13,11,10,0,8,262,7,0,0,0,0,0,0,0,0,5,8,2079,146,106,18,23,19,19,17,5,93,2532,2195,127,85,10,19,11,11,6,5,100,2549,162,66,52,13,20,17,14,5,6,11,346,12,0,0,0,0,3,0,0,0,5,28,0,0,0,0,0,0,0,0,0,0,0,177,68,54,13,18,19,15,3,7,11,374,7,0,0,0,0,0,0,0,0,3,13,2378,189,139,15,34,26,25,12,9,108,2937,4130,240,160,18,25,18,28,12,5,179,4812,293,95,84,18,29,26,22,19,7,16,593,21,0,0,0,4,3,0,0,0,3,40,0,0,0,0,0,0,0,0,0,0,5,307,97
4008,1160,48,33,7,14,13,6,9,3,56,1341,125,114,84,19,19,52,30,6,3,17,475,17,7,0,0,0,0,3,0,0,0,25,4,0,0,0,0,0,0,0,0,0,4,140,120,84,15,19,53,29,6,7,17,502,5,0,0,0,0,0,0,0,0,3,8,1301,167,115,25,29,64,39,16,12,74,1844,1204,55,42,5,8,15,8,4,7,52,1396,148,101,100,23,26,40,31,17,5,24,527,25,5,7,0,0,0,4,0,3,0,52,0,0,0,0,0,0,0,0,0,0,5,177,108,110,23,31,40,31,19,5,25,579,0,0,0,0,0,0,0,0,0,0,5,1387,165,149,28,41,51,40,20,13,82,1974,2361,109,75,15,16,21,20,10,6,106,2733,274,217,184,43,46,93,59,29,11,41,995,45,11,7,0,0,0,5,0,5,0,79,3,0,0,0,0,0,0,0,0,0,11,321,227
5000,15476,3096,2059,226,179,257,403,135,96,843,22784,1798,1819,1527,254,253,330,549,228,161,219,7140,123,84,85,21,21,60,77,38,28,86,623,20,16,7,0,0,0,5,4,7,11,75,1944,1919,1617,275,273,393,632,267,200,313,7832,79,25,15,0,0,0,5,6,0,818,947,17505,5036,3692,500,455,650,1043,409,299,1975,31565,13706,2210,1645,257,193,243,356,150,61,759,19573,1527,1223,1299,271,259,367,561,235,101,167,6009,142,98,100,24,36,52,97,39,20,36,639,9,0,6,0,0,0,7,0,5,9,44,1682,1327,1404,293,296,421,665,276,127,219,6697,44,0,5,0,3,0,9,0,0,70,135,15427,3538,3050,548,492,662,1030,432,186,1046,26400,29188,5309,3700,479,378,498,761,286,157,1601,42354,3328,3047,2826,522,512,695,1106,462,263,382,13146,264,187,179,40,53,115,177,75,46,126,1269,31,13,17,0,3,0,9,4,14,25,120,3626,3243
5001,1664,232,138,21,12,10,27,11,17,71,2218,154,223,153,36,29,24,22,4,26,13,703,13,20,15,12,0,9,8,0,6,0,80,0,0,0,0,0,0,0,0,0,0,0,161,246,170,48,29,36,29,9,35,18,785,4,0,0,0,0,0,0,0,0,83,90,1834,478,308,70,44,47,58,19,56,175,3089,2078,254,140,34,21,25,34,16,3,77,2674,223,274,188,37,30,43,50,13,4,12,875,19,30,22,14,0,9,4,0,0,5,103,0,0,0,0,0,0,0,0,0,0,0,242,301,208,47,30,49,60,15,5,10,978,14,0,0,0,0,0,0,0,0,4,15,2334,556,347,83,57,77,89,29,8,95,3669,3747,482,276,53,37,36,59,28,26,151,4895,374,499,344,73,63,65,73,17,30,21,1572,28,47,38,29,0,15,13,4,7,9,185,3,0,0,0,0,0,0,0,0,0,0,406,549
5002,709,131,110,9,9,13,24,7,0,37,1044,73,114,84,16,16,25,54,19,7,10,416,0,3,0,0,3,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,6,80,113,81,14,16,25,54,27,11,10,432,0,0,0,0,0,0,0,0,0,7,7,791,244,196,24,26,39,79,30,11,54,1489,785,167,130,19,24,17,28,15,0,37,1212,112,101,141,29,30,36,101,36,3,16,604,9,5,4,0,0,0,11,4,0,0,32,0,0,0,0,0,0,0,0,0,0,4,118,106,147,26,35,42,108,43,3,16,641,4,0,0,0,0,0,0,0,0,3,3,904,272,275,44,57,53,138,57,3,52,1856,1491,293,240,22,33,32,50,24,0,73,2257,181,213,229,47,43,60,152,62,14,24,1026,8,4,3,3,4,0,13,4,0,0,49,0,0,0,0,0,0,0,0,0,0,4,197,222
5003,3129,873,568,42,46,49,59,36,17,116,4937,424,594,583,79,92,73,93,43,17,32,2016,29,29,17,3,10,21,29,9,7,3,150,0,3,5,0,0,0,0,0,0,0,7,451,623,600,81,101,99,123,54,20,32,2180,5,0,0,0,3,0,0,0,0,83,92,3587,1496,1165,122,145,148,186,84,29,235,7210,3318,909,588,63,61,58,74,48,14,124,5265,543,612,665,118,121,102,124,59,18,41,2404,49,35,39,9,19,18,43,22,4,0,246,3,0,3,0,0,0,0,0,0,0,9,596,657,707,123,142,126,169,82,24,40,2662,3,0,0,0,0,0,0,0,0,4,12,3919,1567,1296,188,203,186,239,125,37,167,7936,6448,1784,1157,108,101,111,129,78,35,247,10201,963,1207,1244,195,217,175,215,97,36,67,4426,79,62,54,5,29,47,75,30,3,5,399,6,5,3,0,0,0,0,0,0,0,21,1048,1274
5004,2065,327,246,25,29,17,30,19,8,110,2893,159,155,151,26,28,34,32,13,3,11,605,3,7,28,3,0,0,8,0,3,3,71,0,0,0,0,0,0,0,0,0,0,0,162,159,185,29,28,35,43,18,8,11,677,4,0,0,0,0,0,0,0,0,13,19,2234,484,434,56,62,56,67,41,22,136,3593,2416,374,303,37,31,30,50,40,5,92,3371,217,209,215,47,30,36,44,13,10,13,825,10,7,15,4,0,3,8,4,5,3,64,6,0,0,0,0,0,0,0,0,0,0,224,215,232,53,29,40,54,18,17,14,890,0,0,0,0,0,0,3,0,0,6,15,2645,589,533,91,65,67,100,54,19,116,4269,4485,695,551,67,60,45,79,63,17,204,6264,374,359,368,69,61,72,74,25,10,20,1431,15,15,47,10,3,3,20,4,9,6,130,6,0,0,0,0,0,0,0,0,0,5,387,376
5005,397,69,44,7,5,6,11,9,0,25,568,31,47,39,5,3,6,13,0,0,0,145,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,34,48,39,5,4,6,13,4,0,0,159,0,0,0,0,0,0,0,0,0,0,0,426,116,84,15,18,6,23,9,0,29,724,448,72,59,4,11,3,10,10,4,24,650,53,56,61,8,17,16,19,8,3,6,230,0,0,0,0,0,3,10,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,49,57,58,8,17,17,24,14,3,9,252,0,0,0,0,0,0,0,0,0,0,0,506,131,115,11,31,19,36,17,3,31,897,847,136,107,11,24,8,22,12,3,45,1217,81,102,94,12,17,14,30,7,3,6,381,3,3,0,0,0,3,8,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,83,105
5006,1134,239,191,16,21,20,14,16,3,54,1714,185,219,220,37,37,38,22,28,15,17,812,24,4,3,0,0,0,9,0,5,4,52,0,0,0,0,0,0,0,0,0,0,3,213,220,220,33,38,36,29,29,20,19,866,4,0,0,0,0,0,0,0,0,11,11,1351,466,417,52,64,58,43,40,23,77,2591,1256,268,215,22,32,15,15,14,8,50,1897,242,250,287,52,42,36,42,33,15,12,1005,43,8,26,6,0,7,5,6,4,3,110,0,0,0,0,0,0,0,0,0,0,4,287,257,305,53,47,45,48,41,17,19,1124,8,0,0,0,0,0,0,0,0,10,21,1550,526,524,77,80,62,68,55,23,78,3037,2391,510,407,36,60,34,29,26,8,109,3611,426,470,500,82,85,74,68,61,30,24,1814,66,9,26,9,4,8,10,10,6,8,168,0,0,0,0,0,0,0,0,0,0,4,497,482
5007,1000,445,376,30,41,72,63,23,11,58,2126,171,413,399,59,76,79,130,57,29,29,1439,8,9,12,4,8,3,12,9,12,3,72,0,3,0,0,0,0,0,0,0,0,3,174,426,406,55,82,90,143,68,36,30,1512,4,4,0,0,0,0,0,0,0,17,19,1179,874,787,89,126,160,203,92,46,107,3661,822,457,374,42,36,66,53,33,9,25,1912,216,346,418,66,74,109,121,37,17,15,1419,19,10,16,9,3,5,19,12,7,3,106,0,0,0,0,0,0,0,0,0,0,4,237,356,433,77,77,111,137,57,27,19,1532,0,8,0,0,0,0,0,0,0,7,19,1053,816,807,117,116,183,191,83,37,59,3463,1818,903,751,70,79,138,116,54,18,88,4038,384,760,813,121,151,189,255,100,44,43,2858,29,22,27,12,11,7,25,21,19,11,177,0,6,0,0,0,0,0,0,0,0,9,412,783
5008,638,282,223,14,15,22,22,12,9,29,1276,137,223,224,44,35,33,50,24,7,20,789,6,10,12,0,0,4,0,4,0,0,33,0,4,0,0,0,0,0,0,0,0,5,143,236,236,44,34,36,53,28,7,20,826,0,0,0,0,0,0,0,0,0,0,7,785,514,459,59,54,57,75,36,18,52,2113,443,194,186,23,15,13,32,16,6,15,942,109,176,237,65,41,47,60,39,12,21,810,4,16,13,0,0,3,7,0,0,4,50,0,0,0,0,0,0,0,0,0,0,0,112,189,249,67,44,57,70,45,12,24,862,0,0,0,0,0,0,0,0,0,0,0,555,383,438,87,64,64,99,62,13,35,1805,1089,476,414,32,36,32,53,31,15,46,2218,238,399,463,108,76,85,109,68,18,36,1595,13,17,20,0,3,5,13,3,0,3,83,0,4,0,0,0,0,0,0,0,0,4,247,424
5009,120495,34750,26252,2765,2441,2537,2821,1671,746,3813,198291,43070,36285,30466,5625,5126,6121,7578,3030,605,2095,139994,6106,2797,2575,634,645,728,1379,647,180,559,16246,114,77,53,12,11,13,37,30,20,76,438,49286,39156,33094,6271,5775,6863,9001,3699,801,2736,156680,167,56,49,10,9,8,16,16,9,782,1122,169954,73965,59396,9043,8226,9410,11839,5383,1554,7330,356093,126442,33742,26569,3107,2703,2756,3177,1749,762,3804,204817,49131,36775,36222,7028,6345,7041,8089,3408,766,2285,157102,9481,4477,4270,997,952,1087,2137,1183,311,833,25733,133,64,63,12,11,17,34,13,9,98,455,58746,41315,40559,8043,7315,8146,10257,4607,1084,3216,183282,194,51,48,15,10,13,10,8,3,532,880,185381,75108,67167,11164,10025,10913,13451,6368,1849,7554,388980,246937,68489,52823,5874,5146,5288,6003,3418,1505,7617,403111,92202,73057,66686,12652,11473,13163,15672,6439,1365,4379,297096,15582,7271,6838,1639,1593,1815,3508,1835,494,1399,41979,248,137,118,27,22,29,73,38,27,172,889,108033,80470
5010,571,270,210,16,20,24,37,16,15,39,1225,138,245,193,32,34,52,60,13,4,22,786,8,0,0,0,0,4,0,0,0,0,26,4,0,3,0,0,0,0,0,0,0,11,151,246,198,36,34,54,68,18,4,22,822,0,0,0,0,0,0,0,0,0,6,9,725,520,408,54,60,80,99,35,12,57,2052,332,193,179,23,17,29,36,12,12,19,853,103,162,223,44,38,35,62,13,4,5,695,15,8,3,5,6,8,13,5,0,0,58,0,0,0,0,0,0,0,0,0,0,8,118,168,230,43,45,45,72,20,4,4,760,0,0,0,0,0,0,0,0,0,0,3,450,366,406,70,63,71,109,30,11,33,1616,903,465,389,44,37,52,65,38,23,58,2078,238,407,416,76,75,86,120,31,4,21,1479,22,10,5,4,6,14,13,8,0,0,82,3,0,3,0,0,0,0,0,0,0,12,270,416
6000,5942,555,310,63,43,49,74,29,7,326,7397,509,194,395,135,144,101,111,47,16,37,1673,18,3,11,8,0,3,7,6,0,7,76,3,4,0,0,0,0,0,4,0,7,13,531,197,407,142,139,106,116,57,14,50,1765,10,0,0,0,0,0,0,0,0,17,29,6487,757,714,204,185,155,190,86,25,388,9189,5796,576,345,86,67,58,82,33,12,308,7366,667,256,356,120,120,141,102,37,14,44,1854,27,17,16,6,4,13,14,13,3,12,117,4,0,0,0,0,0,0,0,0,3,15,700,271,363,127,129,153,115,44,12,59,1989,8,0,0,0,0,0,0,0,0,4,15,6507,852,715,215,191,218,202,76,26,371,9373,11743,1133,652,158,109,108,154,59,20,629,14768,1174,445,744,258,262,243,213,82,24,88,3526,52,21,28,13,4,22,25,15,6,15,199,8,4,0,0,0,0,0,4,0,8,31,1232,474
6001,658,59,50,3,6,20,3,10,5,42,860,87,49,87,24,38,50,42,12,0,12,407,4,7,6,4,4,0,8,0,4,4,31,0,0,0,0,0,0,0,0,0,0,0,96,51,94,30,45,49,48,15,3,12,436,0,0,0,0,0,0,0,0,0,3,4,752,106,140,33,53,67,54,24,8,55,1299,759,78,50,13,3,16,4,7,0,36,968,129,48,82,31,48,40,57,9,10,14,463,9,7,3,6,0,0,6,4,7,5,32,0,0,0,0,0,0,0,0,0,0,0,143,52,85,31,48,46,61,14,12,17,500,0,0,0,0,0,0,0,0,0,0,0,900,121,133,47,53,57,68,24,12,49,1459,1420,136,93,17,12,34,13,18,4,76,1825,217,95,163,61,88,91,93,23,11,26,868,11,7,7,3,8,0,9,3,11,3,63,0,0,0,0,0,0,0,0,0,0,0,233,103
6002,803,48,33,7,10,14,14,6,0,30,969,83,75,150,58,68,67,61,12,5,9,598,9,8,5,4,3,9,16,5,3,0,55,0,0,0,0,0,0,3,0,0,0,3,92,81,156,62,76,74,75,19,13,16,657,0,0,0,0,0,0,0,0,0,3,3,900,130,189,71,79,81,94,29,13,52,1632,819,62,32,9,11,14,15,5,5,29,991,122,86,134,56,71,64,68,20,14,24,653,7,14,14,5,0,11,14,7,0,0,74,0,0,0,0,0,0,0,0,0,0,0,124,93,146,57,74,76,82,22,15,26,728,4,0,0,0,0,0,0,0,0,0,4,950,158,176,71,82,91,96,32,17,54,1721,1625,108,60,16,15,27,35,16,5,57,1966,207,163,283,116,139,127,125,37,20,40,1253,9,16,18,5,5,22,24,10,4,6,127,0,0,0,0,0,0,3,0,0,0,3,219,180
6003,6400,868,749,181,141,212,158,86,37,269,9098,1547,1497,3825,1299,1232,1076,840,284,39,196,11836,170,76,231,87,84,87,121,39,10,18,923,10,3,13,0,3,3,4,3,0,0,40,1727,1582,4060,1395,1322,1165,968,325,46,217,12805,17,0,6,0,0,0,6,0,0,51,74,8144,2452,4814,1576,1463,1376,1125,412,87,534,21978,6841,904,733,188,164,154,176,82,41,244,9521,1925,1523,3302,1262,1252,1147,998,323,40,188,11969,234,131,283,86,104,98,155,65,15,23,1188,6,5,5,0,0,0,3,4,0,9,37,2166,1658,3580,1350,1359,1248,1161,391,59,222,13194,26,0,4,5,3,0,0,0,0,35,76,9033,2564,4322,1546,1520,1408,1344,473,97,497,22793,13244,1769,1483,361,302,365,334,166,75,508,18619,3472,3029,7117,2568,2489,2225,1835,611,80,386,23812,401,206,508,176,190,183,278,101,23,43,2107,17,6,12,3,5,7,11,0,0,13,81,3897,3242
6004,2328,277,214,45,52,57,45,33,4,89,3150,400,410,979,417,392,371,313,118,17,45,3467,36,39,130,43,47,28,55,29,5,8,435,0,0,0,0,0,3,7,0,3,4,21,437,454,1108,465,437,400,376,145,28,62,3917,3,0,0,4,4,0,0,0,0,11,21,2763,734,1328,507,492,456,424,177,35,166,7087,2489,294,255,41,59,57,49,27,3,96,3363,530,467,810,329,358,332,308,112,25,45,3325,33,61,170,67,44,54,74,40,5,17,552,0,0,0,0,0,4,14,0,0,5,24,563,524,982,398,407,392,403,151,31,64,3898,7,0,0,0,0,0,0,0,0,10,19,3064,814,1233,431,456,448,454,177,37,171,7279,4821,573,463,81,107,108,100,56,9,187,6504,935,876,1792,743,749,704,621,228,43,96,6789,70,99,297,113,95,78,130,65,10,29,981,0,0,0,0,0,6,16,0,4,10,40,1000,978
6005,421,15,24,5,8,0,12,10,0,13,507,34,12,25,10,15,11,12,3,0,0,118,3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,42,12,23,12,14,12,12,3,0,3,129,0,0,0,0,0,0,0,0,0,0,0,459,22,48,13,25,12,30,8,0,14,628,449,22,30,4,9,6,6,4,0,23,547,51,18,22,14,12,9,13,0,0,3,155,5,0,4,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,57,18,23,14,15,9,11,0,0,7,165,0,0,0,0,0,0,0,0,0,0,0,508,37,57,23,20,19,24,3,0,30,714,868,36,59,3,17,6,23,10,0,35,1050,87,30,48,25,23,21,28,5,0,5,269,7,0,3,0,5,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,4,95,27
7000,1820,269,201,37,33,49,83,42,16,112,2669,363,238,295,99,83,93,130,73,10,50,1426,48,17,16,6,8,7,16,11,4,11,144,3,0,4,0,0,0,5,0,0,3,15,407,251,317,103,87,98,145,87,14,70,1585,6,5,0,0,0,0,5,3,0,24,42,2240,520,521,139,123,145,238,136,32,201,4295,1609,277,260,47,50,57,97,38,8,108,2559,366,240,334,105,79,117,177,81,9,48,1552,58,23,18,6,5,8,19,12,0,7,158,0,3,0,0,0,0,0,5,0,3,12,422,270,357,113,85,121,194,95,10,55,1721,0,0,0,0,0,0,4,0,0,3,11,2033,549,620,161,132,183,292,134,19,166,4289,3433,544,462,85,84,105,176,87,22,222,5223,727,479,633,203,161,208,300,157,19,96,2979,106,43,40,17,14,12,35,23,7,18,304,5,5,4,0,0,0,5,5,0,8,28,833,525
7001,792,185,254,62,48,84,96,74,67,40,1704,292,427,399,142,114,115,111,52,29,42,1723,10,9,12,4,6,5,16,6,5,6,80,0,0,0,0,0,0,4,0,0,0,8,304,441,412,147,112,121,131,59,31,41,1806,0,0,3,0,0,0,0,0,0,6,6,1094,626,667,210,160,205,232,135,103,90,3519,831,192,250,44,52,74,86,66,52,39,1692,310,412,360,139,140,151,173,53,28,23,1791,14,13,30,8,10,7,32,9,5,9,138,0,0,0,0,0,0,4,0,0,0,3,331,428,392,143,147,157,208,58,34,31,1934,0,0,0,0,0,0,0,0,0,3,5,1165,623,645,191,199,233,290,126,89,74,3627,1628,377,507,105,101,162,184,143,118,80,3397,604,839,753,282,250,264,286,104,60,63,3513,25,23,44,6,11,10,46,10,9,11,212,0,0,0,0,0,0,4,0,0,0,17,634,873
7002,3993,939,901,180,157,158,218,87,55,200,6892,2108,2173,2741,861,856,763,723,228,51,197,10712,331,131,122,33,33,40,81,46,15,37,853,7,9,0,0,0,3,0,5,0,4,33,2443,2309,2865,889,885,808,803,279,70,242,11592,14,5,8,5,5,0,4,0,0,80,123,6450,3251,3777,1076,1045,970,1025,369,124,522,18608,3906,950,1054,197,175,191,244,107,54,173,7050,2545,2089,2986,931,950,888,940,303,77,185,11893,519,205,203,45,45,67,142,81,15,50,1375,9,3,5,0,0,0,3,5,0,3,29,3077,2295,3196,975,993,954,1088,390,91,236,13292,5,0,0,0,0,0,0,0,0,43,65,6988,3248,4250,1172,1168,1143,1336,497,150,458,20410,7901,1890,1955,380,324,352,468,189,110,371,13944,4651,4263,5726,1787,1806,1653,1665,531,129,383,22599,852,331,323,74,72,105,223,131,26,90,2227,15,10,3,0,6,3,7,9,0,10,61,5521,4605
8000,32,7,0,0,0,0,3,0,0,0,46,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,39,7,0,0,0,0,4,0,0,0,57,38,3,0,0,0,6,3,0,0,0,52,10,3,0,0,0,0,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,48,4,0,0,0,6,7,0,0,0,67,70,9,6,0,0,6,5,0,0,0,98,16,3,0,0,0,0,7,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3
8001,16440,2535,2304,426,393,441,454,298,147,524,23946,12346,7208,8227,2237,2731,2563,1943,796,178,585,38828,1193,481,631,149,274,267,406,152,39,181,3772,19,11,19,3,3,7,5,4,5,12,82,13552,7708,8875,2392,3015,2839,2354,948,224,782,42687,25,10,10,4,7,0,0,3,0,127,188,30016,10243,11185,2822,3412,3283,2805,1251,369,1425,66822,16907,2528,2337,421,410,419,412,274,145,462,24318,13513,7649,8852,2321,2814,2693,2233,934,209,496,41713,1813,710,839,205,244,273,510,239,48,147,5038,27,11,16,3,5,3,6,12,0,18,104,15353,8376,9708,2527,3063,2968,2754,1187,259,665,46857,36,7,10,3,5,7,10,4,0,78,149,32295,10904,12055,2955,3473,3388,3178,1465,411,1201,71322,33342,5060,4636,850,801,860,867,574,292,988,48265,25857,14863,17076,4556,5545,5260,4183,1733,393,1083,80545,3001,1196,1470,360,516,543,914,395,89,331,8810,45,19,33,7,12,13,16,11,7,35,186,28906,16080
