SUA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
2000,353956,352592,706549,17451,16629,34079,43355,40451,83805,20091,18519,38608,16064,14295,30364,34061,34419,68477,37084,38829,75914,45468,47264,92734,54672,55995,110674,52057,49549,101603,26309,25921,52236,7343,10713,18060,386,330,716,343106,343872,686978,10850,8721,19575,5898,5794,11697,209,182,392,160,164,321,6270,6140,12408,287905,286438,574338,37091,38625,75713,311299,312480,623788,14555,15588,30143,313404,314599,628006,4946,4683,9630,39489,36999,76492,13891,13851,27746,3312,4396,7711,5188,12081,17268,107634,138739,246378,49151,45956,95107,63840,49157,113002,27686,21142,48828,16963,14227,31194,1212,1027,2246
2001,11960,12567,24519,848,795,1647,1855,1666,3522,695,688,1379,682,692,1370,1702,1832,3533,1685,1757,3444,1501,1614,3117,1235,1391,2630,1094,1201,2294,506,646,1151,146,291,431,10,10,20,11864,12382,24247,91,187,275,188,164,358,6,3,14,0,8,14,197,183,378,9619,10058,19674,1859,2012,3871,10284,10842,21125,1184,1245,2434,10658,11226,21884,246,262,508,1749,1585,3337,520,551,1072,203,264,468,271,569,845,4196,5398,9603,1496,1422,2915,1875,1591,3474,813,669,1480,423,498,921,43,48,92
2002,7442,8212,15656,461,434,896,919,902,1820,460,398,856,413,405,819,868,947,1817,751,849,1597,831,967,1796,918,1103,2016,961,1089,2049,637,783,1421,228,346,572,4,0,8,7187,7952,15142,258,258,516,382,365,747,5,10,13,3,7,10,388,375,763,6069,6623,12698,811,954,1761,6520,7154,13676,373,469,839,6637,7282,13917,126,124,250,830,820,1644,298,268,567,51,106,156,118,333,459,2187,2951,5136,970,1069,2043,1389,1234,2620,584,549,1130,374,415,790,21,24,46
2003,53541,57918,111465,3288,3235,6522,7516,6975,14491,3484,3410,6900,3548,3663,7213,7628,7798,15427,6550,7351,13900,6425,7132,13558,6025,6788,12812,5162,6136,11297,2895,3608,6499,1020,1822,2839,58,47,102,51996,56104,108101,1549,1814,3365,942,1023,1967,43,37,76,25,18,44,1008,1081,2091,44698,48474,93176,6108,6595,12706,46908,51042,97949,3900,4048,7950,48171,52385,100560,996,978,1975,7016,6627,13643,2562,2644,5205,1097,1483,2582,1614,2798,4410,20692,25189,45882,6165,6613,12781,7600,7205,14807,3376,3291,6675,2057,2287,4345,191,160,357
2004,49302,53363,102663,3111,3075,6178,6860,6351,13212,3020,3021,6039,3258,3344,6601,6765,7280,14048,6019,6609,12628,5778,6375,12157,5562,6500,12066,5002,5673,10678,2847,3394,6246,1080,1729,2808,46,40,88,47925,51742,99663,1377,1621,3003,1129,1176,2307,37,44,84,28,25,50,1194,1249,2443,41745,45267,87012,4965,5445,10414,42996,46669,89663,3591,3907,7496,44377,48187,92562,860,864,1725,6390,5969,12355,2206,2287,4496,978,1341,2315,1260,2285,3545,17479,21871,39352,5777,6130,11902,7641,7290,14928,3277,3107,6384,2181,2314,4499,338,323,660
2005,5564,5746,11309,255,208,468,588,543,1128,267,246,513,198,146,347,616,446,1065,700,663,1362,742,776,1514,767,849,1622,800,948,1749,450,609,1059,172,308,476,10,5,19,4926,5529,10453,633,219,855,87,52,136,6,0,4,0,4,4,93,56,145,4358,4661,9019,837,677,1515,4469,5073,9541,199,217,418,4528,5176,9708,61,56,120,540,495,1038,184,198,380,47,47,100,135,299,438,2220,2804,5020,525,628,1155,1091,589,1678,257,261,523,168,212,378,16,11,22
2006,6175,6410,12583,345,342,687,778,702,1476,370,346,714,361,324,683,863,807,1663,720,697,1415,721,757,1475,726,803,1526,669,796,1464,468,530,995,168,323,492,7,9,13,6005,6229,12239,164,183,347,98,97,187,0,8,5,0,0,0,95,98,198,5163,5463,10629,664,600,1265,5349,5671,11020,509,428,936,5429,5735,11165,105,113,213,724,651,1377,256,266,521,55,80,138,118,191,310,1748,2284,4033,890,870,1761,1085,928,2012,531,474,1004,401,425,821,69,54,122
2007,10833,11626,22464,612,572,1179,1321,1297,2613,671,613,1280,530,543,1065,1192,1265,2452,1080,1241,2321,1322,1447,2770,1458,1609,3067,1456,1578,3041,911,1004,1916,282,466,753,15,6,19,10466,11228,21691,373,400,774,394,452,845,9,3,12,7,3,11,403,456,860,9208,9845,19053,853,1033,1887,9666,10441,20107,452,500,955,9735,10484,20218,163,165,325,1231,1221,2455,479,479,966,101,138,235,162,388,546,2950,4088,7041,1569,1623,3192,2090,1824,3909,969,854,1821,543,584,1134,42,37,80
2008,139404,147474,286876,8675,8257,16936,18214,17300,35523,8404,7996,16398,9193,8873,18065,19971,20082,40055,18158,19493,37652,17154,18494,35650,15605,17627,33227,13739,15660,29402,7586,9285,16879,2699,4397,7099,133,161,295,135219,143606,278826,4184,3862,8043,1734,1739,3472,50,38,93,47,49,91,1832,1826,3657,108766,115798,224565,24261,25206,49469,116023,124391,240418,15856,16500,32358,121797,131269,253065,2697,2495,5192,17199,16324,33520,6527,6521,13052,3526,4091,7617,4476,6883,11361,59025,69651,128676,16717,15934,32647,17734,16110,33840,7102,7211,14315,4766,5452,10217,768,821,1590
2009,10801,11043,21846,641,639,1281,1820,1630,3452,840,723,1559,505,452,950,824,873,1690,1408,1621,3032,1579,1757,3333,1436,1432,2872,1056,1153,2209,568,575,1141,124,188,317,10,4,14,10734,10941,21670,72,103,176,102,66,168,7,3,14,3,4,7,114,83,190,9005,9163,18164,1368,1480,2841,9895,10028,19922,470,580,1048,9990,10225,20216,211,209,418,1732,1569,3302,701,617,1316,210,208,417,206,415,618,4511,5572,10084,1341,1108,2445,1298,994,2291,532,410,951,252,256,511,6,10,17
