SUA_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
1000,1326,24991,3464,14,29789,1286,19732,2734,72,23827,3447,40745,5889,299,50376,5467,41813,5984,175,53436,8441,49514,6296,94,64336,11232,59861,6756,79,77920,8209,58909,6003,62,73179,3840,29701,3648,27,37217,915,7895,1389,13,10206,44159,333157,42146,829,420300,1649,23203,3036,14,27903,1713,18126,2036,71,21945,5798,40959,4601,203,51563,9482,41509,4925,99,56015,14008,47372,5316,65,66765,17715,55119,5763,78,78676,11116,52318,5186,46,68669,4177,28847,3989,27,37036,714,11656,2245,5,14622,66387,319105,37099,604,423194,2981,48193,6500,27,57693,3001,37859,4771,136,45772,9239,81708,10486,507,101942,14955,83321,10912,272,109452,22447,96887,11611,158,131105,28951,114982,12518,147,156603,19325,111230,11192,109,141852,8020,58544,7637,52,74249,1630,19552,3632,15,24831,110545,652262,79253,1430,843489
1001,140,2763,213,3,3119,178,2700,200,0,3075,435,5608,441,14,6497,651,4765,371,0,5792,809,4455,334,0,5604,857,4292,263,3,5419,601,3866,228,9,4706,320,1993,158,4,2476,87,646,82,0,811,4081,31088,2294,33,37499,180,2585,187,0,2952,235,2541,183,0,2952,791,5478,415,16,6700,1197,4779,364,4,6346,1408,4350,263,0,6023,1483,4261,259,10,6011,976,3990,237,7,5208,415,2501,268,0,3193,67,1184,156,0,1407,6752,31675,2331,42,40791,313,5353,398,5,6072,409,5241,376,0,6029,1229,11084,849,26,13196,1849,9539,734,6,12136,2216,8812,595,0,11629,2344,8551,525,13,11432,1575,7856,468,12,9913,739,4496,434,4,5666,156,1826,235,0,2220,10829,62762,4622,75,78292
1002,55,682,167,0,909,53,772,199,4,1024,128,1280,174,11,1586,144,1045,103,4,1301,160,952,95,4,1204,235,985,87,3,1308,140,814,52,0,1016,93,503,71,0,665,31,150,39,0,223,1035,7186,989,24,9235,53,786,255,0,1096,58,806,224,0,1090,164,1346,182,4,1700,205,1038,124,0,1368,278,984,78,5,1341,350,979,94,0,1424,192,884,77,0,1155,95,662,92,0,848,23,271,77,0,370,1419,7759,1199,18,10394,109,1473,419,0,2008,116,1575,422,0,2114,289,2628,357,14,3281,349,2084,230,3,2670,432,1933,172,6,2552,583,1966,180,5,2733,330,1698,135,7,2167,187,1160,167,0,1512,52,421,117,0,592,2454,14946,2192,41,19624
1003,67,1108,102,0,1271,58,864,64,4,980,141,1723,153,4,2021,236,2120,175,9,2535,387,2223,142,6,2761,520,2398,147,3,3060,390,2626,155,6,3179,220,1499,113,0,1831,83,514,88,0,686,2091,15071,1135,22,18323,75,1002,76,3,1160,79,804,58,0,946,199,1934,159,8,2293,397,2161,148,3,2710,683,2277,156,10,3128,855,2408,135,4,3404,593,2726,180,3,3498,272,1703,167,0,2136,58,898,180,0,1137,3215,15916,1253,34,20414,140,2106,181,3,2433,136,1668,121,3,1923,339,3651,314,11,4319,625,4286,319,7,5242,1068,4504,294,16,5885,1379,4804,279,9,6465,984,5355,337,6,6677,491,3199,280,0,3971,146,1412,263,0,1822,5309,30987,2389,57,38732
1004,24,380,52,0,458,23,289,31,0,342,49,619,66,0,733,82,623,59,0,765,128,838,110,0,1069,184,1005,94,7,1286,188,1258,87,0,1536,99,680,67,0,854,22,221,23,0,267,801,5915,577,15,7307,34,327,48,0,403,23,268,24,0,321,72,621,71,0,766,161,611,78,0,849,222,775,68,0,1066,304,1146,84,0,1536,232,1270,88,3,1583,114,742,91,0,944,17,356,40,0,407,1182,6101,586,7,7872,61,704,99,0,868,45,557,61,0,662,127,1241,138,0,1502,240,1234,134,3,1609,350,1606,173,0,2137,491,2152,176,7,2819,420,2530,171,4,3121,214,1426,153,4,1798,41,576,53,0,669,1980,12017,1161,18,15176
1005,64,1233,103,0,1404,64,1155,203,3,1426,164,2090,443,3,2702,198,1754,363,7,2320,318,1678,219,0,2208,321,1593,125,0,2044,200,1442,76,0,1720,120,805,67,4,995,37,270,25,0,335,1485,12018,1624,20,15154,62,1120,63,0,1243,88,1113,68,4,1269,259,2113,135,0,2514,357,1711,114,0,2186,512,1669,120,5,2307,526,1538,96,3,2168,299,1452,80,0,1833,141,925,80,3,1144,24,555,55,0,634,2275,12203,812,15,15302,122,2358,167,0,2649,151,2269,267,6,2695,428,4209,578,6,5216,553,3469,476,8,4510,826,3347,338,7,4520,847,3138,219,6,4211,502,2892,156,3,3547,260,1725,150,3,2142,59,827,85,0,973,3754,24223,2435,39,30458
1006,57,1084,51,0,1193,48,816,55,0,921,106,1751,85,3,1944,194,1807,106,3,2116,307,2033,122,5,2465,375,2066,93,4,2532,288,2161,119,4,2564,205,1550,124,4,1874,56,466,100,0,625,1635,13727,850,19,16227,69,1018,53,0,1138,56,783,53,4,898,194,1739,82,9,2022,341,1805,95,4,2244,571,2090,131,0,2784,633,2116,98,9,2852,484,2596,127,6,3206,279,1829,160,4,2275,48,659,168,0,880,2672,14632,963,31,18293,126,2100,100,3,2325,105,1599,110,6,1819,298,3491,170,13,3968,540,3613,202,4,4358,875,4119,255,4,5253,1004,4183,193,7,5388,769,4749,246,10,5767,481,3384,282,3,4149,105,1123,273,0,1502,4300,28358,1813,52,34524
1007,16,430,71,0,515,22,404,56,0,489,72,881,111,3,1062,91,717,109,0,921,154,775,94,0,1020,210,985,84,0,1276,120,927,84,3,1132,56,433,57,0,539,20,149,35,0,204,761,5692,701,7,7160,27,370,47,0,446,17,379,41,0,440,132,898,103,0,1135,174,714,92,0,983,204,727,75,0,1009,313,957,85,4,1359,186,889,78,0,1156,94,536,96,0,723,24,279,81,0,377,1172,5750,702,10,7629,44,805,119,0,967,44,780,99,3,930,204,1779,211,6,2199,261,1433,199,0,1898,361,1507,172,0,2029,524,1939,162,4,2633,300,1814,166,3,2282,148,966,156,0,1268,40,425,116,0,583,1929,11443,1398,15,14788
1008,10,190,20,0,224,7,194,30,16,248,33,868,117,31,1047,44,708,90,4,846,83,556,82,5,715,88,564,61,3,719,45,531,39,6,629,25,201,17,0,249,0,46,3,0,56,344,3854,462,61,4719,9,179,14,0,206,7,295,51,13,361,45,987,128,18,1189,96,719,78,0,891,108,560,53,5,730,148,519,65,0,726,83,505,32,4,630,33,193,19,0,242,5,98,22,0,118,533,4054,461,48,5093,25,369,39,0,429,15,489,81,27,605,79,1854,246,52,2230,139,1427,169,4,1742,189,1114,132,11,1445,237,1081,119,3,1448,131,1039,73,7,1257,61,399,38,0,492,8,142,28,0,174,878,7904,924,112,9817
1009,23,425,34,0,481,14,288,10,0,311,43,443,39,0,524,76,535,27,0,632,150,821,33,6,1005,218,1064,60,4,1349,225,1548,87,3,1860,147,997,57,0,1203,48,261,35,0,350,951,6378,381,11,7725,25,380,21,0,427,17,226,10,0,257,78,449,24,0,548,150,610,28,4,790,249,821,25,0,1091,423,1138,71,3,1638,308,1519,64,0,1893,157,995,77,0,1231,33,384,40,0,463,1442,6518,359,9,8332,49,803,58,0,907,31,509,22,0,570,126,894,59,6,1081,223,1143,60,4,1428,395,1643,55,8,2095,645,2203,132,9,2985,535,3065,146,3,3751,303,1994,137,0,2433,77,649,79,0,807,2394,12900,740,17,16055
