SUA_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
5000,32878,535,87,6158,679,40344,26373,317,54,430,139,27313,4962,640,226,55,29,5899,3750,882,133,28,47,4837,1619,330,132,62,25,2172,6542,360,62,354,153,7466,4823,474,99,1677,402,7477,170,36,7,17,6,237,21867,2712,667,2190,659,28092,4575,335,72,531,349,5861,9060,806,232,2130,595,12821,94755,4700,1104,11445,2426,114434
5001,4725,173,12,151,12,5069,4313,72,3,3,8,4406,1302,239,12,0,0,1552,427,165,7,0,3,600,96,158,10,0,0,270,914,90,4,5,0,1008,139,40,9,74,6,266,10,16,0,0,0,29,2887,705,50,77,13,3729,212,99,6,8,4,321,517,99,0,67,4,689,12650,1146,74,312,39,14220
5002,597,52,7,931,22,1614,1219,71,14,47,0,1350,535,217,62,17,11,833,485,226,6,7,3,725,40,30,0,0,0,81,300,49,20,32,20,413,284,51,6,278,33,653,12,3,0,4,0,25,1656,575,98,338,65,2734,88,15,0,52,15,173,534,153,21,76,24,810,4095,877,147,1430,137,6679
5003,7431,653,91,163,6,8350,11134,403,54,10,15,11614,3087,803,269,9,5,4180,373,498,39,0,4,915,54,165,75,0,0,299,1682,305,59,3,4,2059,164,64,9,97,4,334,33,15,3,0,0,49,5396,1856,456,112,15,7839,299,249,27,19,6,592,935,312,78,182,12,1520,25191,3480,697,483,60,29920
5004,5048,354,29,166,7,5601,5166,225,11,15,4,5424,1482,238,3,7,4,1730,264,225,0,0,0,489,28,60,0,0,0,90,976,93,11,11,9,1104,156,24,3,99,9,291,14,3,0,0,0,21,2913,643,22,122,18,3714,258,162,19,24,4,463,637,130,4,105,14,895,14021,1507,85,438,50,16103
5005,1368,90,19,84,12,1568,1380,36,0,8,9,1425,335,111,22,0,0,465,117,68,5,0,0,191,7,17,26,0,0,52,435,65,12,10,7,523,82,12,0,28,5,123,10,7,0,0,0,15,989,270,66,37,12,1379,76,10,3,0,13,106,378,68,26,48,3,528,4193,473,115,179,43,5009
5006,3980,306,21,228,35,4565,4787,187,20,21,9,5012,1491,465,103,4,7,2067,298,186,41,0,0,531,60,44,0,0,0,106,1061,165,29,4,8,1266,176,58,5,61,8,309,17,13,0,0,0,32,3113,930,186,70,24,4312,177,102,12,11,3,298,891,228,52,85,18,1272,12942,1747,285,404,77,15458
5007,1672,118,10,94,0,1900,3898,242,10,14,0,4162,1238,654,78,5,0,1971,282,235,12,0,5,537,9,61,0,0,0,68,587,119,10,10,5,728,254,121,11,132,11,522,8,16,0,3,0,27,2379,1204,105,147,17,3855,126,41,4,18,0,193,693,229,10,412,10,1347,8765,1837,141,686,30,11453
5008,276,33,6,105,7,431,1159,126,9,8,5,1309,745,223,171,0,9,1142,314,81,37,0,0,427,16,5,0,0,0,23,117,49,18,3,0,193,1138,127,77,95,19,1456,4,4,0,0,0,5,2334,487,308,99,29,3258,278,34,51,9,14,383,598,216,67,103,12,998,4647,889,441,318,69,6372
5009,186823,24403,8591,1649,178,221643,285330,28274,10941,138,179,324856,70930,28473,26677,104,149,126344,7146,8804,2843,7,26,18819,1214,2010,1011,6,22,4264,34736,10601,6456,130,92,52015,4109,1349,826,495,83,6860,607,379,180,9,5,1184,118748,51616,37990,751,375,209484,6416,5178,2183,91,47,13914,20542,6548,4676,1915,315,33996,617849,116020,64386,4538,1091,803884
