SUA_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
1010,37527,5093,2570,372,57,45617,40236,2490,1706,66,33,44538,16087,3812,4687,313,87,24985,1247,1312,789,5,14,3358,362,380,371,5,3,1117,4291,655,664,66,33,5709,669,146,63,137,16,1022,120,45,44,29,0,232,22774,6345,6613,548,154,36432,1258,1521,542,34,18,3373,4603,1290,994,187,45,7113,106392,16739,12429,1202,314,137075
1011,8770,906,628,497,64,10861,7290,574,328,24,8,8228,2660,1135,1381,17,25,5220,365,218,201,3,0,786,208,135,126,0,0,463,1166,284,286,21,20,1769,187,41,38,131,27,422,39,17,14,3,3,73,4620,1830,2036,176,75,8742,287,185,78,18,7,579,974,282,297,155,19,1722,21944,3772,3374,865,175,30134
1012,3637,257,74,26,4,3999,4777,107,35,4,4,4929,2187,594,623,21,10,3437,337,92,151,0,0,580,89,45,42,3,0,182,726,64,58,7,3,854,88,23,51,21,14,191,15,12,20,0,0,43,3445,821,950,50,22,5287,101,174,61,4,5,346,861,181,173,24,33,1267,12822,1537,1282,103,76,15825
1013,3266,870,513,167,7,4826,1463,170,154,9,3,1798,680,285,626,31,8,1627,28,82,72,0,0,180,43,72,74,0,0,182,257,94,110,9,3,470,25,12,21,41,4,112,7,5,7,0,0,22,1032,549,906,76,26,2591,100,40,179,6,6,331,259,100,156,22,11,532,6110,1739,1903,275,50,10082
1014,2909,205,26,20,0,3162,2763,116,16,6,3,2904,1352,410,206,20,5,1998,393,83,35,0,0,515,38,61,18,0,0,119,387,62,36,7,0,493,42,15,12,17,3,85,13,4,4,0,0,18,2223,632,310,52,13,3226,75,77,3,6,3,156,395,88,37,20,11,547,8360,1112,396,100,30,9995
1015,2550,96,107,70,3,2827,2006,43,24,29,0,2098,875,203,316,10,5,1404,176,44,37,0,0,263,41,71,22,0,0,137,460,61,77,8,6,610,45,19,25,33,5,125,19,12,4,3,0,31,1616,406,481,50,9,2564,73,14,21,7,0,115,361,68,68,24,8,531,6604,627,700,175,28,8137
1016,2096,62,76,28,3,2273,1926,41,42,3,5,2018,836,180,545,24,0,1591,217,22,42,0,0,289,35,20,29,0,0,83,356,35,85,7,4,489,93,20,37,29,0,175,14,3,9,0,0,28,1551,276,751,64,13,2651,123,19,24,6,0,175,360,46,105,48,7,563,6058,451,998,147,25,7680
1017,1935,5,41,11,0,1998,1549,12,5,3,4,1575,593,65,145,6,0,809,133,8,28,0,0,165,124,12,49,0,3,194,287,7,23,0,0,320,46,0,9,29,0,80,10,0,0,0,0,10,1191,85,260,33,9,1587,77,0,4,0,0,85,375,12,56,54,10,509,5135,116,365,105,19,5745
1018,3399,310,95,85,9,3896,3259,194,62,0,0,3518,1094,594,378,4,9,2080,231,143,52,0,0,430,52,136,37,0,0,231,692,149,90,11,3,940,55,18,19,102,0,194,8,18,4,3,0,36,2135,1059,580,120,16,3913,95,94,11,4,0,202,434,141,77,39,10,693,9323,1788,816,256,40,12224
1019,1887,129,8,16,3,2033,1301,37,6,3,4,1349,670,194,67,7,0,939,231,81,18,0,0,329,8,16,11,0,0,38,188,22,13,3,0,229,25,3,7,5,7,43,5,3,0,0,0,9,1122,323,118,9,12,1583,39,87,6,0,0,135,271,69,16,3,0,362,4619,638,152,32,13,5458
1020,1786,26,5,38,4,1853,2135,14,3,0,0,2153,568,46,3,3,0,625,15,0,0,0,0,16,15,0,3,0,0,13,176,10,0,10,0,197,171,0,0,35,0,208,6,0,0,0,0,7,956,57,9,49,0,1078,54,0,3,0,0,62,197,10,0,18,0,231,5122,107,22,108,6,5371
1021,3611,206,41,102,0,3950,3323,66,14,5,4,3415,1382,169,100,0,9,1658,31,26,3,0,0,57,19,22,10,0,0,49,456,18,23,7,4,504,74,21,5,9,15,121,12,0,0,0,0,17,1972,247,148,15,25,2409,186,299,7,6,4,505,367,55,8,23,3,457,9452,877,218,149,40,10734
1022,1357,114,0,11,6,1486,1492,43,0,4,0,1542,794,298,20,5,4,1115,123,27,17,0,0,172,27,19,3,0,0,53,192,32,0,0,0,224,27,10,0,15,4,56,8,3,0,0,0,14,1167,389,47,31,7,1638,33,13,0,0,5,47,191,60,4,89,0,339,4239,616,53,131,16,5051
1023,1144,44,7,19,7,1223,1471,33,3,0,0,1505,858,314,22,0,0,1194,155,72,0,0,0,227,43,32,0,0,0,75,219,18,0,0,0,233,33,12,0,9,5,61,4,0,0,0,0,7,1314,447,22,12,12,1806,51,20,0,5,5,79,218,79,0,4,0,309,4199,621,33,35,22,4915
1024,4173,1061,329,125,45,5732,2351,439,93,6,9,2898,824,644,360,3,0,1838,13,45,35,0,0,93,18,80,25,0,0,123,308,137,72,3,6,519,114,48,11,14,6,191,4,9,3,0,0,23,1279,957,513,20,17,2785,116,232,28,7,5,391,315,157,54,34,3,557,8230,2838,1023,191,85,12359
1025,54099,5556,2182,455,71,62362,61918,3650,1716,60,41,67382,22919,7946,5930,233,76,37110,3783,2378,1898,3,16,8077,760,692,541,8,7,2012,6723,1367,1016,62,39,9214,1121,214,136,194,19,1691,168,69,51,6,0,297,35472,12667,9578,506,168,58389,1714,1137,365,23,16,3267,5170,1474,1262,218,60,8178,158373,24492,15099,1262,347,199577
1026,4414,222,61,59,7,4762,4057,152,24,4,3,4252,1884,600,167,4,0,2655,455,149,21,0,4,626,321,169,55,0,3,548,541,70,28,4,0,641,283,17,9,5,15,333,20,11,3,0,0,39,3503,1016,286,21,23,4845,111,30,14,3,8,170,711,149,49,56,30,997,12806,1570,432,138,64,15023
1027,4427,274,57,21,0,4791,5081,114,39,6,3,5244,2558,713,274,22,5,3567,487,186,79,0,0,747,69,80,28,0,0,182,557,93,35,0,5,692,96,18,9,16,11,155,20,7,3,0,0,28,3788,1095,430,36,22,5375,109,90,29,3,10,240,640,160,95,12,12,923,14052,1733,655,76,51,16569
1028,6077,1147,723,95,19,8056,4473,482,283,9,9,5258,2036,1039,1315,19,6,4414,113,120,128,0,0,361,141,199,167,0,0,505,596,201,197,12,8,1017,73,43,46,17,16,193,11,22,15,0,0,39,2968,1624,1870,53,32,6539,203,297,178,0,4,681,506,260,196,19,21,997,14222,3809,3245,166,88,21528
1029,1598,96,44,23,0,1764,2276,105,20,0,0,2404,617,319,124,0,3,1056,241,32,25,0,0,298,35,14,9,0,0,58,161,40,3,4,4,214,82,5,3,56,0,143,3,0,0,0,0,7,1134,410,164,61,3,1776,55,10,7,3,6,75,215,66,31,30,0,334,5285,681,263,121,12,6356
1030,3315,271,73,31,6,3694,2192,55,28,0,7,2279,1172,115,96,3,0,1386,16,11,7,0,0,40,24,17,6,0,0,41,342,22,16,4,0,390,102,15,0,19,0,142,5,0,0,0,0,10,1670,174,132,28,3,2009,89,216,3,0,3,318,359,51,28,4,10,454,7633,768,265,64,27,8756
1031,326274,52208,78272,1238,372,458355,371012,70133,114799,842,590,557376,126010,54908,272356,3469,1417,458157,17864,16938,23022,17,107,57951,2724,4067,8614,50,98,15549,31306,9854,32499,901,472,75029,6348,2035,4854,388,275,13895,1016,455,1451,30,25,2982,185270,88255,342792,4854,2395,623565,10393,5231,11838,196,166,27831,36664,11840,36761,1035,688,86981,929619,227665,584456,8163,4211,1754112
1032,4637,274,22,43,22,5004,4663,115,14,7,7,4804,2876,1158,229,4,13,4282,425,143,64,0,0,630,107,99,26,0,0,236,817,128,15,0,6,960,71,28,5,37,10,147,39,21,5,3,0,69,4330,1580,336,40,29,6322,189,102,3,3,23,321,940,265,54,81,20,1358,14759,2333,434,169,104,17805
1033,3727,269,92,22,5,4114,2572,75,27,0,0,2673,1279,297,358,7,0,1939,246,54,77,0,0,386,116,76,82,0,0,283,446,50,48,4,3,545,46,23,10,19,0,99,19,20,7,0,0,34,2152,515,586,28,10,3295,94,37,14,0,3,150,627,81,92,36,0,843,9173,978,812,94,25,11073
1034,3222,180,33,174,17,3621,1666,54,22,5,4,1742,661,163,53,4,0,873,53,42,14,0,0,103,71,64,19,0,0,152,333,40,11,3,3,399,22,7,4,22,7,54,3,3,0,0,0,8,1141,319,93,33,6,1595,84,10,10,11,0,111,317,40,13,53,5,432,6426,599,172,269,34,7501
1035,5837,245,261,32,3,6375,6799,95,117,8,5,7028,3058,473,1380,31,10,4954,722,38,134,0,0,900,74,47,71,0,0,192,882,78,122,3,0,1094,274,22,31,15,7,342,24,5,9,0,0,46,5042,662,1749,52,24,7524,231,149,71,5,8,457,785,134,194,17,35,1168,18693,1288,2388,109,75,22550
1036,32507,3513,3278,496,37,39831,31754,3242,2622,82,23,37729,8976,4187,7139,174,59,20537,3243,2008,1546,7,3,6800,205,284,248,3,8,757,2894,774,1083,65,34,4848,289,74,122,77,14,578,82,35,47,0,0,172,15688,7359,10189,330,120,33686,754,450,679,25,10,1918,2868,899,1215,130,41,5149,83570,15461,17982,1066,234,118315
2000,121735,3096,511,1826,259,127416,90428,1036,203,267,127,92060,17967,3037,589,120,50,21755,2259,1154,307,9,3,3729,494,396,144,7,6,1047,13315,799,199,170,82,14561,2913,201,105,723,91,4037,304,90,12,41,4,450,37251,5674,1362,1068,232,45585,6804,378,114,143,69,7506,18994,1154,345,1069,125,21686,275218,11336,2521,4368,814,294263
2001,2327,176,10,23,3,2534,4118,127,0,5,3,4253,886,290,0,5,4,1187,138,26,36,0,0,198,15,53,4,0,0,69,265,55,13,0,0,335,30,5,10,13,0,54,5,8,0,0,0,15,1336,437,63,18,3,1856,163,16,0,0,0,183,308,57,5,16,0,388,8248,806,82,60,10,9209
2002,2332,195,9,24,0,2555,1751,47,3,0,0,1804,689,206,39,7,0,936,150,79,7,0,0,240,55,48,4,0,0,111,312,37,6,0,0,357,23,10,0,4,5,40,8,9,0,0,0,20,1236,395,56,10,11,1704,79,75,0,4,0,155,310,77,15,12,4,415,5702,778,92,42,13,6632
2003,12905,1191,203,30,10,14344,13602,802,95,15,19,14537,7370,2085,587,11,21,10074,874,472,74,0,3,1413,146,159,36,0,6,349,1656,340,94,14,8,2105,139,48,19,20,6,227,49,25,0,0,0,78,10229,3124,806,42,40,14248,474,154,22,4,0,651,1562,447,104,41,11,2154,38771,5725,1225,130,90,45939
2004,12711,603,53,56,27,13451,13351,372,45,7,25,13802,6180,1401,166,14,10,7771,865,410,83,0,0,1355,217,117,24,0,3,360,1993,235,38,4,8,2290,156,22,6,17,7,209,45,11,7,0,0,62,9462,2205,315,35,35,12048,437,54,5,4,0,504,1668,327,61,35,6,2096,37624,3552,482,143,90,41895
2005,2185,57,0,9,6,2262,1421,20,0,0,0,1442,447,47,0,3,3,508,63,76,0,0,0,136,25,6,0,0,0,35,247,13,5,3,0,268,12,0,0,7,0,19,3,0,0,0,0,3,794,148,0,12,3,961,57,3,0,0,0,60,236,23,0,6,0,260,4698,250,11,33,8,4993
2006,1914,129,0,14,0,2063,1565,29,0,7,3,1594,520,187,0,6,0,713,150,69,3,0,0,219,26,22,0,0,0,43,233,35,0,0,0,273,27,18,0,29,0,73,9,9,0,0,0,16,963,341,3,37,3,1349,42,24,0,3,0,67,203,75,3,9,0,279,4674,594,4,64,8,5355
2007,3155,266,0,126,9,3563,2629,88,0,11,6,2725,943,337,13,0,0,1302,218,156,0,0,0,371,30,24,0,0,0,56,351,61,0,5,3,425,62,7,0,44,0,116,9,0,0,0,0,9,1613,593,18,46,7,2279,119,78,0,4,3,202,397,125,7,20,6,544,7901,1143,27,206,33,9315
2008,34223,2631,488,254,31,37625,36698,1832,357,28,31,38947,15842,3969,1334,44,39,21224,1599,906,108,0,0,2613,338,348,76,5,9,774,3880,744,190,30,26,4871,388,114,32,218,15,766,109,50,11,0,0,172,22153,6137,1756,303,83,30431,1401,572,34,63,14,2079,4011,892,207,159,16,5282,98490,12054,2843,799,172,114363
2009,2696,143,11,11,0,2862,3458,98,11,0,0,3566,429,143,15,0,0,589,21,20,5,0,0,41,6,12,4,0,0,20,223,54,0,0,0,272,12,5,0,9,0,28,4,0,0,0,0,4,693,232,21,11,5,953,85,4,0,0,0,91,274,16,0,10,0,302,7207,497,42,30,4,7772
2010,2444,75,51,20,0,2583,2216,17,13,0,3,2243,969,131,182,4,0,1282,176,65,43,0,0,288,12,5,18,0,0,36,263,16,28,0,0,309,34,9,8,14,0,63,6,4,5,0,0,14,1454,231,291,14,0,1989,82,35,11,7,0,131,284,41,42,14,7,388,6487,388,404,54,10,7340
2011,409316,70694,38988,1311,329,520635,502643,85468,57013,675,362,646160,177095,89545,139467,1684,584,408378,11638,9838,12378,10,30,33897,2024,2171,3633,20,38,7886,41187,15469,17012,599,227,74498,6387,1839,1818,1040,134,11224,1262,558,618,29,22,2486,239596,119425,174933,3379,1028,538368,14064,8820,6299,168,91,29440,50255,15081,20354,1467,369,87533,1215872,299493,297584,7006,2177,1822129
2012,5902,342,148,208,20,6622,6275,161,61,11,0,6508,2344,641,484,10,12,3494,394,189,110,0,0,692,99,28,72,0,0,203,1100,145,97,13,13,1366,220,26,38,95,17,394,42,12,18,5,0,82,4194,1048,822,126,39,6232,323,44,75,15,12,459,1370,212,201,122,22,1921,18062,1807,1305,475,92,21742
2013,3188,209,31,11,5,3437,2868,72,15,0,0,2950,795,289,132,0,0,1210,243,167,44,0,0,456,50,30,6,0,0,87,381,48,19,4,0,450,41,13,4,15,0,73,7,12,4,0,0,22,1520,551,201,18,4,2296,76,58,3,0,0,144,566,139,28,42,0,773,8222,1035,276,69,10,9597
2014,1792,100,12,24,0,1931,1399,31,3,4,4,1440,427,138,31,6,0,602,142,76,3,0,0,219,12,6,0,0,0,18,229,39,7,3,0,278,23,12,3,8,0,47,4,4,0,0,0,11,845,272,44,13,0,1171,53,3,0,0,0,59,224,43,9,8,0,284,4313,446,61,57,7,4877
2015,1984,88,85,34,4,2194,1770,53,21,0,5,1856,909,208,212,4,0,1338,160,54,24,0,0,237,26,10,12,0,0,50,201,22,22,0,4,252,124,4,5,11,0,139,8,3,0,0,0,14,1430,302,281,11,0,2035,49,14,7,3,0,69,236,40,33,9,0,323,5478,494,426,58,13,6477
2016,5800,381,6,221,8,6417,6177,143,3,16,7,6344,2580,957,10,13,0,3566,587,209,14,4,0,812,120,62,25,15,0,220,1000,135,3,18,7,1157,187,57,0,74,11,326,48,18,0,4,0,75,4521,1443,58,118,23,6157,251,74,0,95,0,430,1172,298,19,226,4,1719,17926,2335,81,676,42,21058
2017,1393,88,34,35,0,1549,1270,22,13,3,0,1311,429,146,188,0,0,775,128,39,50,0,0,216,20,4,20,0,0,45,239,49,17,0,6,313,30,10,5,13,3,62,3,4,4,0,0,12,850,255,289,18,6,1414,60,13,3,0,0,73,213,38,42,10,0,307,3792,409,376,69,10,4655
2018,5566,205,342,63,12,6177,5512,89,93,4,6,5705,2183,306,618,4,3,3121,366,97,147,0,0,617,83,31,38,0,0,157,672,46,63,5,3,787,73,9,30,32,0,148,33,0,14,0,0,48,3408,496,921,37,14,4881,119,62,41,6,0,228,1005,102,178,27,0,1304,15608,956,1563,131,37,18299
2019,2873,179,0,10,0,3067,2383,81,0,0,0,2464,926,444,0,3,0,1373,253,118,5,0,0,367,23,49,0,0,0,69,324,89,0,3,0,413,24,26,0,10,0,63,7,10,0,0,0,12,1549,729,5,18,0,2299,67,27,0,0,0,95,383,232,0,17,0,636,7248,1251,3,46,9,8563
2020,5293,234,171,214,4,5916,6023,128,72,10,9,6234,1774,261,172,5,5,2215,152,70,44,0,0,266,18,7,9,0,0,31,558,52,40,0,0,655,60,4,3,36,0,100,12,7,0,0,0,20,2576,392,276,43,4,3294,200,9,53,28,0,287,729,58,60,50,4,893,14823,821,623,344,20,16624
2021,4722,396,70,62,9,5255,4257,205,63,25,4,4553,1553,595,228,23,3,2403,372,125,77,0,0,573,46,32,42,0,0,126,561,130,57,4,5,763,51,22,34,27,0,138,15,5,8,0,0,24,2610,909,447,53,5,4026,137,71,48,3,0,265,544,104,45,61,4,763,12273,1685,677,202,20,14856
3000,99888,1637,602,9599,1912,113636,77744,867,285,731,292,79921,22864,3990,1877,197,79,28998,5682,1203,618,48,43,7591,1846,557,373,25,29,2827,16989,862,572,421,266,19113,7662,1141,495,2135,866,12293,469,108,58,35,9,677,55517,7854,3991,2849,1284,71495,8503,488,184,630,503,10307,22403,1605,961,3332,693,28992,264051,12459,6017,17151,4682,304352
3001,782,70,147,386,131,1514,1292,86,138,26,21,1560,505,210,456,12,15,1197,21,19,32,0,0,73,7,13,10,0,0,32,212,47,144,17,33,454,30,74,56,80,90,330,6,0,4,0,0,10,786,365,696,107,140,2101,24,4,10,23,13,85,218,61,121,23,35,464,3110,583,1120,572,345,5723
3002,190385,16128,18335,1608,244,226699,278260,19861,21354,151,209,319836,116809,42180,66444,176,519,226130,12130,5609,7326,9,52,25132,1046,1357,1986,15,37,4440,27193,6428,11559,115,226,45526,4916,5441,2863,1339,171,14728,693,471,431,27,8,1634,162787,61481,90619,1687,1008,317585,5893,4379,3130,64,110,13567,23508,7586,9200,1367,271,41932,660826,109436,142636,4873,1844,919618
3003,9606,494,571,704,52,11431,7706,144,132,28,12,8018,3387,826,751,19,8,4994,421,366,185,0,3,977,55,78,100,0,0,234,1790,156,249,17,7,2222,243,44,100,185,31,611,36,10,28,0,0,77,5930,1485,1416,231,53,9116,284,345,51,19,10,701,965,261,219,136,16,1606,24494,2727,2404,1109,140,30873
3004,11831,905,1578,538,119,14973,17274,872,1494,27,35,19709,5983,2328,4252,23,107,12695,909,440,553,4,6,1916,130,143,132,11,9,417,2427,738,1022,39,42,4268,403,185,380,216,74,1256,64,30,47,9,5,152,9917,3860,6379,293,241,20692,403,219,87,20,19,754,2144,702,1428,256,94,4620,41568,6557,10970,1139,508,60742
3005,693,27,16,64,49,840,1653,59,23,3,7,1749,822,293,234,0,3,1354,98,10,44,0,0,147,16,3,8,0,0,28,277,57,35,5,3,386,172,65,42,12,26,321,0,8,0,0,0,9,1391,432,365,22,32,2242,56,18,9,0,3,92,227,58,49,80,5,431,4026,593,462,174,106,5358
3006,3624,113,155,178,15,4087,5759,152,109,5,8,6023,3035,678,1011,4,9,4733,403,91,154,0,0,649,81,74,27,0,0,184,785,53,83,3,0,925,119,20,47,93,15,296,18,11,7,0,0,35,4436,931,1334,103,26,6827,130,19,25,10,9,188,619,115,163,153,4,1055,14564,1330,1771,452,56,18184
3007,47152,13657,14422,1800,249,77282,64548,14897,9318,93,132,88997,22783,14981,19916,69,217,57968,1351,1604,1345,0,3,4301,190,399,566,6,4,1165,5982,4261,5294,78,108,15714,920,2512,2209,535,110,6282,156,145,204,15,4,527,31378,23901,29538,695,446,85958,1426,1163,1341,51,35,4025,6539,3455,5819,705,132,16657,151041,57073,60444,3350,998,272913
3008,3019,76,22,15,10,3130,2589,51,5,9,5,2654,1228,368,103,0,17,1717,112,100,17,0,0,226,25,50,16,0,0,96,565,58,22,4,4,648,40,39,20,0,0,103,3,10,4,0,0,20,1972,630,176,9,18,2804,74,8,20,0,0,102,353,73,25,48,0,501,7996,827,241,84,40,9199
3009,8854,788,258,643,167,10705,5366,266,76,28,16,5741,2919,967,222,9,17,4131,203,299,8,0,0,514,55,83,7,0,0,139,1016,202,73,25,16,1331,160,108,32,136,65,500,22,13,3,5,0,47,4379,1670,342,177,95,6665,376,153,71,19,14,629,926,299,89,87,29,1423,19893,3171,833,947,327,25169
3010,1256,15,30,29,9,1333,1089,12,19,4,4,1130,721,115,200,0,5,1041,46,10,40,0,0,100,8,0,8,0,0,20,219,13,14,0,0,252,49,4,15,8,3,70,8,0,0,0,0,11,1055,151,282,8,0,1496,42,5,8,0,0,53,217,26,45,6,4,288,3663,211,376,39,14,4303
3011,7175,470,224,343,54,8275,10667,361,157,22,10,11223,3874,1710,692,18,39,6329,562,405,178,0,0,1149,93,99,33,0,0,224,1510,353,146,25,18,2045,168,70,34,141,35,443,37,30,6,0,0,72,6236,2666,1088,184,92,10264,476,141,25,12,8,671,1384,519,284,277,42,2508,25942,4160,1787,842,207,32937
3012,4264,98,40,86,22,4508,2929,23,11,12,3,2979,1121,203,163,0,5,1496,160,178,56,0,0,394,21,48,10,0,0,84,708,53,47,4,0,818,75,17,14,43,3,153,19,12,7,0,0,37,2102,515,302,50,14,2978,123,44,20,7,4,193,438,118,62,63,4,677,9856,794,433,213,48,11342
3013,943,36,6,251,19,1256,1835,51,5,24,9,1923,794,478,101,6,3,1380,362,115,56,5,5,544,14,9,10,0,0,44,413,138,14,13,3,584,202,125,40,117,27,513,12,4,4,0,0,25,1800,875,228,145,32,3090,155,63,31,29,12,297,330,106,34,287,12,778,5064,1136,308,741,86,7341
3014,7768,205,166,138,50,8319,10061,135,134,9,9,10344,4078,980,578,10,6,5657,613,289,136,0,10,1051,154,81,75,0,0,311,1715,179,119,10,9,2027,196,39,53,76,22,384,37,17,14,0,0,67,6797,1582,976,96,49,9499,317,39,70,6,10,441,1278,244,194,94,16,1822,26215,2198,1534,337,141,30428
3015,38709,6083,5155,1301,261,51500,43205,3298,2824,62,76,49474,14923,5063,6412,46,96,26540,870,680,1005,0,10,2567,124,135,201,0,0,451,4967,1371,1779,35,85,8238,523,319,403,315,93,1651,106,49,55,8,3,230,21502,7622,9859,406,287,39675,1494,2086,645,52,25,4301,4148,1314,1664,426,89,7633,109058,20395,20139,2242,739,152583
3016,14684,1516,302,95,19,16620,16418,778,204,11,18,17430,7699,3917,1379,9,15,13014,591,513,159,0,0,1265,71,141,44,0,0,260,2329,513,210,6,4,3066,422,141,29,57,3,656,56,30,9,0,0,92,11168,5255,1821,74,31,18352,410,458,43,11,19,937,1522,594,186,147,20,2470,44193,8605,2560,343,107,55815
3017,13494,929,705,482,80,15686,21657,708,547,37,15,22967,9623,3677,2438,16,28,15778,1416,772,391,0,6,2594,136,184,87,0,3,415,3295,717,406,21,24,4458,1288,151,240,117,100,1898,78,39,21,0,0,133,15829,5548,3581,153,162,25275,637,283,82,16,15,1027,2615,864,580,92,55,4206,54232,8335,5497,775,321,69161
