SUA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
1000,33,10,11,12,29712,29774,531,37,15,16,23156,23760,14511,793,677,42,34062,50074,29123,2136,2892,130,18996,53267,36409,3400,7307,453,16680,64246,45692,4020,12486,1450,14207,77850,46713,3628,12310,3547,6921,73120,24665,1230,4639,4601,2046,37183,5496,193,681,3338,489,10197,338,19,51,16,411,829,203515,15452,41063,13595,146676,420300,25,7,4,10,27842,27890,920,71,17,12,20851,21879,18667,1388,1100,91,30111,51360,32025,2797,3983,377,16733,55922,39109,3780,9251,1190,13364,66701,47562,3798,13596,3965,9683,78600,42053,2378,11220,8945,4026,68615,18084,659,4006,13072,1192,37013,2635,104,717,10728,438,14618,185,11,49,34,324,604,201263,15002,43944,38421,124566,423194,59,17,14,20,57552,57663,1462,108,35,26,44002,45631,33168,2178,1782,130,64168,101427,61146,4931,6874,506,35731,109185,75522,7177,16556,1643,30046,130942,93254,7816,26078,5416,23884,156450,88766,6009,23528,12490,10947,141742,42746,1885,8644,17674,3241,74195,8131,294,1400,14063,928,24813,522,26,100,52,735,1430,404773,30450,85014,52014,271234,843489
1001,5,0,0,0,3107,3113,55,8,0,0,3011,3075,1854,112,105,3,4413,6485,3177,262,400,13,1936,5791,3091,333,765,40,1370,5600,3243,301,890,104,881,5415,3098,213,751,247,395,4699,1698,79,283,299,115,2476,472,12,58,246,25,807,10,4,4,7,13,33,16699,1315,3253,953,15272,37499,3,0,4,5,2942,2951,109,17,7,0,2820,2950,2390,205,167,12,3912,6690,3428,413,569,54,1874,6338,3216,401,1049,130,1236,6023,3312,358,1348,296,686,6002,2838,241,1070,768,278,5202,1331,71,467,1203,107,3193,251,0,73,1041,39,1402,18,5,7,3,20,42,16897,1719,4749,3514,13919,40791,11,4,3,4,6048,6070,168,19,6,0,5833,6024,4240,312,270,18,8322,13165,6606,674,963,66,3817,12130,6308,734,1808,169,2604,11624,6552,658,2237,396,1570,11416,5934,457,1821,1014,678,9904,3032,153,746,1507,234,5667,716,18,134,1286,66,2219,26,7,4,8,26,75,33594,3038,8004,4464,29193,78292
1002,0,0,0,3,906,909,33,0,0,0,986,1018,467,24,25,0,1062,1576,730,61,68,3,440,1297,692,69,130,3,305,1201,739,77,206,20,270,1309,662,34,154,57,101,1011,450,19,63,84,50,663,142,4,11,64,3,223,10,0,0,0,10,24,3927,288,644,234,4137,9235,3,3,0,4,1085,1096,43,5,0,9,1033,1090,601,53,32,7,1003,1697,729,68,92,17,463,1367,707,82,206,27,319,1341,759,90,259,73,240,1421,606,50,235,155,105,1148,388,18,101,287,49,848,68,0,20,273,4,370,4,0,0,0,10,18,3914,365,955,849,4311,10394,3,3,0,6,1992,2008,75,5,0,9,2024,2108,1068,71,57,7,2070,3269,1462,127,160,17,901,2665,1398,155,335,34,626,2541,1497,163,461,92,516,2730,1275,87,395,210,206,2160,840,42,165,370,101,1511,209,4,32,341,9,592,16,0,0,0,20,41,7841,653,1599,1090,8450,19624
1003,0,0,0,0,1267,1271,15,0,0,0,964,979,507,38,27,0,1448,2016,1309,87,130,10,994,2529,1509,134,334,14,760,2753,1725,159,491,56,629,3054,2105,120,541,127,277,3171,1297,32,203,227,78,1831,401,9,42,212,28,686,9,0,0,0,13,22,8876,577,1772,650,6453,18323,0,0,0,0,1158,1156,33,0,0,0,907,945,712,44,44,3,1487,2290,1420,125,193,13,954,2705,1653,190,501,55,719,3118,1861,191,729,139,496,3397,2029,112,725,420,209,3497,1000,35,281,760,59,2136,230,6,74,795,29,1136,11,0,4,3,14,34,8949,706,2550,2186,6022,20414,0,0,0,5,2421,2429,51,0,0,0,1867,1917,1220,83,74,4,2927,4308,2729,216,323,20,1949,5233,3158,331,837,72,1482,5869,3579,345,1218,188,1124,6461,4141,232,1271,549,481,6669,2295,65,482,990,142,3971,629,14,111,1012,56,1827,19,0,7,3,24,57,17821,1283,4316,2834,12476,38732
1004,0,0,0,0,454,461,8,0,0,0,337,342,165,13,4,0,545,733,356,36,46,0,320,763,500,72,135,7,353,1068,717,66,235,23,238,1283,1031,70,239,69,121,1535,593,26,98,107,25,851,167,3,18,71,11,267,8,0,6,0,5,15,3551,296,782,282,2400,7307,0,0,0,0,405,405,18,0,0,0,296,321,238,31,22,0,478,765,424,59,80,4,277,845,507,77,215,23,239,1065,838,88,325,84,200,1536,962,57,282,212,69,1583,452,23,120,324,20,945,70,0,27,307,7,407,3,0,0,0,4,7,3505,339,1069,949,2003,7872,0,0,0,0,862,863,24,0,0,0,638,662,405,46,24,0,1020,1496,778,93,130,4,598,1609,1003,154,350,27,592,2132,1561,158,555,105,439,2815,1997,124,519,283,189,3112,1048,50,216,431,47,1792,233,6,41,372,10,669,9,0,6,4,7,18,7056,635,1851,1235,4407,15176
1005,3,0,0,0,1394,1404,46,4,0,0,1374,1420,763,55,36,3,1837,2695,1173,119,144,4,873,2316,1199,135,301,12,553,2208,1167,119,328,33,391,2041,1149,77,246,89,150,1718,677,24,107,138,44,993,201,3,18,103,16,335,11,0,0,0,11,20,6387,544,1183,383,6653,15154,0,0,0,0,1243,1243,58,12,0,0,1202,1267,865,85,55,5,1509,2515,1170,149,207,18,639,2187,1235,173,374,58,461,2304,1204,156,441,99,263,2164,1050,81,341,263,90,1830,478,28,152,428,57,1144,122,3,39,432,41,634,4,0,3,0,3,15,6189,679,1612,1310,5514,15302,3,0,0,0,2645,2649,100,7,0,0,2576,2691,1627,140,93,7,3345,5210,2346,270,347,27,1508,4500,2434,309,681,71,1013,4514,2370,278,772,135,656,4204,2198,154,591,358,247,3544,1156,51,260,567,106,2139,323,3,52,538,58,973,14,0,0,0,17,39,12572,1223,2796,1701,12165,30458
1006,0,0,0,0,1191,1192,22,0,0,0,898,925,729,17,19,0,1169,1937,1367,61,93,4,589,2111,1529,124,271,13,523,2464,1647,102,357,46,381,2530,1817,98,337,101,202,2559,1386,57,175,179,87,1875,391,4,20,168,31,625,10,0,3,0,6,19,8904,462,1272,514,5073,16227,0,0,0,0,1135,1135,41,0,0,0,850,890,943,37,41,0,988,2014,1439,91,187,7,516,2239,1654,163,447,58,476,2788,1688,141,571,123,319,2845,1868,112,606,392,224,3203,1081,29,314,727,120,2271,162,5,65,609,35,880,13,0,5,4,11,31,8882,583,2230,1919,4675,18293,0,0,0,0,2317,2320,57,0,0,0,1750,1811,1676,54,66,0,2158,3953,2805,150,280,9,1108,4352,3177,294,715,68,996,5252,3336,244,927,170,699,5378,3688,206,940,498,431,5762,2470,79,486,900,204,4144,552,14,88,779,67,1502,26,0,0,6,15,52,17789,1040,3504,2436,9751,34524
1007,0,0,0,0,515,515,5,0,0,0,478,492,198,23,17,0,822,1062,365,49,45,0,459,921,459,73,145,8,333,1020,663,63,203,28,315,1270,672,65,203,68,126,1126,334,15,87,72,32,539,103,8,9,77,8,204,0,0,3,0,3,7,2801,295,712,256,3099,7160,0,0,0,0,448,446,9,0,0,0,432,443,282,31,27,0,784,1135,418,75,74,9,406,980,473,70,155,18,295,1014,696,79,288,77,212,1355,613,48,196,232,70,1156,296,20,90,300,21,723,53,5,24,294,6,377,0,0,4,0,5,10,2845,326,852,938,2670,7629,0,0,0,0,962,967,18,0,0,0,908,926,484,52,47,4,1605,2194,782,121,120,9,863,1896,929,143,296,31,628,2032,1356,149,490,107,526,2628,1279,111,396,301,194,2284,638,35,174,373,50,1268,154,9,34,369,12,583,0,0,3,0,5,15,5645,613,1567,1194,5774,14788
1008,0,0,0,0,224,224,3,0,0,0,228,229,77,5,7,0,918,1014,271,22,42,0,510,845,318,36,97,3,262,711,338,26,125,12,214,713,337,25,153,11,93,621,132,9,48,36,24,244,23,0,8,16,4,56,8,0,6,0,47,61,1513,127,484,78,2516,4719,0,0,0,0,205,205,5,0,0,0,346,352,138,12,7,0,1009,1165,340,21,78,0,446,890,335,35,97,5,245,718,330,32,181,20,166,726,272,14,212,57,69,626,91,0,58,81,16,242,18,4,15,84,0,118,6,0,0,0,42,48,1535,115,654,254,2529,5093,0,0,0,0,430,430,7,0,0,0,572,580,214,19,18,0,1928,2183,618,42,123,0,953,1733,649,71,193,6,508,1438,668,57,305,33,373,1442,607,42,361,74,160,1246,229,9,103,120,36,491,41,9,24,101,3,174,17,0,5,0,86,112,3050,238,1144,335,5049,9817
1009,4,0,0,0,479,481,4,0,0,0,306,311,141,10,14,0,362,530,359,36,43,0,196,632,546,66,136,6,242,999,797,68,239,26,222,1344,1277,75,295,93,117,1859,834,38,152,140,40,1205,210,4,22,101,6,350,3,0,3,0,3,11,4182,295,905,372,1969,7725,4,0,0,0,420,427,11,0,0,0,249,257,194,17,10,0,323,549,428,63,65,6,225,790,611,71,180,22,211,1091,971,80,318,85,182,1632,1242,67,293,215,79,1893,674,25,144,354,39,1231,102,0,25,324,0,463,5,0,0,0,4,9,4234,333,1033,1002,1730,8332,4,0,0,0,904,907,13,0,0,0,550,570,335,24,26,0,686,1073,790,102,112,6,425,1425,1154,134,318,29,456,2092,1768,145,556,108,399,2979,2517,145,588,314,191,3748,1510,58,295,491,78,2435,318,8,50,426,7,807,7,0,3,0,9,17,8417,623,1940,1372,3703,16055
