SUA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
1000,5,6,0,4,8,0,30,220,0,0,14,14,11,42,31,42,3,19,6,4,0,0,10,181,9,64,215,234,251,152,272,197,19,11,25,33,18,4,50,1561,127,655,530,109,63,48,81,83,17,18,27,33,9,5,130,1912,9,26,12,14,49,81,172,63,15,15,15,19,8,7,20,527,0,0,0,23,44,59,117,30,12,12,18,47,16,0,19,400,4,23,87,124,75,44,62,19,12,5,0,0,0,0,44,481,14,39,137,151,132,66,126,95,64,96,121,99,17,0,65,1229,0,0,0,4,0,11,105,119,94,116,128,102,21,0,13,711,134,1184,394,222,198,143,178,66,22,11,12,31,7,4,81,2681,70,192,1015,2479,2647,1609,1477,616,85,78,102,97,54,63,695,11273,0,3,70,43,31,18,7,0,3,0,0,0,0,0,13,208,4,4,10,11,7,15,77,87,22,18,19,37,11,7,19,342
1001,0,0,0,0,6,0,0,48,0,0,0,0,0,0,5,5,0,0,4,0,0,0,0,12,0,5,16,12,13,12,26,10,0,0,0,4,0,0,3,97,6,58,38,9,0,4,4,6,0,4,10,3,4,0,5,149,0,0,0,4,0,4,14,7,0,0,0,0,0,0,0,22,0,0,0,0,5,4,21,11,3,10,3,0,0,0,0,66,0,0,9,3,0,4,4,3,0,0,0,0,4,0,3,31,0,0,13,12,10,12,20,8,4,16,0,9,5,0,0,115,0,0,0,0,0,0,119,199,27,60,26,17,0,3,9,463,15,197,43,22,7,7,5,8,0,0,0,0,0,0,8,326,0,20,75,143,218,140,150,94,15,17,15,15,14,14,18,956,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,23,31,19,7,13,0,0,0,0,90
1002,0,3,5,4,0,0,0,41,0,0,0,0,0,0,14,26,9,6,167,325,22,0,6,581,0,0,0,0,5,3,0,3,0,0,0,0,0,0,0,23,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,5,9,13,0,0,5,0,0,0,0,0,26,0,0,0,0,0,0,8,0,0,4,0,5,0,0,0,18,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,4,0,4,5,3,9,6,5,0,0,0,0,0,38,0,0,0,0,0,0,15,27,24,31,50,78,14,0,9,259,0,20,11,3,0,3,3,6,0,0,0,0,0,0,0,48,4,3,19,36,33,34,38,38,7,0,7,0,7,0,6,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,3,6,4,4,0,0,33
1003,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,6,6,11,24,7,3,0,3,0,0,0,3,78,13,33,13,0,6,0,5,16,0,5,3,4,0,0,3,105,0,0,0,0,10,12,25,23,6,3,4,6,0,0,7,89,0,0,0,6,4,8,8,3,0,3,0,5,0,0,0,27,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,10,13,13,6,12,4,0,4,0,0,0,0,3,61,0,0,0,5,0,0,9,0,8,7,4,0,0,0,0,28,10,58,11,4,15,5,14,11,0,3,7,3,0,0,4,149,0,8,75,142,145,101,114,80,20,13,0,8,16,3,41,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,5
1004,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,8,8,9,0,8,5,0,4,0,0,0,0,3,48,0,21,26,11,0,0,0,0,0,0,0,0,0,0,6,71,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,5,6,10,5,0,3,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,4,5,10,6,8,0,0,0,0,37,4,36,3,6,4,6,0,0,0,0,0,0,0,0,3,72,4,13,29,55,61,51,32,6,0,0,0,0,0,0,15,268,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1005,0,0,5,4,0,0,3,36,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,20,0,4,7,10,8,7,13,13,0,4,6,0,0,0,4,71,0,10,13,0,0,0,3,6,0,0,0,0,0,0,0,39,0,0,3,0,0,7,4,0,0,3,3,0,0,0,0,20,0,0,0,0,0,7,14,8,0,4,0,3,0,0,0,35,0,0,15,7,8,3,3,0,0,0,0,0,0,0,7,42,0,0,3,7,11,0,10,0,0,0,0,3,0,0,0,53,0,0,0,0,0,0,37,34,18,41,27,11,8,0,0,177,7,34,12,7,12,6,0,0,0,0,0,0,0,0,3,81,0,0,28,57,78,61,88,28,10,0,3,3,3,0,29,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,5,21,0,3,9,13,3,0,0,67
1006,0,0,5,0,0,0,0,33,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,17,3,0,20,20,21,17,14,10,0,0,0,0,0,0,6,121,10,49,41,14,12,0,12,3,5,0,6,0,5,0,7,162,0,0,0,7,0,3,10,5,0,0,0,0,0,0,7,31,0,0,0,0,3,3,12,7,0,0,0,0,0,0,0,35,0,3,9,3,4,5,3,3,0,0,0,0,0,0,0,29,0,0,10,16,12,5,10,0,0,0,0,3,5,0,0,60,0,0,0,0,0,0,114,98,44,37,55,37,11,0,0,401,3,65,18,13,11,4,8,0,0,3,0,0,0,0,8,142,10,24,84,135,130,72,88,40,0,9,5,6,0,0,33,641,0,0,6,3,5,3,0,0,0,0,0,0,0,0,0,20,0,0,4,0,0,0,4,11,0,0,3,6,0,0,0,27
1007,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,3,0,0,0,11,0,14,9,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,8,0,12,3,4,0,0,0,0,0,0,0,3,0,0,0,19,0,0,10,14,21,15,10,4,0,5,0,0,5,0,6,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1008,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,7,4,10,6,0,0,4,4,5,0,0,49,0,5,6,0,5,0,20,39,6,13,17,16,11,0,9,140,0,0,0,0,0,13,22,19,3,3,5,10,4,0,3,87,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,5,0,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,7,0,5,3,3,9,0,3,11,5,6,4,0,0,65,0,3,16,41,30,40,55,51,11,5,9,12,5,0,4,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,3,6,0,7,0,0,0,0,0,0,0,0,33,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44,13,9,7,0,3,0,0,0,0,0,0,0,6,83,0,6,30,46,48,28,19,9,3,0,3,0,0,0,12,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
