SUA_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
1000,100155,81050,35505,10358,509592
1001,7074,5286,2555,823,47123
1002,1980,1485,927,338,13068
1003,4569,4262,2067,828,24995
1004,1858,1873,988,307,9135
1005,2769,2042,1054,407,18705
1006,3838,3830,2542,925,22837
1007,1449,1042,454,209,7776
1008,1079,882,294,86,7051
1009,1997,2157,1232,334,9571
1010,28601,23030,12829,5029,171656
1011,6500,5852,2881,1074,38016
1012,2747,1810,992,357,19694
1013,1994,2312,1433,625,10658
1014,1829,1445,764,329,12071
1015,1368,1150,646,332,8698
1016,1219,719,382,226,8886
1017,1188,968,449,173,7155
1018,2532,1979,926,417,14789
1019,1026,837,475,147,5847
1020,1212,885,410,54,7038
1021,2277,2065,1391,598,13780
1022,876,627,383,135,6198
1023,780,452,186,67,5417
1024,3032,3060,1876,570,15156
1025,38489,28959,14542,5472,254521
1026,2965,2350,1236,446,19170
1027,2913,2261,1177,449,20609
1028,4471,4235,2509,1101,26679
1029,1126,671,265,87,7906
1030,1846,1917,924,259,10040
1031,344111,224586,110745,44808,2593745
1032,2911,2275,1443,545,20493
1033,2104,1757,1127,488,11881
1034,1735,1754,871,280,8845
1035,4120,2899,1462,638,27567
1036,24660,17707,8733,3474,156440
2000,68129,55828,24546,7353,350223
2001,1512,1105,503,130,11445
2002,1159,1049,650,282,7259
2003,7835,6214,3082,1193,55206
2004,7342,5723,3023,1270,50016
2005,1146,1164,697,308,6429
2006,793,699,363,147,5306
2007,1721,1378,778,318,10380
2008,21315,16753,8409,3039,149155
2009,2074,1386,649,171,11393
2010,1164,862,443,193,7723
2011,322034,209985,104298,40311,2538788
2012,3747,2588,1281,469,23859
2013,1724,1348,620,211,9890
2014,930,745,312,111,4985
2015,1078,870,461,220,7265
2016,3356,2354,1287,594,23533
2017,706,478,285,131,4904
2018,3155,2366,1359,659,20635
2019,1442,1185,742,360,9540
2020,3179,2520,1290,352,20428
2021,2757,2026,1030,478,17515
3000,71991,56036,21758,4817,377783
3001,1813,1306,357,38,10580
3002,167342,110704,52689,18186,1263545
3003,5556,5009,2855,833,33513
3004,13361,9242,3957,1052,83947
3005,952,473,125,42,6816
3006,3306,1775,703,221,20955
3007,53744,40891,21573,7754,369125
3008,1675,1269,646,230,9914
3009,5314,5639,3120,888,28930
3010,703,551,254,93,4652
3011,6109,3652,1688,626,39250
3012,2191,1944,947,281,11842
3013,1488,742,258,37,9655
3014,5080,3239,1575,660,34494
3015,35208,28576,14929,5030,207222
3016,9991,7291,3795,1242,68564
3017,12572,7944,3464,1027,86174
3018,1104,944,549,182,6677
3019,1807,1484,663,168,9901
4000,24222,19356,8134,2367,126469
4001,98835,74251,36583,13516,682290
4002,1897,1452,729,275,12512
4003,1164,901,503,189,7143
4004,988,682,299,63,5757
4005,1130,833,393,137,7097
4006,948,653,337,97,5412
4007,2618,3606,2058,619,14124
4008,1673,974,560,192,9368
5000,31204,21509,7674,1778,172641
5001,2908,2276,1196,477,16559
5002,1958,1626,481,52,11660
5003,5506,3753,1736,643,34908
5004,3404,3010,1446,436,20108
5005,871,605,395,99,5508
5006,2829,1927,901,363,17723
5007,2067,1009,295,92,14173
5008,1335,508,112,12,10970
5009,147410,102367,50214,18539,1059318
5010,1431,510,113,20,10216
6000,16089,12525,5163,1229,78402
6001,2117,1482,896,288,12219
6002,2215,1894,971,357,14096
6003,17005,13355,6724,2388,120285
6004,6522,4804,2691,942,44111
6005,1261,1010,540,161,6756
7000,7439,5052,972,76,40322
7001,2560,1615,400,77,15445
7002,10736,6848,2138,399,77457
8000,109,83,22,3,614
8001,36378,25385,12410,4144,282185
9000,572,411,168,28,3155
