SUA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
1010,133582,146846,280428,48061,30148,78212,18866,33360,52225,7961,10417,18373,4191,3262,7453,79076,77183,156260,47391,61332,108721,5.3,4.2,4.8,59.2,52.6,55.7,56.1,50.3,53.1,4735,5350,10083,1590,3383,4974,14220,21273,35501,10523,16800,27321,37390,21288,58675,1386,2562,3953,2606,4380,6987,41382,28232,69619,133341,142093,275430,21713,23133,44839,88464,93820,182283,58158,63412,121569
1011,29375,32459,61831,10202,6876,17078,4613,8409,13024,939,1166,2104,1022,833,1854,16775,17279,34053,10696,13100,23799,6.1,4.8,5.4,57.1,53.2,55.1,53.6,50.7,52.1,885,1124,2009,437,884,1320,3175,4847,8027,2198,3741,5940,7837,4628,12464,330,574,904,553,891,1442,8719,6095,14816,28124,30343,58464,5299,5862,11158,17831,19131,36965,13891,15412,29297
1012,15293,16878,32167,7544,5290,12834,1770,3877,5644,493,669,1161,399,316,708,10208,10150,20352,3767,5372,9136,3.9,3.1,3.5,66.7,60.1,63.3,64.2,58.3,61.1,643,742,1382,192,432,621,1522,2664,4190,921,1540,2464,3918,2426,6349,150,313,458,208,415,623,4278,3154,7430,14618,15939,30554,3056,3300,6359,8728,9428,18154,7715,8562,16273
1013,8725,9989,18714,2078,1403,3477,1089,2024,3119,236,325,563,255,162,420,3656,3918,7576,4528,5321,9842,7,4.2,5.5,41.9,39.2,40.5,39,37.6,38.2,170,193,362,94,169,263,640,952,1593,603,961,1560,2546,1374,3919,84,206,292,174,324,499,2805,1900,4707,7835,8772,16607,1508,1689,3191,5274,5840,11117,3721,4296,8013
1014,10177,10315,20489,4151,2653,6802,1153,2309,3460,334,422,755,300,231,530,5939,5615,11550,3668,4144,7808,5.1,4.1,4.6,58.3,54.4,56.4,55.4,52.2,53.8,280,326,602,124,246,373,773,1218,1996,700,1118,1821,2679,1630,4310,84,170,259,153,297,454,2920,2094,5014,9249,9681,18929,1887,1972,3855,5938,6132,12071,4546,4938,9485
1015,7409,8292,15698,2454,1645,4098,942,1739,2683,236,260,498,327,222,542,3948,3868,7819,2914,3824,6730,8.2,5.7,6.9,53.3,46.7,49.8,49,44,46.3,133,133,265,68,148,221,421,793,1218,377,732,1113,1984,1417,3403,105,207,309,130,232,356,2221,1853,4077,7191,7794,14990,1300,1388,2680,4800,5032,9833,3134,3620,6752
1016,8313,8481,16791,4343,2542,6888,936,2125,3061,243,298,536,204,157,360,5720,5120,10837,1903,2732,4636,3.6,3,3.3,68.8,60.4,64.6,66.4,58.6,62.4,230,260,484,52,147,200,740,1086,1829,460,673,1136,1924,1016,2934,54,130,183,100,207,307,2079,1351,3430,8106,8236,16336,1319,1357,2675,5069,5208,10282,3768,3801,7573
1017,6428,6391,12814,1565,1100,2661,706,1293,1999,179,228,408,265,212,479,2713,2838,5547,3225,2991,6218,9.7,7.5,8.6,42.2,44.4,43.3,38.1,41.1,39.6,43,73,113,36,86,124,247,509,754,234,506,740,1556,1085,2645,77,133,210,76,188,271,1711,1412,3126,5529,6104,11628,892,915,1808,3747,4067,7815,2274,2582,4853
1018,11480,12731,24217,4137,2838,6975,1829,3189,5017,335,438,772,446,339,784,6747,6797,13546,3855,4960,8818,6.6,5,5.8,58.7,53.4,55.9,54.9,50.7,52.7,406,478,881,156,388,538,1231,1978,3211,742,1265,2008,2788,1888,4674,147,234,391,182,360,542,3117,2484,5600,10784,11650,22438,2015,2169,4182,6864,7459,14320,5279,5768,11050
1019,5205,5175,10382,1721,970,2695,522,1089,1613,183,235,413,197,121,318,2630,2410,5042,2213,2467,4682,7.6,5,6.4,50.5,46.5,48.5,46.6,44.2,45.4,91,104,192,43,111,156,303,488,789,284,448,737,1465,749,2216,61,112,178,77,131,200,1601,988,2597,4738,4919,9653,696,734,1438,3318,3444,6760,1849,1945,3795
1020,5828,5800,11628,2602,1331,3929,685,1641,2327,271,292,565,176,140,317,3734,3409,7142,1843,2178,4022,4.7,4.1,4.4,64.1,58.7,61.4,61,56.3,58.7,109,135,247,42,127,176,381,673,1048,514,656,1166,2063,1128,3186,57,125,189,68,162,231,2189,1421,3613,6016,5896,11910,1047,1058,2110,3763,3707,7468,2910,2889,5798
1021,10893,11789,22681,3865,2263,6131,1466,2644,4114,530,654,1186,374,279,651,6234,5850,12085,4243,5473,9712,6,4.8,5.4,57.3,49.6,53.3,53.8,47.2,50.4,406,392,804,120,258,377,883,1503,2387,817,1331,2147,3513,1878,5393,133,238,373,214,395,612,3859,2518,6378,10633,11260,21893,2001,2163,4165,6639,6931,13571,5321,5796,11116
1022,4924,5157,10076,2518,1238,3757,494,1421,1912,189,247,432,110,109,217,3306,3011,6325,1285,1848,3138,3.3,3.7,3.5,67.2,58.5,62.8,65,56.3,60.6,105,174,275,46,110,155,429,735,1167,298,521,820,1630,850,2485,62,98,153,75,142,215,1764,1090,2856,4751,4877,9622,1038,1096,2136,2700,2770,5465,2697,2857,5551
