SUA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
2006,5049,5357,10406,2248,1146,3388,627,1474,2104,163,247,407,116,61,175,3160,2924,6083,1618,2189,3804,3.7,2.1,2.9,62.6,54.5,58.4,60.3,53.4,56.7,75,104,174,51,102,150,312,548,863,284,519,803,1329,852,2181,53,71,124,56,87,139,1434,1011,2445,4975,5248,10222,751,740,1497,3334,3511,6844,2096,2191,4284
2007,8892,9758,18652,3678,2023,5700,1108,2619,3722,339,460,797,205,181,382,5322,5278,10608,2962,3830,6787,3.8,3.4,3.6,59.9,54.1,56.9,57.6,52.3,54.8,157,227,383,96,269,369,707,1231,1939,517,960,1478,2627,1293,3918,59,114,172,107,157,265,2793,1555,4351,8433,9082,17512,1540,1694,3236,5426,5862,11290,4004,4433,8432
2008,112391,121757,234150,49513,28090,77608,16730,35382,52110,3949,5729,9681,3423,2829,6262,73618,72032,145654,33479,44185,77662,4.7,3.9,4.3,65.5,59.2,62.2,62.5,56.8,59.5,6214,6556,12767,2258,5075,7336,16767,23253,40022,10146,14227,24372,26739,15044,41789,918,1469,2388,1339,2061,3397,29000,18570,47564,109267,116289,225559,20788,22606,43400,66986,71547,138538,55733,60330,116068
2009,8335,8768,17100,4179,2264,6445,1130,2736,3867,330,425,754,185,177,355,5825,5596,11424,2176,2791,4965,3.1,3.1,3.1,69.9,63.9,66.8,67.7,61.9,64.7,441,547,990,225,485,713,1204,1783,2986,883,1091,1971,2273,876,3150,56,98,159,128,185,312,2465,1160,3624,9158,9324,18481,1098,1158,2259,6355,6463,12825,3356,3482,6833
2010,6556,7207,13763,3038,1665,4707,827,1982,2804,227,294,515,157,123,277,4242,4060,8310,1955,2761,4710,3.7,3,3.4,64.8,56.4,60.4,62.4,54.7,58.3,167,210,375,67,222,292,497,928,1428,462,797,1259,1789,1061,2850,62,124,186,82,111,197,1935,1295,3227,6623,7001,13621,1030,1179,2206,4342,4560,8899,2875,3151,6026
2011,1912098,2008719,3920822,886224,550668,1436894,289048,506505,795553,66556,86287,152843,71356,63614,134975,1313185,1207078,2520259,504085,707807,1211893,5.4,5.3,5.4,68.7,60.1,64.3,64.9,56.9,60.8,170462,178444,348904,39498,76605,116097,376980,450485,827470,173914,215395,389312,317398,165901,483303,12988,19433,32416,23666,35642,59302,354050,220975,575022,1873712,1943917,3817625,348531,357078,705613,1186663,1247938,2434607,913904,937861,1851766
2012,21219,22564,43783,8595,5439,14030,2524,5227,7749,806,1013,1822,741,555,1294,12662,12223,24883,6707,8498,15200,5.8,4.5,5.2,59.7,54.2,56.8,56.2,51.7,53.9,387,497,893,232,567,802,1477,2716,4192,1336,2201,3535,5052,3003,8056,239,392,632,254,362,614,5543,3760,9305,20403,21443,41853,3341,3457,6796,13235,13653,26886,9144,9884,19025
2013,8756,9229,17982,3178,1594,4766,908,2307,3211,332,396,728,421,267,686,4833,4566,9398,3295,4039,7329,8.7,5.9,7.3,55.2,49.5,52.3,50.4,46.6,48.4,84,153,242,62,181,246,404,787,1189,501,852,1352,2973,1537,4504,79,146,229,93,146,240,3151,1830,4973,8619,8928,17545,1051,1165,2218,6155,6182,12336,3032,3432,6459
2014,4606,4733,9344,1753,873,2629,580,1237,1817,162,195,363,141,110,248,2646,2419,5058,1645,2065,3714,5.4,4.5,5,57.3,51.1,54.2,54.2,48.7,51.5,69,94,159,42,135,176,292,485,778,229,502,724,1282,731,2016,38,75,110,69,83,146,1382,890,2269,4368,4466,8833,704,753,1456,2931,2931,5864,1908,2083,3992
2015,5782,6563,12348,2435,1332,3766,700,1694,2396,203,241,443,190,165,357,3533,3436,6965,1914,2757,4664,5.4,4.8,5.1,61.1,52.3,56.4,57.8,49.8,53.5,176,231,402,103,194,295,572,901,1464,491,712,1209,1573,896,2465,78,99,176,68,105,166,1707,1096,2805,5498,6094,11590,1219,1275,2494,3444,3792,7235,2884,3190,6078
2016,20818,22154,42967,8705,5101,13803,2506,5408,7915,665,876,1543,715,490,1210,12595,11873,24466,6518,8655,15178,5.7,4.1,4.9,60.5,53.6,56.9,57.1,51.4,54.1,571,685,1260,291,666,954,1619,2756,4375,1371,2281,3655,4722,2751,7473,196,309,506,226,353,576,5151,3407,8559,20669,21280,41950,3253,3652,6903,13118,13379,26489,9332,10226,19557
2017,4353,4775,9126,2083,1126,3207,526,1241,1767,132,213,351,112,57,164,2850,2636,5487,1189,1833,3023,3.9,2.1,3,65.6,55.2,60.1,63,54.1,58.3,62,114,175,56,128,181,326,568,892,322,450,770,1067,643,1713,38,73,114,62,82,141,1169,798,1965,4305,4617,8920,651,767,1415,2831,3082,5912,1835,2006,3843
2018,17199,18641,35844,6656,3769,10426,1964,4569,6533,558,762,1322,747,520,1274,9930,9620,19548,5711,7349,13059,7.5,5.4,6.5,57.7,51.6,54.5,53.4,48.8,51,379,512,897,173,455,626,1304,2027,3325,1051,1733,2779,4969,2697,7668,169,296,467,176,268,443,5312,3262,8580,16375,17243,33622,2674,2928,5594,10893,11263,22154,7085,7829,14907
2019,7585,8776,16367,3135,1904,5035,1028,2299,3327,246,357,606,179,146,322,4588,4698,9289,2553,3532,6084,3.9,3,3.5,60.4,53.6,56.8,58.1,51.9,54.8,180,285,464,123,315,441,682,1154,1830,536,966,1503,2040,1224,3262,63,142,206,100,131,232,2205,1496,3705,7478,8343,15820,1211,1374,2591,4988,5516,10500,3255,3743,7002
2020,16024,17784,33817,7216,3875,11090,2088,4948,7037,574,825,1399,425,377,804,10299,10032,20333,4903,6864,11765,4.1,3.8,4,64.3,56.4,60.1,61.6,54.3,57.7,431,601,1031,257,605,860,1464,2468,3934,1220,2105,3324,4852,2689,7537,135,301,437,243,352,596,5234,3343,8575,15979,17103,33080,2919,3312,6233,9284,9978,19266,8480,9320,17797
2021,13862,15521,29383,6267,3461,9730,1973,4634,6607,497,691,1188,298,268,565,9031,9060,18088,3954,5509,9468,3.3,2.9,3.1,65.2,58.4,61.6,63,56.6,59.7,465,572,1041,249,561,806,1432,2431,3858,1022,1678,2694,3542,2166,5708,126,214,338,154,262,418,3821,2640,6466,13738,14873,28611,2117,2326,4444,9042,9780,18823,6019,6680,12701
3000,337274,314455,651734,126605,71080,197685,31461,67146,98605,15073,14628,29704,9268,7476,16743,182412,160322,342737,111055,123730,234779,5.1,4.7,4.9,54.1,51,52.6,51.3,48.6,50,5049,6507,11558,2635,6254,8895,19166,35544,54711,18681,29249,47927,93750,45583,139328,4145,6255,10400,4699,6155,10852,102586,57993,160585,298201,285450,583656,52613,54046,106660,204172,191307,395480,128743,131634,260385
3001,7528,7524,15048,3064,2122,5188,997,1823,2824,420,412,833,202,176,377,4683,4535,9219,1639,1839,3478,4.3,3.9,4.1,62.2,60.3,61.3,59.6,58,58.8,186,227,420,75,151,232,761,1179,1945,684,881,1561,2108,1048,3159,130,147,277,116,145,258,2359,1340,3695,5493,5246,10731,1917,2137,4056,3087,2817,5902,3976,4230,8205
3002,950778,1012815,1963599,436438,287200,723636,132744,240133,372877,44354,65279,109634,37976,32372,70354,651511,624988,1276496,253906,341421,595322,5.8,5.2,5.5,68.5,61.7,65,64.5,58.5,61.4,62433,64467,126890,17996,34101,52099,156253,205079,361329,82169,111748,193920,208399,122531,330926,11246,15102,26341,13810,20616,34428,233450,158250,391695,919194,959231,1878427,201762,214534,416299,542328,564725,1107058,514679,548570,1063255
3003,29450,32472,61928,10190,7021,17209,3496,6971,10463,870,1015,1884,1250,910,2162,15804,15918,31726,11942,14810,26753,7.9,5.7,6.8,53.7,49,51.2,49.4,46.2,47.7,589,607,1198,285,647,928,2118,3802,5920,1676,2827,4503,8402,4886,13288,466,697,1161,443,676,1116,9318,6256,15571,27884,29788,57667,5646,6266,11909,17959,19044,37004,13939,15506,29442
3004,62526,66196,128725,24606,17901,42511,9109,16852,25964,2396,2697,5096,2560,2074,4636,38676,39532,78205,16813,20215,37024,6.6,5.2,5.9,61.9,59.7,60.8,57.8,56.6,57.2,2071,2744,4818,894,1919,2815,6655,10971,17624,5256,7392,12653,16114,9094,25210,875,1077,1951,916,1289,2203,17904,11462,29368,55752,58162,113915,12888,14071,26958,33905,34888,68796,31068,33884,64953
3005,5681,5341,11022,3256,1787,5043,593,1494,2092,228,242,476,146,114,268,4228,3650,7872,742,1216,1958,3.5,3.2,3.4,74.3,68.3,71.4,71.8,66.1,69,101,135,237,53,146,195,362,762,1128,315,475,787,1848,830,2678,94,147,231,77,92,170,2016,1063,3079,5123,5023,10143,1425,1450,2877,2888,2702,5583,3223,3332,6555
3006,17708,17670,35371,8718,4564,13282,1801,4477,6276,712,656,1366,955,797,1755,12187,10489,22680,4304,6163,10468,7.8,7.6,7.7,68.8,59.4,64.1,63.4,54.9,59.2,336,365,693,188,366,553,1298,2184,3483,1046,1418,2466,6143,3186,9323,323,482,803,237,354,593,6702,4019,10723,17019,16775,33794,3969,4261,8226,10481,10000,20480,9188,9804,18996
3007,273990,301519,575510,109547,70037,179580,42585,77372,119955,13353,19834,33192,10141,8789,18927,175625,176037,351662,80313,106098,186409,5.8,5,5.4,64.1,58.4,61.1,60.4,55.5,57.8,12000,13699,25700,3677,7784,11459,35285,51010,86291,25560,38760,64322,69547,38357,107905,2749,4098,6847,4703,7625,12325,76998,50080,127076,253328,270333,523659,59198,65112,124307,144992,154094,299087,151093,165954,317052
3008,8576,9740,18323,2999,1695,4693,1052,2281,3335,286,319,613,305,269,571,4645,4562,9213,3383,4685,8070,6.6,5.9,6.2,54.2,46.8,50.3,50.6,44.1,47.1,115,158,270,74,183,254,498,919,1417,468,936,1396,2490,1706,4198,164,208,378,134,219,352,2789,2138,4922,8171,9021,17199,1730,1971,3702,4880,5272,10151,4462,5195,9659
3009,23623,26964,50583,6119,4492,10607,2564,5141,7702,703,856,1563,968,780,1749,10354,11263,21618,11726,13967,25695,9.3,6.9,8.1,43.8,41.8,42.7,39.7,38.9,39.3,525,622,1149,269,536,807,1631,3079,4713,1727,2679,4404,6908,4022,10927,326,453,775,393,604,1000,7628,5077,12703,21389,23787,45173,4727,5386,10118,12870,13916,26790,12144,14135,26285
3010,4059,4444,8507,1667,988,2660,477,1066,1537,146,151,290,126,95,219,2415,2299,4711,1341,1873,3214,5.2,4.1,4.7,59.5,51.6,55.4,56.4,49.5,52.8,72,94,163,36,69,108,274,513,784,251,407,657,1090,724,1813,70,116,185,62,79,145,1218,920,2139,3800,4006,7811,950,1015,1964,2309,2444,4749,2128,2302,4432
3011,32261,34125,66385,16422,9958,26384,3282,8834,12114,1218,1233,2453,989,835,1822,21913,20860,42768,7650,10776,18426,4.5,4,4.3,67.9,61.1,64.4,64.9,58.7,61.7,689,764,1460,317,724,1043,2428,4687,7117,1833,3031,4864,10732,5257,15989,388,609,991,404,653,1058,11518,6518,18038,30527,31637,62161,6819,7381,14193,19203,19469,38664,15839,17476,33313
3012,11567,11482,23051,3150,1969,5125,1161,2310,3473,303,354,651,583,418,1002,5199,5050,10250,5681,5765,11440,11.3,8.2,9.8,44.9,44,44.5,39.9,40.4,40.1,120,133,253,79,177,252,497,963,1467,648,991,1638,3254,1993,5248,183,282,461,157,242,394,3594,2516,6109,10289,10775,21062,1789,1876,3666,6881,7171,14060,4651,4991,9640
3013,8163,7535,15696,4140,2810,6948,542,1301,1847,392,349,742,243,180,420,5314,4641,9952,1484,1958,3437,4.5,3.9,4.2,65.1,61.6,63.4,62.1,59.2,60.7,177,219,400,74,168,247,499,1057,1560,330,594,928,2430,1022,3452,84,140,230,61,115,178,2581,1279,3860,6960,6602,13563,1801,1836,3635,4305,3914,8216,3744,3909,7651
3014,30603,32072,62669,13423,8924,22345,3516,7734,11248,1122,1318,2442,1191,946,2135,19244,18926,38173,9176,11132,20303,6.2,5,5.6,62.9,59,60.9,59,56.1,57.5,778,802,1581,337,669,1007,2342,4263,6600,1604,2694,4301,8325,4857,13182,494,706,1205,413,515,926,9227,6078,15310,29160,30572,59732,6018,6639,12656,19095,19616,38715,13850,15607,29455
3015,150597,169127,319730,56908,34814,91721,22875,44359,67237,7729,11422,19156,4428,3874,8306,91946,94476,186418,50414,65495,115917,4.8,4.1,4.5,61.1,55.9,58.3,58.1,53.6,55.7,6089,6934,13026,2519,5105,7620,19264,29667,48933,13881,21259,35141,42089,22895,64985,1564,2652,4217,2630,4132,6760,46283,29679,75964,140983,153189,294175,32136,36122,68262,81982,88279,170255,82775,92860,175634
3016,53445,60209,113653,23999,15791,39790,7136,15167,22299,1568,2096,3666,1877,1703,3586,34580,34758,69338,16037,22589,38627,5.4,4.9,5.2,64.7,57.7,61,61.2,54.9,57.9,2463,2487,4951,855,1801,2657,6101,10083,16180,4005,6105,10113,13680,8871,22552,780,1128,1904,732,1156,1888,15195,11152,26347,51974,57091,109065,11672,12794,24466,30971,33909,64885,29001,32381,61380
3017,70240,74157,144399,32187,22448,54638,8469,18503,26971,2500,3079,5578,2666,2151,4817,45820,46186,92009,18948,23260,42208,5.8,4.7,5.2,65.2,62.3,63.7,61.4,59.4,60.4,2348,2810,5154,793,2086,2878,6796,11924,18720,4888,7047,11937,19007,10844,29851,935,1318,2249,936,1261,2194,20879,13420,34298,64982,67639,132623,14720,16371,31092,39786,41214,80999,35271,38551,73822
3018,6021,6593,12614,2320,1368,3684,760,1542,2303,190,224,413,202,174,375,3474,3308,6782,2090,2827,4920,5.8,5.3,5.5,57.7,50.2,53.8,54.3,47.6,50.8,83,118,196,64,125,182,382,642,1026,316,528,843,1579,1075,2649,93,134,222,83,156,239,1749,1362,3105,5649,6057,11710,1193,1321,2520,3682,3906,7590,2798,3143,5943
3019,7906,8728,16635,3247,2168,5414,850,2152,3001,336,406,743,249,200,447,4684,4922,9608,2701,3303,6004,5.4,4,4.7,59.3,56.4,57.8,56.1,54.1,55.1,196,266,463,128,252,375,663,1268,1929,538,843,1383,2541,1252,3791,97,147,240,140,168,308,2773,1566,4339,7442,7933,15373,1735,1947,3684,4457,4744,9193,4254,4709,8967
4000,118039,111659,229701,48180,23008,71188,13780,30100,43874,4374,4593,8971,3075,2257,5329,69404,59959,129363,39035,44061,83101,4.4,3.8,4.1,58.8,53.7,56.3,56.2,51.7,54,1819,2352,4173,977,2434,3412,7422,13355,20778,6737,10921,17658,31307,16478,47788,1511,2121,3639,1945,2280,4224,34768,20887,55653,112533,107770,220304,14902,15016,29911,81235,76310,157547,40430,40928,81357
4001,543425,580105,1123530,233683,142433,376110,85642,158867,244514,15301,19662,34962,21563,17218,38780,356197,338174,694365,166760,221211,387968,6.1,5.1,5.6,65.5,58.3,61.8,61.6,55.3,58.4,33912,36360,70270,9744,17996,27735,84295,109849,194139,44413,56634,101046,116440,69284,185728,6260,8486,14744,7939,11625,19569,130636,89398,220038,544454,571441,1115896,86317,90029,176346,359689,377999,737688,238727,253223,491947
4002,11440,12407,23847,5183,2827,8014,1468,3551,5020,338,447,784,371,277,647,7362,7097,14459,3432,4651,8077,5,3.9,4.5,64.4,57.2,60.6,61.1,55,57.9,184,224,407,121,265,386,704,1368,2072,584,1016,1595,3189,2056,5246,152,279,430,155,245,400,3492,2576,6072,11296,11980,23278,1878,2002,3878,7500,7826,15321,4976,5496,10470
4003,7455,7573,15027,2449,1503,3952,870,1738,2610,211,232,443,296,238,530,3822,3711,7534,3188,3446,6630,7.7,6.3,7,51.3,49,50.1,47.3,45.9,46.6,88,90,175,49,124,176,306,582,889,344,558,897,1784,1308,3096,106,178,283,97,151,251,1985,1639,3631,6611,7123,13738,1198,1317,2512,4371,4696,9066,3037,3354,6397
4004,5959,5469,11430,2016,1339,3353,599,1198,1798,209,213,423,223,149,375,3054,2900,5952,2344,2130,4470,7.4,5.2,6.3,51.2,53,52.1,47.5,50.2,48.8,109,110,225,45,104,150,265,506,771,282,398,679,1485,709,2192,67,110,175,86,73,159,1636,892,2531,5071,5213,10283,810,870,1676,3640,3700,7340,1914,2054,3971
4005,6435,6640,13070,2419,1414,3833,937,1955,2892,331,267,598,204,122,318,3888,3752,7637,2109,2497,4604,5.1,3.1,4.2,60.4,56.5,58.5,57.3,54.8,56,91,133,220,45,119,164,401,777,1176,364,589,952,1763,1048,2811,84,164,248,103,140,243,1950,1353,3302,6134,6327,12460,1033,1127,2157,4217,4278,8491,2547,2801,5345
4006,5637,5932,11571,1990,1093,3084,606,1466,2065,159,183,343,277,184,460,3033,2921,5951,2192,2658,4853,9.1,6.3,7.7,53.8,49.2,51.4,48.9,46.1,47.5,80,67,143,32,83,117,220,470,690,222,363,594,1459,897,2353,88,129,218,53,82,135,1598,1111,2710,5483,5670,11154,759,872,1627,3964,4018,7978,1973,2173,4139
4007,11426,13153,24584,2518,1465,3981,1687,2832,4518,308,370,673,329,239,574,4844,4905,9742,6183,7757,13937,6.9,4.9,5.9,42.4,37.3,39.6,39.5,35.4,37.3,314,374,690,178,354,532,1124,1597,2717,965,1510,2478,3090,1761,4849,117,235,361,246,359,605,3455,2360,5813,10810,12072,22888,1693,1924,3613,6924,7738,14666,5178,5872,11048
4008,8916,8686,17597,3736,1901,5637,903,1970,2867,309,301,608,427,302,727,5371,4470,9842,2928,3659,6588,7.9,6.8,7.4,60.3,51.5,55.9,55.5,48,51.8,140,172,311,59,134,193,500,844,1346,400,603,1007,2836,1323,4163,155,234,393,94,150,248,3092,1711,4802,8676,8375,17057,1249,1279,2526,6308,6052,12361,3104,3132,6234
5000,157245,121020,278261,64716,28741,93459,13111,26166,39286,8384,6438,14823,3237,2513,5744,89443,63860,153310,38644,42745,81388,3.6,3.9,3.7,56.9,52.8,55.1,54.8,50.7,53,2790,2814,5602,1271,2779,4051,10782,15574,26351,8974,10989,19961,40197,15446,55643,1930,2758,4689,1843,2463,4308,43962,20666,64630,124119,106666,230784,22957,20543,43503,86141,73089,159233,54051,47815,101864
5001,13533,14710,28249,5393,3178,8567,1932,4154,6085,475,472,951,370,268,634,8168,8072,16238,4663,5936,10602,4.5,3.3,3.9,60.3,54.9,57.5,57.6,53,55.2,303,382,685,173,396,569,1114,2069,3180,997,1600,2603,3711,2206,5921,267,404,668,187,364,549,4172,2967,7144,12932,14067,27000,2341,2570,4911,8514,9160,17667,5961,6745,12709
5002,7884,8809,16695,2938,2479,5411,762,1601,2358,595,675,1270,183,156,336,4476,4909,9387,2186,2513,4699,4.1,3.2,3.6,56.8,55.8,56.2,54.5,54,54.2,254,393,646,113,339,449,927,1609,2536,646,916,1560,1949,863,2814,81,183,263,129,167,293,2154,1211,3367,6627,6989,13619,1553,1949,3503,4178,4291,8471,3516,4173,7698
5003,28180,30727,58900,13477,7272,20744,3207,8767,11978,1072,1049,2125,938,904,1839,18699,17990,36690,8104,11330,19440,5,5,5,66.4,58.5,62.3,63,55.6,59.2,624,667,1293,316,745,1067,2361,4114,6477,1929,2930,4862,8739,5496,14237,527,869,1396,383,779,1161,9644,7148,16793,28137,30082,58219,5245,5800,11047,18589,19656,38241,12764,14403,27176
5004,15132,17125,32252,6159,3517,9672,2371,5309,7679,672,659,1332,325,284,613,9527,9768,19289,4704,6395,11103,3.4,2.9,3.2,62.9,57.1,59.8,60.8,55.4,57.9,374,431,807,187,520,713,1626,2758,4383,1287,1973,3265,4387,2413,6800,223,370,598,227,453,684,4845,3238,8087,14833,16229,31060,2941,3284,6221,9505,10239,19743,7341,8353,15697
5005,4824,4907,9731,2239,1159,3400,476,1267,1742,210,184,395,96,71,167,3023,2669,5696,1238,1768,3007,3.2,2.5,2.9,62.7,54.4,58.5,60.7,53.1,56.8,69,70,143,33,107,141,287,585,873,249,432,685,1321,665,1977,62,127,187,49,88,137,1427,879,2302,4402,4494,8895,847,859,1710,2979,3003,5982,1983,2095,4085
5006,14727,15821,30545,6290,3847,10142,1738,4180,5919,582,577,1154,550,423,972,9155,9029,18182,4241,5479,9723,6,4.7,5.3,62.2,57,59.5,58.5,54.4,56.3,260,311,571,140,391,528,885,1881,2759,918,1507,2427,4259,2352,6611,285,479,762,188,323,504,4731,3156,7885,14101,14924,29022,2499,2779,5278,9421,9805,19229,6198,6946,13146
5007,12617,10852,23468,7183,4039,11218,970,2395,3365,507,417,923,307,228,539,8969,7079,16044,2002,2632,4635,3.4,3.2,3.3,71.1,65.2,68.4,68.6,63.1,66.1,350,335,685,97,229,325,919,1352,2273,576,845,1429,3750,1511,5261,181,286,466,140,210,352,4072,2004,6080,10833,9862,20693,2756,2470,5225,6683,5817,12504,5977,5633,11611
5008,8575,6346,14920,4786,2376,7158,595,1367,1968,426,296,721,139,129,268,5940,4169,10110,698,1180,1875,2.3,3.1,2.6,69.2,65.8,67.8,67.7,63.7,66,217,228,448,86,190,280,672,1049,1720,583,599,1182,2723,887,3615,122,170,296,90,117,209,2937,1180,4116,6476,5239,11714,2006,1857,3863,3090,2296,5387,4763,4246,9007
5009,797681,857508,1655184,384605,227648,612254,116345,241875,358222,26883,29745,56627,30444,28190,58632,558271,527458,1085734,203220,293822,497033,5.5,5.3,5.4,70,61.5,65.6,66.2,58.2,62.1,49736,49338,99073,14291,27795,42085,130648,172209,302856,71163,91433,162595,178995,99567,278558,10410,15013,25427,10314,19304,29615,199721,133887,333603,809772,851324,1661100,135896,145985,281880,522195,547619,1069818,367737,396891,764628
5010,8484,5935,14419,4355,2186,6540,500,982,1484,413,324,736,174,129,299,5441,3622,9063,826,1266,2088,3.1,3.6,3.3,64.1,61.1,62.9,62.1,58.9,60.8,148,156,302,69,125,191,504,829,1330,564,508,1076,2536,775,3315,88,166,249,91,100,192,2714,1040,3752,5966,4694,10662,1892,1718,3606,2712,1881,4591,4543,4018,8562
6000,68587,67773,136363,25699,12970,38671,8869,17863,26735,2680,2731,5409,2157,1773,3930,39397,35336,74736,24617,28150,52772,5.5,5,5.3,57.4,52.1,54.8,54.3,49.5,51.9,1928,2242,4166,671,1537,2213,5319,8558,13879,4378,6314,10691,19076,9908,28981,799,1596,2398,915,1468,2385,20789,12972,33760,66272,64871,131139,9117,9360,18480,46415,44495,90915,25489,26521,52008
6001,10689,11984,22672,4061,2401,6463,1291,3011,4298,345,394,733,456,314,766,6149,6123,12266,3925,5266,9188,7.4,5.2,6.3,57.5,51.1,54.1,53.3,48.4,50.7,248,298,545,110,241,351,784,1239,2022,582,1033,1615,2899,1847,4747,158,321,479,143,254,394,3194,2427,5620,10495,11432,21930,1751,2054,3805,7054,7669,14724,4493,5158,9656
6002,12334,13613,25948,4729,2724,7457,1628,3546,5177,449,424,873,499,391,887,7307,7083,14391,4378,5884,10260,6.8,5.5,6.1,59.2,52,55.5,55.2,49.2,52,323,344,671,113,232,345,847,1441,2296,723,1172,1892,3402,2231,5628,194,382,575,176,314,485,3768,2919,6693,12036,13032,25073,2056,2264,4321,7963,8541,16507,5425,6056,11481
6003,90356,97410,187767,36893,23485,60382,15507,27469,42972,2613,3607,6215,3929,3385,7314,58934,57953,116882,27676,35509,63187,6.7,5.8,6.3,65.2,59.5,62.3,60.9,56,58.4,8146,9254,17402,1950,3628,5582,15048,18808,33855,6671,8672,15348,18656,10990,29648,998,1618,2613,1116,1822,2935,20768,14427,35197,86855,92569,179417,16524,17102,33629,56945,61060,118003,41270,43721,84989
6004,36032,39150,75182,14991,8902,23896,5620,11011,16636,1010,1335,2350,1579,1216,2797,23199,22470,45671,11042,14962,26000,6.8,5.4,6.1,64.4,57.4,60.8,60,54.3,57,2047,2039,4082,530,976,1505,4359,6413,10771,2436,3372,5804,8454,5273,13728,471,850,1322,433,809,1236,9354,6934,16289,34996,37364,72358,6308,6785,13093,22669,24043,46719,16543,18004,34541
6005,5809,6592,12405,2099,1174,3270,755,1753,2507,195,237,433,190,155,345,3240,3319,6558,2272,2980,5255,5.9,4.7,5.3,55.8,50.4,52.9,52.5,48,50.1,126,170,293,71,128,206,423,799,1221,346,585,931,1666,999,2667,67,148,218,86,166,254,1819,1319,3139,5812,6363,12175,740,914,1658,4083,4352,8441,2178,2623,4801
7000,38769,35658,74426,11309,8376,19692,2555,3993,6548,2226,2155,4380,1613,1378,2993,17696,15907,33602,14804,15302,30108,9.1,8.7,8.9,45.7,44.6,45.2,41.5,40.7,41.1,823,1111,1929,325,837,1166,2292,3752,6042,1929,2409,4336,7765,3315,11081,612,773,1382,554,599,1154,8941,4689,13628,34386,32750,67139,6012,6285,12300,25448,24493,49943,12155,12026,24187
7001,11108,12155,23264,5435,4540,9969,1162,2023,3189,530,644,1175,292,258,550,7420,7471,14886,2558,3496,6054,4,3.5,3.7,66.8,61.5,64,64.1,59.3,61.6,696,924,1620,185,496,683,1454,2417,3871,895,1037,1939,2474,1312,3791,92,166,252,146,195,342,2715,1671,4382,9952,10368,20323,2630,2937,5570,5862,6085,11943,5802,6415,12215
7002,56554,56486,113039,27108,20736,47845,6628,11239,17872,2730,3128,5849,1646,1466,3111,38109,36567,74680,12259,14076,26331,4.3,4,4.2,67.4,64.7,66.1,64.5,62.1,63.3,3737,4396,8134,1019,2201,3222,7660,11335,18992,4692,5265,9964,12641,6413,19050,680,937,1612,737,906,1643,14059,8248,22304,47977,48291,96265,13070,13459,26526,26891,26598,53493,30216,31520,61737
