SUA_CODE_2021,M_15_19_Marr_a_reg_marr,M_15_19_Marr_a_de_facto_marr,M_15_19_yr_N_married,M_15_19_yr_Tot,M_20_24_Marr_a_reg_marr,M_20_24_Marr_a_de_facto_marr,M_20_24_yr_N_married,M_20_24_yr_Tot,M_25_34_Marr_a_reg_marr,M_25_34_Marr_a_de_facto_marr,M_25_34_yr_N_married,M_25_34_yr_Tot,M_35_44_Marr_a_reg_marr,M_35_44_Marr_a_de_facto_marr,M_35_44_yr_N_married,M_35_44_yr_Tot,M_45_54_Marr_a_reg_marr,M_45_54_Marr_a_de_facto_marr,M_45_54_yr_N_married,M_45_54_yr_Tot,M_55_64_Marr_a_reg_marr,M_55_64_Marr_a_de_facto_marr,M_55_64_yr_N_married,M_55_64_yr_Tot,M_65_74_Marr_a_reg_marr,M_65_74_Marr_a_de_facto_marr,M_65_74_yr_N_married,M_65_74_yr_Tot,M_75_84_Marr_a_reg_marr,M_75_84_Marr_a_de_facto_marr,M_75_84_yr_N_married,M_75_84_yr_Tot,M_85_over_Marr_a_reg_marr,M_85ov_Marr_a_de_facto_marr,M_85_yr_over_N_married,M_85_yr_over_Tot,M_Tot_Marr_a_reg_marr,M_Tot_Marr_a_de_facto_marr,M_Tot_N_married,M_Tot_Tot,F_15_19_Marr_a_reg_marr,F_15_19_Marr_a_de_facto_marr,F_15_19_yr_N_married,F_15_19_yr_Tot,F_20_24_Marr_a_reg_marr,F_20_24_Marr_a_de_facto_marr,F_20_24_yr_N_married,F_20_24_yr_Tot,F_25_34_Marr_a_reg_marr,F_25_34_Marr_a_de_facto_marr,F_25_34_yr_N_married,F_25_34_yr_Tot,F_35_44_Marr_a_reg_marr,F_35_44_Marr_a_de_facto_marr,F_35_44_yr_N_married,F_35_44_yr_Tot,F_45_54_Marr_a_reg_marr,F_45_54_Marr_a_de_facto_marr,F_45_54_yr_N_married,F_45_54_yr_Tot,F_55_64_Marr_a_reg_marr,F_55_64_Marr_a_de_facto_marr,F_55_64_yr_N_married,F_55_64_yr_Tot,F_65_74_Marr_a_reg_marr,F_65_74_Marr_a_de_facto_marr,F_65_74_yr_N_married,F_65_74_yr_Tot,F_75_84_Marr_a_reg_marr,F_75_84_Marr_a_de_facto_marr,F_75_84_yr_N_married,F_75_84_yr_Tot,F_85_over_Marr_a_reg_marr,F_85ov_Marr_a_de_facto_marr,F_85_yr_over_N_married,F_85_yr_over_Tot,F_Tot_Marr_a_reg_marr,F_Tot_Marr_a_de_facto_marr,F_Tot_N_married,F_Tot_Tot,P_15_19_Marr_a_reg_marr,P_15_19_Marr_a_de_facto_marr,P_15_19_yr_N_married,P_15_19_yr_Tot,P_20_24_Marr_a_reg_marr,P_20_24_Marr_a_de_facto_marr,P_20_24_yr_N_married,P_20_24_yr_Tot,P_25_34_Marr_a_reg_marr,P_25_34_Marr_a_de_facto_marr,P_25_34_yr_N_married,P_25_34_yr_Tot,P_35_44_Marr_a_reg_marr,P_35_44_Marr_a_de_facto_marr,P_35_44_yr_N_married,P_35_44_yr_Tot,P_45_54_Marr_a_reg_marr,P_45_54_Marr_a_de_facto_marr,P_45_54_yr_N_married,P_45_54_yr_Tot,P_55_64_Marr_a_reg_marr,P_55_64_Marr_a_de_facto_marr,P_55_64_yr_N_married,P_55_64_yr_Tot,P_65_74_Marr_a_reg_marr,P_65_74_Marr_a_de_facto_marr,P_65_74_yr_N_married,P_65_74_yr_Tot,P_75_84_Marr_a_reg_marr,P_75_84_Marr_a_de_facto_marr,P_75_84_yr_N_married,P_75_84_yr_Tot,P_85_over_Marr_a_reg_marr,P_85ov_Marr_a_de_facto_marr,P_85_yr_over_N_married,P_85_yr_over_Tot,P_Tot_Marr_a_reg_marr,P_Tot_Marr_a_de_facto_marr,P_Tot_N_married,P_Tot_Tot
2014,0,9,300,303,0,52,202,257,113,141,210,463,222,116,160,502,317,101,234,651,437,91,252,782,461,44,202,704,218,12,97,328,54,4,37,95,1834,562,1692,4084,0,15,256,270,9,73,133,218,155,158,196,511,277,99,192,570,349,101,246,692,449,77,278,805,405,47,262,713,181,7,174,357,21,0,95,124,1851,577,1835,4258,0,17,557,575,17,128,335,472,269,298,400,972,504,213,353,1070,667,200,476,1345,884,166,531,1580,865,91,461,1418,404,17,271,686,80,8,131,217,3685,1134,3523,8344
2015,0,0,408,413,8,72,290,372,249,237,343,829,444,116,204,755,417,90,237,742,498,73,233,805,483,45,196,727,293,6,110,407,60,0,52,119,2464,640,2069,5176,0,8,380,393,12,102,237,352,302,237,334,873,496,109,262,868,482,100,401,980,514,59,351,920,471,28,355,851,204,10,311,528,28,0,144,181,2505,649,2779,5936,0,8,795,806,20,178,525,721,552,471,679,1703,932,229,461,1624,898,187,639,1719,1010,133,585,1729,957,72,548,1580,499,21,416,937,94,0,200,295,4964,1293,4855,11110
2016,0,10,1501,1512,37,195,1185,1418,962,748,1420,3125,1687,348,821,2852,1664,283,948,2890,1695,214,846,2753,1527,109,622,2254,943,44,359,1344,241,8,155,405,8744,1960,7852,18558,3,24,1385,1418,89,271,987,1351,1301,781,1362,3439,1796,339,963,3091,1676,286,1041,3005,1654,204,1101,2956,1444,96,1021,2558,731,25,779,1529,100,8,439,545,8797,2023,9066,19888,3,39,2886,2924,128,464,2172,2763,2260,1522,2776,6569,3483,686,1776,5942,3336,567,1992,5900,3351,417,1941,5710,2968,200,1646,4817,1666,70,1136,2877,341,15,590,945,17536,3986,16925,38441
2017,0,5,265,270,6,53,241,305,240,192,269,701,360,54,167,582,286,57,158,497,376,41,169,585,323,19,120,464,210,0,71,284,71,6,46,120,1876,435,1504,3812,0,9,226,244,16,91,200,304,304,179,298,778,375,73,202,652,326,35,180,544,367,36,199,606,308,14,190,515,172,7,245,419,28,0,164,197,1894,445,1914,4257,0,20,493,512,18,145,441,603,540,367,572,1478,736,134,365,1234,616,88,340,1044,740,78,371,1193,633,34,309,978,381,6,314,706,104,6,208,319,3765,882,3417,8067
2018,0,17,1125,1143,16,179,872,1071,608,763,1103,2475,1130,391,702,2223,1139,299,803,2243,1283,222,827,2325,1338,98,648,2081,764,33,324,1124,171,7,133,306,6438,2004,6547,14993,0,41,1048,1088,33,278,777,1087,834,772,1109,2719,1218,374,783,2368,1212,280,927,2416,1403,193,1067,2663,1229,92,940,2251,570,28,728,1324,76,0,366,440,6566,2051,7747,16366,0,51,2178,2231,50,450,1652,2161,1438,1540,2215,5193,2346,759,1487,4590,2347,573,1731,4653,2682,414,1891,4986,2561,190,1588,4338,1332,60,1055,2449,248,5,499,755,13007,4054,14290,31353
2019,0,9,560,566,12,83,324,416,289,293,390,971,521,164,286,962,563,135,334,1034,601,99,357,1056,629,54,293,974,455,16,180,655,116,0,85,203,3175,845,2812,6839,0,10,515,527,22,138,304,468,363,286,438,1092,565,165,372,1099,582,147,463,1198,639,93,477,1208,632,31,491,1160,352,11,457,820,64,0,275,340,3222,884,3803,7909,0,20,1075,1097,34,220,624,882,651,585,821,2058,1083,324,657,2064,1144,281,799,2225,1244,192,837,2267,1263,82,786,2134,810,23,647,1481,178,3,362,541,6401,1735,6609,14747
2020,0,4,1108,1113,18,173,788,980,830,742,894,2462,1321,364,479,2173,1330,300,567,2191,1472,206,578,2250,1521,133,471,2128,928,39,274,1241,180,3,127,310,7604,1968,5287,14860,0,16,1097,1111,49,239,721,1010,1077,782,893,2748,1373,364,652,2388,1464,288,731,2481,1573,193,859,2625,1411,105,782,2295,686,30,612,1325,78,3,314,397,7702,2011,6656,16374,0,19,2208,2225,71,416,1512,1989,1906,1523,1783,5209,2698,732,1130,4558,2788,588,1300,4672,3048,394,1436,4880,2937,238,1248,4427,1609,66,885,2562,255,8,447,703,15306,3978,11946,31239
2021,0,0,968,975,8,121,700,830,525,561,967,2047,996,330,519,1850,1158,240,536,1932,1265,172,504,1943,1215,101,400,1723,663,26,242,934,182,8,114,302,6010,1568,4958,12531,0,16,936,954,22,150,675,846,664,582,862,2111,1102,327,624,2061,1251,239,755,2235,1274,180,821,2277,1124,68,760,1951,531,13,627,1176,92,6,394,491,6059,1587,6455,14099,0,19,1902,1927,31,276,1376,1675,1195,1140,1828,4160,2094,661,1150,3909,2404,477,1291,4171,2543,354,1326,4220,2338,173,1164,3675,1195,40,867,2102,272,11,511,794,12068,3153,11410,26637
3000,5,327,18125,18455,377,2728,10933,14040,8901,8500,13172,30577,17588,6043,9165,32807,21957,6077,12199,40234,27145,5305,14803,47250,27122,3017,13066,43203,13790,925,6540,21251,2458,112,2025,4591,119355,33028,100030,252410,31,630,16099,16756,740,3856,8693,13286,12641,9420,11889,33946,20951,6658,9595,37208,24896,6345,11563,42805,29379,4993,13683,48052,24168,2322,12743,39239,9558,556,9119,19228,1044,41,4024,5108,123405,34823,97400,255626,34,962,34225,35215,1119,6583,19626,27320,21540,17921,25068,64528,38543,12706,18758,70012,46857,12421,23760,83043,56526,10296,28480,95300,51294,5339,25806,82437,23340,1483,15658,40480,3501,146,6048,9700,242751,67854,197430,508035
3001,0,9,244,254,0,65,191,258,120,260,372,755,325,191,240,757,323,147,255,721,366,77,242,686,302,51,156,508,107,17,63,189,13,0,7,17,1560,804,1775,4144,0,9,252,263,4,107,181,290,186,302,333,814,442,192,239,869,374,138,232,747,355,83,225,654,258,23,151,431,61,6,76,138,3,4,20,29,1681,854,1698,4235,0,21,500,516,6,166,372,545,304,556,704,1569,763,384,474,1626,698,283,487,1463,718,156,465,1343,564,69,303,941,170,21,130,327,15,4,29,49,3241,1661,3475,8373
3002,28,764,71136,71927,1527,11242,63901,76676,44518,43316,74270,162108,93623,24384,39837,157841,89664,16899,36938,143504,75836,10268,30822,116925,61204,4670,22333,88201,32685,1440,11962,46081,6907,162,4863,11941,405987,113144,356070,875203,63,1355,66911,68327,3035,15886,57458,76380,60592,45442,66146,172177,102164,23140,44480,169783,91037,15835,47868,154738,73279,8870,44365,126524,55552,3538,39893,98988,23454,888,28881,53225,3131,91,14297,17519,412313,115045,410298,937655,88,2119,138048,140258,4561,27130,121356,153056,105110,88763,140414,334283,195788,47522,84314,327620,180702,32733,84809,298250,149118,19140,75194,243450,116757,8203,62227,187188,56137,2328,40840,99305,10043,256,19160,29458,818300,228189,766360,1812860
3003,0,35,1992,2023,59,342,1236,1642,976,873,1542,3391,1732,492,996,3214,1985,478,1176,3641,2387,377,1275,4040,2849,257,1123,4238,1994,114,752,2855,435,19,285,742,12410,2995,10380,25775,6,60,1785,1844,122,482,1101,1704,1310,912,1535,3747,2020,498,1304,3820,2196,526,1464,4184,2623,346,1716,4687,2803,235,1674,4718,1493,70,1603,3164,189,12,789,990,12759,3138,12971,28863,0,93,3775,3872,183,826,2338,3342,2276,1785,3069,7138,3751,989,2294,7036,4176,1006,2644,7823,5008,725,2997,8725,5658,495,2800,8950,3486,179,2353,6023,620,36,1076,1730,25169,6128,23344,54643
3004,0,51,4135,4182,76,622,2696,3391,1833,2461,3560,7854,4151,1738,2523,8407,4865,1459,2757,9085,4487,1026,2690,8209,3692,462,2089,6237,1799,120,937,2855,349,14,293,660,21255,7962,21673,50884,3,94,3894,3989,123,862,2424,3411,2637,2815,3571,9022,5060,1788,3182,10034,5162,1388,3670,10219,4302,822,3423,8545,3150,313,2828,6298,1172,68,1679,2922,159,5,677,842,21770,8167,25352,55283,6,143,8028,8174,199,1489,5117,6805,4463,5284,7128,16877,9211,3526,5706,18448,10025,2851,6428,19303,8794,1852,6112,16756,6842,778,4916,12533,2973,190,2614,5774,507,24,971,1500,43023,16124,47023,106170
3005,0,12,448,459,8,126,260,394,288,280,330,894,554,132,208,898,505,97,188,795,392,55,155,598,190,12,85,291,63,5,37,107,8,0,13,22,2014,714,1724,4454,0,33,355,389,25,181,219,420,402,283,309,997,680,140,192,1015,481,79,182,741,379,52,167,598,151,12,82,253,41,3,55,100,3,0,22,28,2165,783,1592,4545,0,49,801,843,34,303,478,812,686,564,641,1892,1236,272,401,1911,983,177,378,1534,773,101,325,1201,344,27,172,537,106,5,96,206,15,0,38,51,4180,1496,3315,8999
3006,0,31,1372,1399,29,290,832,1141,758,758,1061,2570,1417,453,749,2625,1559,354,803,2713,1515,255,819,2589,999,74,515,1591,415,24,218,660,88,5,82,166,6777,2244,6438,15465,0,51,1308,1361,55,401,671,1134,1071,822,957,2842,1612,455,785,2852,1660,342,871,2877,1472,222,732,2431,865,64,582,1510,305,17,401,720,34,0,153,191,7071,2386,6461,15918,0,81,2676,2759,84,693,1500,2280,1823,1584,2010,5420,3036,909,1539,5481,3220,704,1667,5591,2986,476,1550,5018,1862,141,1098,3094,721,47,613,1377,122,8,229,358,13855,4631,12895,31379
3007,9,160,18383,18549,307,2522,15604,18435,9587,11677,18326,39581,22458,7602,10291,40353,23783,5460,10943,40187,21647,3681,9883,35217,20210,2245,8093,30549,12451,812,4696,17952,2738,150,1990,4874,113191,34308,98205,245702,7,287,17590,17883,586,3780,14742,19107,13584,12930,17096,43609,25291,7158,12387,44837,24857,5232,14364,44453,21657,3428,14832,39911,18826,1636,14157,34616,8969,502,10377,19853,1268,63,5322,6653,115044,35022,120867,270930,13,448,35970,36433,891,6302,30345,37543,23164,24603,35418,83187,47750,14765,22680,85189,48645,10696,25304,84640,43306,7107,24714,75129,39038,3880,22248,65164,21425,1319,15071,37809,4006,215,7312,11528,228233,69327,219069,516629
3008,0,12,695,713,16,116,400,531,321,282,467,1068,477,165,345,987,591,146,358,1098,641,107,431,1177,760,72,336,1160,488,29,169,682,123,6,70,200,3412,932,3267,7615,0,21,619,640,37,176,323,530,398,261,477,1139,576,201,468,1246,656,130,564,1351,663,97,629,1387,730,59,582,1374,368,18,494,876,57,7,254,314,3483,967,4405,8854,0,35,1316,1349,53,286,722,1065,715,551,944,2206,1053,365,809,2232,1248,276,924,2449,1303,203,1056,2562,1493,133,911,2537,853,45,660,1553,184,8,326,519,6897,1902,7665,16474
3009,0,19,1370,1389,28,168,776,979,560,546,926,2029,1161,387,700,2255,1437,351,856,2651,1991,384,940,3321,2876,297,1062,4242,1927,146,691,2760,406,19,213,637,10390,2328,7533,20251,4,42,1338,1380,58,245,651,957,768,611,1006,2381,1410,429,953,2786,1668,381,1235,3285,2261,379,1474,4116,2826,261,1671,4763,1422,96,1363,2882,166,16,565,750,10586,2460,10254,23300,5,61,2706,2776,81,416,1436,1935,1330,1152,1928,4409,2565,818,1656,5039,3107,729,2097,5934,4254,769,2417,7438,5707,561,2731,8998,3352,236,2049,5642,571,41,778,1386,20975,4788,17791,43554
3010,0,11,277,285,16,72,181,268,174,173,301,644,243,74,173,494,270,37,159,469,303,36,158,494,314,22,138,465,202,3,77,289,53,5,26,84,1581,434,1489,3495,0,22,287,310,23,103,188,311,207,153,271,628,284,67,186,543,297,55,202,553,311,26,214,548,321,17,249,583,150,7,150,307,21,0,109,131,1607,459,1851,3918,0,28,559,593,39,173,373,582,373,326,569,1270,530,141,362,1040,568,96,363,1022,614,65,370,1046,633,32,384,1052,347,14,233,594,72,8,135,215,3185,890,3341,7416
3011,0,47,2324,2369,52,453,1700,2202,1322,1421,1905,4645,2506,764,1383,4653,2594,587,1352,4535,2630,435,1320,4383,2037,164,851,3051,982,47,455,1490,239,4,185,425,12352,3925,11474,27754,0,80,2130,2210,120,701,1322,2134,1890,1549,1713,5151,3045,816,1397,5263,2892,604,1479,4979,2711,399,1438,4550,1829,128,1227,3188,723,42,1032,1796,115,4,507,626,13341,4317,12244,29901,0,122,4452,4580,168,1151,3016,4338,3215,2975,3619,9800,5560,1578,2781,9916,5493,1185,2832,9512,5346,833,2758,8932,3867,291,2077,6237,1706,92,1488,3284,350,9,693,1051,25694,8240,23713,57653
3012,0,8,763,773,29,117,459,602,280,248,561,1089,506,183,412,1103,696,149,521,1369,899,170,628,1702,1171,124,520,1818,680,37,293,1012,131,10,103,243,4400,1047,4256,9709,5,17,647,669,39,151,372,564,384,272,453,1110,627,202,442,1265,773,156,602,1532,1016,155,682,1854,1091,101,714,1913,486,23,578,1088,61,0,294,351,4485,1080,4785,10350,5,27,1415,1443,63,273,832,1165,669,518,1014,2200,1130,385,848,2366,1476,312,1119,2900,1914,327,1309,3552,2266,223,1237,3730,1163,60,874,2096,194,10,392,599,8889,2132,9045,20056
3013,0,11,536,550,20,130,394,541,324,455,562,1340,563,242,306,1110,492,132,334,962,439,93,343,874,216,31,155,399,98,3,93,197,13,0,17,36,2165,1103,2740,6011,0,31,440,468,31,204,333,562,475,475,515,1467,635,233,307,1169,491,134,323,951,386,84,271,738,173,24,167,371,64,4,113,175,4,0,26,33,2250,1183,2486,5931,0,42,977,1018,53,333,728,1109,796,935,1072,2801,1199,472,608,2282,988,264,661,1910,826,172,610,1611,389,58,319,770,163,7,203,372,17,0,49,64,4423,2285,5230,11940
3014,3,48,2260,2318,56,457,1642,2148,1368,1200,1961,4530,2313,629,1267,4209,2103,450,1269,3822,2247,335,1236,3810,1966,126,903,2993,1036,45,444,1523,248,13,214,482,11336,3299,11196,25834,6,85,2025,2113,135,637,1474,2244,1887,1300,1848,5035,2613,644,1425,4682,2377,441,1547,4361,2416,328,1493,4239,1745,90,1261,3088,807,34,1099,1943,111,3,564,684,12091,3557,12740,28389,5,130,4289,4430,188,1094,3116,4398,3258,2497,3807,9562,4925,1273,2695,8886,4477,884,2825,8187,4663,664,2723,8049,3710,212,2162,6081,1842,78,1543,3462,363,18,781,1160,23424,6856,23930,54219
3015,3,77,10440,10522,186,1113,6875,8181,4809,4962,7627,17390,11679,3550,4629,19862,13867,3026,5318,22212,13617,2464,5253,21337,14099,1473,4357,19931,8524,525,2634,11680,2010,86,1149,3237,68802,17267,48283,134353,7,155,9859,10025,380,1717,6339,8432,6896,5454,7133,19476,13583,3702,5844,23123,14784,3124,7614,25517,14510,2385,8199,25095,13287,1165,7846,22302,6306,341,6299,12956,991,44,3123,4150,70739,18085,62256,151083,15,232,20301,20546,568,2831,13219,16620,11704,10414,14759,36872,25260,7251,10476,42983,28652,6150,12934,47730,28132,4847,13451,46427,27384,2640,12206,42233,14828,870,8935,24634,2992,127,4262,7390,139542,35353,110540,285435
3016,0,74,4206,4276,157,772,2900,3829,2839,1960,3225,8026,4585,906,1919,7412,4574,682,1902,7158,4416,515,1766,6695,4219,247,1331,5799,2599,82,804,3487,592,11,354,953,23989,5245,18406,47638,14,125,3955,4097,309,1048,2629,3982,3719,1992,3229,8938,5064,893,2488,8444,4859,723,2691,8269,4569,455,2768,7798,4002,189,2721,6918,1989,54,2270,4323,275,3,1262,1545,24797,5490,24017,54306,15,195,8158,8371,472,1818,5523,7810,6556,3951,6453,16964,9654,1798,4412,15856,9432,1404,4591,15425,8983,972,4537,14490,8221,438,4051,12719,4590,137,3074,7808,866,15,1620,2504,48788,10735,42423,101941
3017,3,99,5008,5114,139,1256,4266,5656,2854,3391,4765,11006,5021,1685,2809,9518,5361,1271,2840,9479,5064,840,2658,8556,4164,374,1791,6334,2059,116,884,3058,379,15,286,676,25042,9049,25305,59403,0,190,4986,5179,237,1786,3812,5832,3810,3494,4260,11561,5924,1773,3337,11033,5754,1259,3628,10640,5163,784,3374,9322,3686,294,2762,6747,1519,88,1963,3567,151,6,921,1083,26256,9672,29042,64972,6,290,9998,10294,372,3044,8070,11493,6661,6883,9021,22568,10947,3463,6148,20551,11121,2528,6471,20117,10230,1620,6031,17883,7849,671,4555,13078,3580,201,2843,6619,533,18,1205,1761,51305,18716,54354,124368
3018,0,11,417,430,9,75,290,371,232,188,349,768,300,97,198,595,376,83,244,710,509,79,263,853,581,68,240,889,386,20,149,555,80,0,52,134,2479,616,2209,5307,0,10,364,377,25,112,230,366,277,198,324,798,366,98,240,713,441,92,326,861,568,83,325,983,541,46,356,951,300,12,341,651,32,0,163,195,2555,653,2680,5886,0,20,785,805,31,183,519,744,511,385,673,1569,669,193,440,1308,821,177,572,1566,1081,156,592,1830,1124,113,595,1836,683,35,491,1204,115,0,213,325,5036,1270,4883,11188
3019,0,5,571,576,13,84,310,406,274,278,311,862,512,158,250,919,614,132,280,1025,682,128,312,1120,729,63,240,1019,408,23,137,565,88,0,59,149,3316,859,2463,6641,0,20,513,534,24,130,270,425,383,319,273,973,691,176,294,1155,742,149,328,1215,784,136,405,1321,658,40,350,1046,313,10,280,602,41,3,158,202,3621,982,2872,7475,0,20,1085,1111,33,218,578,833,653,597,588,1835,1207,333,543,2078,1354,275,611,2243,1457,259,719,2437,1383,97,584,2067,723,31,414,1166,130,4,213,346,6938,1842,5335,14117
4000,8,74,6556,6633,158,828,4349,5333,3378,3155,4738,11271,6816,2097,3247,12160,8604,2070,4493,15164,10914,2035,5721,18672,11566,1190,4731,17482,6064,333,2285,8680,1238,30,912,2186,48746,11804,37026,97580,16,156,5668,5837,295,1218,3069,4578,4550,3422,3732,11702,7999,2185,3017,13198,9454,2220,4015,15694,11605,1948,4803,18362,10667,918,4687,16267,4484,209,3901,8599,575,14,1986,2577,49650,12288,34875,96809,30,229,12222,12477,452,2048,7414,9917,7927,6573,8470,22971,14822,4274,6262,25355,18058,4289,8511,30853,22523,3991,10526,37032,22231,2101,9413,33746,10553,538,6189,17281,1809,50,2897,4754,98393,24094,71903,194388
4001,13,228,36747,36990,689,4034,37037,41759,24631,19797,43204,87625,48888,11606,22716,83212,46489,8950,23369,78807,45178,6691,22027,73892,40826,3415,15468,59711,23647,1034,8005,32681,6251,163,4159,10570,236615,55913,212727,505249,33,403,34293,34724,1662,6038,32212,39907,33902,21113,34885,89899,52784,11479,23731,87991,47295,8706,27074,83079,44933,6103,29466,80499,38352,2829,27094,68277,18111,685,21019,39818,2830,86,12242,15157,239892,57440,242015,539346,39,628,71042,71710,2352,10067,69246,81666,58530,40913,78087,177526,101669,23087,46451,171207,93785,17651,50441,161879,90105,12796,51489,154390,79179,6248,42556,127982,41755,1720,29023,72499,9077,246,16403,25725,476503,113349,454737,1044596
4002,0,14,850,870,21,145,545,713,436,466,669,1571,785,231,420,1434,904,205,492,1607,1004,170,510,1687,977,77,364,1416,541,23,187,745,125,0,105,226,4800,1337,4134,10273,0,30,811,847,36,197,476,710,592,474,614,1680,895,229,500,1627,979,208,617,1795,1036,149,639,1824,894,56,574,1528,401,12,528,941,55,0,257,313,4885,1361,5013,11261,0,49,1664,1714,54,348,1017,1428,1023,939,1283,3245,1685,460,918,3059,1881,406,1107,3400,2041,320,1152,3513,1876,132,938,2947,940,33,711,1691,178,3,356,539,9680,2697,9149,21529
4003,0,5,476,480,12,84,361,453,257,237,427,911,396,141,312,843,443,116,354,911,549,95,356,999,597,60,265,925,423,17,188,632,112,9,66,187,2784,757,2806,6349,0,12,429,446,26,129,306,466,352,240,437,1021,431,130,301,865,501,129,368,995,578,101,473,1148,551,41,426,1017,347,13,333,696,62,7,188,253,2844,807,3253,6907,0,22,909,928,37,218,664,918,602,473,857,1939,828,274,612,1710,942,241,728,1909,1128,194,824,2145,1146,106,689,1944,771,33,523,1328,172,14,255,435,5631,1571,6063,13257
4004,0,3,355,358,3,55,226,287,164,249,329,742,206,124,233,565,245,127,244,621,358,109,282,753,339,32,195,566,216,10,100,325,41,0,24,70,1570,716,1998,4286,0,8,294,306,10,104,179,293,195,266,368,826,265,137,264,672,308,140,278,730,374,81,290,747,325,32,229,584,144,3,185,337,15,0,99,115,1645,779,2187,4612,0,9,656,666,20,157,403,574,354,516,698,1572,471,261,502,1237,557,269,521,1352,738,193,573,1500,663,64,425,1150,356,18,287,667,59,7,118,183,3219,1497,4185,8898
4005,0,10,414,427,8,77,270,347,236,231,345,820,383,168,235,785,430,130,289,851,510,84,290,878,494,47,218,759,319,6,93,431,83,0,51,135,2458,763,2205,5426,0,6,373,387,9,121,247,381,319,258,314,889,467,167,247,881,484,121,318,927,511,80,344,946,486,34,288,810,226,6,237,467,46,0,135,182,2548,812,2509,5866,0,20,788,809,14,195,520,728,554,494,665,1713,852,339,481,1665,918,251,606,1776,1019,167,635,1824,982,83,505,1566,549,19,329,892,129,4,182,314,5011,1572,4714,11291
4006,0,5,381,385,7,80,306,392,134,215,356,702,251,119,213,581,356,109,316,782,447,58,346,852,423,35,232,688,305,10,121,441,55,4,77,137,1984,638,2345,4966,0,15,351,367,13,113,253,373,202,215,302,716,304,124,228,660,403,104,330,833,463,57,331,860,419,33,347,799,224,9,299,529,23,0,156,175,2045,674,2598,5318,0,19,733,755,18,194,551,765,337,433,653,1426,560,238,445,1241,760,209,645,1614,915,122,675,1708,839,69,580,1485,526,22,422,966,78,4,233,311,4028,1310,4941,10283
4007,0,8,503,512,14,52,291,356,200,190,379,761,451,167,314,929,591,198,416,1202,955,206,509,1678,1863,189,526,2579,1441,63,404,1904,318,9,187,518,5838,1085,3529,10450,4,15,481,494,18,80,259,352,280,222,318,825,564,175,338,1075,654,197,467,1315,1155,214,703,2074,1976,186,992,3151,1111,44,808,1959,172,10,448,624,5921,1139,4814,11869,4,25,986,1010,32,129,546,709,480,409,694,1590,1012,346,650,2005,1247,391,886,2518,2107,420,1213,3745,3839,378,1515,5731,2551,106,1208,3867,486,21,636,1142,11762,2219,8339,22321
4008,0,9,583,588,5,101,438,551,272,345,590,1205,458,169,385,1012,586,186,551,1320,699,144,540,1384,596,32,321,949,366,11,161,533,82,0,74,157,3058,998,3644,7703,0,19,514,531,31,158,336,521,370,355,485,1206,512,188,373,1072,664,172,468,1308,719,127,454,1303,524,23,413,956,304,8,395,706,36,3,161,198,3159,1054,3594,7798,0,23,1095,1117,35,257,775,1068,641,698,1082,2417,967,359,756,2079,1248,360,1018,2629,1417,270,994,2690,1114,57,732,1904,675,16,557,1246,116,5,234,353,6218,2049,7237,15506
5000,17,119,5758,5896,181,879,3705,4767,3043,3263,4593,10890,6490,2450,3405,12346,7819,2279,4284,14385,9153,2023,4909,16080,8460,1055,4254,13771,4228,283,1865,6379,823,22,609,1457,40217,12368,33376,85964,42,208,5188,5442,299,1310,2715,4318,4380,3732,3945,12052,7979,2673,3397,14049,8604,2452,3948,14996,9698,1880,4421,15998,7615,741,3928,12285,2952,174,2764,5890,357,23,1304,1678,41916,13187,31608,86709,66,331,10945,11335,473,2183,6420,9089,7417,6993,8533,22948,14468,5122,6796,26391,16421,4729,8229,29381,18845,3896,9332,32076,16077,1794,8179,26055,7180,458,4630,12268,1179,47,1911,3131,82132,25554,64985,172670
5001,0,20,1021,1042,28,154,526,709,497,410,661,1564,827,292,390,1509,1014,261,483,1760,1171,211,553,1936,1200,141,430,1774,762,33,240,1032,238,4,143,389,5736,1530,4446,11711,0,42,906,951,56,201,427,685,631,445,576,1647,983,317,527,1825,1190,270,697,2153,1217,230,776,2221,1154,77,745,1983,586,34,640,1263,117,4,339,455,5939,1612,5633,13185,0,59,1928,1993,84,351,953,1390,1129,854,1233,3213,1809,610,916,3337,2203,529,1180,3909,2388,440,1326,4157,2350,221,1176,3752,1351,66,890,2300,355,5,482,844,11683,3142,10080,24901
5002,0,0,293,292,7,50,202,260,168,312,309,786,425,242,218,882,354,188,227,767,263,111,206,586,176,38,135,351,32,8,41,87,6,0,9,14,1436,949,1648,4028,3,8,331,339,10,67,213,289,246,384,452,1078,489,268,324,1079,368,164,279,799,268,100,259,618,105,19,152,282,21,9,58,86,6,0,7,13,1508,1009,2061,4583,3,8,620,630,10,118,411,545,413,694,759,1872,916,512,536,1964,723,349,501,1571,526,211,461,1202,283,58,292,631,58,13,97,170,11,0,21,30,2942,1959,3706,8614
