SUA_CODE_2021,M_15_19_Marr_a_reg_marr,M_15_19_Marr_a_de_facto_marr,M_15_19_yr_N_married,M_15_19_yr_Tot,M_20_24_Marr_a_reg_marr,M_20_24_Marr_a_de_facto_marr,M_20_24_yr_N_married,M_20_24_yr_Tot,M_25_34_Marr_a_reg_marr,M_25_34_Marr_a_de_facto_marr,M_25_34_yr_N_married,M_25_34_yr_Tot,M_35_44_Marr_a_reg_marr,M_35_44_Marr_a_de_facto_marr,M_35_44_yr_N_married,M_35_44_yr_Tot,M_45_54_Marr_a_reg_marr,M_45_54_Marr_a_de_facto_marr,M_45_54_yr_N_married,M_45_54_yr_Tot,M_55_64_Marr_a_reg_marr,M_55_64_Marr_a_de_facto_marr,M_55_64_yr_N_married,M_55_64_yr_Tot,M_65_74_Marr_a_reg_marr,M_65_74_Marr_a_de_facto_marr,M_65_74_yr_N_married,M_65_74_yr_Tot,M_75_84_Marr_a_reg_marr,M_75_84_Marr_a_de_facto_marr,M_75_84_yr_N_married,M_75_84_yr_Tot,M_85_over_Marr_a_reg_marr,M_85ov_Marr_a_de_facto_marr,M_85_yr_over_N_married,M_85_yr_over_Tot,M_Tot_Marr_a_reg_marr,M_Tot_Marr_a_de_facto_marr,M_Tot_N_married,M_Tot_Tot,F_15_19_Marr_a_reg_marr,F_15_19_Marr_a_de_facto_marr,F_15_19_yr_N_married,F_15_19_yr_Tot,F_20_24_Marr_a_reg_marr,F_20_24_Marr_a_de_facto_marr,F_20_24_yr_N_married,F_20_24_yr_Tot,F_25_34_Marr_a_reg_marr,F_25_34_Marr_a_de_facto_marr,F_25_34_yr_N_married,F_25_34_yr_Tot,F_35_44_Marr_a_reg_marr,F_35_44_Marr_a_de_facto_marr,F_35_44_yr_N_married,F_35_44_yr_Tot,F_45_54_Marr_a_reg_marr,F_45_54_Marr_a_de_facto_marr,F_45_54_yr_N_married,F_45_54_yr_Tot,F_55_64_Marr_a_reg_marr,F_55_64_Marr_a_de_facto_marr,F_55_64_yr_N_married,F_55_64_yr_Tot,F_65_74_Marr_a_reg_marr,F_65_74_Marr_a_de_facto_marr,F_65_74_yr_N_married,F_65_74_yr_Tot,F_75_84_Marr_a_reg_marr,F_75_84_Marr_a_de_facto_marr,F_75_84_yr_N_married,F_75_84_yr_Tot,F_85_over_Marr_a_reg_marr,F_85ov_Marr_a_de_facto_marr,F_85_yr_over_N_married,F_85_yr_over_Tot,F_Tot_Marr_a_reg_marr,F_Tot_Marr_a_de_facto_marr,F_Tot_N_married,F_Tot_Tot,P_15_19_Marr_a_reg_marr,P_15_19_Marr_a_de_facto_marr,P_15_19_yr_N_married,P_15_19_yr_Tot,P_20_24_Marr_a_reg_marr,P_20_24_Marr_a_de_facto_marr,P_20_24_yr_N_married,P_20_24_yr_Tot,P_25_34_Marr_a_reg_marr,P_25_34_Marr_a_de_facto_marr,P_25_34_yr_N_married,P_25_34_yr_Tot,P_35_44_Marr_a_reg_marr,P_35_44_Marr_a_de_facto_marr,P_35_44_yr_N_married,P_35_44_yr_Tot,P_45_54_Marr_a_reg_marr,P_45_54_Marr_a_de_facto_marr,P_45_54_yr_N_married,P_45_54_yr_Tot,P_55_64_Marr_a_reg_marr,P_55_64_Marr_a_de_facto_marr,P_55_64_yr_N_married,P_55_64_yr_Tot,P_65_74_Marr_a_reg_marr,P_65_74_Marr_a_de_facto_marr,P_65_74_yr_N_married,P_65_74_yr_Tot,P_75_84_Marr_a_reg_marr,P_75_84_Marr_a_de_facto_marr,P_75_84_yr_N_married,P_75_84_yr_Tot,P_85_over_Marr_a_reg_marr,P_85ov_Marr_a_de_facto_marr,P_85_yr_over_N_married,P_85_yr_over_Tot,P_Tot_Marr_a_reg_marr,P_Tot_Marr_a_de_facto_marr,P_Tot_N_married,P_Tot_Tot
2004,0,38,2751,2788,57,450,2357,2868,1622,1819,2659,6112,3104,888,1513,5503,3030,674,1600,5304,3045,478,1618,5146,3118,243,1263,4623,1809,86,661,2560,471,10,307,792,16258,4698,14737,35701,3,52,2642,2696,96,678,2149,2924,2171,1903,2621,6701,3367,867,1928,6161,3068,677,2231,5973,3240,398,2436,6069,2894,187,2232,5311,1428,47,1536,3004,248,8,844,1094,16507,4812,18619,39947,3,89,5395,5487,151,1133,4513,5794,3801,3730,5282,12813,6469,1756,3445,11670,6097,1354,3830,11281,6286,878,4055,11213,6016,431,3493,9937,3235,132,2199,5566,722,21,1150,1887,32770,9514,33360,75643
2005,0,5,232,239,6,11,133,155,74,115,180,368,241,142,137,521,264,145,197,605,338,104,236,683,404,80,240,722,259,28,109,401,66,10,47,115,1648,641,1515,3803,0,3,223,227,4,17,96,120,105,155,144,403,245,186,189,610,304,131,281,715,362,89,339,792,392,79,409,879,204,16,309,525,32,4,142,176,1647,674,2127,4446,0,6,456,464,9,32,227,272,183,271,319,772,485,326,319,1130,570,273,479,1324,707,195,576,1468,796,157,655,1604,463,45,419,929,90,8,189,289,3295,1316,3635,8253
2006,0,9,341,347,4,66,268,337,163,208,420,790,338,98,223,663,340,95,235,671,360,73,243,678,402,32,181,620,275,10,126,410,79,0,38,113,1968,584,2076,4627,0,6,317,324,3,80,216,309,222,214,305,739,366,89,190,642,348,105,274,726,375,60,307,746,420,33,279,730,213,0,270,483,36,0,174,215,1983,595,2329,4905,0,17,655,674,3,147,487,639,387,417,725,1530,709,188,411,1308,685,198,508,1394,744,133,553,1422,827,64,456,1350,481,11,391,886,112,4,215,328,3955,1174,4405,9532
2007,0,12,618,626,13,80,355,443,275,316,427,1015,593,155,225,974,708,184,294,1182,819,159,329,1312,879,107,326,1307,577,35,190,804,120,5,84,211,3978,1048,2848,7879,0,11,556,569,10,115,346,477,379,318,403,1103,656,183,312,1145,784,154,417,1355,878,151,443,1475,852,93,501,1441,452,17,408,885,63,8,228,291,4076,1065,3610,8750,0,17,1170,1196,19,194,706,923,652,638,827,2117,1247,343,536,2125,1486,345,708,2539,1701,314,772,2784,1731,200,826,2757,1032,54,601,1690,185,10,316,504,8054,2116,6459,16625
2008,4,33,7544,7577,105,941,6972,8022,4748,4982,8197,17932,10052,2808,3808,16671,9745,2019,4118,15887,9286,1306,3959,14543,9176,680,2952,12802,5059,238,1546,6845,1222,24,818,2059,49405,13021,39904,102328,0,81,6939,7020,210,1328,6216,7757,6350,5261,7060,18665,10804,2782,4802,18381,10005,1973,5515,17491,9468,1236,5919,16621,8617,526,5496,14638,3921,154,4226,8301,601,8,2291,2902,49978,13342,48459,111779,7,114,14481,14597,316,2270,13188,15774,11100,10241,15253,36593,20858,5586,8604,35057,19752,3991,9637,33378,18748,2542,9877,31170,17787,1206,8446,27442,8982,390,5771,15151,1821,33,3109,4962,99378,26366,88367,214105
2009,0,3,779,783,4,24,440,468,247,213,313,771,999,193,141,1338,1086,205,194,1491,1004,144,216,1367,766,62,179,1007,405,18,108,528,54,0,35,85,4561,864,2420,7840,0,4,664,671,7,33,359,404,331,223,269,830,1114,230,211,1555,1147,197,321,1672,965,121,296,1384,734,47,317,1095,279,10,235,523,25,0,93,114,4601,864,2762,8226,0,6,1444,1453,5,58,800,868,574,437,585,1603,2115,425,351,2894,2239,403,523,3164,1971,261,515,2744,1495,101,500,2097,685,24,340,1052,72,0,124,199,9161,1728,5180,16071
2010,0,11,462,475,3,90,317,415,299,261,422,990,478,155,212,850,515,95,234,842,591,67,272,935,527,31,208,769,370,9,114,491,114,4,67,182,2908,718,2320,5948,3,11,373,389,11,123,310,441,381,273,420,1066,525,143,269,935,532,88,310,933,596,59,384,1036,512,27,349,886,311,6,326,641,57,0,220,275,2924,734,2951,6613,3,24,835,864,12,215,630,853,675,535,840,2051,1005,298,483,1786,1053,178,544,1774,1187,125,658,1972,1040,61,556,1655,684,18,437,1132,173,4,282,463,5835,1451,5270,12562
2011,32,506,128548,129085,2124,11437,137432,150995,93306,80355,180994,354652,210233,44931,79230,334397,181248,29334,70155,280735,154464,18519,60477,233457,120584,8323,40723,169634,68408,2673,22724,93806,18113,406,11205,29723,848512,196486,731482,1776490,110,920,120832,121861,5495,16465,121250,143218,132739,84405,147384,364526,217839,41510,85458,344813,180816,27266,91515,299597,147418,15444,87850,250713,110033,6418,77203,193652,50245,1551,59774,111568,8120,201,33689,42008,852809,194186,824960,1871956,143,1421,249379,250946,7622,27904,258685,294214,226044,164758,328372,719180,428071,86445,164691,679203,362066,56607,161668,580339,301878,33960,148334,484174,230616,14737,117923,363284,118650,4223,82496,205370,26231,611,44890,71731,1701326,390668,1556448,3648443
2012,0,25,1404,1434,25,196,1123,1341,845,798,1431,3069,1430,420,790,2644,1561,344,913,2819,1754,292,907,2948,1676,162,663,2499,956,51,393,1396,239,5,155,403,8483,2295,7778,18555,0,26,1307,1335,61,303,909,1279,1093,814,1343,3250,1615,418,915,2952,1717,375,1060,3151,1800,287,1104,3188,1551,111,965,2634,702,33,829,1566,115,5,464,583,8662,2374,8893,19932,3,52,2717,2769,88,507,2029,2624,1943,1607,2774,6319,3048,838,1704,5595,3280,723,1971,5972,3552,573,2012,6138,3227,276,1627,5132,1660,74,1219,2958,349,13,620,983,17152,4668,16670,38486
2013,0,8,570,577,13,96,435,540,281,370,554,1204,478,187,356,1022,545,188,417,1143,762,132,525,1422,715,77,474,1262,394,21,199,615,92,4,85,175,3273,1070,3612,7956,0,13,524,529,15,140,365,522,369,365,502,1237,516,210,420,1145,643,177,480,1302,759,113,550,1418,681,60,564,1305,296,11,379,688,40,0,177,221,3313,1085,3970,8369,0,20,1091,1109,25,234,801,1062,651,735,1057,2441,993,403,778,2168,1180,364,897,2441,1519,247,1077,2842,1395,133,1039,2567,690,22,582,1299,127,4,262,394,6582,2160,7583,16328
