SUA_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
1000,..,1480,951,422,423,409,262,90,30,4064,..,1303,1618,688,1304,2217,1688,578,168,9566,..,1265,2464,2180,4633,10760,13285,11395,5576,51560,1680,2890,1720,964,1112,1575,1276,629,303,12149,19,44,79,43,30,45,25,15,5,307,80236,44714,46211,50557,60460,70974,62095,33023,10562,458831,..,1258,29073,53596,66589,81264,77940,37560,6498,353780,..,8826,23758,16586,16628,15084,8506,2255,271,91915,..,1287,6090,9001,10039,5950,3403,2538,1795,40107,162206,..,..,..,..,..,..,..,..,162206,..,33623,..,..,..,..,..,..,..,33623,..,29631,12352,5258,4206,2686,505,14,0,54655,..,3593,1805,986,1558,3096,3681,2470,1372,18557,..,2736,2348,1136,1174,1093,674,239,66,9468,..,2754,3783,1692,2770,4455,3825,1352,297,20929,..,2792,6216,6112,11536,23072,26093,18506,7975,102301,3401,5343,3620,2358,2412,2891,2462,1108,438,24030,59,73,172,82,66,94,48,32,8,633,165661,91908,89216,96798,116963,139690,127148,66083,18735,912205
1001,..,171,99,29,26,13,5,4,0,340,..,414,295,82,113,156,98,40,4,1202,..,278,603,461,660,1228,1495,1226,597,6546,114,212,115,81,86,87,73,34,18,819,0,0,12,0,0,8,7,0,0,33,8843,5363,6244,5983,5762,5713,4930,2867,946,46664,..,140,3878,6177,5944,6135,5590,2779,540,31195,..,1269,3228,1715,1306,908,420,159,12,9017,..,188,865,1305,1315,596,286,226,119,4896,17652,..,..,..,..,..,..,..,..,17652,..,3713,..,..,..,..,..,..,..,3713,..,2965,1158,400,295,172,31,0,0,5020,..,441,306,141,136,265,241,127,75,1730,..,335,293,103,64,37,20,6,3,865,..,830,816,210,280,311,236,71,13,2778,..,531,1359,1095,1484,2216,2374,1704,797,11558,235,410,287,216,182,166,132,52,25,1697,5,5,20,5,0,13,13,0,0,59,17897,10829,12206,11365,11016,10825,9340,5124,1577,90177
1002,..,33,29,7,3,3,0,0,0,86,..,192,116,20,26,31,21,10,0,418,..,83,168,115,170,316,346,318,173,1685,28,65,45,20,21,16,17,15,6,223,0,0,4,0,5,0,0,0,0,17,1913,1374,1472,1240,1252,1308,1062,745,272,10630,..,62,903,1299,1236,1339,1180,719,158,6898,..,343,651,310,271,229,100,26,0,1934,..,32,179,263,262,144,61,53,31,1032,3764,..,..,..,..,..,..,..,..,3764,..,905,..,..,..,..,..,..,..,905,..,548,241,93,66,49,5,0,0,997,..,118,77,32,34,50,52,23,24,417,..,84,69,26,14,9,0,4,0,206,..,365,263,65,61,58,44,20,4,879,..,158,332,272,338,571,543,444,225,2881,56,130,85,55,59,36,23,23,9,468,4,6,7,7,5,5,7,0,0,30,3827,2755,2807,2409,2342,2495,2008,1315,455,20413
1003,..,82,97,29,24,22,16,3,0,277,..,93,183,65,78,148,94,49,5,717,..,48,94,114,236,578,829,741,438,3081,58,117,77,37,40,58,53,27,21,490,0,5,4,8,5,0,0,0,0,23,3410,2011,2147,2567,2961,3195,3247,1955,783,22286,..,47,1095,2522,2965,3280,3752,2093,479,16228,..,301,1148,943,786,655,396,119,17,4353,..,32,208,493,649,333,169,141,103,2137,7030,..,..,..,..,..,..,..,..,7030,..,1639,..,..,..,..,..,..,..,1639,..,1341,523,246,212,162,25,0,0,2513,..,150,113,59,82,122,186,99,88,897,..,166,210,98,70,49,32,7,0,631,..,177,366,158,193,280,192,80,10,1464,..,84,202,309,502,1068,1332,1055,595,5145,109,217,156,98,104,113,100,47,24,976,11,3,10,6,13,4,5,0,0,48,7150,4154,4031,4935,5578,6069,6189,3634,1321,43061
1004,..,29,14,0,9,5,0,4,0,55,..,18,28,20,23,43,30,16,6,181,..,16,54,35,107,261,355,302,134,1267,29,32,24,18,19,38,23,13,6,196,0,0,0,0,0,0,3,0,0,4,1189,667,686,753,966,1378,1472,831,255,8198,..,24,346,663,878,1332,1837,938,173,6190,..,128,357,251,268,312,190,58,11,1576,..,34,127,184,229,125,70,50,31,854,2332,..,..,..,..,..,..,..,..,2332,..,463,..,..,..,..,..,..,..,463,..,445,197,94,92,57,13,0,0,903,..,77,24,23,28,64,56,45,32,353,..,47,33,12,26,7,8,3,4,144,..,34,73,38,53,93,68,28,5,389,..,44,111,115,269,462,621,450,186,2251,73,72,56,38,44,60,29,17,7,414,0,0,0,0,0,0,0,4,0,11,2405,1379,1331,1432,1887,2511,2886,1603,452,15879
1005,..,61,38,9,14,11,0,0,0,149,..,214,106,31,45,47,39,6,4,496,..,117,203,112,227,404,450,432,214,2161,45,106,69,28,44,31,31,19,9,381,6,0,0,0,5,0,0,0,0,9,3283,2178,2367,2063,2171,2064,1725,1018,376,17237,..,71,1440,2096,2214,2194,2046,1031,216,11318,..,550,1231,658,458,342,132,44,3,3414,..,71,336,479,522,253,114,86,50,1909,6645,..,..,..,..,..,..,..,..,6645,..,1497,..,..,..,..,..,..,..,1497,..,1144,472,164,110,86,16,0,0,1986,..,188,130,31,60,96,109,66,40,725,..,124,110,39,42,22,11,5,0,362,..,416,266,91,102,114,96,22,3,1112,..,222,466,348,518,764,739,608,275,3939,95,199,139,84,96,53,60,36,15,782,6,0,7,0,3,5,0,4,0,18,6740,4496,4603,3988,4118,3937,3321,1895,605,33700
1006,..,60,70,15,11,3,11,4,0,178,..,59,57,33,48,62,63,31,5,350,..,24,82,93,203,465,834,768,317,2783,59,108,62,37,45,61,40,32,21,463,0,6,6,0,0,9,3,4,0,27,3365,1885,1933,2136,2656,2729,3030,2086,597,20417,..,51,1533,2616,2993,3104,3415,2302,439,16442,..,264,809,546,602,450,335,122,16,3130,..,35,129,292,497,293,142,128,101,1611,6682,..,..,..,..,..,..,..,..,6682,..,1652,..,..,..,..,..,..,..,1652,..,1295,586,224,194,118,23,0,0,2451,..,118,99,41,59,121,121,140,55,754,..,109,162,37,46,22,29,8,3,413,..,101,163,84,95,126,119,63,10,764,..,51,174,212,430,793,1175,1025,426,4285,128,202,128,79,77,90,74,51,22,847,0,6,10,6,0,7,9,4,0,41,6811,3871,3790,4140,4992,5132,5430,3835,1076,39071
1007,..,28,5,0,4,0,0,0,0,47,..,30,36,12,24,35,20,12,0,165,..,53,105,78,139,278,311,278,168,1414,33,41,23,23,14,42,25,8,6,221,0,0,0,0,0,0,0,0,0,0,1355,786,1014,868,910,1235,1034,632,259,8090,..,8,410,660,782,1148,1082,570,136,4800,..,221,606,308,234,223,98,29,0,1720,..,38,228,255,228,131,93,54,36,1066,2633,..,..,..,..,..,..,..,..,2633,..,441,..,..,..,..,..,..,..,441,..,558,243,117,98,69,9,0,0,1093,..,109,46,30,38,70,58,27,18,397,..,48,19,12,11,8,5,5,0,111,..,49,75,29,47,61,44,24,6,337,..,114,253,200,336,579,593,409,220,2712,74,71,55,59,33,74,52,13,6,434,0,0,0,0,0,0,0,0,0,3,2711,1664,1939,1667,1809,2359,2032,1127,431,15741
1008,..,27,102,24,3,8,3,0,0,170,..,119,364,108,43,43,41,9,0,726,..,9,61,66,80,117,173,83,35,618,10,23,43,12,14,19,22,7,3,148,0,6,7,0,0,0,0,0,0,15,675,436,988,767,616,604,547,203,67,4908,..,4,165,515,506,525,497,187,28,2428,..,52,464,348,230,177,107,16,3,1392,..,4,25,90,122,75,36,18,14,386,1328,..,..,..,..,..,..,..,..,1328,..,256,..,..,..,..,..,..,..,256,..,166,89,44,25,16,5,0,0,342,..,26,17,7,9,18,34,23,10,141,..,49,176,55,20,22,11,0,0,331,..,165,685,229,105,92,71,15,0,1354,..,23,100,147,167,239,278,145,43,1151,13,40,71,30,28,34,41,10,3,268,0,12,12,3,0,0,0,0,0,33,1337,789,1799,1477,1217,1191,1091,405,100,9400
1009,..,19,14,5,5,5,3,0,0,65,..,4,5,6,19,55,39,32,10,175,..,9,29,30,70,226,369,349,203,1291,24,46,21,19,25,33,29,19,5,226,0,0,0,4,0,4,0,0,0,5,1145,656,521,764,1054,1542,1791,1153,378,8994,..,12,310,748,1079,1632,2345,1398,274,7792,..,93,272,227,313,336,241,112,18,1601,..,15,71,153,211,115,51,52,60,725,2266,..,..,..,..,..,..,..,..,2266,..,574,..,..,..,..,..,..,..,574,..,515,187,94,94,82,23,0,0,983,..,47,16,8,23,50,56,51,41,299,..,49,34,13,23,23,13,5,0,166,..,18,19,21,44,113,92,52,10,362,..,20,50,62,174,412,664,575,277,2233,63,71,49,45,52,57,55,28,13,420,0,0,6,4,0,7,0,0,0,13,2322,1414,1008,1365,2016,2810,3534,2279,686,17441
