SUA_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
1000,152,81,231,1048,553,1600,51,16,64,8,6,17,117,90,205,142800,124180,266982,8947,9088,18034,6353,211,6563,1543,245,1790,987,387,1371,1876,879,2755,9424,8455,17875,173303,144184,317490,18,10,28,0,0,0,0,0,0,102,67,167,21,13,31,9,9,12,147,96,239,0,0,3,0,0,0,111,65,176,76,69,144,18,17,30,211,149,354,1840,764,2604,2189,1007,3202,26,10,43,20,25,48,133,32,164,183,71,251,32609,38360,70965,19237,28741,47976,2166,1858,4021,229688,214217,443906
1001,6,8,8,68,84,154,21,5,23,3,5,5,55,51,103,17149,15280,32428,1002,1129,2127,233,6,239,129,26,147,267,76,338,111,39,146,784,608,1395,19815,17300,37111,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,7,5,13,3,13,18,0,3,7,18,23,41,150,99,247,169,121,292,0,0,0,0,3,4,16,0,13,13,4,19,1690,2449,4138,1531,2904,4440,134,98,229,23355,22881,46230
1002,0,3,3,20,10,27,0,0,0,0,0,0,12,16,25,2837,2491,5324,214,268,478,64,0,64,35,4,40,42,18,60,23,24,43,179,185,359,3416,3018,6434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,5,0,6,31,22,49,33,26,62,0,0,0,0,0,0,0,0,3,0,4,8,978,1261,2242,678,876,1552,25,27,49,5130,5214,10348
1003,6,3,5,27,32,58,0,0,0,0,0,0,6,3,8,6411,5809,12228,330,409,740,182,10,185,63,5,65,169,57,221,54,27,79,285,291,567,7528,6642,14168,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,7,0,3,0,3,6,0,0,0,8,9,11,78,45,121,82,57,138,0,0,0,0,0,0,3,3,7,0,3,5,1510,2025,3536,1138,1669,2815,65,47,112,10334,10443,20776
1004,0,0,3,20,23,39,0,0,0,0,0,0,0,10,11,2202,2090,4290,169,184,349,81,0,87,21,3,18,19,11,31,15,10,27,82,74,155,2612,2397,5007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,4,9,7,25,4,31,31,17,49,0,0,0,0,0,0,4,0,0,4,3,5,277,416,696,315,459,772,31,22,51,3262,3312,6581
1005,0,4,3,21,21,41,5,0,5,0,0,0,31,31,60,6106,5540,11644,474,524,992,148,0,144,39,6,41,40,12,52,27,16,43,302,267,567,7191,6416,13609,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,6,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,6,5,10,61,29,88,72,39,107,0,0,0,0,0,4,0,0,0,4,8,10,764,1122,1883,782,1114,1895,41,29,75,8849,8725,17579
1006,40,28,73,27,30,58,0,0,0,0,0,0,9,10,22,5671,4831,10503,356,429,794,241,9,247,35,7,46,24,9,32,39,26,61,260,258,522,6707,5637,12341,0,4,3,0,0,0,0,0,0,3,3,10,4,4,9,3,4,6,10,10,25,0,0,0,0,0,0,0,4,9,3,4,9,0,0,3,4,20,21,49,32,79,67,58,129,0,3,5,0,0,0,0,0,0,0,3,5,2030,2259,4284,782,1266,2054,59,44,104,9652,9261,18918
1007,0,0,0,5,0,9,3,0,0,0,0,0,5,7,12,2599,2498,5101,221,261,480,34,0,34,36,6,43,27,0,28,15,5,22,150,141,292,3107,2928,6035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,3,0,3,16,17,39,25,17,43,0,0,0,0,0,0,0,0,0,0,0,0,117,203,323,382,443,829,23,23,45,3655,3623,7275
1008,0,0,0,0,9,7,0,0,0,0,0,0,0,0,4,1274,1167,2437,60,70,134,15,0,15,33,6,41,122,96,221,24,24,42,144,138,280,1676,1512,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,14,22,42,19,24,47,0,0,0,0,0,0,0,0,0,0,7,3,648,843,1490,348,475,828,38,15,51,2735,2873,5614
1009,9,0,7,9,25,35,0,0,0,0,0,0,0,0,0,2172,2139,4312,105,134,241,78,5,81,24,6,29,9,3,14,14,9,22,78,76,156,2498,2386,4886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,3,6,21,17,40,24,22,50,0,0,0,0,0,0,0,0,0,0,0,0,337,489,825,279,452,734,15,12,30,3151,3362,6519
